Real Sto Return,Real Det Return,Running Reverse KL,Running Env Steps,Itration,Reward Loss,Running Forward KL,Running Update Time
1325.49,1445.1,36.8111,225000,45,-1590.4903564453125,25.5303,45
1502.97,1543.03,35.245,230000,46,-1494.5989990234375,25.5861,46
1285.98,1292.12,33.7743,235000,47,-1670.313232421875,25.2474,47
1038.07,1008.77,31.0421,240000,48,-1753.3946533203125,26.1419,48
1022.98,994.96,37.7783,245000,49,-1863.8067626953125,26.5598,49
1146.32,1152.77,35.2832,250000,50,-1873.084228515625,25.7705,50
1092.45,1015.96,36.1404,255000,51,-1853.4071044921875,26.7219,51
1161.17,1026.26,53.4549,260000,52,-2280.08154296875,25.6593,52
1229.84,1015.47,54.6744,265000,53,-2158.953369140625,25.2488,53
1169.51,1304.71,45.5569,270000,54,-2090.035888671875,25.2539,54
1121.26,1346.98,41.0152,275000,55,-2128.39404296875,25.0451,55
1216.64,1316.31,45.5401,280000,56,-2254.327880859375,25.2937,56
679.18,668.56,35.4277,285000,57,-2214.46630859375,25.9529,57
1083.5,1010.02,35.0844,290000,58,-2292.490234375,26.0324,58
1156.3,1313.25,41.7267,295000,59,-2257.868896484375,26.2331,59
1133.12,1026.65,62.0569,300000,60,-2403.580322265625,26.0039,60
1154.9,1507.17,26.1039,305000,61,-2203.868408203125,26.0029,61
1200.16,1149.92,30.6259,310000,62,-2431.29541015625,25.6654,62
1120.44,1030.9,36.0529,315000,63,-2458.1796875,27.0608,63
1119.36,1276.79,30.0051,320000,64,-2375.677001953125,25.3614,64
1191.24,1065.03,25.0583,325000,65,-2420.12353515625,25.7546,65
1171.79,1207.01,31.1905,330000,66,-2446.074951171875,25.9213,66
1137.44,1099.51,29.7216,335000,67,-2405.517578125,25.2989,67
1298.72,1266.77,36.4781,340000,68,-2581.74658203125,25.7049,68
1165.75,1100.15,36.9915,345000,69,-2727.09033203125,25.8444,69
1146.93,1105.59,36.8308,350000,70,-2787.181396484375,25.2658,70
1371.19,1269.0,41.653,355000,71,-2790.84130859375,24.9265,71
1129.81,1259.06,31.4288,360000,72,-2785.14013671875,25.4102,72
1262.03,1261.18,49.8544,365000,73,-2797.88232421875,24.6636,73
1264.99,1242.9,31.0436,370000,74,-2827.145263671875,25.1586,74
1265.62,1217.12,21.9325,375000,75,-2621.2783203125,26.1601,75
1214.93,1271.52,32.7265,380000,76,-3026.54443359375,24.6675,76
1266.86,1437.7,36.2047,385000,77,-2952.5068359375,26.0298,77
1243.17,1230.67,30.1464,390000,78,-2970.58349609375,24.7417,78
1274.89,1305.55,32.1704,395000,79,-2924.835205078125,24.5719,79
1243.17,1284.42,39.8687,400000,80,-3266.22314453125,25.5324,80
1410.15,1591.87,50.6223,405000,81,-3180.425048828125,25.244,81
1298.11,1463.65,35.1313,410000,82,-3274.281494140625,25.3578,82
1364.83,1435.45,40.5177,415000,83,-3184.984619140625,25.0246,83
1221.72,1275.25,30.2976,420000,84,-3348.501708984375,25.9116,84
1298.01,1363.5,30.2067,425000,85,-3115.8037109375,25.4319,85
1424.72,1484.97,38.6785,430000,86,-3235.894287109375,25.9814,86
1360.69,1325.92,32.2702,435000,87,-3433.679931640625,25.3283,87
1184.47,1275.35,32.3361,440000,88,-3495.09423828125,24.2201,88
1259.26,1378.03,34.354,445000,89,-3626.45654296875,25.1719,89
1325.97,1326.42,20.6065,450000,90,-3257.74609375,26.0215,90
1162.14,1311.24,30.4113,455000,91,-3510.7666015625,24.2063,91
1427.42,1575.1,30.431,460000,92,-3599.729248046875,25.0227,92
1437.7,2430.64,20.1493,465000,93,-3023.029541015625,22.766,93
1504.39,1464.77,33.1402,470000,94,-3390.414794921875,23.6848,94
1406.88,1385.73,47.1096,475000,95,-3733.246826171875,25.4029,95
1658.88,1687.01,31.5915,480000,96,-3479.5927734375,24.3393,96
1041.4,1766.11,17.3367,485000,97,-3240.125244140625,24.2389,97
1390.21,952.86,34.9662,490000,98,-3506.411865234375,24.5012,98
1661.29,969.64,29.9504,495000,99,-3247.153564453125,23.0939,99
1733.6,2205.95,29.3743,500000,100,-3374.212890625,23.8231,100
1548.15,1592.89,24.0503,505000,101,-3364.236083984375,23.8566,101
1538.24,1794.58,18.6129,510000,102,-3159.98291015625,23.8613,102
1733.02,2268.42,23.9828,515000,103,-3702.228759765625,23.9154,103
1551.01,1624.37,28.7662,520000,104,-3815.181884765625,23.3489,104
1529.07,1640.66,35.7602,525000,105,-4092.704345703125,23.419,105
1403.47,1266.87,32.7909,530000,106,-4062.021484375,23.1344,106
2216.1,2169.25,26.7406,535000,107,-2884.2978515625,23.4529,107
1357.19,2001.09,40.3869,540000,108,-4231.2939453125,23.9498,108
2343.1,1577.04,26.6543,545000,109,-3052.58447265625,23.3852,109
999.23,1158.98,46.6493,550000,110,-5306.875,26.9114,110
1644.42,2206.47,32.1877,555000,111,-3692.495849609375,22.3761,111
1681.44,1703.22,34.1942,560000,112,-4132.3330078125,23.9161,112
2080.5,1657.96,21.0956,565000,113,-2552.044189453125,23.149,113
1916.34,2009.42,38.1848,570000,114,-4292.26806640625,23.3747,114
1388.38,1297.13,45.473,575000,115,-4750.3671875,24.2678,115
1909.22,1837.88,32.3869,580000,116,-3791.68017578125,23.053,116
1895.96,1784.67,34.7287,585000,117,-4100.22021484375,24.3315,117
2073.12,1861.68,32.6629,590000,118,-3943.021484375,23.0623,118
2336.03,3181.98,33.4356,595000,119,-3345.760498046875,22.0207,119
1979.77,2598.37,30.2553,600000,120,-3606.460205078125,21.6858,120
1583.18,1553.98,35.6609,605000,121,-4558.740234375,22.1333,121
2374.5,3308.91,26.7272,610000,122,-3573.98046875,23.0373,122
2698.45,3126.92,23.4182,615000,123,-2762.311279296875,21.5363,123
1825.97,2394.96,41.7702,620000,124,-4413.4033203125,23.0818,124
1979.84,1472.8,35.1026,625000,125,-4112.7373046875,21.8358,125
2732.13,3175.82,26.5646,630000,126,-3047.094482421875,22.4821,126
2090.09,1835.78,26.3699,635000,127,-4177.18896484375,23.1691,127
1607.61,2030.7,45.3887,640000,128,-5075.22265625,24.0067,128
1790.82,2326.8,39.5796,645000,129,-4499.0234375,23.4047,129
2240.62,2056.93,31.9115,650000,130,-3640.176025390625,22.058,130
2557.94,3219.51,28.4274,655000,131,-4046.2490234375,24.2084,131
1403.98,2121.47,68.5385,660000,132,-5527.5185546875,23.5618,132
1886.13,1938.13,26.3349,665000,133,-4181.77685546875,21.5705,133
2343.76,2749.34,20.8017,670000,134,-3430.140380859375,22.7029,134
1980.47,3251.02,38.2759,675000,135,-5152.92236328125,23.3774,135
1688.14,2278.57,35.9351,680000,136,-4462.81201171875,22.3624,136
2472.05,3288.46,44.058,685000,137,-4257.2734375,22.5506,137
1016.61,907.75,20.4876,690000,138,-3275.716064453125,22.5677,138
2113.68,3011.9,43.1771,695000,139,-4127.71826171875,21.7655,139
1940.38,1798.23,41.4686,700000,140,-4924.724609375,23.5975,140
2199.78,3303.47,19.8071,705000,141,-3224.860595703125,21.6149,141
2015.05,1970.72,39.6136,710000,142,-4214.18359375,22.0544,142
1594.25,1191.13,20.7851,715000,143,-2527.70703125,21.594,143
2531.11,3358.52,23.865,720000,144,-2745.456298828125,20.6216,144
2501.15,3308.96,29.6481,725000,145,-3340.01904296875,21.1466,145
2685.61,3337.19,25.8196,730000,146,-3297.53564453125,21.6615,146
1822.34,3299.63,51.6302,735000,147,-5514.74169921875,24.608,147
1782.29,2346.01,29.0218,740000,148,-4776.5849609375,22.5232,148
2440.7,3162.55,21.9307,745000,149,-3826.174560546875,21.4075,149
2343.8,2718.3,43.8614,750000,150,-5150.595703125,22.6337,150
1639.73,1813.39,27.563,755000,151,-5419.29150390625,22.2943,151
1958.45,1958.1,20.3344,760000,152,-3691.78662109375,21.9437,152
2136.95,2404.64,27.1996,765000,153,-4205.03759765625,22.2812,153
1700.13,1855.47,32.2305,770000,154,-4789.9765625,22.3357,154
2222.19,2206.35,31.7858,775000,155,-4244.2265625,21.8731,155
2217.12,1529.87,31.9084,780000,156,-4949.74658203125,22.4642,156
2317.94,3391.27,26.9025,785000,157,-4565.8466796875,22.0262,157
2877.71,1895.03,27.9473,790000,158,-4176.80224609375,21.8497,158
1987.57,2610.5,29.8554,795000,159,-5629.85302734375,22.0384,159
2436.48,3483.91,26.1748,800000,160,-5117.6943359375,21.434,160
2058.32,3194.94,21.9324,805000,161,-4751.78515625,23.0303,161
3021.47,3433.11,34.2615,810000,162,-4318.50390625,22.4773,162
1578.29,1830.98,45.9876,815000,163,-6009.58935546875,24.1457,163
1451.69,1477.58,18.9844,820000,164,-3185.715576171875,21.1021,164
2915.11,2388.69,15.8619,825000,165,-2645.50341796875,20.7355,165
1981.98,3156.21,26.9068,830000,166,-5206.283203125,22.7356,166
1010.8,936.86,49.9748,835000,167,-7583.62353515625,22.8329,167
3024.46,3055.11,17.8423,840000,168,-3101.189697265625,22.1128,168
2004.05,2142.24,26.0455,845000,169,-5659.7685546875,21.5096,169
2140.62,2901.64,26.2996,850000,170,-4796.53076171875,21.0569,170
2313.05,2546.55,28.1633,855000,171,-5973.6748046875,23.2758,171
2752.33,3448.89,25.5263,860000,172,-4701.9384765625,21.2761,172
2878.84,3400.29,19.3734,865000,173,-3600.7685546875,21.8432,173
2579.56,3248.89,21.3179,870000,174,-4846.74853515625,23.056,174
2323.52,3429.66,25.9473,875000,175,-4861.287109375,22.6808,175
2131.9,3066.41,36.0795,880000,176,-5374.0400390625,22.0979,176
2578.44,3311.0,22.3997,885000,177,-5079.5908203125,22.162,177
2267.85,2379.13,26.1939,890000,178,-5280.7978515625,23.0328,178
2729.64,3201.01,25.2734,895000,179,-5228.556640625,23.1888,179
2275.55,2996.34,24.3161,900000,180,-6862.54638671875,23.4336,180
2120.77,2915.88,19.0624,905000,181,-4416.58740234375,21.2929,181
3018.06,3448.01,22.6322,910000,182,-4122.02587890625,21.5984,182
2855.59,2880.58,22.1941,915000,183,-4283.84814453125,21.5303,183
2323.29,3321.34,21.4419,920000,184,-5646.46337890625,22.8908,184
2333.66,3410.81,26.5226,925000,185,-5558.177734375,21.2342,185
2121.57,1949.52,38.8053,930000,186,-7251.7861328125,22.0946,186
2744.68,3022.08,22.7049,935000,187,-5114.6845703125,21.2729,187
2531.6,3128.46,25.4133,940000,188,-6260.3701171875,21.9261,188
3172.32,3337.45,17.2296,945000,189,-3286.92333984375,20.2197,189
2290.44,2628.03,25.9942,950000,190,-4701.05810546875,20.9535,190
2715.98,3279.33,28.8338,955000,191,-4389.6904296875,21.226,191
2741.61,3419.37,23.9294,960000,192,-4775.53759765625,21.8376,192
2208.65,2828.65,27.5992,965000,193,-6933.4150390625,22.163,193
2279.85,2976.36,21.6339,970000,194,-5825.244140625,21.8068,194
1978.37,2604.39,22.2571,975000,195,-5411.17138671875,21.3163,195
2897.04,3256.21,27.0608,980000,196,-4718.10302734375,20.9893,196
2618.34,2944.31,37.173,985000,197,-7817.14599609375,22.7944,197
2868.79,2954.54,19.3834,990000,198,-4511.0439453125,21.6375,198
2577.64,2516.83,24.1635,995000,199,-5408.357421875,21.7556,199
