Real Det Return,Running Reverse KL,Running Update Time,Real Sto Return,Running Forward KL,Reward Loss,Itration,Running Env Steps
3419.98,10.538,94,3395.19,18.1967,-525.1199951171875,94,470000
2951.71,11.3383,95,2672.3,19.6564,-1067.406494140625,95,475000
3494.5,9.8937,96,3436.69,17.285,-426.1901550292969,96,480000
3433.88,10.1907,97,3139.16,17.2534,-507.907958984375,97,485000
3441.98,10.9283,98,3418.5,18.5195,-550.0906982421875,98,490000
3338.66,9.3693,99,2839.69,17.8294,-706.6993408203125,99,495000
3398.37,10.6265,100,3154.49,19.0681,-781.0031127929688,100,500000
1311.46,11.027,101,1752.54,21.1981,-1517.00341796875,101,505000
3440.71,10.6681,102,3131.27,18.348,-633.798095703125,102,510000
3444.73,11.2929,103,2227.76,20.4485,-1132.6715087890625,103,515000
3460.83,9.3168,104,3352.48,16.4257,-547.3029174804688,104,520000
3449.99,11.6386,105,3170.7,19.3301,-725.749755859375,105,525000
3501.94,11.7401,106,3196.76,19.3986,-417.3683776855469,106,530000
3455.13,11.8804,107,3268.87,18.3266,-865.9364013671875,107,535000
3315.4,18.267,108,1188.7,21.4385,-1851.1649169921875,108,540000
3470.83,10.3953,109,2875.89,19.0588,-871.8556518554688,109,545000
3437.74,10.5815,110,3193.3,16.9223,-566.17138671875,110,550000
3288.95,10.2785,111,2786.63,18.8791,-872.702880859375,111,555000
3474.54,10.988,112,3247.5,19.0034,-872.4484252929688,112,560000
1497.75,38.4895,113,1757.1,20.182,-2022.5941162109375,113,565000
3505.14,11.1221,114,2906.77,19.0813,-1181.9085693359375,114,570000
3483.08,10.177,115,3164.1,17.4495,-690.8109130859375,115,575000
3464.56,10.5949,116,3271.92,17.6863,-728.4842529296875,116,580000
3418.41,11.6072,117,3040.05,18.8104,-743.003173828125,117,585000
3026.01,9.8358,118,2674.22,17.929,-894.4896240234375,118,590000
3469.25,10.5324,119,3441.73,18.7591,-898.5574340820312,119,595000
3385.53,16.0086,120,3024.35,18.1851,-1072.224365234375,120,600000
