Running Forward KL,Itration,Reward Loss,Running Reverse KL,Real Det Return,Real Sto Return,Running Env Steps,Running Update Time
18.7482,103,-449.4312438964844,12.0681,3466.27,3363.62,515000,103
19.0346,104,-540.4844360351562,11.536,3444.72,3352.64,520000,104
19.5776,105,-496.1580505371094,11.9196,3477.03,3374.11,525000,105
19.0312,106,-585.7418823242188,11.6572,3458.34,3339.39,530000,106
18.8928,107,-646.8626708984375,11.2638,3439.37,3311.79,535000,107
19.7361,108,-781.0139770507812,11.3488,3474.59,3209.42,540000,108
19.1935,109,-616.78857421875,11.6172,3428.03,3194.45,545000,109
20.0785,110,-951.9071044921875,11.2998,3484.39,2712.63,550000,110
20.0965,111,-917.3860473632812,11.8462,3486.54,2795.37,555000,111
19.1531,112,-596.4755249023438,11.5307,3464.07,3333.38,560000,112
19.668,113,-668.8372802734375,12.0012,3464.66,3451.54,565000,113
19.6089,114,-775.5697021484375,11.5147,3463.31,2951.41,570000,114
19.1002,115,-599.4917602539062,11.3219,3466.46,3250.57,575000,115
18.6617,116,-540.9607543945312,11.6543,3424.12,3406.02,580000,116
18.9564,117,-722.3203125,11.1692,3473.98,3371.73,585000,117
18.9917,118,-695.2293090820312,11.0904,3470.71,3260.58,590000,118
19.6656,119,-880.076904296875,11.3258,3459.46,3046.89,595000,119
18.5578,120,-618.1221313476562,11.4178,3451.39,3249.17,600000,120
18.8061,121,-704.9356079101562,10.9276,3455.12,3248.9,605000,121
18.881,122,-818.9928588867188,11.7015,3471.68,3116.47,610000,122
19.5513,123,-788.3731689453125,11.1845,3485.01,3299.73,615000,123
18.4284,124,-629.25048828125,10.8762,3461.82,3116.51,620000,124
19.261,125,-637.6271362304688,11.9153,3450.81,3363.33,625000,125
19.8389,126,-1118.435302734375,11.0444,3461.29,3193.36,630000,126
18.6949,127,-639.8917846679688,11.1586,3459.8,3186.24,635000,127
18.0631,128,-741.0894775390625,10.7319,3446.39,3345.52,640000,128
18.9094,129,-685.10205078125,11.7582,3470.15,3383.38,645000,129
19.0135,130,-710.9733276367188,11.5902,3463.13,3309.56,650000,130
18.5066,131,-672.6445922851562,11.5437,3463.85,3212.04,655000,131
18.9875,132,-696.99267578125,11.7889,3464.21,3262.57,660000,132
18.6303,133,-763.4829711914062,11.0493,3449.68,3277.18,665000,133
18.9813,134,-742.6826782226562,10.773,3472.53,2837.96,670000,134
18.2335,135,-774.074951171875,10.7801,3437.91,3327.81,675000,135
19.5199,136,-676.4609985351562,11.9175,3469.14,3202.15,680000,136
18.4048,137,-811.4495849609375,11.0351,3467.99,3224.52,685000,137
18.7025,138,-756.4038696289062,11.5348,3468.46,3275.52,690000,138
19.2931,139,-705.7901000976562,11.9321,3449.35,3149.81,695000,139
19.2572,140,-812.439453125,12.0502,3453.07,3368.11,700000,140
19.2847,141,-859.5173950195312,10.7902,3469.74,3320.24,705000,141
19.2408,142,-860.973876953125,11.648,3456.94,3339.9,710000,142
19.0827,143,-711.7576904296875,12.3498,3443.09,3439.75,715000,143
19.1009,144,-784.698974609375,10.9342,3452.31,3161.76,720000,144
18.9712,145,-798.9432373046875,11.4725,3454.14,3199.67,725000,145
18.2202,146,-731.5266723632812,11.5006,3433.82,3350.31,730000,146
19.1497,147,-1173.3017578125,10.2582,3477.41,3217.39,735000,147
18.2342,148,-804.6741333007812,10.8265,3470.28,3461.78,740000,148
19.5372,149,-1146.8175048828125,10.79,3477.97,2918.29,745000,149
19.0261,150,-906.3585815429688,11.6621,3464.02,3388.54,750000,150
18.7012,151,-853.49560546875,11.2434,3459.26,3278.49,755000,151
19.081,152,-1156.931396484375,11.2652,3474.16,3042.98,760000,152
18.8235,153,-844.292724609375,11.7394,3459.61,3365.41,765000,153
18.3242,154,-877.3494873046875,10.3613,3458.85,3087.35,770000,154
18.8192,155,-922.832275390625,10.6969,3451.28,3207.79,775000,155
19.2051,156,-1093.684814453125,10.9609,3454.71,3290.78,780000,156
18.8109,157,-885.5225830078125,11.3862,3464.24,3210.28,785000,157
18.8098,158,-956.0442504882812,11.1505,3438.35,3317.46,790000,158
18.6109,159,-1009.2946166992188,10.9243,3477.43,3267.3,795000,159
18.0251,160,-898.4598999023438,10.9511,3454.05,3367.5,800000,160
18.388,161,-974.16650390625,11.6105,3463.99,3290.73,805000,161
18.8341,162,-992.082275390625,11.849,3484.95,3423.04,810000,162
19.02,163,-1183.0057373046875,11.736,3472.37,3383.18,815000,163
