Running Update Time,Running Forward KL,Running Reverse KL,Itration,Real Det Return,Running Env Steps,Real Sto Return,Reward Loss
192,156.7472,15.3442,192,2273.88,960000,1929.07,-39426.34375
193,156.6821,15.4659,193,2259.92,965000,1898.23,-40079.00390625
194,156.6235,15.4897,194,2285.54,970000,1922.81,-39995.109375
195,156.7497,15.1188,195,2209.66,975000,1881.41,-39876.1953125
196,156.7605,15.603,196,2215.46,980000,1900.44,-40149.21875
197,156.7937,15.5149,197,2268.31,985000,1935.95,-40586.5625
198,156.6628,15.1576,198,2220.38,990000,1887.44,-40253.69921875
199,156.8634,15.4989,199,2269.34,995000,1910.42,-40822.69921875
200,156.7435,15.383,200,2234.21,1000000,1927.19,-40717.60546875
201,156.636,15.5312,201,2230.07,1005000,1900.52,-40965.109375
202,156.5967,15.2474,202,2259.47,1010000,1929.5,-41017.51171875
203,156.7201,15.3735,203,2236.11,1015000,1909.99,-41145.26171875
204,156.6996,15.2682,204,2222.67,1020000,1899.6,-40986.50390625
205,156.5764,15.2769,205,2237.6,1025000,1904.69,-41243.37109375
206,156.7053,15.3054,206,2238.51,1030000,1906.11,-41361.4609375
207,156.6953,15.2567,207,2251.5,1035000,1908.65,-41630.609375
208,156.6462,15.3074,208,2260.27,1040000,1932.63,-41773.828125
209,156.6192,15.2866,209,2248.46,1045000,1918.13,-41886.453125
210,156.5189,15.3428,210,2269.39,1050000,1925.51,-41997.26953125
211,156.6305,15.2886,211,2245.33,1055000,1921.49,-42234.1015625
212,156.6131,15.3136,212,2256.33,1060000,1911.26,-42307.16796875
213,156.7397,15.3163,213,2263.27,1065000,1928.95,-42592.5078125
214,156.5731,15.3903,214,2244.79,1070000,1911.93,-42513.2734375
215,156.6026,15.3273,215,2264.58,1075000,1918.18,-42588.375
216,156.6127,15.1976,216,2260.91,1080000,1913.8,-42849.73828125
217,156.7953,15.3027,217,2255.93,1085000,1903.55,-43077.8203125
218,156.6539,15.3598,218,2270.89,1090000,1903.43,-43057.51953125
219,156.6813,15.0607,219,2244.33,1095000,1892.17,-43277.1796875
220,156.483,15.2728,220,2266.0,1100000,1904.86,-43510.5078125
221,156.6518,15.3037,221,2290.51,1105000,1910.21,-43647.69921875
222,156.6139,15.3849,222,2273.11,1110000,1936.39,-43795.48828125
223,156.6747,15.377,223,2270.65,1115000,1916.63,-43867.8203125
224,156.6832,15.1661,224,2255.27,1120000,1917.36,-44008.26953125
225,156.7692,15.4526,225,2283.73,1125000,1919.69,-44295.7578125
226,156.6426,15.3307,226,2276.06,1130000,1931.84,-44144.359375
227,156.5692,15.3036,227,2282.21,1135000,1919.4,-44512.8515625
228,156.7005,15.5273,228,2290.02,1140000,1929.62,-44707.16015625
229,156.5232,15.2912,229,2278.0,1145000,1938.76,-44587.19921875
230,156.4823,15.3669,230,2268.95,1150000,1929.74,-44686.28515625
231,156.5899,15.2181,231,2259.94,1155000,1917.38,-44904.4921875
232,156.618,15.07,232,2246.96,1160000,1917.64,-45154.9453125
233,156.6566,15.0151,233,2195.89,1165000,1889.57,-45050.27734375
234,156.6217,14.7953,234,2177.87,1170000,1870.29,-44913.84765625
235,156.5887,14.5882,235,1619.97,1175000,1424.89,-44447.484375
236,156.4608,15.2252,236,2203.66,1180000,1910.05,-45086.3515625
237,156.5502,15.2174,237,2281.96,1185000,1958.46,-45437.453125
238,156.5186,17.0907,238,1805.17,1190000,1884.48,-45535.96484375
239,156.6181,15.6227,239,2246.06,1195000,1793.62,-45846.6953125
240,156.5517,15.1405,240,2223.27,1200000,1803.89,-46144.953125
241,157.2874,16.3376,241,355.13,1205000,590.12,-45185.58984375
242,156.8192,18.7799,242,-231.31,1210000,1007.02,-45995.85546875
243,156.9355,15.031,243,1197.4,1215000,1399.81,-46353.484375
244,156.8186,14.8645,244,768.52,1220000,1116.42,-46761.8515625
245,157.0546,16.5032,245,1113.85,1225000,1132.2,-46999.57421875
246,156.7809,14.7844,246,396.4,1230000,979.05,-46085.7890625
247,157.5204,15.1769,247,119.94,1235000,450.2,-44102.359375
248,157.7915,16.5314,248,150.08,1240000,553.85,-47488.8359375
249,157.1333,14.7401,249,1678.73,1245000,1367.45,-46587.51171875
250,158.0173,14.8821,250,783.57,1250000,659.13,-47790.640625
251,158.6474,17.9284,251,195.9,1255000,125.99,-47369.640625
252,156.6173,14.7209,252,1994.42,1260000,1530.26,-47404.20703125
253,157.0561,16.1751,253,752.31,1265000,866.03,-48380.98828125
254,157.8503,15.772,254,356.42,1270000,511.05,-47859.55078125
255,157.0207,15.2727,255,1854.05,1275000,1578.93,-48000.87890625
256,157.9279,17.4864,256,262.71,1280000,376.24,-48473.12109375
257,157.0053,15.2159,257,1490.55,1285000,1271.02,-48443.8359375
258,158.1653,14.2827,258,184.29,1290000,159.69,-47118.859375
259,157.0114,15.1575,259,1524.74,1295000,1379.89,-49406.41015625
260,157.4351,15.2266,260,1442.99,1300000,1015.68,-47545.99609375
261,157.5676,15.5112,261,1665.03,1305000,1309.12,-47728.83984375
262,157.4798,14.6212,262,1502.25,1310000,1166.27,-48549.609375
263,157.1794,14.6249,263,1499.5,1315000,1241.76,-47882.5546875
264,157.0913,14.9822,264,1529.0,1320000,1291.22,-47850.18359375
265,157.5367,17.3276,265,302.19,1325000,242.52,-48922.5234375
266,157.0358,13.8171,266,832.63,1330000,875.31,-48476.26953125
267,157.9332,14.7094,267,-198.87,1335000,270.93,-47874.0390625
268,156.757,14.2929,268,1718.28,1340000,1333.93,-49476.97265625
269,157.2821,14.3023,269,895.41,1345000,798.19,-51081.08984375
270,160.9034,26.4008,270,-311.48,1350000,-352.62,-44545.19921875
271,158.3929,16.4779,271,-283.32,1355000,-149.0,-45892.015625
272,160.3546,23.3097,272,-308.7,1360000,-248.96,-43662.78515625
273,161.2346,31.4523,273,-390.31,1365000,-332.22,-44445.54296875
274,156.4857,15.1685,274,2039.95,1370000,1566.69,-50446.4140625
275,156.8169,15.8095,275,2022.69,1375000,1563.49,-51353.74609375
276,157.6965,16.0634,276,1016.4,1380000,966.82,-52860.875
277,156.945,15.9335,277,2062.43,1385000,1587.94,-51844.6796875
278,156.8088,15.7228,278,2127.73,1390000,1698.91,-50652.66796875
279,157.4402,14.7367,279,-148.97,1395000,717.37,-51437.3125
280,158.7957,14.2941,280,-300.3,1400000,-79.36,-50507.5625
281,157.2748,15.7706,281,265.43,1405000,1532.52,-50387.125
282,157.3694,16.3759,282,1732.79,1410000,1555.9,-51281.0703125
283,158.6813,19.0319,283,1424.27,1415000,1039.09,-52800.2578125
284,158.4902,17.594,284,-109.87,1420000,971.78,-51535.51953125
285,158.3489,17.5352,285,1444.95,1425000,1093.51,-52027.87890625
286,158.6022,14.9972,286,-234.74,1430000,-204.08,-46008.15234375
287,158.5116,16.4134,287,116.05,1435000,126.9,-48851.4921875
288,157.9829,16.4887,288,326.41,1440000,356.28,-55192.75390625
289,157.8647,15.83,289,553.83,1445000,532.38,-55287.7109375
290,158.2553,17.399,290,106.95,1450000,328.94,-55502.26171875
291,158.4298,14.3548,291,-124.09,1455000,307.75,-49827.51953125
292,158.147,17.6477,292,552.85,1460000,483.63,-58121.74609375
293,158.7003,18.1298,293,-156.97,1465000,2.13,-52313.7421875
294,157.0849,17.0322,294,864.13,1470000,832.69,-48987.765625
295,156.5953,15.6216,295,1887.22,1475000,1156.31,-51949.28125
296,157.1993,15.3429,296,579.56,1480000,885.1,-49973.765625
297,156.8869,15.572,297,1981.47,1485000,1661.96,-52196.72265625
298,158.2389,17.543,298,436.01,1490000,479.33,-56534.47265625
299,156.7459,15.9298,299,1961.73,1495000,1683.82,-52151.828125
300,158.2883,15.4288,300,15.68,1500000,198.18,-53500.328125
301,156.8189,16.0078,301,1428.06,1505000,1636.24,-52944.7265625
302,159.1639,17.8549,302,-153.48,1510000,-157.7,-50772.1953125
303,158.4847,17.2286,303,105.56,1515000,223.09,-55902.26953125
304,158.9486,20.3168,304,743.95,1520000,534.94,-57121.515625
305,158.3792,17.1148,305,251.88,1525000,295.02,-55266.671875
306,156.7022,15.8908,306,1967.05,1530000,1677.24,-52644.65625
307,159.9884,18.8883,307,-257.28,1535000,-237.85,-52529.34765625
308,158.2627,17.8093,308,177.73,1540000,469.03,-57474.4375
309,158.4501,22.4355,309,1078.37,1545000,951.84,-60838.3203125
310,158.4185,20.6742,310,812.06,1550000,764.53,-60517.953125
311,156.8544,15.825,311,2081.88,1555000,1712.78,-53512.2890625
312,158.2401,19.7485,312,1161.97,1560000,1048.07,-58309.0546875
313,160.2528,21.5296,313,-151.11,1565000,-208.76,-52107.96484375
314,158.1325,18.3362,314,975.17,1570000,728.83,-54331.94140625
315,156.6484,16.076,315,1939.06,1575000,1660.26,-53873.60546875
316,159.0137,16.5179,316,20.44,1580000,-22.56,-52882.59375
317,156.8019,16.0345,317,1995.83,1585000,1715.37,-54598.6015625
318,159.7134,19.1112,318,-212.7,1590000,-187.47,-52394.10546875
319,159.4045,19.8628,319,-254.29,1595000,-231.62,-51326.55078125
320,156.8495,14.6485,320,1220.42,1600000,1186.89,-53965.30078125
321,158.0916,17.7187,321,902.95,1605000,874.96,-60632.53125
322,158.087,19.401,322,109.31,1610000,417.55,-59812.07421875
323,156.8557,16.1117,323,1995.64,1615000,1659.12,-55794.1171875
324,159.649,16.182,324,-29.11,1620000,-42.95,-55428.93359375
325,156.7163,16.0015,325,2085.01,1625000,1729.9,-55721.6484375
326,156.9236,16.2631,326,2023.18,1630000,1648.09,-55928.3671875
327,158.0058,17.5177,327,1200.59,1635000,1071.1,-58909.328125
328,157.4195,15.9155,328,574.79,1640000,662.28,-57731.2421875
329,157.0526,15.5034,329,1527.13,1645000,1305.18,-58858.203125
330,157.2671,14.8323,330,846.74,1650000,837.22,-59724.54296875
331,158.1289,20.5251,331,762.05,1655000,633.47,-65026.890625
332,158.2712,19.8354,332,1036.13,1660000,980.09,-64783.5390625
333,158.2752,20.6149,333,1282.28,1665000,1183.55,-63641.4296875
334,157.8174,18.0377,334,528.3,1670000,512.95,-60468.87890625
335,157.0811,16.0387,335,2036.71,1675000,1693.35,-56181.65234375
336,158.6054,16.8073,336,-305.11,1680000,-117.08,-52067.67578125
337,156.5147,15.0489,337,1829.29,1685000,1393.98,-54611.0703125
338,157.5331,15.4318,338,1016.94,1690000,1238.64,-57165.3359375
339,158.2107,19.5598,339,1082.43,1695000,965.37,-61229.44921875
340,157.5988,17.6489,340,486.24,1700000,900.24,-59580.7890625
341,157.7984,19.15,341,614.36,1705000,970.09,-60069.23828125
342,156.7428,14.5145,342,256.18,1710000,1498.52,-55844.05859375
343,156.9753,15.7382,343,2125.89,1715000,1765.08,-57380.69921875
344,156.7763,15.9036,344,374.23,1720000,1500.42,-58481.05859375
345,156.9163,15.7315,345,1818.82,1725000,1600.91,-59265.109375
346,157.8893,15.3775,346,1179.07,1730000,992.29,-60468.98046875
347,157.8803,20.6131,347,1308.79,1735000,1117.24,-61617.40625
348,157.9475,18.3332,348,719.15,1740000,756.04,-60795.6171875
349,158.0931,18.6147,349,692.14,1745000,728.95,-59756.05859375
350,157.7853,16.4152,350,631.37,1750000,598.01,-57968.47265625
351,157.2943,16.0779,351,1887.58,1755000,1602.46,-58640.640625
352,160.3721,31.271,352,-520.87,1760000,-317.42,-49891.4765625
353,157.3889,14.4233,353,795.73,1765000,696.95,-60475.3359375
354,156.9726,15.0901,354,1919.31,1770000,1653.96,-57806.24609375
355,156.8422,15.1641,355,2038.49,1775000,1658.96,-57160.296875
356,156.898,14.1426,356,589.26,1780000,1234.0,-56806.46875
357,157.0519,15.5092,357,1773.1,1785000,1387.79,-61293.390625
358,158.2096,15.8117,358,-49.76,1790000,416.25,-60059.34375
359,158.1202,15.7674,359,-104.52,1795000,218.63,-52119.51953125
360,157.1868,14.1819,360,132.96,1800000,453.9,-61161.51953125
361,157.7758,23.2239,361,-49.17,1805000,118.39,-52320.05859375
362,157.699,17.5361,362,-144.7,1810000,-154.23,-52944.7421875
363,157.818,16.5378,363,1267.64,1815000,1105.74,-60353.12109375
364,156.999,14.516,364,1735.49,1820000,1533.03,-59244.1171875
365,156.8202,14.8502,365,1624.06,1825000,1361.86,-60342.92578125
366,156.9465,14.6548,366,495.47,1830000,1655.98,-59374.60546875
367,157.1758,17.0979,367,1249.61,1835000,814.15,-60727.3828125
368,156.8412,15.5075,368,2027.51,1840000,1754.12,-60235.46484375
369,157.3134,14.945,369,552.56,1845000,589.94,-56767.58984375
370,157.1701,13.227,370,259.08,1850000,1088.35,-57039.33984375
371,159.8716,18.6097,371,-176.29,1855000,-156.09,-52697.47265625
372,157.7919,13.2889,372,626.37,1860000,490.41,-55579.2890625
373,157.1306,14.2193,373,1067.75,1865000,1030.88,-61026.6640625
374,159.865,18.4794,374,-165.35,1870000,-197.61,-51562.7265625
375,156.839,15.4392,375,1565.17,1875000,1279.03,-60766.5078125
376,157.5204,17.9649,376,1180.31,1880000,1228.45,-62679.2734375
377,158.4554,14.3208,377,277.89,1885000,660.23,-47187.25390625
378,156.9455,15.3288,378,2055.93,1890000,1728.23,-61646.51171875
379,157.3615,14.2091,379,887.69,1895000,1146.45,-58157.4765625
380,157.0674,14.8023,380,1374.44,1900000,1352.54,-60555.2890625
381,157.4301,14.2381,381,1072.29,1905000,1250.0,-58445.6796875
382,157.0396,14.5167,382,1174.38,1910000,1555.98,-60733.546875
383,156.9231,15.7634,383,2083.83,1915000,1757.27,-61919.21484375
384,159.9961,19.008,384,-115.19,1920000,-142.87,-53506.80078125
385,157.6388,14.5622,385,23.15,1925000,210.31,-54068.75390625
386,157.3014,17.5509,386,1000.18,1930000,1346.68,-61773.3046875
387,156.9281,14.0317,387,1109.61,1935000,1215.29,-60549.19140625
388,157.0643,17.5885,388,778.12,1940000,546.25,-58846.50390625
389,156.729,15.1399,389,2062.97,1945000,1753.86,-63015.859375
390,157.022,14.8964,390,1831.71,1950000,1578.62,-63112.14453125
391,156.8764,15.2865,391,1952.59,1955000,1650.55,-63793.51953125
392,157.0063,15.7448,392,2166.68,1960000,1801.2,-63643.86328125
393,157.2452,15.7806,393,1474.77,1965000,1407.4,-64054.57421875
394,157.4692,16.8761,394,10.11,1970000,1344.61,-62102.265625
395,157.0226,15.8021,395,2011.6,1975000,1710.71,-62948.1796875
396,156.8998,15.0962,396,1752.73,1980000,1670.52,-62129.203125
