Itration,Real Sto Return,Running Forward KL,Real Det Return,Running Reverse KL
117,3803.32,294.7639,5340.64,109.3308
118,4535.63,302.3302,5223.91,136.593
119,5064.1,290.0179,5321.37,90.2602
120,4215.91,287.4855,5285.45,89.0211
121,4571.5,295.4238,5342.24,107.6785
122,4501.36,292.5009,5270.28,115.1409
123,3694.26,291.1871,5300.66,105.5617
124,4922.99,287.4531,3716.56,99.6082
125,4758.79,293.3251,5397.46,97.8795
126,4623.51,288.5732,5276.29,93.8898
127,4942.66,290.0802,5324.74,97.1722
128,4649.45,294.1329,5397.55,101.6243
129,3687.68,287.2816,4562.55,94.869
130,4505.71,288.8001,5402.99,105.8083
131,5044.26,289.7676,5343.34,98.9427
132,4783.11,293.1682,5350.8,112.6203
133,4747.63,293.7582,5374.42,103.9554
134,4986.07,294.8617,5355.76,105.2675
135,4983.67,285.7885,5336.39,87.0835
136,4983.7,296.4449,3923.09,114.1622
137,4802.94,294.471,5313.83,100.554
138,4677.17,294.7896,5408.89,103.9528
139,4795.38,300.9934,5399.49,113.9581
140,5056.44,294.242,4152.42,101.1798
141,4462.59,297.6415,5216.42,109.1289
142,4618.74,293.619,5397.46,91.7923
143,4873.8,286.517,5375.65,90.4546
144,4690.37,294.5089,3648.8,99.0191
145,4533.62,295.9631,4859.47,100.4949
146,4537.96,292.545,5316.18,95.3908
147,4726.99,293.8534,5300.09,111.9226
148,4627.59,288.4215,3663.5,90.7199
149,4864.1,296.8388,5015.59,111.1589
150,4993.82,287.8674,5319.58,89.3207
151,5064.1,295.417,5372.21,115.9262
152,4829.36,292.6892,5338.22,99.7283
153,5009.33,297.2236,5102.75,104.2744
154,5050.55,292.6342,5429.18,99.749
155,5072.46,295.5045,5356.76,106.5216
156,5258.63,294.489,4999.46,97.0506
157,4959.41,294.9118,5338.45,100.8184
158,5229.17,292.7714,5414.45,99.6693
159,4985.05,291.9929,4504.47,102.6429
160,4996.79,288.3476,4646.52,89.0381
161,5239.92,287.3023,5468.04,92.1028
162,5038.13,291.0261,4669.47,93.23
163,5175.68,286.9817,3935.67,95.1716
164,4650.96,293.2919,4531.03,104.6641
165,4891.38,284.7525,4708.35,89.3879
166,5246.82,284.1452,4259.17,89.1672
167,5273.67,289.0515,4721.93,93.4394
168,5072.95,292.0162,5302.33,91.7401
169,5034.45,290.6934,4017.69,95.3604
170,5172.49,296.2266,3599.96,105.2471
171,5194.05,290.0834,4689.5,89.0484
172,5197.96,290.5543,4715.32,94.9837
173,5146.55,296.8889,5357.16,96.7277
174,4992.03,292.4676,5375.86,85.9402
175,5164.74,290.0873,3965.95,86.9325
176,5017.42,284.7163,3765.81,85.9396
177,4526.39,290.1132,5235.45,97.2461
178,4956.67,293.7366,4927.23,105.2889
179,5170.54,283.8891,4948.87,78.6962
180,5242.18,287.7565,5193.61,86.2133
181,5118.65,289.1476,2547.73,88.1143
182,4796.85,292.1261,4414.97,94.406
183,5019.65,289.1146,4270.79,89.1194
184,4992.32,287.8565,2769.19,95.1693
185,5125.46,288.0999,5152.73,87.7538
186,5206.21,289.6719,2565.91,91.4623
187,5022.12,291.0201,3793.48,103.0325
188,4891.23,290.1995,3326.9,96.0421
189,5001.29,288.5353,3776.54,87.098
190,4805.41,288.4968,3258.58,91.6243
191,4652.6,285.9624,2834.89,104.9144
192,4878.6,288.1306,3733.74,97.297
193,2663.95,295.3141,3863.21,120.5683
194,4126.21,291.165,4722.94,112.5598
195,4580.73,286.144,3646.89,87.8388
196,4880.13,285.694,1825.72,88.7772
197,4715.0,284.185,3678.26,98.4445
198,4924.11,292.691,3581.31,90.7337
199,4801.86,285.2299,4042.18,87.7534
200,4934.88,285.3081,4491.32,85.2771
201,4900.16,286.4595,4143.38,92.2126
202,5019.64,289.1991,3629.2,95.1288
203,5018.92,290.0976,3671.09,94.8469
204,4885.79,282.106,3668.15,85.2094
