Real Sto Return,Reward Loss,Real Det Return,Running Reverse KL,Running Update Time,Running Forward KL,Running Env Steps,Itration
3324.07,-425.1891784667969,3326.74,14.9584,63,21.4226,315000,63
3292.98,-355.81634521484375,3340.11,14.7628,64,20.9225,320000,64
3269.44,-680.529296875,3324.86,15.5571,65,20.1962,325000,65
2212.5,-946.08837890625,3403.58,21.5519,66,23.3587,330000,66
3350.48,-571.8306274414062,3375.5,12.8613,67,19.9258,335000,67
3391.75,-475.7762145996094,3385.08,15.048,68,21.8748,340000,68
3260.26,-799.6029663085938,3343.54,20.06,69,22.5266,345000,69
3363.22,-501.3826904296875,3345.88,14.3165,70,22.1054,350000,70
2744.3,-988.7328491210938,3393.86,14.5101,71,22.1711,355000,71
2150.15,-1907.923583984375,3010.88,17.4198,72,24.4916,360000,72
3240.51,-600.2124633789062,3377.29,15.2279,73,20.5307,365000,73
3369.61,-697.1661376953125,3449.4,15.9764,74,22.8759,370000,74
3386.51,-390.03363037109375,3402.46,14.2894,75,20.8492,375000,75
2215.62,-1310.3912353515625,3455.6,16.0551,76,21.853,380000,76
2601.62,-1112.628173828125,3411.82,16.578,77,22.2859,385000,77
2617.06,-1016.6588745117188,3416.77,16.3341,78,22.4763,390000,78
3287.54,-513.088623046875,3380.71,15.5942,79,22.3569,395000,79
3312.7,-661.453369140625,3297.17,14.9364,80,21.1685,400000,80
2884.02,-898.384765625,3417.48,15.4845,81,21.6487,405000,81
3256.49,-587.6366577148438,3456.12,15.8938,82,23.6177,410000,82
3408.29,-632.8673706054688,3420.15,14.813,83,22.5503,415000,83
2909.22,-772.4598388671875,3517.87,14.7598,84,21.2931,420000,84
3283.36,-475.17950439453125,3490.77,13.5618,85,20.3102,425000,85
2882.64,-1499.2044677734375,3456.16,19.0197,86,23.9886,430000,86
3246.43,-665.4385375976562,3426.54,14.4397,87,20.9226,435000,87
3435.39,-514.0502319335938,3441.17,13.6316,88,21.3402,440000,88
3435.58,-450.081298828125,3464.3,13.6058,89,20.2368,445000,89
3388.74,-767.32373046875,3442.68,14.7181,90,22.7231,450000,90
3329.2,-630.2323608398438,3483.91,13.5697,91,21.6822,455000,91
3076.3,-1046.8321533203125,3416.97,14.6242,92,20.2486,460000,92
3406.44,-630.5349731445312,3502.97,13.4818,93,20.9812,465000,93
2424.46,-1416.1424560546875,3448.3,19.191,94,22.8438,470000,94
3096.94,-719.7088012695312,3498.73,13.6887,95,21.4327,475000,95
3409.9,-794.1380004882812,3469.54,13.8829,96,21.0412,480000,96
3432.32,-596.2258911132812,3473.82,13.2974,97,20.0932,485000,97
3030.59,-516.0543212890625,3473.53,13.2483,98,20.7639,490000,98
3430.27,-513.744140625,3444.89,12.603,99,19.0576,495000,99
2612.21,-1175.5201416015625,3504.97,15.8099,100,23.4444,500000,100
2936.63,-526.667724609375,3501.34,12.9194,101,19.9393,505000,101
3070.83,-472.78839111328125,3501.24,13.5797,102,20.2405,510000,102
3180.49,-934.955078125,3480.77,13.7594,103,21.3088,515000,103
2652.77,-1785.9549560546875,3520.58,15.707,104,22.2875,520000,104
3293.34,-388.59368896484375,3483.2,13.5385,105,19.6668,525000,105
3475.05,-342.2318115234375,3510.97,11.1144,106,17.5349,530000,106
3216.17,-774.2931518554688,3496.51,13.9591,107,21.4723,535000,107
3435.81,-516.440185546875,3504.98,13.7715,108,20.1309,540000,108
3043.61,-801.120361328125,3476.28,14.9371,109,21.7664,545000,109
3085.62,-1219.44775390625,3518.54,14.8113,110,21.7625,550000,110
2769.71,-491.94921875,3460.08,12.4568,111,18.1213,555000,111
3460.9,-741.2874755859375,3497.3,12.9382,112,18.7857,560000,112
3437.06,-701.6383666992188,3440.75,13.7041,113,21.1032,565000,113
3432.31,-668.4077758789062,3464.8,11.0952,114,17.9092,570000,114
3426.4,-707.11865234375,3453.92,13.6281,115,21.1587,575000,115
2958.9,-1384.465087890625,3490.58,13.8726,116,23.0674,580000,116
3447.26,-897.817626953125,3494.04,13.304,117,21.877,585000,117
3427.4,-697.5444946289062,3473.22,11.909,118,19.0541,590000,118
3473.65,-718.8748779296875,3517.63,13.0411,119,19.1276,595000,119
3372.4,-976.2493896484375,3501.65,12.1996,120,19.8039,600000,120
3312.34,-768.2637329101562,3499.76,13.2111,121,20.1069,605000,121
3471.86,-889.5565185546875,3515.26,14.2894,122,20.4863,610000,122
3425.8,-711.5502319335938,3471.94,12.2793,123,18.993,615000,123
3241.21,-1158.48681640625,3462.43,13.7286,124,21.6,620000,124
3454.79,-654.2731323242188,3503.61,12.5713,125,19.7958,625000,125
3443.28,-746.87646484375,3476.73,12.3029,126,19.1613,630000,126
3438.67,-768.6848754882812,3453.72,13.2821,127,20.8177,635000,127
3464.74,-811.7522583007812,3472.47,13.536,128,19.0774,640000,128
2268.7,-2191.98046875,3523.7,16.3087,129,23.1905,645000,129
3460.48,-978.71826171875,3494.01,15.1676,130,22.6937,650000,130
3427.29,-908.0465087890625,3462.21,12.8068,131,20.3253,655000,131
3471.36,-879.80126953125,3493.37,13.5794,132,20.329,660000,132
3363.72,-977.0474853515625,3436.22,13.0853,133,21.4929,665000,133
3436.35,-651.7978515625,3478.62,10.7649,134,17.7837,670000,134
3437.26,-948.0020141601562,3463.49,12.5397,135,19.5507,675000,135
3455.47,-867.9993286132812,3509.32,12.5621,136,19.8123,680000,136
3428.89,-1041.634521484375,3433.5,13.5681,137,20.5529,685000,137
3425.48,-1128.911865234375,3464.16,13.8035,138,21.3505,690000,138
3483.15,-952.8001098632812,3515.12,13.046,139,19.8521,695000,139
3470.65,-805.9669799804688,3504.69,12.057,140,18.1056,700000,140
3452.65,-1097.4488525390625,3504.18,14.1993,141,21.1409,705000,141
3439.85,-1048.071044921875,3463.51,14.1864,142,21.1426,710000,142
3429.54,-1052.868896484375,3471.3,13.6018,143,20.1176,715000,143
3498.89,-1043.1724853515625,3528.85,14.1343,144,21.058,720000,144
3323.97,-1125.041259765625,3468.64,12.4272,145,20.6689,725000,145
3184.19,-1205.47900390625,3473.41,12.6243,146,20.7547,730000,146
3464.97,-786.6962280273438,3509.31,12.6529,147,19.34,735000,147
3377.48,-1170.4324951171875,3485.72,12.8814,148,20.6701,740000,148
3462.46,-937.2214965820312,3488.48,13.1865,149,19.2871,745000,149
3478.56,-1225.9874267578125,3518.22,12.2912,150,20.0773,750000,150
2227.07,-2012.76611328125,3499.65,12.3109,151,20.8905,755000,151
3371.11,-1486.0655517578125,3515.79,15.334,152,21.8157,760000,152
2745.98,-1228.8839111328125,3475.98,13.3026,153,18.12,765000,153
2056.12,-2668.02490234375,2462.29,17.358,154,23.4791,770000,154
2088.41,-2260.19580078125,3096.78,14.9552,155,21.5403,775000,155
2000.82,-2095.597900390625,1373.83,14.0447,156,20.8677,780000,156
3290.84,-848.9429931640625,3482.26,11.1687,157,17.5766,785000,157
3180.61,-954.5277709960938,3464.54,18.9718,158,17.9942,790000,158
2951.67,-1667.76025390625,3488.21,13.3914,159,20.4755,795000,159
3444.49,-1067.90625,3504.88,12.9389,160,17.0188,800000,160
2031.19,-2799.89697265625,3533.41,27.5148,161,21.3675,805000,161
3276.45,-975.681396484375,3477.23,11.9823,162,18.077,810000,162
3336.53,-1120.4276123046875,3488.79,11.1637,163,17.811,815000,163
3283.49,-1523.444580078125,3485.3,11.7299,164,19.3562,820000,164
3410.01,-1022.4741821289062,3488.99,13.4851,165,20.7876,825000,165
3118.94,-1189.3699951171875,3504.77,12.4883,166,18.7356,830000,166
2689.78,-1816.870849609375,3500.9,12.5275,167,19.7779,835000,167
2886.24,-982.2391357421875,3507.7,11.6606,168,18.9146,840000,168
2599.29,-2519.25,3448.9,14.1507,169,21.3236,845000,169
3082.2,-1806.3382568359375,3470.66,18.5823,170,20.8515,850000,170
3367.42,-862.7258911132812,3397.48,10.9316,171,18.0123,855000,171
3095.4,-701.5540161132812,3491.23,11.1427,172,17.2197,860000,172
3360.43,-1399.37060546875,3507.33,18.6933,173,19.1942,865000,173
3266.4,-1320.737548828125,3497.76,11.9233,174,18.7732,870000,174
2804.24,-1500.9268798828125,3501.75,12.9171,175,18.8918,875000,175
3405.87,-801.2627563476562,3464.04,10.5078,176,17.0874,880000,176
2750.28,-2354.9794921875,3510.69,23.3849,177,20.9977,885000,177
3437.14,-1038.5943603515625,3474.65,12.706,178,17.4654,890000,178
2224.83,-871.3601684570312,1754.88,10.8569,179,16.3732,895000,179
3457.15,-1040.0751953125,3479.62,10.6985,180,17.4581,900000,180
3441.23,-856.755126953125,3479.21,11.2617,181,17.4187,905000,181
3297.89,-1220.68017578125,3496.25,12.6836,182,18.6347,910000,182
2811.31,-1544.5206298828125,3490.2,15.3645,183,19.5317,915000,183
3114.78,-2043.3572998046875,3525.34,29.0939,184,19.2118,920000,184
2813.97,-2123.521728515625,3506.6,15.1209,185,19.3981,925000,185
3166.27,-1508.3602294921875,3510.61,13.0567,186,19.7753,930000,186
3184.06,-727.3173828125,3460.41,10.3236,187,16.1466,935000,187
3387.36,-955.3721923828125,3518.99,11.9594,188,17.6249,940000,188
3044.76,-1437.4017333984375,3521.84,10.9967,189,18.6639,945000,189
3238.94,-1188.8592529296875,3487.22,13.1065,190,17.4557,950000,190
3211.08,-1013.2891845703125,3477.59,9.9158,191,16.9316,955000,191
3274.17,-1097.864013671875,3494.43,10.9121,192,16.7532,960000,192
2885.03,-2302.135498046875,3506.57,15.4798,193,18.6278,965000,193
2433.3,-2697.448486328125,3527.73,13.9212,194,20.4487,970000,194
3293.57,-1475.1285400390625,3499.33,13.7156,195,19.0504,975000,195
1555.55,-3333.87548828125,2976.53,30.1097,196,23.2467,980000,196
3377.01,-837.3993530273438,3507.99,10.6391,197,16.4636,985000,197
3294.88,-1330.269287109375,3514.86,11.0016,198,18.5897,990000,198
3456.67,-1188.364501953125,3487.27,10.5037,199,17.1416,995000,199
