Running Env Steps,Itration,Reward Loss,Real Sto Return,Running Forward KL,Running Reverse KL,Real Det Return,Running Update Time
200000,40,-1329.4530029296875,1415.69,46.8739,15.5864,1634.84,40
205000,41,-1360.0279541015625,1208.86,45.7877,14.2497,1296.07,41
210000,42,-1069.89013671875,1202.68,46.1438,14.9836,1269.64,42
215000,43,-1941.5853271484375,1348.53,46.754,23.1233,1457.67,43
220000,44,-1751.6929931640625,1183.78,46.3877,20.7303,1285.32,44
225000,45,-1913.6734619140625,1208.69,47.026,18.9282,1383.99,45
230000,46,-1730.955322265625,1271.07,46.8898,16.2568,1317.15,46
235000,47,-1703.365966796875,1345.76,46.2664,15.1055,1445.73,47
240000,48,-2137.51806640625,1301.4,46.4465,18.8772,1403.76,48
245000,49,-2073.67724609375,1290.48,46.7188,24.556,1238.64,49
250000,50,-1820.0032958984375,1230.27,46.7249,14.3365,1335.16,50
255000,51,-1932.10498046875,1340.35,46.1739,14.5868,1331.87,51
260000,52,-2079.52001953125,1161.17,46.3333,17.1419,1091.53,52
265000,53,-2180.57958984375,1170.45,46.5353,20.3684,1200.09,53
270000,54,-2003.8201904296875,1247.31,46.0063,16.9849,1350.46,54
275000,55,-2027.0771484375,1158.26,46.0563,17.6068,1296.11,55
280000,56,-2101.197021484375,1218.21,46.0756,15.2169,1403.33,56
285000,57,-2133.21142578125,1311.89,46.4094,14.3673,1520.72,57
290000,58,-2132.155517578125,1330.77,45.8767,14.1109,1374.2,58
295000,59,-2232.591552734375,1136.14,46.2794,16.0601,1159.24,59
300000,60,-1872.471923828125,1355.04,45.8782,13.5705,1427.71,60
305000,61,-2099.267578125,1351.54,45.6964,13.8936,1446.6,61
310000,62,-2274.04541015625,1604.84,45.9249,13.877,2496.77,62
315000,63,-2378.48779296875,1412.02,46.1013,14.4607,1244.5,63
320000,64,-2472.113037109375,1113.84,46.364,13.9736,1392.33,64
325000,65,-2487.888916015625,1223.48,45.8572,13.5856,1283.65,65
330000,66,-2479.5400390625,1296.01,46.095,13.3758,1442.23,66
335000,67,-2343.538330078125,1369.37,45.5595,13.1878,1311.74,67
340000,68,-2604.433349609375,1259.41,45.4886,13.7153,1370.4,68
345000,69,-2233.270751953125,1276.3,45.958,12.9619,1185.51,69
350000,70,-2494.23291015625,1251.98,45.9261,12.8157,1407.23,70
355000,71,-2324.597900390625,1433.33,45.6114,14.2213,1758.72,71
360000,72,-2179.865478515625,1409.91,45.9724,14.2746,1896.76,72
365000,73,-2356.2822265625,1325.95,46.2071,14.0661,1249.05,73
370000,74,-2452.0966796875,1605.42,45.6322,13.5414,1999.01,74
375000,75,-2400.30029296875,1508.38,45.527,13.3459,1395.65,75
380000,76,-2551.681884765625,1618.51,46.3102,12.8824,2019.03,76
385000,77,-2614.35888671875,1706.56,46.2891,16.7619,1884.48,77
390000,78,-2383.78564453125,1697.5,45.6,13.5598,1789.72,78
395000,79,-2792.396484375,1894.41,45.1579,14.6033,2335.17,79
400000,80,-2983.28515625,1563.13,46.099,13.916,1921.88,80
405000,81,-2839.840576171875,1432.65,45.1471,13.2191,1395.76,81
410000,82,-2731.912109375,1977.81,46.194,16.6762,2184.17,82
415000,83,-2571.27783203125,2044.01,45.6552,13.8631,2535.83,83
420000,84,-2428.537109375,1815.18,45.2921,14.4666,2507.58,84
425000,85,-2774.877685546875,2137.02,45.1823,14.1951,2676.02,85
430000,86,-2843.116943359375,1730.83,45.5176,14.5128,2146.79,86
435000,87,-2676.276611328125,2383.67,45.36,15.4427,2348.84,87
440000,88,-2967.569091796875,2041.24,45.4483,20.2319,2172.13,88
445000,89,-2748.50341796875,1555.26,45.1472,14.1893,2096.05,89
450000,90,-2759.502197265625,1813.14,45.2586,16.0509,2877.36,90
455000,91,-2763.147705078125,1926.93,45.5165,16.8558,2224.69,91
460000,92,-2783.382080078125,2661.89,45.4487,14.8506,3166.37,92
465000,93,-2985.41748046875,2321.97,45.343,14.545,2350.91,93
470000,94,-3061.645751953125,1694.69,45.7113,14.4563,2074.89,94
475000,95,-2941.05126953125,2371.82,45.3357,14.6512,2187.74,95
480000,96,-2708.25830078125,2084.63,45.1522,15.1688,2280.17,96
485000,97,-3006.4296875,1982.31,44.9929,14.5666,2294.75,97
490000,98,-3201.552734375,1814.99,45.6077,15.0507,2637.66,98
495000,99,-3032.173828125,2242.13,45.0838,16.8592,2783.88,99
500000,100,-3160.279541015625,2430.62,45.0245,13.7298,2948.48,100
505000,101,-3138.6806640625,2185.34,44.8069,14.4389,2842.83,101
510000,102,-3454.052978515625,2081.54,45.6466,14.4937,2636.27,102
515000,103,-3101.4267578125,2345.45,44.6783,16.5005,2213.21,103
520000,104,-3291.138427734375,2463.8,45.3101,15.2662,2963.99,104
525000,105,-3491.02001953125,2067.79,45.4599,14.6281,2329.68,105
530000,106,-3454.809814453125,2490.14,45.2388,15.3686,2718.09,106
535000,107,-3413.1259765625,1938.95,45.6996,15.0313,2045.47,107
540000,108,-3213.94921875,2333.72,45.1236,15.3628,2829.84,108
545000,109,-3529.13232421875,2767.88,45.1036,14.8029,2690.71,109
550000,110,-3470.635986328125,2713.13,45.0331,15.1561,3504.05,110
555000,111,-3689.910888671875,2020.26,44.9362,15.1865,2660.88,111
560000,112,-3408.581787109375,2922.85,45.6572,17.6478,3502.6,112
565000,113,-3603.98486328125,3086.83,45.3755,15.3718,3451.25,113
570000,114,-3614.311767578125,2137.82,45.7051,15.7486,2680.98,114
575000,115,-4037.802001953125,2522.12,45.564,14.7822,2772.3,115
580000,116,-3790.162841796875,2601.38,45.8275,15.4682,3508.4,116
585000,117,-3530.47216796875,2976.72,45.3833,17.1795,2954.52,117
590000,118,-3794.080810546875,3096.39,45.4661,16.7487,3514.83,118
595000,119,-3930.448974609375,2013.92,45.1579,16.7242,3170.66,119
600000,120,-3857.09228515625,2571.1,45.5582,17.3293,2980.55,120
605000,121,-3787.02587890625,3347.77,45.8762,18.0919,3651.09,121
610000,122,-4166.4873046875,2759.18,45.017,16.3933,3447.16,122
615000,123,-3865.869384765625,2462.94,45.2882,16.6385,3033.68,123
620000,124,-4101.64208984375,2897.82,45.1959,16.2128,3528.32,124
625000,125,-4323.6806640625,2676.65,44.9998,15.5303,3430.82,125
630000,126,-4408.16943359375,2558.75,45.0895,15.8705,3331.59,126
635000,127,-4267.6435546875,2452.86,44.7989,16.0456,3432.9,127
640000,128,-4521.1904296875,2764.42,44.9023,14.6826,3620.58,128
645000,129,-4572.1513671875,2109.85,44.807,14.5231,3417.72,129
650000,130,-4136.8857421875,2782.26,44.4335,15.0493,3696.45,130
655000,131,-4451.10791015625,2459.96,45.0561,15.8796,2817.31,131
660000,132,-4277.81787109375,3366.03,45.486,19.0265,3670.84,132
665000,133,-4453.2294921875,2892.92,44.5905,14.7978,3563.02,133
670000,134,-4230.45849609375,2231.15,44.4291,14.3371,3810.09,134
675000,135,-4388.232421875,3077.96,44.7316,17.5319,3702.19,135
680000,136,-4429.4443359375,2892.0,44.5303,15.2272,3713.51,136
685000,137,-4542.8505859375,2757.87,45.2175,15.7278,3220.57,137
690000,138,-4897.22607421875,2387.56,44.8952,14.0872,3761.22,138
695000,139,-4706.1328125,2781.21,45.2054,18.7064,3574.81,139
700000,140,-4957.56787109375,2721.65,45.3681,13.7052,3606.06,140
705000,141,-4351.61181640625,3523.8,45.2094,16.9843,3684.89,141
710000,142,-4580.115234375,3384.88,44.4403,16.9749,3699.94,142
715000,143,-4692.60791015625,3174.65,45.1953,17.4331,3563.89,143
720000,144,-4956.486328125,2413.65,45.346,14.1573,3170.39,144
725000,145,-4714.8486328125,3437.08,45.3301,18.8264,3696.58,145
730000,146,-4841.275390625,3109.48,45.4171,18.4947,3592.91,146
735000,147,-5084.4033203125,3230.99,44.9791,15.8144,3730.02,147
740000,148,-5657.7666015625,2440.09,45.4468,20.5533,3646.58,148
745000,149,-5128.3291015625,3033.35,45.0573,16.2183,3624.56,149
750000,150,-5240.888671875,2687.74,44.9932,16.2702,3523.36,150
755000,151,-5223.8798828125,3205.44,44.7606,15.7786,3550.53,151
760000,152,-5326.98681640625,3155.19,45.2332,16.3584,3374.41,152
765000,153,-5245.201171875,3276.92,44.9245,17.8595,3573.27,153
770000,154,-5241.09521484375,3260.42,45.5118,19.1299,3626.22,154
775000,155,-5124.759765625,3268.09,44.799,17.4031,3615.78,155
780000,156,-5211.77099609375,3310.31,45.0599,16.7487,3726.02,156
785000,157,-5487.0322265625,3289.81,45.2778,16.7603,3634.32,157
790000,158,-5471.65673828125,3448.19,45.2971,18.4658,3740.93,158
795000,159,-5511.4423828125,3501.42,45.3132,16.9642,3641.32,159
800000,160,-5417.267578125,2953.09,45.0897,17.6142,3667.56,160
805000,161,-5624.71337890625,3238.41,44.9946,17.6427,3360.41,161
810000,162,-5577.94482421875,3054.14,44.7872,15.4419,3709.0,162
815000,163,-5339.810546875,3455.04,45.051,18.6643,3697.88,163
820000,164,-5992.74951171875,2464.52,45.04,14.715,3092.81,164
825000,165,-5750.50830078125,3061.77,44.9305,15.9602,3656.38,165
830000,166,-6345.30322265625,2481.55,44.8376,15.5623,2518.24,166
835000,167,-5770.6171875,3606.65,45.1071,17.6706,3625.52,167
840000,168,-6048.6083984375,3158.66,45.2653,16.3784,3622.95,168
845000,169,-5991.99951171875,3617.99,45.2001,18.5186,3635.33,169
850000,170,-6024.77392578125,3066.58,44.9609,17.8928,3686.01,170
855000,171,-6208.54931640625,3353.89,44.8484,16.7412,3630.78,171
860000,172,-5997.56005859375,3336.75,44.8965,18.3373,3732.59,172
865000,173,-5999.41015625,3416.44,44.966,17.9458,3686.28,173
870000,174,-6563.0166015625,3363.14,45.575,18.794,3571.7,174
875000,175,-6553.4130859375,3577.61,45.3703,17.8343,3694.64,175
880000,176,-6882.61279296875,3464.61,45.2048,15.9237,3636.9,176
885000,177,-6782.46630859375,3526.2,45.1588,19.2115,3593.82,177
890000,178,-6736.91259765625,3306.37,45.5587,17.0018,3628.85,178
895000,179,-6906.36767578125,3641.1,45.2352,16.6126,3555.32,179
900000,180,-6650.0537109375,3523.22,45.3706,18.1081,3330.5,180
905000,181,-6292.3271484375,3741.6,45.2775,17.903,3720.31,181
910000,182,-6767.60693359375,3539.85,45.0416,17.4823,3641.27,182
915000,183,-6745.65576171875,3448.98,45.0684,16.8815,3517.55,183
920000,184,-6704.7275390625,3566.37,45.1115,17.6958,3635.67,184
925000,185,-6619.68603515625,2907.53,44.9004,16.2697,3024.71,185
930000,186,-7534.7763671875,3187.86,45.4104,19.8692,3329.72,186
935000,187,-7204.57080078125,3628.8,45.2054,20.7172,3520.33,187
940000,188,-7129.5537109375,3576.91,44.9406,18.0303,3448.67,188
945000,189,-7772.15966796875,3482.47,45.3625,17.2775,3286.56,189
950000,190,-6780.41943359375,3653.49,44.8734,16.3833,3660.52,190
955000,191,-7302.361328125,3415.78,45.0381,16.3146,3264.37,191
960000,192,-7438.70849609375,3719.63,44.8634,16.6111,3420.35,192
965000,193,-7295.06396484375,3378.13,44.3866,15.8571,3713.58,193
970000,194,-7245.271484375,3651.53,44.7887,18.0128,3832.32,194
975000,195,-7588.36083984375,3370.86,44.5979,15.779,3403.71,195
980000,196,-8066.93505859375,3401.48,45.0209,15.2697,3218.59,196
985000,197,-7789.59765625,3502.21,44.9073,16.489,3342.94,197
990000,198,-7550.9677734375,3802.17,44.9604,17.6083,3375.54,198
995000,199,-7493.1708984375,3726.83,44.8727,16.9733,3324.22,199
1000000,200,-7940.75537109375,3698.85,45.1027,17.2281,3768.07,200
1005000,201,-7801.869140625,3699.26,44.8223,16.6855,3658.47,201
1010000,202,-7956.3837890625,3804.0,45.0108,17.5989,3358.8,202
1015000,203,-8089.96484375,3017.16,44.7958,16.442,3608.17,203
1020000,204,-8119.27294921875,3767.75,45.0512,17.7702,3394.36,204
1025000,205,-8039.39697265625,3616.52,44.8064,17.0192,3398.58,205
1030000,206,-7993.2177734375,3707.76,45.0166,17.7076,3575.04,206
1035000,207,-8340.4111328125,3651.34,44.9195,15.116,3443.06,207
1040000,208,-8214.259765625,3687.34,44.751,16.1359,3510.39,208
1045000,209,-8321.7373046875,3663.67,45.0269,16.9817,3488.04,209
1050000,210,-8607.5830078125,3732.73,44.9486,17.5293,3351.61,210
1055000,211,-8608.171875,3791.13,44.9888,17.1648,3566.15,211
1060000,212,-8685.1552734375,3702.48,44.8823,17.1326,3455.56,212
1065000,213,-8609.6220703125,3643.75,45.0481,17.9261,3647.97,213
1070000,214,-8660.3408203125,3714.65,44.9873,17.1381,3374.73,214
1075000,215,-8858.08203125,3754.76,44.9268,17.8358,3465.68,215
1080000,216,-8599.3408203125,3688.79,44.9306,17.9218,3364.84,216
1085000,217,-8998.8837890625,3749.25,45.0567,16.2747,3616.37,217
1090000,218,-8661.9287109375,3556.41,44.9819,17.5194,3689.8,218
1095000,219,-8702.32421875,3625.71,44.8967,17.6693,2859.77,219
1100000,220,-9002.205078125,3885.37,44.6147,17.995,3690.45,220
1105000,221,-9344.3466796875,3703.89,44.8036,15.3338,3789.44,221
1110000,222,-9253.86328125,3718.36,44.8211,17.4579,3506.84,222
1115000,223,-9185.58984375,3700.65,45.0689,17.7862,3520.88,223
1120000,224,-9040.5029296875,3762.23,44.7464,18.066,3817.87,224
1125000,225,-9355.111328125,3833.78,44.865,17.3538,3748.37,225
1130000,226,-9375.7451171875,3761.69,44.6847,17.4908,3480.27,226
1135000,227,-9430.3388671875,3814.04,45.0814,17.805,3580.61,227
1140000,228,-9570.890625,3604.67,44.8549,17.0136,3653.98,228
1145000,229,-9831.412109375,3860.58,44.8738,17.4361,3507.73,229
1150000,230,-9779.8740234375,3717.06,44.8394,16.6205,3651.43,230
1155000,231,-9929.1630859375,3768.32,45.0684,17.1734,3568.83,231
1160000,232,-9533.154296875,3669.47,44.5509,17.1603,3867.69,232
1165000,233,-10079.0537109375,3652.11,44.8947,17.476,3457.67,233
1170000,234,-10256.4111328125,3538.14,44.9902,17.2546,3509.62,234
1175000,235,-10180.419921875,3736.95,44.714,16.9235,3606.19,235
1180000,236,-10546.427734375,3402.28,44.9417,16.7634,3473.2,236
1185000,237,-10674.6923828125,3327.22,44.8564,17.7972,3429.76,237
1190000,238,-10870.3046875,3416.78,44.9547,16.8124,3423.32,238
1195000,239,-10988.82421875,3521.84,44.613,14.9838,3547.6,239
1200000,240,-10474.4365234375,3732.11,44.9035,18.4956,3699.12,240
1205000,241,-10875.12890625,3580.29,44.7887,16.8072,3652.75,241
1210000,242,-10884.15625,3271.03,44.9622,16.7322,3471.0,242
1215000,243,-11511.87890625,3630.09,45.4346,16.9188,3277.95,243
1220000,244,-11201.8115234375,3573.82,45.0051,16.2879,3470.55,244
1225000,245,-11572.9970703125,3633.43,44.9612,15.8745,3296.29,245
1230000,246,-11464.9287109375,3129.73,45.0435,14.9928,3686.92,246
1235000,247,-11392.5712890625,3638.31,44.8209,17.3535,3320.86,247
1240000,248,-11425.70703125,3445.06,44.5492,14.5214,3858.46,248
1245000,249,-11480.32421875,3334.99,44.6367,17.2856,3354.18,249
1250000,250,-10891.376953125,3508.06,44.798,16.9528,3827.31,250
1255000,251,-11016.4931640625,3632.32,44.9276,17.1057,3502.95,251
1260000,252,-11627.0576171875,3509.61,44.9604,17.1005,3448.51,252
1265000,253,-11621.181640625,3803.43,44.7523,17.679,3635.95,253
1270000,254,-11595.64453125,3629.64,44.6861,17.0229,3440.8,254
1275000,255,-11356.9775390625,3786.34,44.7536,15.548,3505.18,255
1280000,256,-11611.427734375,3628.03,44.8774,16.1019,3648.6,256
1285000,257,-11698.2763671875,3890.09,44.6859,17.2339,3438.65,257
1290000,258,-11520.4169921875,3511.62,44.9212,17.1318,3464.8,258
1295000,259,-12001.8173828125,3674.94,44.5451,16.1754,3697.22,259
1300000,260,-12340.8359375,3236.71,44.6159,15.2105,3455.76,260
1305000,261,-11846.3720703125,3698.35,44.7091,18.2048,3617.55,261
1310000,262,-12284.193359375,3054.82,44.4401,16.6558,3366.14,262
1315000,263,-11831.2451171875,3012.71,44.6922,16.8521,3411.72,263
1320000,264,-12799.5869140625,3085.07,45.0467,15.7836,3393.69,264
1325000,265,-12761.8740234375,3374.12,44.6986,16.5378,3792.67,265
1330000,266,-12443.7880859375,3529.98,44.9767,18.4482,3619.94,266
1335000,267,-12778.634765625,3803.78,44.9332,18.3948,3566.34,267
1340000,268,-12829.3173828125,3705.55,44.4831,17.035,3429.11,268
1345000,269,-12716.958984375,3786.38,44.8319,18.5274,3481.9,269
1350000,270,-12697.611328125,3765.65,44.4226,17.2518,3475.7,270
1355000,271,-12822.345703125,3772.54,44.9403,18.9153,3593.61,271
1360000,272,-12934.048828125,3334.91,44.8799,18.3371,3470.21,272
1365000,273,-12445.6982421875,3808.13,44.5574,17.6628,3504.4,273
1370000,274,-12642.724609375,3869.52,44.845,19.8187,3624.53,274
1375000,275,-13362.833984375,3884.52,44.5226,17.9441,3558.16,275
1380000,276,-13457.23046875,3811.64,44.8484,17.3449,3479.34,276
1385000,277,-13159.4130859375,3371.57,44.988,16.2102,3630.23,277
1390000,278,-12910.548828125,3716.05,44.7893,17.5355,3647.76,278
1395000,279,-14321.5888671875,3733.36,44.6497,17.3752,3368.38,279
1400000,280,-13604.0732421875,3681.77,44.8414,18.3005,3434.0,280
1405000,281,-13513.4345703125,3723.66,44.9285,18.271,3830.39,281
1410000,282,-14726.068359375,3708.3,44.8195,16.6206,3628.25,282
1415000,283,-13517.2001953125,3697.55,44.5705,17.4674,3560.7,283
1420000,284,-13878.6689453125,3825.56,44.5913,19.1258,3798.96,284
1425000,285,-13915.615234375,3885.38,44.8711,18.5965,3556.16,285
1430000,286,-14126.7666015625,3865.02,44.4481,17.6626,3669.95,286
1435000,287,-14480.5498046875,3557.28,44.7145,17.5422,3679.52,287
1440000,288,-14249.2568359375,3763.6,44.6707,17.9382,3593.67,288
1445000,289,-14579.421875,3832.99,44.5475,17.3817,3552.65,289
1450000,290,-14768.6669921875,3858.89,44.6572,17.6037,3534.25,290
1455000,291,-13754.640625,3598.74,44.2653,16.2402,3820.04,291
1460000,292,-14033.3662109375,3823.86,44.5852,17.2021,3720.7,292
1465000,293,-14778.572265625,3685.08,44.4621,17.0802,3553.72,293
1470000,294,-14652.2490234375,3592.12,44.508,16.927,3762.02,294
1475000,295,-14824.66796875,3894.63,44.7746,16.3352,3784.62,295
1480000,296,-14473.4287109375,3798.69,44.5263,17.2444,3806.41,296
1485000,297,-14879.3310546875,3911.1,44.5222,17.8917,3760.26,297
1490000,298,-15375.4150390625,3939.5,44.3087,17.3831,3606.48,298
1495000,299,-15305.142578125,3843.38,44.7151,18.0774,3745.0,299
1500000,300,-14645.6279296875,3694.29,44.4218,16.7329,3732.38,300
1505000,301,-14658.0,3237.46,44.5665,17.3124,3785.72,301
1510000,302,-15036.3271484375,3142.88,44.2439,16.8798,3849.56,302
1515000,303,-15941.23046875,3740.76,44.1744,17.4633,3606.39,303
1520000,304,-16289.763671875,3716.58,44.1747,16.1866,3785.3,304
1525000,305,-15200.845703125,3444.49,44.5699,16.7125,3841.05,305
1530000,306,-15647.2470703125,3572.21,44.2213,17.5916,3558.16,306
1535000,307,-16218.8134765625,3907.02,44.467,17.5504,3957.26,307
1540000,308,-15505.4013671875,3761.65,44.5576,18.2061,3867.95,308
1545000,309,-16360.642578125,3331.66,44.2896,17.7351,3949.22,309
1550000,310,-16710.01171875,3890.71,44.2197,17.5653,3857.09,310
1555000,311,-16322.638671875,3215.44,44.3683,17.1679,3991.56,311
1560000,312,-16844.826171875,3016.41,44.4078,19.0345,3940.87,312
1565000,313,-16713.970703125,3429.84,44.3178,16.8899,3599.64,313
1570000,314,-16840.703125,3737.49,44.0376,17.3144,3608.46,314
1575000,315,-16822.90625,3428.03,44.2858,18.1369,3474.01,315
1580000,316,-16534.36328125,3565.83,44.4886,17.4563,3672.15,316
1585000,317,-16888.87109375,3840.82,44.714,19.9614,3866.06,317
1590000,318,-17263.359375,3844.04,44.1975,18.4691,3824.77,318
1595000,319,-17981.6484375,3854.56,44.5729,18.0575,3467.83,319
1600000,320,-17382.548828125,3379.71,44.2712,18.1931,3917.74,320
1605000,321,-18448.505859375,3762.72,44.4484,18.2607,3500.77,321
1610000,322,-18784.3828125,2999.1,44.5229,19.7605,3746.07,322
1615000,323,-19044.841796875,3655.83,44.6514,19.3499,3616.37,323
1620000,324,-17426.23828125,3542.66,44.615,18.3464,3611.87,324
1625000,325,-18217.787109375,3458.81,44.6331,18.1532,4007.96,325
1630000,326,-18580.087890625,3645.75,44.8243,18.0292,3731.94,326
1635000,327,-19090.744140625,2811.96,44.7923,18.8065,3936.19,327
1640000,328,-19729.67578125,2740.4,45.0457,18.6256,3827.35,328
1645000,329,-17954.9375,3398.93,44.737,20.0668,4068.31,329
1650000,330,-18958.134765625,3217.43,45.0801,20.3286,3999.54,330
1655000,331,-19407.94921875,3192.8,44.8353,20.0676,4066.29,331
1660000,332,-19821.279296875,3849.42,44.3523,17.9662,4018.32,332
1665000,333,-19800.185546875,3551.9,44.6059,18.7043,4059.26,333
1670000,334,-19774.607421875,3835.49,44.5242,18.9313,4026.86,334
1675000,335,-19591.876953125,3790.42,44.5175,18.2476,3974.19,335
1680000,336,-19075.19140625,3660.69,44.4433,19.0335,4060.61,336
1685000,337,-20547.43359375,3341.34,44.5548,17.9343,4103.04,337
1690000,338,-19599.58984375,3448.24,44.5551,18.8887,4049.84,338
1695000,339,-20110.306640625,3436.42,44.5225,17.833,4071.43,339
1700000,340,-20304.591796875,3653.74,44.4339,18.2706,4000.53,340
1705000,341,-19953.54296875,3905.11,44.3675,18.8244,4021.46,341
1710000,342,-20779.02734375,3334.93,44.2523,19.9979,4082.5,342
1715000,343,-20059.912109375,3766.27,44.5779,18.5115,4030.49,343
1720000,344,-19933.216796875,3813.13,44.3431,17.9805,4042.33,344
1725000,345,-20599.244140625,3876.54,44.5356,19.4299,4042.74,345
1730000,346,-20384.349609375,3493.86,44.8476,19.4215,4083.3,346
1735000,347,-21190.478515625,3893.98,44.5291,18.1017,4050.77,347
1740000,348,-20653.568359375,3721.63,44.4289,18.6723,4033.92,348
1745000,349,-21327.396484375,3692.3,44.6028,19.6558,4033.96,349
1750000,350,-21776.146484375,3589.83,44.3566,19.6305,4066.82,350
1755000,351,-21686.724609375,3676.68,44.8599,17.5694,4039.03,351
1760000,352,-21799.087890625,3262.61,44.3045,20.4171,4067.81,352
1765000,353,-20570.44140625,3629.27,43.8572,17.6414,3947.57,353
1770000,354,-20073.91796875,3369.45,44.6452,17.8643,4063.6,354
1775000,355,-21587.21484375,3678.69,44.3352,17.4943,4021.49,355
1780000,356,-23089.455078125,3012.61,45.0763,19.6028,4093.54,356
1785000,357,-22104.265625,3182.51,44.4254,16.9231,4067.42,357
1790000,358,-22181.498046875,3625.8,44.1306,17.6829,3932.95,358
1795000,359,-21277.404296875,3733.15,44.4419,18.1233,3973.2,359
1800000,360,-22750.248046875,3606.2,44.4409,18.4305,4096.37,360
1805000,361,-21706.484375,3408.39,44.4466,18.606,4089.39,361
1810000,362,-22037.234375,3329.45,44.2653,16.9466,3958.71,362
1815000,363,-24251.609375,3297.9,44.6616,22.149,4022.15,363
1820000,364,-24330.1328125,3114.83,44.6147,19.8733,4072.52,364
1825000,365,-24048.087890625,3530.86,44.4468,19.2687,4004.36,365
1830000,366,-21966.03515625,3300.95,44.1496,17.7435,3976.99,366
1835000,367,-24307.978515625,3402.04,44.7303,17.38,3935.54,367
1840000,368,-23756.501953125,3692.74,44.2726,17.3226,3894.82,368
1845000,369,-22934.06640625,3398.5,44.1994,17.1695,3951.16,369
1850000,370,-23742.904296875,3194.79,44.4193,17.1006,3971.11,370
1855000,371,-24654.189453125,3763.08,44.2472,18.4783,3669.64,371
1860000,372,-24183.98828125,2641.72,44.6924,17.8497,3719.19,372
1865000,373,-23684.599609375,3197.85,44.398,17.0858,3834.6,373
1870000,374,-24917.587890625,3645.61,44.6745,17.1147,3909.09,374
1875000,375,-24587.251953125,3318.65,44.6942,20.5426,3337.85,375
1880000,376,-25687.609375,3541.43,44.7832,16.8071,3823.6,376
1885000,377,-24733.1640625,3715.31,44.2557,16.4028,3861.06,377
1890000,378,-25212.48046875,3110.86,44.373,18.0227,3800.01,378
1895000,379,-25390.98046875,2996.4,44.5978,15.9656,4020.9,379
1900000,380,-24990.20703125,3582.49,44.4192,17.6239,3845.02,380
1905000,381,-24164.236328125,3347.04,44.2891,17.0816,3988.68,381
1910000,382,-26137.666015625,2395.52,44.5618,17.8767,3925.24,382
1915000,383,-25697.677734375,2483.55,44.5854,15.3606,3839.0,383
1920000,384,-25514.7265625,2833.22,44.6332,16.0769,2914.29,384
1925000,385,-27539.26171875,2923.59,44.7994,17.3239,4109.05,385
1930000,386,-24450.9921875,3113.11,44.3715,16.7471,3826.71,386
