Running Forward KL,Itration,Real Det Return,Running Reverse KL,Real Sto Return
41.1327,99,4452.9,18.0304,4402.84
40.714,100,4318.05,16.4294,4346.14
41.7194,101,4414.55,15.6168,4336.78
40.5398,102,4322.82,16.0415,4291.06
41.6702,103,4390.08,17.6632,4355.71
40.6938,104,4435.46,17.0357,4386.1
40.9227,105,4388.67,16.2168,4178.02
41.9372,106,4459.42,17.5985,4366.2
41.2798,107,4419.68,17.9759,4402.11
41.0647,108,4482.17,17.5064,4401.51
41.5819,109,4465.28,17.2802,4365.39
41.1434,110,4427.17,16.9808,4372.04
40.7657,111,4419.86,15.5345,4366.03
41.0464,112,4442.05,17.5464,4398.87
41.3452,113,4525.77,16.8322,4445.01
41.6994,114,4381.21,17.362,4359.32
41.0424,115,4482.17,15.7953,4361.59
41.4001,116,4431.66,16.2337,4369.83
41.1247,117,4503.52,17.4433,4418.92
41.2549,118,4495.17,16.6546,4432.23
40.709,119,4464.07,17.1768,4412.67
41.2031,120,4399.54,17.0359,4399.63
40.5195,121,4400.98,15.3812,4344.17
40.7804,122,4353.3,16.7239,4345.9
40.8081,123,4373.68,46.0497,4334.96
40.9647,124,4415.63,16.8253,4379.93
41.1431,125,4503.92,16.6306,4439.46
40.7228,126,4410.19,16.1398,4357.87
40.6858,127,4443.89,16.4338,4376.79
40.7452,128,4508.57,17.2065,4397.34
40.9473,129,4517.37,15.7622,4231.84
40.8371,130,4346.78,16.5427,4322.41
41.0262,131,4475.26,17.1591,4443.42
40.7046,132,4469.11,17.418,4442.26
41.0592,133,4442.51,17.9908,4334.13
41.5476,134,4527.53,18.5441,4459.48
41.1015,135,4492.92,17.7381,4429.52
41.6259,136,4503.64,18.2126,4439.03
41.6701,137,4455.6,18.3122,4304.97
40.9877,138,4448.32,17.5706,4402.69
41.4006,139,4519.13,16.8538,4459.01
40.9862,140,4423.61,17.0873,4386.75
41.9262,141,4439.9,18.6103,4411.35
41.3254,142,4454.22,17.3718,4413.64
40.8956,143,4419.14,17.2108,4412.53
40.7669,144,4355.78,16.4428,4374.2
40.4167,145,4492.94,15.6072,4440.23
40.681,146,4399.72,16.1402,4385.57
41.514,147,4452.39,17.4535,4428.82
40.1899,148,4418.34,15.3509,4388.35
40.6864,149,4472.14,16.4928,4423.65
46.6296,150,62.0,51.6395,927.18
40.5751,151,4416.76,15.8371,4383.25
40.9763,152,4440.45,17.9515,4395.32
41.2817,153,4460.89,17.3863,4391.72
40.8848,154,4439.04,17.0213,4279.79
41.3731,155,4485.6,17.3097,4403.12
40.9948,156,4479.37,17.6297,4420.31
40.8953,157,4478.6,17.3788,4317.4
40.8026,158,4463.94,17.6848,4441.06
40.7705,159,4524.08,16.4141,4473.19
41.0045,160,4478.27,16.5527,4399.85
40.5183,161,4526.83,16.6011,4477.78
40.1161,162,4510.66,15.9014,4468.03
41.1011,163,4500.21,16.7118,4464.45
40.2993,164,4516.02,15.9057,4471.93
40.639,165,4461.49,16.5307,4430.81
40.819,166,4500.45,16.8353,4456.43
40.004,167,4494.41,14.9539,4424.16
40.2022,168,4554.88,15.7221,4516.08
40.1632,169,4515.86,15.0103,4443.98
40.8106,170,4491.63,16.2456,4449.97
40.7188,171,4550.35,15.1911,4469.42
40.385,172,4592.87,15.3348,4506.14
40.5003,173,4613.06,16.4496,4530.6
39.9562,174,4545.74,15.2516,4506.86
40.1933,175,4566.99,15.5163,4506.95
40.1554,176,4512.47,15.0337,4448.84
40.7854,177,4633.15,15.742,4480.39
40.1633,178,4545.0,15.7813,4515.47
39.9415,179,4565.5,15.2943,4521.69
40.2878,180,4578.78,16.1757,4517.39
40.3361,181,4694.3,15.699,4563.86
39.8448,182,4595.34,15.701,4542.69
40.7407,183,4676.92,16.1626,4568.43
39.8936,184,4507.48,15.7345,4459.42
40.5962,185,4580.5,17.1529,4537.56
40.1035,186,4543.23,16.5585,4524.93
40.089,187,4620.27,15.5345,4557.23
39.7053,188,4630.25,15.2068,4560.88
39.7118,189,4663.55,14.5455,4415.72
40.1466,190,4545.8,16.047,4522.13
40.3605,191,4625.03,16.3884,4562.88
40.2065,192,4601.63,15.6305,4527.39
40.2815,193,4563.97,16.1151,4522.64
40.1974,194,4485.93,16.4151,4468.59
39.8554,195,4545.79,15.0655,4469.45
39.7258,196,4713.36,15.3262,4547.21
40.3608,197,4676.39,15.5563,4540.04
40.1084,198,4633.56,16.4986,4573.82
40.4814,199,4627.49,16.1539,4578.67
40.2292,200,4586.11,15.738,4498.43
39.8242,201,4622.11,16.138,4543.42
39.9566,202,4647.68,15.8298,4528.97
40.603,203,4651.89,16.4332,4460.85
40.2925,204,4545.77,16.4178,4298.38
40.6152,205,4564.4,15.9558,4367.75
40.2434,206,4585.63,15.752,4501.55
40.3902,207,4620.65,15.7878,4564.41
39.687,208,4588.52,15.6457,4487.02
39.9979,209,4616.62,15.4135,4519.71
40.291,210,4615.66,15.5067,4565.09
40.7358,211,4652.22,16.4158,4566.31
40.1462,212,4600.33,15.5923,4495.44
40.2246,213,4657.91,15.8788,4580.33
40.2109,214,4616.78,15.7787,4568.32
40.5101,215,4633.25,15.7833,4554.53
40.6223,216,4639.72,16.0823,4533.1
40.5043,217,4662.96,16.2735,4567.25
40.4158,218,4655.33,15.9089,4583.9
40.3493,219,4670.18,15.91,4396.2
40.6468,220,4617.08,15.5775,4552.29
40.4605,221,4628.96,15.8276,4564.12
40.6948,222,4668.8,15.1816,4604.7
40.2974,223,4616.34,15.6861,4540.59
40.4807,224,4605.76,15.6484,4498.37
40.1714,225,4671.09,15.1647,4568.9
40.4752,226,4653.5,15.4195,4571.11
40.6153,227,4658.9,15.317,4400.92
40.5848,228,4639.35,15.6033,4583.28
40.1609,229,4692.75,15.0184,4572.72
39.8423,230,4653.21,15.2672,4590.46
40.0924,231,4627.8,14.9354,4538.32
40.5848,232,4579.74,15.6933,4499.86
40.1553,233,4604.52,15.4099,4472.26
40.0466,234,4649.76,14.9205,4509.02
39.8867,235,4636.04,15.7692,4443.93
40.1525,236,4625.73,15.1138,4553.17
40.3799,237,4575.21,15.608,4524.63
40.1887,238,4581.59,14.99,4554.38
40.0864,239,4636.28,15.8713,4557.01
39.7957,240,4544.81,15.1575,4455.49
40.5832,241,4612.61,15.053,4529.73
39.8484,242,4640.77,15.6128,4579.45
39.8653,243,4640.07,15.4438,4511.61
39.9713,244,4581.5,15.8784,4519.24
39.7617,245,4606.47,15.4088,4569.04
39.972,246,4661.29,14.9227,4466.82
39.6713,247,4691.13,15.0427,4503.66
39.6927,248,4661.77,15.6156,4558.79
40.4604,249,4579.53,15.667,4456.66
40.0522,250,4537.14,15.1374,4154.7
40.0326,251,4595.32,15.5454,4484.62
40.4209,252,4612.44,16.0622,4514.79
39.9791,253,4547.15,15.7382,4448.68
40.1639,254,4593.41,15.6914,4483.48
39.87,255,4523.73,15.0628,4311.07
39.8588,256,4493.06,15.1723,4424.58
39.9426,257,4529.47,14.844,4467.37
40.2694,258,4559.46,15.1899,4497.71
40.2354,259,4542.4,15.1224,4417.21
40.0096,260,4443.96,13.5984,4459.66
39.8117,261,4448.27,14.6563,4415.07
40.0228,262,4523.72,14.2474,4483.64
39.8204,263,4468.97,15.0292,4407.64
39.4802,264,4461.19,13.4674,4460.99
40.0957,265,4275.16,14.8078,4299.58
39.6797,266,4447.36,14.695,4448.02
40.099,267,4465.42,13.989,4402.23
40.015,268,4535.74,14.0492,4314.91
39.9921,269,4439.25,14.9064,4301.8
40.0653,270,4537.78,15.0362,4295.96
40.1804,271,4436.38,15.274,4450.86
40.0699,272,4567.61,15.1684,4502.91
40.1256,273,4405.62,13.4239,4274.38
40.243,274,4445.72,14.835,4399.2
40.1218,275,4500.98,14.852,4420.93
40.1346,276,4432.95,14.882,4414.22
39.6218,277,4491.71,15.0386,4429.85
40.1462,278,4472.08,14.6618,4462.17
39.5216,279,4562.11,14.289,4343.21
39.9265,280,4554.39,14.6337,4493.05
39.9977,281,4508.43,14.5275,4293.94
40.237,282,4536.26,15.0346,4504.69
39.7105,283,4550.37,14.1115,4341.29
40.1386,284,4572.44,14.0508,4517.07
39.5821,285,4592.3,14.9828,4504.68
40.2217,286,4565.72,15.0767,4457.56
39.5766,287,4533.17,14.5553,4485.75
40.3972,288,4535.49,14.5444,4462.48
39.8817,289,4624.61,15.3746,4538.15
40.1576,290,4539.85,15.5726,4487.97
39.5228,291,4593.5,14.1603,4467.87
39.5877,292,4699.03,14.4297,4560.5
39.7383,293,4592.34,15.0746,4514.79
39.5527,294,4616.37,14.4969,4444.99
40.1571,295,4606.05,15.231,4525.02
39.9016,296,4652.17,14.7305,4537.92
40.2104,297,4675.54,14.7305,4514.55
39.9478,298,4668.92,15.0783,4558.29
39.8618,299,4663.02,14.9693,4519.44
39.9387,300,4687.86,14.9668,4532.58
40.1285,301,4608.63,14.947,4500.83
40.1303,302,4594.48,14.9866,4499.75
40.0391,303,4575.7,15.0534,4517.99
39.8942,304,4629.86,14.969,4540.06
39.7868,305,4637.15,14.5318,4346.73
39.6802,306,4572.12,14.3752,4485.77
40.0771,307,4593.45,15.3241,4509.41
39.6883,308,4614.58,14.8394,4512.68
39.7406,309,4563.2,15.4357,4503.29
40.2958,310,4691.08,14.8235,4578.43
39.8264,311,4592.6,15.1213,4527.96
39.8886,312,4571.39,15.2217,4574.94
39.6536,313,4697.39,14.9994,4609.16
39.5322,314,4639.12,14.8762,4589.76
39.9045,315,4648.75,15.4827,4577.34
40.1547,316,4573.01,15.4534,4546.01
38.98,317,4519.71,14.6527,4515.95
39.9358,318,4620.85,14.8547,4564.95
39.7415,319,4547.66,14.383,4551.5
39.7406,320,4686.11,14.7475,4586.38
39.7813,321,4661.75,15.2263,4586.34
39.1337,322,4646.15,14.8078,4587.51
39.5766,323,4654.82,14.7776,4576.23
39.8125,324,4645.13,14.4603,4551.57
39.1059,325,4603.48,14.8962,4560.22
39.4513,326,4653.74,15.0306,4578.65
40.0332,327,4759.91,14.1909,4040.08
39.9431,328,4701.31,15.726,4610.99
39.6822,329,4656.24,15.8734,4551.66
39.9792,330,4682.62,15.8014,4263.11
39.4936,331,4700.69,14.8883,4585.48
39.4302,332,4692.38,15.404,4567.64
39.6451,333,4668.61,15.0044,4106.89
39.6586,334,4653.82,15.2793,4560.01
39.6013,335,4573.46,15.393,4530.95
39.6076,336,4391.05,14.711,4333.73
39.4627,337,4655.62,15.7573,4503.9
39.6042,338,4583.84,14.9837,4375.58
39.5515,339,4633.75,15.019,4533.31
39.7439,340,4546.13,15.1269,4524.6
39.7613,341,4637.53,15.3456,4541.58
39.9152,342,4642.32,14.615,4400.96
39.2228,343,4688.38,15.0575,4597.05
39.351,344,4733.83,15.1669,4629.64
39.0096,345,4718.61,14.7027,4576.26
39.2526,346,4728.69,15.1042,4421.59
39.964,347,4695.74,15.4778,4628.75
39.5886,348,4714.83,15.3311,4450.52
39.6432,349,4744.8,15.599,4469.12
39.8058,350,4740.77,15.798,4651.14
39.6408,351,4677.48,15.7394,4590.37
39.4502,352,4737.95,15.5284,4605.91
40.3358,353,4758.62,16.5253,4663.6
39.9726,354,4720.91,15.5299,4627.58
39.9639,355,4727.71,15.5838,4619.67
40.3784,356,4769.38,16.0002,4633.12
40.0128,357,4715.49,15.6196,4566.86
39.8887,358,4738.38,15.8749,4636.25
39.2412,359,4790.25,15.6881,4659.29
39.703,360,4744.41,15.7763,4646.29
39.7895,361,4682.59,15.7493,4595.27
39.6812,362,4683.39,15.9718,4523.49
40.1197,363,4720.26,15.9006,4626.48
40.0132,364,4705.14,15.834,4599.31
40.17,365,4657.72,15.9676,4390.81
39.7639,366,4669.62,15.9023,4546.67
39.9316,367,4696.76,16.1553,4639.81
40.1082,368,4686.69,16.4952,4475.28
39.8539,369,4711.81,16.1038,4632.91
