Running Env Steps,Real Sto Return,Reward Loss,Running Forward KL,Running Update Time,Itration,Real Det Return,Running Reverse KL
735000,3193.13,-189.8704833984375,26.1224,147,147,3462.26,16.8517
740000,2857.81,-220.929443359375,26.3225,148,148,3468.69,12.7803
745000,2975.03,-281.30169677734375,24.9496,149,149,3461.33,12.0686
750000,2050.65,-345.265380859375,26.5689,150,150,3263.79,20.437
755000,3264.02,-202.06338500976562,26.1257,151,151,3465.78,16.0976
760000,1514.72,-457.7397155761719,28.6989,152,152,2603.54,18.666
765000,2997.01,-245.71490478515625,25.8791,153,153,3467.35,13.0589
770000,2442.06,-361.46429443359375,27.347,154,154,3366.93,21.5435
775000,3347.22,-175.65846252441406,26.0262,155,155,3494.38,13.7443
780000,1941.65,-497.1317138671875,28.4911,156,156,2964.74,30.958
785000,2591.45,-306.1138000488281,25.591,157,157,3437.72,11.8955
790000,3138.09,-247.42019653320312,25.5093,158,158,3440.39,18.3496
795000,2562.8,-407.42181396484375,26.7134,159,159,3447.5,28.3856
800000,3268.7,-167.29998779296875,23.9197,160,160,3480.84,11.762
805000,3197.04,-280.8467712402344,24.7625,161,161,3462.41,17.7436
810000,3328.4,-225.1282958984375,25.8989,162,162,3484.37,14.6423
815000,2820.66,-274.92999267578125,26.9227,163,163,3504.52,13.847
820000,2984.93,-306.5183410644531,25.6297,164,164,3470.09,19.2405
825000,3212.21,-204.4138946533203,24.8415,165,165,3438.84,12.5782
830000,2905.09,-237.24781799316406,26.5332,166,166,3418.82,13.6398
835000,2966.31,-436.6002502441406,27.6857,167,167,3479.07,16.1438
840000,2450.46,-485.89459228515625,27.4379,168,168,3500.92,15.9939
845000,3171.8,-278.9370422363281,26.5838,169,169,3480.57,13.309
850000,2673.78,-319.681884765625,26.9759,170,170,3443.96,13.3212
855000,3067.56,-223.7794952392578,25.8449,171,171,3475.56,12.7953
860000,2975.72,-281.99267578125,26.2581,172,172,3507.03,16.3184
865000,3391.34,-205.9462127685547,25.3495,173,173,3420.99,13.4641
870000,2690.24,-271.83477783203125,25.6309,174,174,3495.92,16.4031
875000,3104.1,-438.162841796875,25.8401,175,175,3503.2,17.6748
880000,2804.58,-468.54901123046875,26.4229,176,176,3409.74,22.8353
885000,3302.42,-218.96243286132812,25.2564,177,177,3494.24,13.828
890000,3081.86,-339.24395751953125,25.9805,178,178,3482.9,17.5529
895000,2658.4,-400.67987060546875,26.7522,179,179,3534.36,20.5889
900000,1847.92,-585.801025390625,27.5071,180,180,3063.18,25.1694
905000,2557.67,-477.37200927734375,26.8647,181,181,3465.14,16.4564
910000,2309.57,-447.3360900878906,26.3027,182,182,3426.99,30.1108
915000,2445.11,-583.353759765625,27.1717,183,183,3469.94,28.4466
920000,2532.03,-306.7516174316406,26.4902,184,184,3485.62,15.728
925000,2366.25,-377.8539123535156,25.6577,185,185,3484.05,13.9553
930000,3298.08,-117.9412612915039,25.885,186,186,3513.48,14.0422
935000,2306.38,-481.2704772949219,26.2958,187,187,3470.62,20.7595
940000,3333.64,-235.89205932617188,26.229,188,188,3467.05,14.5607
945000,2714.04,-335.1175842285156,25.7384,189,189,3471.53,13.9184
950000,2710.82,-246.370849609375,24.734,190,190,3467.6,13.897
955000,3081.21,-380.6634521484375,26.3292,191,191,3424.54,19.309
960000,2534.68,-328.1570129394531,27.3434,192,192,3435.65,15.1712
965000,3001.07,-341.1087951660156,26.0302,193,193,3428.19,14.7479
970000,3231.09,-296.5637512207031,24.9226,194,194,3442.49,13.3627
975000,3309.45,-261.86688232421875,23.9309,195,195,3462.73,13.3246
980000,2551.21,-334.9908142089844,25.8071,196,196,3436.93,16.5424
985000,2746.5,-301.4330139160156,24.4551,197,197,3472.0,12.5288
990000,2920.19,-318.08282470703125,26.0613,198,198,3441.73,15.6583
995000,2637.47,-306.5607604980469,24.5196,199,199,3481.76,13.7844
