Real Det Return,Real Sto Return,Running Reverse KL,Running Forward KL,Itration
5015.38,4711.9,89.2034,87.4272,112
4630.16,4381.29,83.7125,85.0708,113
4407.46,3943.45,69.776,76.5229,114
4808.3,3808.15,72.5156,78.2103,115
4605.33,4467.23,78.3896,76.0704,116
4844.2,3891.82,79.1077,77.5009,117
4953.62,4628.78,88.2184,86.7053,118
5210.39,4387.25,79.5651,79.3778,119
2877.37,2890.18,71.9624,76.1355,120
4226.0,3905.25,85.4599,86.0053,121
4016.17,3845.49,79.0033,78.4042,122
4913.74,4155.11,81.8985,82.5716,123
4581.2,3861.2,84.4419,88.6459,124
4394.22,4446.79,72.2387,74.6611,125
5017.43,4488.42,71.7771,76.7182,126
5185.53,4113.0,85.4358,86.6125,127
4913.59,4273.97,76.6769,78.1128,128
4482.71,4034.2,89.9893,86.607,129
5153.4,4812.56,89.8468,87.5117,130
4620.85,4463.41,89.3509,86.8797,131
5140.54,4546.91,83.1396,84.0761,132
4585.75,4355.68,81.9332,84.189,133
4643.9,4221.44,72.2873,74.3999,134
5002.56,4705.95,85.7146,80.4778,135
3289.78,3527.28,70.8953,74.4033,136
4081.64,4049.64,75.7228,76.1243,137
4388.54,4513.49,81.1302,79.9855,138
5035.27,3957.25,84.0845,81.197,139
4414.53,4590.67,83.8541,84.0888,140
4414.82,4520.23,86.0431,85.0542,141
4996.71,4110.44,84.2079,85.6221,142
4581.64,4634.97,80.5416,78.0923,143
4470.65,4568.12,71.0915,74.4113,144
4245.86,4375.54,77.5249,77.8801,145
4774.77,4853.98,81.7623,84.8083,146
5205.54,4618.63,88.7509,87.5422,147
5240.04,4673.26,82.7913,82.9543,148
5234.72,5075.32,82.7943,82.4139,149
4715.74,4771.43,90.8668,87.1459,150
5115.37,4863.81,93.4345,89.531,151
4460.25,3497.87,89.8635,90.0079,152
5223.67,4569.42,83.4379,83.763,153
5131.57,4098.09,86.9099,86.4743,154
5204.6,4697.7,81.9906,85.1665,155
5209.31,4407.03,89.7675,86.998,156
4390.9,5064.3,79.6371,84.6944,157
4908.81,4356.87,86.2555,82.9763,158
5159.68,4533.83,78.2829,79.5842,159
4847.08,5079.74,90.0586,86.1379,160
5188.46,5111.95,88.2575,83.2152,161
4746.94,4575.4,92.2611,86.9037,162
4405.87,4010.07,86.9009,86.791,163
4494.62,4745.87,84.4993,83.7776,164
5131.91,4845.12,90.3384,86.2424,165
4583.33,4751.87,89.0905,87.028,166
4336.68,4716.92,89.8564,89.2174,167
4265.15,4648.17,89.3461,87.7108,168
4961.49,4321.18,91.4997,87.2281,169
4928.72,4516.54,89.265,88.4592,170
4759.4,4197.89,79.631,80.1164,171
4357.81,4215.69,88.5035,87.3741,172
5102.81,4581.08,80.3699,84.315,173
5050.45,4544.45,85.3454,84.6317,174
5285.14,4456.86,81.7805,85.2737,175
4995.01,4615.69,89.7101,85.4489,176
4992.97,4468.12,92.9848,90.0816,177
5140.49,4620.19,77.5799,77.0749,178
4762.34,4617.02,87.7722,86.8928,179
4759.33,4776.28,88.2338,88.2759,180
5296.4,4718.69,85.9555,86.2154,181
4723.87,4624.68,92.7601,86.7324,182
5133.13,5127.95,89.4798,87.5502,183
4193.87,4355.5,85.7152,86.7944,184
5417.25,4252.01,87.2942,88.4251,185
5244.64,5056.39,85.9849,84.1872,186
5370.24,4883.8,84.2003,84.606,187
5320.68,4420.4,85.2725,87.0843,188
5289.79,4914.72,90.2343,87.3325,189
5316.67,5149.31,85.1885,80.6621,190
5153.4,4983.07,91.0232,87.4653,191
5297.25,4909.76,90.9486,88.0685,192
5149.07,4640.18,82.6564,86.9143,193
5361.45,5125.56,84.8879,80.5512,194
5377.48,5170.25,90.892,86.787,195
5330.9,4008.01,92.284,91.8696,196
5132.0,4938.86,90.2645,86.9569,197
5247.41,4555.53,85.3507,83.6235,198
5063.89,4800.95,91.6794,88.2309,199
5339.51,4924.39,92.3137,87.2601,200
5229.19,4867.21,91.1495,85.5965,201
5003.09,4853.34,80.302,75.2725,202
5125.68,4454.74,89.1074,82.7082,203
5153.36,4953.19,89.1898,86.0973,204
5009.17,5133.32,87.7533,79.2858,205
5011.22,4672.88,92.4894,87.3083,206
5179.27,4697.66,85.984,85.4715,207
4858.73,4721.97,89.6712,86.0917,208
4383.32,4452.08,93.6484,87.9971,209
5308.93,4983.0,91.2756,87.9414,210
5156.81,4614.23,81.9383,77.2739,211
4891.2,4814.86,82.3498,78.5229,212
5081.3,4237.08,82.7536,76.6438,213
4988.35,4948.92,90.4019,89.4534,214
5285.43,4629.22,86.4466,85.0456,215
4996.56,4672.61,86.9866,86.6249,216
4855.93,4239.37,81.4796,77.6757,217
5402.71,5043.43,83.4853,77.0613,218
5395.82,5221.95,90.9399,89.2149,219
5216.01,5193.12,92.216,87.382,220
5123.07,5157.36,94.7828,87.515,221
5183.15,5104.53,89.9802,86.7798,222
5323.5,5122.04,90.7073,84.562,223
5466.73,5204.37,90.7385,86.3153,224
5099.13,4782.23,89.515,87.6743,225
4852.06,4867.36,91.2654,86.7049,226
5133.75,5269.27,91.7015,87.9084,227
4819.02,4704.83,87.6596,87.1086,228
4863.95,4164.68,90.2071,88.9622,229
5165.51,5011.4,88.0202,85.1533,230
5447.66,5217.39,85.1894,81.3957,231
5493.0,4938.33,88.8932,85.8128,232
5350.11,4823.43,93.2762,87.98,233
5432.07,5101.8,94.0162,86.8426,234
5346.72,5120.28,94.4394,87.3911,235
5434.84,5242.88,87.9806,84.8512,236
5419.37,5043.19,92.849,88.161,237
5500.06,5220.23,88.428,86.9913,238
5526.99,4951.43,90.1476,86.8444,239
5477.6,4800.07,92.8391,89.658,240
5470.02,4921.65,88.2691,85.9402,241
5345.79,4558.81,90.6696,89.0255,242
5297.05,5212.26,94.0784,89.4979,243
5390.81,4487.13,91.7338,88.4514,244
5279.24,5072.23,86.3752,80.2845,245
5395.96,5195.53,92.8435,89.9022,246
5469.54,5233.47,89.059,88.4992,247
5412.25,5044.24,90.6094,89.7032,248
5301.51,5155.52,88.6022,89.0766,249
5551.91,5251.46,87.6082,87.2726,250
5427.35,5118.48,88.9969,85.3524,251
5427.09,5158.36,91.4774,87.474,252
5023.22,4882.27,93.3807,88.1306,253
5483.61,5014.5,92.4708,87.3504,254
5463.58,5051.9,90.3885,87.8955,255
5432.57,5174.35,89.6907,86.5533,256
5552.31,5275.54,88.8773,85.7123,257
5397.55,4823.55,85.9708,81.1661,258
5537.59,4817.69,89.8741,84.6686,259
5584.21,5177.89,78.6141,77.0749,260
5524.94,4949.3,87.4506,85.5827,261
5513.85,4960.68,88.595,86.3676,262
5469.43,5162.3,79.9853,75.8662,263
5268.9,4891.46,87.2827,85.8992,264
5324.37,4946.84,86.0384,83.5098,265
5486.01,5095.15,81.5237,77.277,266
5313.52,5308.99,86.0577,85.4197,267
5609.15,5286.22,83.3097,81.6931,268
5014.16,5123.34,86.2561,84.6252,269
5530.51,4696.29,81.0923,83.316,270
5521.36,4709.43,88.1738,85.6156,271
5197.73,5266.92,86.3627,84.3611,272
5590.84,5255.69,87.0446,85.8345,273
5592.54,5284.15,85.5916,86.8292,274
5513.08,4830.18,88.5677,86.7791,275
5535.67,5026.03,87.316,83.9388,276
5345.2,5225.83,90.2303,86.8338,277
5450.88,5038.85,91.2135,88.5913,278
5569.31,5221.26,87.3091,87.2784,279
5198.57,5148.03,88.8657,87.3637,280
5070.19,5012.11,87.1835,85.929,281
5579.05,5106.57,86.0444,84.8491,282
5621.53,4755.6,87.2271,86.4587,283
5476.81,4868.21,83.6869,83.1556,284
5438.24,5284.28,80.8704,75.9339,285
5376.16,4780.44,88.933,87.5303,286
5318.43,5140.95,89.2483,86.6692,287
5541.86,5222.12,86.0874,83.6589,288
5515.46,5022.74,91.0599,88.6798,289
5469.89,5008.16,93.0036,89.3301,290
5562.69,5284.89,91.801,86.6607,291
5528.81,5144.53,91.2657,86.5703,292
5581.9,5271.21,90.4754,85.2486,293
5373.29,4859.03,90.8044,85.002,294
5381.71,4933.52,86.3017,84.8232,295
5018.48,4761.92,93.5651,89.7741,296
5491.92,5318.43,93.4693,87.4641,297
5380.14,5367.98,84.1537,82.434,298
5517.42,3914.27,87.3105,85.3824,299
5301.77,4984.57,88.8974,84.8011,300
5525.26,5174.24,91.2444,86.1922,301
5361.72,5278.09,87.6136,86.1229,302
5490.82,5268.57,89.8684,86.2208,303
5446.3,5083.35,87.9773,86.1156,304
5454.69,5235.16,81.2739,77.3787,305
5484.06,5134.51,86.556,84.6966,306
5508.43,4928.6,88.7953,85.9897,307
5502.74,4934.87,84.3524,83.8419,308
5536.79,5172.25,85.8138,86.7373,309
5543.53,5229.87,85.2836,84.7178,310
5567.79,5060.63,87.7591,86.1613,311
5605.11,5327.04,84.9469,81.5976,312
5472.88,4739.84,87.9398,87.6927,313
5286.81,5328.34,87.065,84.612,314
5532.34,5201.89,86.592,87.2806,315
5226.49,4570.55,77.88,77.7864,316
5614.59,4504.83,86.4133,85.6044,317
5298.58,5138.75,87.9195,87.2865,318
5233.19,4981.64,83.8118,84.5606,319
5568.16,4873.53,85.8374,87.7468,320
5624.39,5171.03,89.366,87.8751,321
5542.51,5345.16,85.0583,80.6789,322
5300.79,4974.57,86.4601,84.767,323
5227.46,5122.53,89.0963,87.373,324
5645.94,5271.23,84.2136,84.0158,325
4900.74,4803.86,85.5559,85.7316,326
5533.51,5087.7,87.5335,86.8047,327
5588.8,4904.02,82.7628,84.5702,328
5348.07,4874.8,81.1946,83.0107,329
5554.16,4793.85,82.8841,82.815,330
5400.4,5301.32,83.9351,84.7523,331
5549.33,4688.26,84.0355,85.2259,332
5601.53,5080.71,83.8592,83.34,333
5523.09,4964.83,84.7525,84.9181,334
5608.78,4699.69,84.3447,84.3456,335
5394.14,5024.7,83.8189,83.6314,336
5708.51,4741.52,80.3952,82.9552,337
5590.62,5151.17,80.3848,77.1453,338
5454.82,4962.19,79.9511,84.1316,339
5390.34,4906.23,79.5403,82.888,340
5405.59,5140.66,83.9955,86.502,341
5259.6,5049.47,79.339,83.5842,342
5419.42,5171.39,83.1389,86.1683,343
5627.17,4770.1,85.5548,87.3419,344
5300.08,5248.65,83.8685,85.9374,345
5597.76,5209.77,81.559,83.6187,346
4994.0,4929.93,80.1218,81.3329,347
5291.96,5239.32,81.7047,85.6428,348
5610.76,5316.96,82.7328,84.2254,349
5404.49,5148.57,86.9862,85.5744,350
5599.43,5044.86,80.5569,81.3558,351
5716.06,5097.06,81.7151,83.0765,352
5283.3,4634.32,74.7489,76.8399,353
5556.09,5321.41,83.1203,84.8793,354
5527.06,4552.17,82.3652,83.9847,355
5387.59,5274.59,85.8745,85.0857,356
2083.21,1752.83,131.2194,69.1637,357
