Running Env Steps,Real Sto Return,Real Det Return,Running Update Time,Running Reverse KL,Itration,Reward Loss,Running Forward KL
320000,1580.62,1138.73,64,199.428,64,-10596.4404296875,338.2254
325000,1554.08,1800.9,65,180.2542,65,-9275.974609375,343.5942
330000,2061.37,1288.54,66,192.1908,66,-9886.4609375,346.0995
335000,1235.17,1090.39,67,222.3415,67,-11258.9306640625,362.1846
340000,1984.26,1561.75,68,186.7944,68,-9115.0986328125,347.7182
345000,2592.01,3029.31,69,171.0718,69,-8862.5966796875,340.1867
350000,2263.15,2465.97,70,171.5974,70,-8540.3779296875,341.63
355000,2233.37,2453.71,71,194.6294,71,-10528.1826171875,346.5865
360000,3774.04,3809.65,72,178.899,72,-9385.9599609375,345.262
365000,1873.99,3151.21,73,215.1535,73,-11038.9541015625,360.4624
370000,2098.52,3516.71,74,159.9665,74,-8054.6953125,342.5957
375000,3076.05,3325.89,75,153.5089,75,-8233.2890625,348.6569
380000,4121.36,3258.56,76,138.2212,76,-6497.388671875,333.1276
385000,4436.97,3557.62,77,132.4221,77,-5928.36279296875,330.1363
390000,3076.1,3026.77,78,146.4606,78,-7195.58349609375,336.825
395000,3543.83,2333.54,79,128.8738,79,-6049.78076171875,320.6059
400000,3726.66,2738.16,80,135.6357,80,-5941.75048828125,329.6192
405000,3373.97,2218.41,81,140.4805,81,-7049.951171875,332.3917
410000,3232.45,3684.57,82,135.271,82,-6490.31787109375,329.3245
415000,3552.74,4015.7,83,138.28,83,-7160.72265625,323.7279
420000,3212.42,2380.2,84,146.5204,84,-8295.5556640625,324.1752
425000,3089.31,2752.94,85,142.0241,85,-8188.28466796875,332.7627
430000,3892.26,4492.88,86,143.7444,86,-7716.00927734375,337.8523
435000,3425.53,1419.28,87,173.2977,87,-9558.2890625,344.8356
440000,3991.57,3271.13,88,127.0702,88,-6342.36328125,328.5277
445000,3918.33,1579.66,89,142.3216,89,-6850.7861328125,332.2912
450000,4186.99,3832.84,90,138.0755,90,-6968.9443359375,333.2274
455000,3768.01,2482.8,91,178.4398,91,-10002.71484375,342.6472
460000,4576.26,4669.68,92,133.1993,92,-6353.8955078125,331.9625
465000,4084.05,1674.71,93,152.3465,93,-7494.0634765625,340.3982
470000,4356.04,3797.64,94,143.4468,94,-8136.466796875,343.7228
475000,4538.01,4488.31,95,133.4286,95,-6740.65625,333.7317
480000,4656.61,2216.06,96,134.1787,96,-6808.025390625,330.627
485000,3991.69,1116.85,97,136.3397,97,-8468.70703125,334.0922
490000,3749.51,4505.83,98,143.387,98,-9019.9111328125,334.5651
495000,4419.05,4280.62,99,140.7386,99,-8941.1943359375,336.6627
500000,4746.45,3931.38,100,135.8097,100,-8332.9453125,333.9822
505000,4387.19,2053.61,101,138.7291,101,-8304.8251953125,337.5423
510000,4587.0,4757.0,102,137.8307,102,-8473.876953125,335.7536
515000,4906.32,2701.6,103,134.2219,103,-8707.15234375,334.0612
520000,4547.61,4243.45,104,150.6309,104,-10229.8017578125,335.0287
525000,4439.92,2395.93,105,144.3934,105,-9858.81640625,334.455
530000,4565.72,4415.08,106,142.8156,106,-9362.8603515625,337.1041
535000,4344.41,2798.13,107,138.6573,107,-9369.3955078125,338.3718
540000,4280.06,4726.14,108,135.4851,108,-9782.9765625,335.8664
545000,4639.04,4749.71,109,140.8055,109,-9652.677734375,339.1454
550000,4803.49,4818.52,110,130.9914,110,-9481.41015625,332.9405
555000,4769.16,4125.78,111,125.9916,111,-9840.2900390625,332.1886
560000,4953.05,4474.57,112,127.3996,112,-9818.9619140625,338.1004
565000,4902.84,4700.5,113,125.6917,113,-10226.3955078125,328.4319
570000,4281.75,4849.44,114,136.44,114,-10285.3310546875,336.6476
575000,4801.64,4580.61,115,145.5968,115,-11150.9873046875,336.1833
580000,4867.35,4742.83,116,123.2507,116,-10320.3466796875,331.985
585000,4479.15,2607.28,117,130.9356,117,-10625.16015625,331.9286
590000,4976.5,4687.17,118,124.5633,118,-10982.6904296875,335.9795
595000,4819.96,4323.56,119,126.5298,119,-11124.173828125,335.3893
600000,4791.72,4658.36,120,122.4987,120,-10820.33203125,332.2083
605000,4825.14,5037.72,121,132.0182,121,-11615.4501953125,337.5473
610000,4783.27,4860.11,122,120.2652,122,-11193.125,336.0206
615000,4947.42,5044.41,123,122.9651,123,-11532.638671875,338.7567
620000,4942.76,4879.3,124,120.8336,124,-11342.3994140625,338.3521
625000,4405.77,5037.86,125,121.2077,125,-11604.49609375,340.4665
630000,4712.35,4860.27,126,121.9122,126,-11701.6162109375,337.4354
635000,4944.28,5034.22,127,122.0809,127,-12001.1162109375,338.3821
640000,4544.65,5103.96,128,117.2003,128,-11694.583984375,333.2501
645000,4872.57,5067.06,129,128.5674,129,-12440.3251953125,334.4479
650000,4960.5,4983.62,130,117.4915,130,-12003.16796875,333.849
655000,4957.91,4845.69,131,129.9729,131,-12535.078125,335.6129
660000,4935.03,5010.6,132,124.1193,132,-12414.2529296875,340.2643
665000,4727.13,5065.08,133,119.5748,133,-12259.20703125,335.0228
670000,4783.37,3826.17,134,126.3701,134,-12588.00390625,334.6633
675000,4707.25,4833.21,135,128.042,135,-13070.9501953125,341.2765
680000,3307.52,5055.3,136,146.5008,136,-13542.078125,345.9085
685000,4740.8,2986.31,137,117.309,137,-13104.0341796875,334.498
690000,4267.43,4397.57,138,139.0366,138,-13749.7802734375,338.7175
695000,4558.19,4782.35,139,114.249,139,-13142.3916015625,336.5974
700000,4878.23,5097.8,140,113.5399,140,-13263.45703125,338.9878
705000,4591.08,5055.73,141,116.9431,141,-13285.8544921875,336.7549
710000,4380.36,4269.15,142,145.792,142,-13976.654296875,339.1802
715000,4637.75,4757.99,143,121.4885,143,-13733.5537109375,339.1162
720000,4904.72,5065.74,144,116.8873,144,-13718.6083984375,335.898
725000,4836.3,4220.59,145,112.5441,145,-13660.998046875,336.7188
730000,4643.65,4174.2,146,118.7818,146,-13833.9189453125,340.5442
735000,4689.73,5082.2,147,116.2345,147,-13998.3212890625,337.3394
740000,4829.23,4988.16,148,110.9647,148,-13909.849609375,334.4542
745000,4854.33,4618.7,149,118.0819,149,-14037.6455078125,335.3593
750000,4879.56,5077.03,150,121.5345,150,-14477.4306640625,337.551
755000,4681.67,4144.91,151,122.8996,151,-14242.51171875,338.8691
760000,4875.31,4130.91,152,119.9686,152,-14517.6376953125,333.2495
765000,4910.41,5111.73,153,117.8424,153,-14449.55078125,339.2453
770000,4898.91,3681.35,154,118.5003,154,-14270.6982421875,339.197
775000,4833.46,4832.34,155,122.3636,155,-14507.73828125,340.1238
780000,4925.21,5059.44,156,122.1575,156,-14733.5966796875,339.8765
785000,4282.39,5040.66,157,131.2773,157,-15159.265625,342.6278
790000,4544.51,3108.1,158,118.9187,158,-14726.3798828125,340.5062
795000,4855.51,4142.93,159,128.2618,159,-15161.5126953125,342.9093
800000,4858.59,5056.3,160,116.8448,160,-14708.4423828125,331.6512
805000,4871.37,5036.65,161,123.1671,161,-15212.884765625,342.5456
810000,4711.32,4629.04,162,122.5943,162,-15126.66796875,344.7307
815000,4854.0,4954.73,163,120.8585,163,-15580.4423828125,342.6745
820000,4861.04,5079.56,164,119.0979,164,-15072.8330078125,338.1003
825000,4797.39,5057.91,165,118.8748,165,-15319.087890625,339.4058
830000,4746.25,3225.11,166,123.2664,166,-15387.9677734375,343.2483
835000,4858.12,4916.05,167,121.5988,167,-15533.681640625,344.7308
840000,4682.23,4941.49,168,126.3999,168,-15618.6484375,343.1635
845000,4888.9,5056.91,169,117.9483,169,-15535.5869140625,338.1653
850000,4731.44,4972.36,170,122.1068,170,-15849.1689453125,342.7945
855000,4820.48,5049.99,171,120.8647,171,-15817.7626953125,341.2162
860000,4581.57,4650.95,172,126.4485,172,-16070.646484375,346.6545
865000,4887.38,4972.36,173,117.748,173,-15998.0146484375,339.3579
870000,4707.59,4447.13,174,125.0947,174,-15926.583984375,340.7404
875000,4838.5,5085.88,175,115.1535,175,-15971.8671875,340.6109
880000,4844.15,4790.36,176,120.9606,176,-16002.427734375,337.0293
885000,4896.34,4974.26,177,115.7889,177,-16103.18359375,337.6569
890000,4829.64,4959.98,178,120.5492,178,-16281.2763671875,339.8504
895000,4857.04,5049.3,179,122.924,179,-16441.96484375,342.4261
900000,4680.89,4918.31,180,122.2758,180,-16242.611328125,344.0492
905000,4622.46,4658.11,181,120.529,181,-16380.6630859375,340.9735
910000,4871.25,5031.32,182,124.6364,182,-16425.125,341.3354
915000,4684.14,5032.41,183,122.3842,183,-16591.93359375,342.4942
920000,4378.25,4980.22,184,126.1938,184,-16673.140625,346.2422
925000,4185.63,4798.68,185,125.6125,185,-16530.646484375,347.1188
930000,4804.42,4818.91,186,121.932,186,-16601.708984375,340.5118
935000,4846.39,4862.68,187,123.8845,187,-16753.39453125,343.1568
940000,4870.14,3758.33,188,122.9435,188,-16831.255859375,338.6119
945000,4687.2,4988.19,189,129.4503,189,-17186.41015625,347.7562
950000,4515.9,5031.46,190,138.5748,190,-17108.982421875,345.8019
955000,4389.51,5029.31,191,134.9215,191,-17237.47265625,347.9056
960000,4882.59,4629.85,192,120.9962,192,-16828.193359375,341.0922
965000,4805.34,4850.5,193,126.7556,193,-16925.599609375,338.9699
970000,4734.3,4986.97,194,123.3723,194,-17197.021484375,339.8654
975000,4752.91,4808.62,195,126.4847,195,-17101.41796875,346.231
980000,4514.93,2870.12,196,122.324,196,-17203.208984375,342.1372
985000,4507.45,3710.53,197,126.0072,197,-17309.33984375,341.7594
990000,4848.75,4360.01,198,123.6035,198,-17316.8671875,339.2432
995000,4831.47,4708.25,199,132.7885,199,-17331.91015625,343.8015
1000000,4681.21,5053.33,200,118.4239,200,-17364.62109375,341.7803
1005000,4842.58,4954.34,201,121.9106,201,-17349.2421875,340.0556
1010000,4844.73,3548.72,202,119.7044,202,-17373.25,343.4344
1015000,4790.95,4177.77,203,122.7416,203,-17508.91015625,343.0173
1020000,4659.55,4904.28,204,119.1525,204,-17444.19921875,340.0103
