Running Reverse KL,Running Update Time,Itration,Real Det Return,Real Sto Return,Running Forward KL,Running Env Steps,Reward Loss
21.7848,99,99,3380.78,2586.16,19.828,495000,-232.70223999023438
15.0087,100,100,3401.31,2445.41,17.9917,500000,-147.89675903320312
10.9064,101,101,3405.66,3372.99,17.7536,505000,-74.8752212524414
12.119,102,102,3385.04,3354.56,19.2355,510000,-90.12271118164062
45.7707,103,103,3416.54,2599.5,17.3459,515000,-189.11459350585938
10.1463,104,104,3406.48,3255.18,17.9148,520000,-88.16667175292969
10.2899,105,105,3352.51,3350.97,17.3626,525000,-78.47772216796875
11.5812,106,106,3386.72,3385.6,17.6704,530000,-96.1351547241211
9.0787,107,107,3414.0,3367.91,16.6471,535000,-78.027099609375
9.9574,108,108,3399.35,3363.75,16.345,540000,-51.83175277709961
10.3696,109,109,3352.75,3262.08,18.3328,545000,-87.73448944091797
12.5368,110,110,3389.06,2958.07,16.2254,550000,-83.70390319824219
21.3438,111,111,3447.25,3212.76,17.5961,555000,-92.56489562988281
17.2171,112,112,3451.41,3012.63,18.4861,560000,-96.35588836669922
16.3199,113,113,3346.38,3121.33,17.567,565000,-116.0650863647461
54.2051,114,114,1971.48,1204.73,21.6801,570000,-319.4508972167969
10.3998,115,115,3427.02,3400.87,16.5857,575000,-64.49122619628906
16.7961,116,116,3428.51,2670.94,19.6941,580000,-188.89974975585938
11.6273,117,117,3367.32,3394.12,18.1077,585000,-92.6826171875
11.5682,118,118,3405.95,2950.3,17.8049,590000,-112.6691665649414
9.4078,119,119,3414.9,3422.06,15.3549,595000,-54.639549255371094
12.0874,120,120,3365.53,2694.63,16.877,600000,-107.2164306640625
10.7331,121,121,3349.6,3237.26,18.0919,605000,-116.22965240478516
8.9867,122,122,3346.42,3317.84,15.8377,610000,-56.45579147338867
11.112,123,123,3314.74,3300.36,19.2844,615000,-119.39978790283203
10.7872,124,124,3424.69,3425.58,16.0831,620000,-76.32027435302734
9.1046,125,125,3437.72,3394.63,15.6044,625000,-69.03864288330078
10.5498,126,126,3374.73,3363.64,16.4322,630000,-82.74263000488281
11.0992,127,127,3411.96,3308.59,16.8996,635000,-100.7159652709961
10.8437,128,128,3409.07,3365.64,16.5783,640000,-86.17510223388672
9.8901,129,129,3419.22,3373.23,16.7242,645000,-80.96796417236328
11.2249,130,130,3413.52,3382.85,18.1929,650000,-94.80348205566406
10.0836,131,131,3444.7,3343.47,16.8089,655000,-78.87901306152344
10.7202,132,132,3077.92,3124.53,19.5839,660000,-144.8184814453125
10.4784,133,133,3382.37,3363.41,17.0235,665000,-102.80604553222656
9.9002,134,134,3405.75,3404.27,16.0576,670000,-91.46839141845703
9.3455,135,135,3413.24,3377.16,16.9611,675000,-108.0675277709961
10.6504,136,136,3409.37,3376.12,17.5543,680000,-102.07414245605469
9.7946,137,137,3413.31,3065.19,18.0761,685000,-128.8865966796875
9.4987,138,138,3424.69,3346.97,16.7105,690000,-105.57576751708984
9.1589,139,139,3372.76,3343.91,15.3452,695000,-97.65299987792969
10.4065,140,140,3356.01,3357.44,16.7165,700000,-95.79200744628906
10.391,141,141,3346.95,3344.74,16.6942,705000,-100.49930572509766
9.7536,142,142,3388.3,3348.71,16.3669,710000,-109.00780487060547
9.8866,143,143,3388.73,3380.45,16.5837,715000,-98.50215911865234
9.5318,144,144,3353.48,3062.8,16.1287,720000,-94.35151672363281
10.1033,145,145,574.85,847.09,18.2918,725000,-107.0911865234375
13.4994,146,146,3465.52,3443.39,19.1433,730000,-112.33995819091797
8.9281,147,147,3351.3,3391.06,15.542,735000,-74.01355743408203
12.0555,148,148,3375.99,3378.41,17.1384,740000,-85.39167022705078
