Itration,Real Sto Return,Real Det Return,Running Forward KL,Running Update Time,Reward Loss,Running Reverse KL,Running Env Steps
116,1027.94,1022.97,38.4867,116,-5718.439453125,31.3224,580000
117,43.95,43.22,31.5879,117,-3506.383056640625,24.487,585000
118,205.99,205.91,32.3576,118,-4577.16259765625,202.541,590000
119,247.02,245.88,32.7572,119,-4577.87060546875,27.7799,595000
120,578.57,512.63,32.8988,120,-5231.04638671875,53.4194,600000
121,14.96,14.83,34.3105,121,-5539.79345703125,156.9388,605000
122,1007.0,1007.39,38.6314,122,-6184.74462890625,41.9863,610000
123,890.22,891.7,30.1871,123,-5215.8916015625,50.8265,615000
124,56.46,57.41,34.9967,124,-5680.1103515625,38.2379,620000
125,987.64,987.78,39.103,125,-6219.31640625,37.591,625000
126,995.2,995.77,37.2315,126,-6348.18017578125,38.6984,630000
127,275.92,231.8,33.4272,127,-5785.02783203125,104.2244,635000
128,426.15,524.14,29.1102,128,-4783.228515625,38.4748,640000
129,290.88,293.58,33.8951,129,-5899.16650390625,41.619,645000
130,169.48,167.31,33.2416,130,-5900.8828125,35.8076,650000
131,332.15,332.29,33.3567,131,-5139.587890625,20.3375,655000
132,488.28,589.0,33.953,132,-6447.80517578125,46.2478,660000
133,974.87,975.05,37.8126,133,-6866.0966796875,47.1803,665000
134,973.6,976.15,38.5778,134,-6710.34814453125,42.6408,670000
135,980.81,981.22,39.1196,135,-6852.97802734375,54.8253,675000
136,195.93,199.07,32.1326,136,-6482.53662109375,39.1278,680000
137,263.38,261.14,31.6111,137,-6247.63818359375,33.6362,685000
138,1046.51,1046.88,37.4201,138,-7045.07470703125,34.9371,690000
139,1038.5,1038.75,36.9706,139,-7131.458984375,28.7015,695000
140,1027.32,1028.32,37.861,140,-7254.1171875,33.3951,700000
141,1038.42,1037.23,37.0183,141,-7253.9453125,32.1083,705000
142,1041.15,1039.04,37.4216,142,-7266.68701171875,24.7335,710000
143,48.68,47.41,33.8735,143,-6164.4794921875,34.2173,715000
144,117.22,117.17,28.7956,144,-1379.1204833984375,15.1563,720000
145,203.48,204.33,31.8463,145,-5289.93408203125,27.3021,725000
