Running Update Time,Running Forward KL,Running Env Steps,Real Det Return,Reward Loss,Running Reverse KL,Itration,Real Sto Return
44,323.649,220000,1117.93,-5472.9462890625,225.213,44,1008.91
45,293.3453,225000,1035.04,-5294.15966796875,224.4858,45,1051.64
46,312.3434,230000,1432.94,-5645.89599609375,218.4705,46,1360.58
47,312.7385,235000,1437.23,-5660.359375,191.4748,47,1308.69
48,284.511,240000,1396.98,-5266.6796875,199.7445,48,1407.46
49,309.5756,245000,1324.88,-5615.5908203125,233.1637,49,1163.33
50,291.8422,250000,922.66,-5521.82275390625,180.7974,50,1198.74
51,296.2202,255000,1286.89,-5747.759765625,195.3969,51,1286.18
52,317.8737,260000,1049.47,-6552.01904296875,224.704,52,1380.48
53,301.6804,265000,1561.79,-5947.15234375,185.6719,53,1405.75
54,277.647,270000,3937.28,-5052.51220703125,149.6722,54,1582.5
55,290.12,275000,1539.32,-5516.65283203125,167.1345,55,2206.65
56,306.3673,280000,1307.25,-6580.1171875,186.4963,56,1625.2
57,272.2996,285000,2470.64,-5491.173828125,162.1102,57,2516.79
58,294.2425,290000,768.02,-6681.70654296875,207.5915,58,1673.42
59,278.7036,295000,2267.65,-4770.802734375,163.8685,59,2078.84
60,273.4563,300000,1854.27,-5250.78125,171.8305,60,2021.63
61,255.8172,305000,1390.85,-4644.33544921875,133.1027,61,1701.02
62,267.6115,310000,2581.24,-5082.99755859375,177.5242,62,1871.0
63,304.1639,315000,818.65,-6959.11474609375,188.3386,63,1478.33
64,262.8085,320000,2130.44,-4650.95166015625,122.408,64,2229.52
65,275.5537,325000,2622.88,-5906.86328125,149.2625,65,2369.42
66,273.8415,330000,1357.6,-6070.5390625,155.2881,66,3135.13
67,252.4924,335000,979.94,-4777.20166015625,112.9993,67,2453.08
68,263.0601,340000,839.21,-6349.9130859375,169.5043,68,2237.05
69,259.8024,345000,851.65,-5539.74169921875,128.4943,69,2601.73
70,279.4639,350000,1395.05,-6120.53955078125,157.8,70,2086.48
71,254.2033,355000,1221.67,-5227.68994140625,127.0667,71,3444.89
72,247.579,360000,652.7,-4941.13330078125,108.9281,72,2804.17
73,238.8409,365000,2022.13,-3778.6435546875,83.0306,73,4077.95
74,263.8388,370000,2313.51,-6311.1611328125,145.1499,74,2850.07
75,247.0155,375000,799.02,-4554.3154296875,98.9811,75,3288.8
76,240.4452,380000,1570.58,-4098.22802734375,82.2838,76,3476.71
77,250.6653,385000,650.25,-5378.5791015625,117.6149,77,2236.47
78,241.8827,390000,936.68,-4335.18408203125,83.0187,78,3086.76
79,250.7232,395000,2576.69,-4293.86767578125,81.1178,79,4190.38
80,285.736,400000,492.85,-8368.8359375,191.7141,80,1062.91
81,243.0381,405000,1560.47,-3429.002197265625,55.7172,81,3656.35
82,239.5035,410000,931.06,-3669.304931640625,68.6336,82,3906.82
83,235.7013,415000,752.28,-3151.46875,65.6542,83,3964.33
84,256.8802,420000,2207.09,-5815.8408203125,111.2499,84,3414.1
85,232.5657,425000,1230.86,-2597.262939453125,57.3495,85,3795.29
86,238.0506,430000,3530.94,-4024.0498046875,55.4671,86,3494.63
87,238.2837,435000,2129.36,-3705.48779296875,59.0525,87,4689.81
88,229.5677,440000,3184.83,-2897.1552734375,44.7573,88,5008.96
89,236.5801,445000,805.43,-4381.93212890625,65.6601,89,4252.09
90,233.2128,450000,2992.16,-4177.564453125,61.9478,90,4677.82
91,260.0553,455000,1222.15,-7763.16357421875,173.3184,91,2549.18
92,226.4879,460000,1848.36,-3254.36962890625,47.099,92,4825.3
93,228.3332,465000,1160.24,-3262.2490234375,39.4295,93,3587.1
94,226.0062,470000,1004.97,-3858.21142578125,54.1755,94,4333.33
95,235.179,475000,1204.67,-5218.8603515625,87.9171,95,4339.21
96,240.3063,480000,2700.84,-5345.37353515625,72.2562,96,4309.45
97,242.1308,485000,1991.26,-5280.86572265625,76.3511,97,3899.01
98,230.2482,490000,3924.37,-4408.48828125,56.6158,98,4475.9
99,232.4597,495000,2107.72,-5309.7802734375,71.5732,99,4608.92
100,230.0373,500000,754.06,-4369.3388671875,57.3344,100,3731.76
101,242.2625,505000,948.24,-5850.1962890625,95.7596,101,4616.66
102,261.1592,510000,934.3,-7139.12158203125,143.8783,102,2637.41
103,228.5947,515000,1989.07,-4445.8818359375,53.2,103,4847.75
104,249.5923,520000,2487.62,-6426.14501953125,94.2881,104,3606.82
105,244.4931,525000,2092.22,-5991.73974609375,74.7574,105,4335.81
106,235.4802,530000,3720.6,-5100.869140625,70.7056,106,4220.78
107,239.349,535000,2097.83,-5127.60205078125,58.9654,107,5020.11
108,238.7791,540000,2911.22,-5190.4228515625,53.0055,108,4500.43
109,233.586,545000,2893.1,-5467.55712890625,60.1052,109,4552.42
110,231.3129,550000,3845.17,-4787.443359375,44.1144,110,4977.39
111,226.2337,555000,2221.17,-4627.63427734375,35.5892,111,5080.35
112,244.6161,560000,4537.66,-6107.2001953125,52.8196,112,4788.93
113,235.7348,565000,2813.67,-5527.34912109375,54.2807,113,3939.37
114,237.762,570000,2794.5,-6703.99951171875,76.7489,114,4235.45
115,224.247,575000,3677.87,-4322.30908203125,34.7299,115,4283.36
116,234.3462,580000,3066.76,-5594.85498046875,54.3345,116,5111.01
117,228.642,585000,2858.92,-4628.7939453125,35.7005,117,5086.29
118,241.2819,590000,2831.51,-5875.583984375,72.0296,118,4997.54
119,240.1771,595000,4991.15,-5764.2890625,48.5289,119,4666.31
120,241.383,600000,3740.5,-5432.38330078125,47.8235,120,5107.55
121,247.1829,605000,2318.82,-5948.12890625,59.6786,121,4128.69
122,234.0876,610000,4789.47,-5579.0537109375,44.7287,122,4673.41
123,227.3372,615000,4968.35,-5245.62109375,38.756,123,5129.19
124,236.9614,620000,5113.11,-6059.6904296875,43.7328,124,4874.21
125,227.7361,625000,5201.58,-5638.197265625,31.7016,125,4067.03
126,241.8687,630000,4949.66,-5986.03076171875,50.9085,126,4231.82
127,229.9148,635000,4517.12,-5545.31640625,32.708,127,5046.03
128,224.2962,640000,4368.94,-5022.8544921875,34.9095,128,4935.3
129,229.5692,645000,5260.1,-5600.37939453125,38.6614,129,4934.16
130,234.7646,650000,1227.82,-5600.26708984375,51.5912,130,4586.42
131,235.9471,655000,2932.14,-6279.22607421875,77.3474,131,3741.79
132,235.2094,660000,3954.71,-6165.84033203125,58.7617,132,4727.41
133,239.7613,665000,2723.52,-7242.89990234375,111.7185,133,3213.46
134,225.8909,670000,3476.45,-5474.7734375,42.908,134,4681.56
135,259.1482,675000,3168.77,-8662.09765625,158.6596,135,3513.78
136,235.227,680000,2543.31,-6441.03857421875,44.2816,136,4478.16
137,241.952,685000,4215.22,-6192.38134765625,62.3049,137,4181.18
138,223.9441,690000,5217.59,-6321.47900390625,41.0437,138,4920.67
139,228.2452,695000,4359.56,-6038.96875,39.5183,139,4915.72
140,226.8531,700000,5303.42,-5669.962890625,35.5088,140,4844.59
141,236.9713,705000,4026.87,-6760.984375,60.9031,141,4612.17
142,225.2929,710000,3569.0,-6157.55126953125,35.5582,142,5169.41
143,228.8566,715000,4330.87,-6080.57470703125,35.4891,143,5066.47
144,234.6834,720000,5065.07,-6696.72412109375,33.0514,144,4880.35
145,230.39,725000,4365.59,-5558.5771484375,32.3041,145,4866.09
146,226.9449,730000,5093.67,-6136.03076171875,36.3579,146,4813.8
147,224.5983,735000,5076.0,-5828.17041015625,32.7697,147,5224.65
148,228.0498,740000,5134.33,-6630.3212890625,33.9633,148,5012.5
149,230.984,745000,4998.23,-6722.0029296875,35.2218,149,5157.95
150,234.121,750000,4854.3,-7230.056640625,32.7192,150,5100.67
151,227.699,755000,5052.08,-6249.8759765625,35.2617,151,5207.38
152,223.1535,760000,4978.3,-5950.39404296875,29.1855,152,4727.9
153,235.7482,765000,5306.44,-7369.85400390625,52.6503,153,5041.97
154,233.3063,770000,5304.62,-6768.54833984375,48.2957,154,5169.75
155,229.6458,775000,5187.88,-6927.22265625,32.785,155,5109.54
156,226.4939,780000,4878.09,-6676.0322265625,36.1351,156,5052.1
157,242.575,785000,5371.87,-7099.13330078125,41.8541,157,4948.51
158,225.1741,790000,5178.49,-6949.4052734375,46.7414,158,4900.1
159,225.845,795000,5276.04,-6642.23486328125,39.7526,159,5194.7
160,227.3846,800000,5168.02,-6967.59228515625,25.1629,160,4858.39
161,222.9743,805000,4556.84,-6557.26123046875,27.6415,161,5193.57
162,234.9225,810000,4842.43,-6876.2109375,49.0716,162,4918.36
163,231.6485,815000,5239.4,-7384.677734375,36.1406,163,4761.22
164,235.5528,820000,4360.57,-8119.23583984375,45.7901,164,4381.97
165,230.0874,825000,4942.85,-7320.9287109375,46.8651,165,4899.42
166,228.4117,830000,5301.78,-7099.22412109375,31.9372,166,4954.98
167,225.006,835000,5254.13,-7317.60205078125,30.8917,167,5058.66
168,242.4547,840000,5261.06,-8703.4189453125,53.4724,168,4961.87
169,234.855,845000,4972.19,-7531.35107421875,41.1793,169,5163.82
170,234.9466,850000,5113.41,-7781.8994140625,33.6408,170,4804.27
171,231.4022,855000,4858.72,-7569.8671875,45.086,171,4824.78
172,220.3853,860000,5310.28,-6394.3515625,22.4626,172,5118.84
173,225.0395,865000,5312.89,-7438.10107421875,44.1169,173,5002.96
174,232.3492,870000,4763.46,-8213.181640625,39.5862,174,5151.05
175,224.2859,875000,4931.76,-6922.263671875,28.3028,175,5185.3
176,222.1154,880000,5316.61,-7177.57958984375,30.5403,176,5166.02
177,229.787,885000,4767.14,-7746.34765625,36.9458,177,4942.55
178,231.9252,890000,4612.42,-7926.33740234375,43.4758,178,5059.57
179,244.9953,895000,3944.96,-9366.4189453125,91.5043,179,5041.68
180,226.7918,900000,5286.53,-7999.3427734375,32.8302,180,5155.95
181,230.8121,905000,4897.0,-7576.21728515625,30.4554,181,5138.17
182,241.8874,910000,3341.49,-8647.162109375,80.7175,182,4128.73
183,227.4597,915000,5310.83,-7092.31201171875,23.4899,183,5059.52
184,233.9982,920000,4004.23,-8802.921875,46.2845,184,4845.96
185,229.2846,925000,3916.93,-8852.8759765625,55.1762,185,4565.89
186,225.1776,930000,4401.38,-7324.69189453125,24.3976,186,4611.38
187,224.8956,935000,5114.57,-7771.4892578125,31.5881,187,5165.65
188,223.8436,940000,3980.88,-8322.9482421875,32.8098,188,4892.22
189,234.2419,945000,3911.65,-8931.8134765625,56.1145,189,4493.92
190,220.125,950000,5130.52,-7350.6572265625,21.6771,190,5051.71
191,212.3103,955000,4851.58,-6897.1884765625,17.3266,191,4688.22
192,222.5696,960000,5325.98,-7690.84716796875,40.2683,192,5109.21
193,230.1415,965000,5338.02,-8688.576171875,46.9405,193,4804.72
194,224.9737,970000,2884.98,-8192.349609375,23.6806,194,4752.14
195,232.3102,975000,5224.19,-9263.25390625,33.9417,195,4886.85
196,225.8309,980000,5147.83,-8822.2841796875,38.0574,196,4491.58
197,225.7926,985000,4409.27,-8015.07177734375,39.8889,197,4994.34
198,228.7827,990000,5192.17,-9075.349609375,23.2425,198,5034.64
199,232.4331,995000,4300.59,-9507.7646484375,76.5426,199,4713.36
200,234.7572,1000000,5019.15,-9734.0576171875,48.3867,200,5029.42
201,226.6535,1005000,5265.11,-9556.826171875,29.2524,201,5183.93
202,225.769,1010000,4844.77,-9818.8857421875,37.3925,202,5080.82
203,232.8956,1015000,4795.24,-10063.0244140625,46.8739,203,5027.77
204,227.6315,1020000,5207.73,-9411.9775390625,28.8583,204,4872.08
205,226.4819,1025000,3941.89,-9003.73828125,38.3633,205,5202.7
206,223.9314,1030000,5019.86,-9322.974609375,27.8337,206,5086.59
207,237.6831,1035000,5225.33,-10808.9296875,63.1517,207,5166.21
208,223.2526,1040000,5269.79,-9561.0390625,31.3449,208,5201.75
209,230.0382,1045000,5293.19,-10018.162109375,28.4739,209,5184.47
210,226.8224,1050000,5276.7,-9954.37109375,29.8411,210,5213.39
211,232.9299,1055000,4952.59,-10336.02734375,44.7361,211,4750.67
212,225.1482,1060000,5158.28,-9875.123046875,30.2897,212,5235.99
213,225.0637,1065000,5199.18,-10141.3974609375,29.2657,213,5221.89
214,225.9036,1070000,4505.23,-9989.3857421875,30.2834,214,5187.57
215,226.3186,1075000,5086.56,-10351.533203125,30.5043,215,4979.28
216,238.5034,1080000,5111.47,-10548.5830078125,59.9789,216,4878.43
217,239.2953,1085000,5121.36,-11249.572265625,42.0146,217,5024.13
218,234.9753,1090000,5107.06,-10713.8916015625,34.9712,218,5167.57
219,227.245,1095000,5094.32,-10552.046875,33.9488,219,5084.64
220,216.195,1100000,5343.09,-9627.748046875,26.402,220,5251.78
221,218.2095,1105000,4879.48,-9354.8662109375,22.5363,221,4949.53
222,237.9588,1110000,3855.78,-11299.08984375,52.7883,222,4242.25
223,230.579,1115000,5045.83,-11013.0859375,26.5597,223,5121.3
224,213.9865,1120000,5273.71,-9377.140625,27.5343,224,5033.55
225,229.1937,1125000,4653.76,-10993.4365234375,29.8264,225,4896.93
226,222.8507,1130000,4701.6,-10381.4248046875,47.3907,226,4888.11
227,230.6449,1135000,3896.13,-10930.3076171875,38.3107,227,4002.03
228,242.6718,1140000,3659.02,-11697.69921875,95.5822,228,4245.68
229,225.1437,1145000,4114.55,-10408.53125,24.7447,229,5051.03
230,290.0017,1150000,2578.47,-13871.1611328125,207.3767,230,4401.3
231,252.1704,1155000,1619.16,-12261.916015625,119.6954,231,3807.23
232,231.8144,1160000,4088.33,-10453.4375,35.981,232,4706.34
233,226.135,1165000,5083.65,-10791.3935546875,39.7116,233,5060.75
234,230.3997,1170000,4251.18,-11660.849609375,42.3722,234,4586.89
235,241.3963,1175000,3292.56,-11501.5126953125,75.86,235,4124.14
236,250.5485,1180000,3369.35,-11454.505859375,87.2566,236,3486.94
237,226.3019,1185000,3120.33,-10325.92578125,58.8801,237,3928.85
238,243.7064,1190000,3867.83,-12341.505859375,73.9032,238,3196.16
239,239.5085,1195000,2859.36,-10814.294921875,78.1004,239,3682.47
240,226.8705,1200000,3663.99,-10714.4150390625,49.7374,240,3595.59
241,223.4455,1205000,2754.69,-10633.6494140625,45.4876,241,3863.42
242,236.5499,1210000,3040.83,-12114.7978515625,78.4861,242,4778.19
243,231.4619,1215000,3548.39,-11886.9951171875,43.2024,243,3999.48
244,224.0777,1220000,3647.57,-10847.8388671875,27.3434,244,4148.05
245,259.7011,1225000,2035.64,-13098.376953125,143.2448,245,2907.26
246,242.8665,1230000,2951.73,-12271.5908203125,94.1948,246,3469.98
247,227.4662,1235000,1924.36,-11869.8671875,36.2769,247,4168.16
248,239.0123,1240000,1405.9,-12015.056640625,71.3085,248,4362.33
249,234.7687,1245000,3675.0,-11901.0888671875,55.6324,249,4097.58
250,252.248,1250000,2632.53,-13133.9052734375,106.0875,250,1868.56
251,246.5673,1255000,2241.22,-13385.8623046875,92.8581,251,3585.0
252,235.8175,1260000,4132.51,-12860.955078125,45.7825,252,3067.18
253,246.3538,1265000,3113.25,-13358.00390625,84.9117,253,4048.59
254,241.2264,1270000,3524.39,-13021.44921875,61.2747,254,4458.1
255,262.8153,1275000,446.25,-14192.482421875,132.5943,255,2137.78
256,228.4971,1280000,4058.23,-11962.4365234375,40.7016,256,4644.56
257,245.634,1285000,4919.34,-12859.5458984375,83.2485,257,4624.27
258,233.0308,1290000,5193.87,-12396.6533203125,46.6049,258,4976.96
259,232.9076,1295000,4641.92,-11807.6611328125,47.3877,259,3962.07
260,258.6608,1300000,3109.26,-13912.98828125,122.4814,260,3054.38
261,269.6389,1305000,3599.41,-14309.0859375,126.0767,261,3455.84
262,227.8258,1310000,5069.2,-11694.3515625,22.8845,262,4439.11
263,230.4911,1315000,5241.63,-11678.8759765625,24.9689,263,4960.13
264,240.6891,1320000,3882.27,-12839.232421875,46.994,264,4529.4
265,258.5458,1325000,2006.05,-14014.0478515625,121.2773,265,2706.08
266,236.8163,1330000,4588.03,-12331.416015625,44.6855,266,4106.27
267,253.4799,1335000,2539.27,-13679.7939453125,113.4932,267,4040.59
268,246.8702,1340000,4861.2,-12730.87890625,53.0259,268,3804.87
269,242.854,1345000,5041.94,-12691.763671875,46.6883,269,4665.93
270,241.1232,1350000,3312.77,-12347.15625,72.7991,270,4131.36
271,243.5665,1355000,3898.78,-12772.8349609375,56.811,271,4145.15
272,261.6519,1360000,3741.51,-13538.8623046875,144.4965,272,4213.9
273,256.525,1365000,2849.34,-13912.6357421875,77.253,273,3367.87
274,258.6741,1370000,3360.35,-14043.39453125,133.8849,274,4273.62
275,232.7154,1375000,4115.07,-12652.201171875,42.5531,275,4360.23
276,250.3438,1380000,1809.51,-13617.8642578125,73.8316,276,3473.45
277,245.6819,1385000,2533.79,-12386.5732421875,80.2766,277,3286.96
278,245.591,1390000,3328.94,-12967.2373046875,86.5761,278,3880.42
279,236.856,1395000,3568.67,-12515.4033203125,42.8816,279,3958.48
280,246.9211,1400000,3884.38,-13063.3427734375,89.3854,280,4185.15
281,255.9071,1405000,3233.97,-13317.5341796875,102.8263,281,3364.34
282,253.3406,1410000,692.19,-13354.3564453125,107.2085,282,3481.96
283,240.917,1415000,4862.85,-13251.9267578125,81.8476,283,4022.35
284,243.7957,1420000,3875.73,-13549.9931640625,94.8197,284,4503.6
285,229.7682,1425000,4411.45,-13188.39453125,56.2858,285,5037.72
286,228.8481,1430000,1900.11,-12107.3515625,47.085,286,4353.63
287,253.6782,1435000,3365.42,-13926.5576171875,122.8263,287,4354.93
288,223.6059,1440000,2598.06,-12184.2216796875,59.665,288,3782.19
