Running Reverse KL,Itration,Running Update Time,Real Det Return,Running Forward KL,Reward Loss,Real Sto Return,Running Env Steps
21.2825,50,50,254.37,31.928,-3574.556884765625,257.58,250000
47.3748,51,51,998.5,37.4088,-4414.5517578125,998.57,255000
50.0945,52,52,976.68,39.7173,-4646.77099609375,976.18,260000
30.2676,53,53,999.11,38.087,-4560.48291015625,1008.35,265000
27.5867,54,54,1018.56,36.1186,-4732.82861328125,1031.19,270000
34.5323,55,55,436.59,39.2521,-4952.4208984375,428.75,275000
53.6813,56,56,209.95,39.6406,-4926.7353515625,201.1,280000
14.5369,57,57,316.74,31.2583,-2376.6484375,303.7,285000
11.9533,58,58,321.55,31.7155,-2472.85107421875,324.27,290000
12.1975,59,59,361.89,30.2448,-2904.3291015625,348.45,295000
16.5508,60,60,353.46,30.8637,-2564.931396484375,341.63,300000
18.6629,61,61,403.92,31.2389,-3647.679443359375,397.44,305000
16.267,62,62,422.19,30.7058,-3699.7646484375,414.08,310000
18.2613,63,63,401.24,30.5229,-3999.5419921875,384.04,315000
21.4646,64,64,412.08,31.8828,-3969.841064453125,397.55,320000
27.5016,65,65,413.67,31.7069,-4175.51708984375,394.92,325000
21.3134,66,66,426.5,31.1131,-4159.9853515625,407.32,330000
20.1699,67,67,417.44,30.9539,-4523.64111328125,406.8,335000
20.7066,68,68,419.99,31.9366,-4634.966796875,415.1,340000
23.0566,69,69,409.27,31.876,-4811.1455078125,398.83,345000
22.3653,70,70,409.89,29.9338,-4997.03662109375,446.5,350000
24.8266,71,71,439.92,29.4535,-4975.33544921875,441.4,355000
51.7821,72,72,575.89,29.4695,-4399.97412109375,568.51,360000
65.9055,73,73,562.59,29.9847,-4546.59423828125,548.64,365000
97.0054,74,74,489.95,28.7579,-5005.7880859375,484.17,370000
115.3037,75,75,565.72,29.42,-4938.18994140625,554.15,375000
27.2429,76,76,602.47,30.2401,-5210.1416015625,598.68,380000
26.8384,77,77,603.86,29.417,-5024.20654296875,600.43,385000
28.6262,78,78,636.52,28.2432,-5227.0048828125,608.9,390000
28.9204,79,79,449.92,34.0769,-5680.05322265625,446.44,395000
23.0566,80,80,573.05,31.0508,-5365.76416015625,488.07,400000
44.6624,81,81,646.68,29.8124,-4521.83935546875,643.42,405000
41.9235,82,82,658.16,29.5433,-5124.3701171875,656.6,410000
15.7561,83,83,468.79,29.2697,-3755.872802734375,463.77,415000
22.5988,84,84,747.52,27.3145,-5052.47216796875,774.24,420000
24.3408,85,85,731.68,30.7377,-5368.03662109375,713.93,425000
20.5786,86,86,639.83,31.1818,-5598.7138671875,598.1,430000
22.6881,87,87,990.53,29.3264,-5346.3984375,934.15,435000
40.6972,88,88,1050.76,28.1285,-3536.2890625,1650.98,440000
22.4982,89,89,1022.42,28.4385,-5648.97802734375,823.64,445000
19.2747,90,90,1027.64,28.1829,-5166.46923828125,977.72,450000
28.0894,91,91,714.79,29.0986,-6151.5966796875,664.07,455000
19.3585,92,92,947.16,28.1005,-5498.478515625,864.16,460000
23.0911,93,93,1027.68,30.0664,-5477.40673828125,927.98,465000
16.8753,94,94,2229.61,28.0221,-3582.516845703125,2083.66,470000
24.6933,95,95,1241.85,27.7439,-5647.1083984375,1126.21,475000
20.6494,96,96,1509.49,27.7302,-5228.416015625,1094.37,480000
22.6829,97,97,697.14,28.6898,-6296.6025390625,673.48,485000
47.6785,98,98,1299.33,28.5497,-5534.6630859375,939.31,490000
21.9031,99,99,902.86,28.9817,-5486.5849609375,1092.58,495000
17.0368,100,100,826.68,29.8985,-5517.24169921875,799.88,500000
15.3803,101,101,2548.36,29.0438,-5028.6494140625,1426.43,505000
15.6701,102,102,1390.35,28.5374,-4761.83837890625,1167.69,510000
15.768,103,103,2560.37,28.2184,-3021.677978515625,1767.53,515000
15.2934,104,104,858.39,29.8674,-5245.80810546875,941.93,520000
17.5926,105,105,2638.18,28.2549,-2015.6412353515625,2606.73,525000
15.1896,106,106,824.78,30.1872,-5465.1884765625,894.98,530000
16.0234,107,107,1087.88,27.9092,-4244.85107421875,1806.85,535000
16.299,108,108,2635.84,28.2589,-4989.095703125,1526.43,540000
17.8945,109,109,947.18,29.8225,-5682.53466796875,1020.01,545000
18.2936,110,110,853.59,29.5084,-6183.4072265625,931.0,550000
17.7638,111,111,892.62,30.1315,-6074.625,966.19,555000
16.5115,112,112,1638.88,29.5949,-4876.19677734375,1345.39,560000
19.4358,113,113,886.07,30.928,-6248.42041015625,930.43,565000
16.8511,114,114,1215.8,28.5085,-4415.9052734375,1412.68,570000
16.4834,115,115,1176.83,28.5786,-4589.1591796875,1380.25,575000
16.9412,116,116,965.54,30.5037,-6236.2724609375,998.67,580000
17.0071,117,117,799.42,29.5753,-6384.33154296875,856.22,585000
15.6469,118,118,1448.45,28.7063,-5306.39013671875,1348.17,590000
16.9185,119,119,927.83,30.172,-6346.921875,1088.44,595000
17.0166,120,120,2510.13,28.8456,-4913.78271484375,1706.09,600000
15.8137,121,121,811.73,30.6054,-6794.44482421875,752.34,605000
16.4061,122,122,923.04,30.3924,-6204.06005859375,973.45,610000
16.9128,123,123,1870.66,29.2522,-5397.4248046875,1518.93,615000
17.2281,124,124,2902.07,28.1084,-3500.80029296875,2245.95,620000
16.6451,125,125,1265.57,30.1003,-6647.8212890625,1162.84,625000
16.0565,126,126,1426.13,29.5263,-5907.337890625,1252.39,630000
16.5576,127,127,2942.14,28.2822,-5181.06787109375,1889.1,635000
16.9287,128,128,1711.55,30.3276,-6146.15087890625,1304.33,640000
