Real Det Return,Itration,Running Env Steps,Reward Loss,Real Sto Return,Running Reverse KL,Running Forward KL,Running Update Time
2217.94,112,560000,-22589.7578125,1850.93,15.7681,156.7679,112
2146.21,113,565000,-22752.046875,1824.41,15.7061,157.0656,113
2239.88,114,570000,-22775.34375,1883.43,16.033,156.7135,114
2227.64,115,575000,-23114.1015625,1871.5,15.8958,156.7864,115
2247.6,116,580000,-23553.337890625,1904.73,15.9768,156.6878,116
2138.16,117,585000,-23524.400390625,1817.35,15.4692,156.859,117
2183.6,118,590000,-23855.861328125,1823.13,15.4563,156.8086,118
2153.01,119,595000,-24123.12109375,1845.91,15.6015,157.0524,119
2218.54,120,600000,-24303.693359375,1842.05,15.7602,156.8161,120
2177.41,121,605000,-24620.0390625,1821.65,15.3591,156.8336,121
2171.21,122,610000,-24725.69140625,1848.49,15.347,156.7981,122
2178.79,123,615000,-24940.76953125,1830.47,15.7199,156.7682,123
2146.04,124,620000,-25314.0390625,1810.51,15.4882,156.8705,124
2183.04,125,625000,-25716.419921875,1845.96,15.6819,156.9245,125
2227.03,126,630000,-25652.58203125,1852.77,15.5268,156.7456,126
2218.19,127,635000,-26085.166015625,1872.99,15.7657,156.8424,127
2157.83,128,640000,-26238.677734375,1829.36,15.3693,156.6391,128
2183.89,129,645000,-26603.94140625,1834.9,15.3909,156.9095,129
2203.55,130,650000,-26901.775390625,1868.06,15.4477,156.7594,130
2216.24,131,655000,-26936.80859375,1870.68,15.6812,156.8225,131
2228.82,132,660000,-27249.36328125,1859.46,15.2584,156.6654,132
2178.25,133,665000,-27671.640625,1829.79,15.4047,156.8126,133
2216.73,134,670000,-27711.75,1873.91,15.3342,156.7742,134
2174.82,135,675000,-28079.234375,1850.99,15.3893,156.6567,135
2222.11,136,680000,-28429.775390625,1891.13,15.5683,157.0046,136
2204.83,137,685000,-28738.5234375,1869.32,15.2721,156.762,137
2208.37,138,690000,-28887.3515625,1833.12,15.3628,156.7215,138
2220.26,139,695000,-29064.1171875,1897.23,15.4891,156.6476,139
2087.37,140,700000,-29232.9453125,1796.96,15.1256,156.833,140
2226.89,141,705000,-29588.95703125,1866.67,15.1487,156.7296,141
2188.36,142,710000,-29701.341796875,1860.94,15.5425,156.7784,142
2172.25,143,715000,-30041.138671875,1843.29,15.4714,156.7728,143
2242.43,144,720000,-30170.9296875,1868.28,15.5251,156.5899,144
2237.26,145,725000,-30334.787109375,1900.51,15.5025,156.7992,145
2144.52,146,730000,-30575.76953125,1830.51,15.3096,156.783,146
2238.09,147,735000,-30792.640625,1896.34,15.5127,156.6592,147
2268.86,148,740000,-30917.537109375,1893.52,15.9069,156.8507,148
2192.68,149,745000,-31268.607421875,1887.33,15.5721,156.8221,149
2208.93,150,750000,-31650.99609375,1842.61,15.6307,156.8519,150
2199.59,151,755000,-31584.2109375,1872.45,15.4136,156.6651,151
2232.56,152,760000,-31979.431640625,1846.96,15.4384,156.8359,152
2186.98,153,765000,-32042.80859375,1868.36,15.2856,156.8559,153
2199.2,154,770000,-32247.203125,1873.34,15.477,156.6518,154
2157.23,155,775000,-32335.966796875,1819.2,15.1816,156.6078,155
2229.8,156,780000,-32716.390625,1894.74,15.29,156.6759,156
2244.61,157,785000,-33070.45703125,1876.22,15.5543,156.7817,157
2228.31,158,790000,-33020.34765625,1896.8,15.3669,156.6849,158
2264.35,159,795000,-33379.46484375,1920.05,15.569,156.7087,159
2230.58,160,800000,-33573.77734375,1902.47,15.6162,156.7958,160
2176.73,161,805000,-33985.90234375,1840.09,15.3814,156.8984,161
2215.51,162,810000,-34099.12109375,1893.1,15.4328,156.7404,162
2199.07,163,815000,-34281.70703125,1859.79,15.413,156.8442,163
2216.52,164,820000,-34575.484375,1868.42,15.3661,156.8585,164
2167.26,165,825000,-34568.875,1858.9,15.2929,156.9067,165
2228.84,166,830000,-34862.140625,1861.32,15.6309,156.8747,166
2240.43,167,835000,-35415.5625,1912.61,15.3502,156.671,167
2204.94,168,840000,-35224.2578125,1841.8,15.0024,156.8478,168
2212.62,169,845000,-35796.609375,1834.29,15.3636,156.9361,169
2161.57,170,850000,-36152.56640625,1853.49,15.433,156.7747,170
2233.13,171,855000,-36068.77734375,1877.72,15.1794,156.9142,171
2252.26,172,860000,-36497.73828125,1921.39,15.4441,156.7645,172
2246.37,173,865000,-36672.3359375,1921.11,15.6452,156.8769,173
2227.84,174,870000,-36665.71484375,1888.75,15.3748,156.8199,174
2206.53,175,875000,-36907.21875,1886.92,15.1685,156.8188,175
2220.99,176,880000,-37034.29296875,1891.45,15.4161,156.8292,176
2174.25,177,885000,-37183.7265625,1884.65,15.3685,156.7492,177
2228.53,178,890000,-37202.15625,1892.0,15.3515,156.8,178
2194.78,179,895000,-37479.6171875,1872.83,15.3693,156.7326,179
2241.7,180,900000,-37659.83984375,1900.09,15.3295,156.917,180
2216.29,181,905000,-37697.36328125,1892.31,15.1258,156.677,181
2243.97,182,910000,-37929.91015625,1883.79,15.411,156.6739,182
2237.51,183,915000,-38124.02734375,1922.41,15.4853,156.6428,183
2231.62,184,920000,-38228.125,1890.44,15.2402,156.7442,184
2215.18,185,925000,-38406.67578125,1891.87,15.3187,156.744,185
2240.49,186,930000,-38454.21484375,1866.04,15.3873,156.945,186
2222.59,187,935000,-38957.23828125,1890.89,15.3745,156.9091,187
2269.37,188,940000,-39115.52734375,1906.22,15.6688,156.7731,188
2284.04,189,945000,-39117.51953125,1890.66,15.3126,156.7747,189
2243.52,190,950000,-39307.03515625,1892.89,15.3665,156.77,190
2186.39,191,955000,-39340.78515625,1883.23,15.3267,156.936,191
2254.38,192,960000,-39818.421875,1915.59,15.613,156.7893,192
2234.5,193,965000,-39703.55859375,1914.57,15.5067,156.8276,193
2234.96,194,970000,-39781.0546875,1894.07,15.136,156.8118,194
2250.73,195,975000,-40243.2578125,1908.34,15.5611,157.0894,195
2205.32,196,980000,-40253.84375,1868.03,15.1391,156.6376,196
2262.96,197,985000,-40100.296875,1910.27,15.5244,156.7501,197
2262.01,198,990000,-40087.62890625,1913.23,15.3745,156.7128,198
2253.88,199,995000,-40407.73828125,1928.35,15.3841,156.6095,199
2269.05,200,1000000,-40526.69140625,1939.26,15.6178,156.7462,200
2258.77,201,1005000,-40671.26953125,1926.3,15.4046,156.7326,201
2279.53,202,1010000,-40796.17578125,1933.22,15.5265,156.7068,202
2231.3,203,1015000,-40912.97265625,1906.82,15.386,156.6597,203
2282.17,204,1020000,-41031.81640625,1939.51,15.6541,156.7352,204
2289.33,205,1025000,-41165.20703125,1954.79,15.5121,156.6386,205
2262.9,206,1030000,-41327.2578125,1938.92,15.5865,156.8167,206
