Itration,Real Det Return,Running Env Steps,Running Reverse KL,Reward Loss,Running Forward KL,Real Sto Return,Running Update Time
90,2794.75,450000,15.0082,-625.0691528320312,24.036,2874.41,90
91,2941.29,455000,13.6887,-996.1112670898438,23.212,2805.39,91
92,2787.59,460000,18.0406,-1189.264404296875,22.1115,2723.46,92
93,2653.06,465000,13.7028,-723.3090209960938,21.2009,2571.45,93
94,3035.96,470000,27.9593,-2237.82421875,23.7075,1686.15,94
95,2024.48,475000,14.3536,-2136.594970703125,27.3059,2120.83,95
96,1966.31,480000,14.6234,-2101.019287109375,28.1553,2025.47,96
97,1975.38,485000,16.0672,-2057.81103515625,28.39,2075.74,97
98,986.44,490000,30.0538,-3161.03466796875,24.4994,1021.85,98
99,2895.96,495000,13.9578,-383.5832824707031,20.9159,2840.2,99
100,2604.86,500000,13.5468,-807.1476440429688,22.9135,2737.5,100
101,2137.41,505000,16.2582,-1767.2779541015625,26.9899,2215.82,101
102,2594.04,510000,13.2664,-1047.45166015625,22.7777,2663.68,102
103,2751.88,515000,12.9686,-578.5335693359375,19.7429,2947.1,103
104,2752.33,520000,13.4648,-990.317138671875,22.2645,2881.72,104
105,2577.18,525000,14.303,-1282.795166015625,23.7822,2659.81,105
106,3075.26,530000,12.6475,-628.5724487304688,20.0969,3092.97,106
107,3310.85,535000,13.7384,-246.5928192138672,20.8534,3330.93,107
108,3354.4,540000,23.9046,-882.2125244140625,19.7487,2739.84,108
109,3147.66,545000,13.6662,-337.8706359863281,22.1143,3217.78,109
110,2816.42,550000,13.9941,-790.1209716796875,22.3251,2851.45,110
111,2969.75,555000,14.7587,-788.9176635742188,22.531,3028.0,111
112,3182.38,560000,13.9303,-550.3980712890625,21.5046,3200.46,112
113,3087.13,565000,14.1423,-509.42181396484375,21.2496,3131.47,113
114,3055.93,570000,14.4983,-721.0259399414062,22.0745,3039.53,114
115,3145.54,575000,13.825,-509.7806701660156,21.2686,3113.59,115
116,3160.42,580000,12.6046,-600.6624145507812,21.6158,2993.25,116
117,3041.59,585000,13.0279,-658.70556640625,21.3169,3022.52,117
118,3108.31,590000,14.0265,-705.5899047851562,21.8824,3115.93,118
119,2994.67,595000,12.9957,-866.6768188476562,21.1084,3018.09,119
120,3154.04,600000,14.6278,-1340.0010986328125,23.0205,2635.65,120
121,3224.12,605000,13.7848,-591.2388916015625,21.6195,3274.14,121
122,3330.36,610000,13.4285,-653.513427734375,20.3764,2741.47,122
123,3063.93,615000,14.7566,-725.8969116210938,21.3165,3119.78,123
124,3237.2,620000,13.4194,-420.6730651855469,20.0021,3195.02,124
125,3233.13,625000,13.3923,-611.6735229492188,21.7762,3274.95,125
126,3203.83,630000,13.9377,-528.8870239257812,22.4148,3245.6,126
127,3271.67,635000,13.4079,-691.4022216796875,22.0058,3160.38,127
128,3361.45,640000,13.1576,-984.9555053710938,20.1969,3021.97,128
129,3351.59,645000,13.3818,-552.7833862304688,19.9363,3342.7,129
130,3294.92,650000,13.3714,-543.704345703125,21.1324,3322.3,130
131,3171.97,655000,13.0005,-710.3240356445312,20.6675,3192.34,131
132,3237.64,660000,13.0632,-608.973876953125,21.622,3136.31,132
133,3404.73,665000,12.9276,-498.4844055175781,20.829,3037.73,133
134,3348.76,670000,13.3013,-616.5335083007812,21.29,3385.03,134
135,3130.53,675000,12.568,-696.8297119140625,20.3272,3230.51,135
136,3234.46,680000,13.5794,-502.1990966796875,19.6445,3274.63,136
137,3337.18,685000,13.8853,-506.2998352050781,20.1544,3336.92,137
138,3336.79,690000,10.9151,-563.5333862304688,18.532,3405.5,138
139,3134.74,695000,11.9526,-906.7936401367188,19.9547,3177.34,139
140,3178.1,700000,13.4139,-714.6158447265625,20.7159,3302.7,140
141,3406.73,705000,16.4246,-2114.34326171875,21.6976,1689.25,141
142,1066.31,710000,12.6635,-1070.4293212890625,22.1654,2980.23,142
143,3069.33,715000,11.8513,-1022.708740234375,20.5666,2545.46,143
144,3197.4,720000,12.8249,-823.765625,19.9333,3230.92,144
145,3223.8,725000,13.4543,-757.9821166992188,21.8829,3263.62,145
146,3255.29,730000,14.1547,-721.63037109375,22.0818,3268.7,146
147,3251.17,735000,13.4301,-802.5223388671875,20.3566,3271.06,147
148,3336.69,740000,14.1077,-793.85205078125,21.9883,3353.32,148
149,3350.23,745000,14.0149,-685.4237670898438,21.6639,3359.29,149
150,3242.15,750000,13.8191,-763.4012451171875,23.416,3264.19,150
151,3316.7,755000,14.0696,-546.3175048828125,21.4302,2819.82,151
152,3396.12,760000,14.0243,-785.609375,22.1879,3401.39,152
153,3219.99,765000,13.812,-767.741943359375,22.4452,3138.34,153
154,3368.33,770000,14.7308,-859.5001220703125,22.2736,3355.83,154
155,3394.18,775000,15.9212,-1401.040771484375,19.9438,2551.73,155
156,161.57,780000,14.847,-879.9139404296875,20.52,162.29,156
157,3300.17,785000,15.4813,-948.0394287109375,21.0457,3334.96,157
158,3393.22,790000,15.0088,-788.1551513671875,22.276,3401.12,158
159,3308.43,795000,13.9785,-914.4238891601562,22.2476,3242.94,159
160,174.62,800000,15.1745,-954.576904296875,21.4642,3226.39,160
161,3469.47,805000,16.1742,-1002.1284790039062,23.4304,3440.59,161
162,3408.96,810000,13.4288,-803.5712280273438,21.2,3409.36,162
163,3313.28,815000,14.1305,-837.1425170898438,21.1378,3203.03,163
164,3487.79,820000,12.7624,-1353.619140625,21.2433,2914.32,164
165,3442.64,825000,14.3331,-885.4798583984375,20.9081,3095.16,165
166,3430.62,830000,14.0246,-783.7057495117188,20.1707,3403.18,166
167,3432.56,835000,13.1137,-826.4454956054688,19.6596,3403.56,167
168,3357.63,840000,13.0354,-819.7486572265625,19.6218,3260.98,168
169,3475.11,845000,12.9233,-702.960693359375,20.5626,3429.12,169
170,3424.79,850000,15.0947,-999.5386352539062,21.5402,3422.66,170
171,3439.36,855000,15.0003,-1153.329345703125,23.2044,3438.82,171
172,3450.05,860000,14.4605,-921.6073608398438,20.6466,3390.98,172
173,3386.14,865000,14.9011,-873.5861206054688,20.4558,3412.15,173
174,3348.34,870000,14.5886,-1041.1544189453125,21.4598,3351.73,174
175,3178.85,875000,15.7481,-1478.188720703125,21.6611,3248.72,175
176,3486.24,880000,14.1814,-1028.680908203125,21.6221,3266.97,176
177,3462.05,885000,12.7679,-857.8353271484375,20.4045,3448.35,177
178,3264.36,890000,11.9631,-1143.64794921875,21.1641,3246.59,178
179,2792.02,895000,15.8139,-1781.3284912109375,21.4471,1921.09,179
180,3305.7,900000,13.6522,-968.5411987304688,20.1743,3318.28,180
181,3440.39,905000,12.8481,-1050.834716796875,22.2917,3221.54,181
182,3423.87,910000,13.1947,-999.7749633789062,20.174,3363.26,182
183,3468.57,915000,13.128,-962.6598510742188,19.3566,3452.91,183
184,3438.19,920000,13.2104,-1034.3197021484375,20.8184,3404.21,184
185,3396.1,925000,14.6086,-1418.690185546875,21.5553,2799.1,185
186,3455.26,930000,14.3565,-1073.19970703125,20.7711,3357.49,186
187,3494.77,935000,15.7151,-1337.6417236328125,23.7685,3464.86,187
188,3425.33,940000,14.1239,-1460.13525390625,21.3204,3370.93,188
189,3371.29,945000,13.4142,-1076.4896240234375,19.9323,3353.82,189
190,3454.5,950000,14.4769,-966.9703979492188,21.3994,3092.52,190
191,2017.64,955000,13.5991,-1212.74609375,19.848,1474.14,191
192,3410.15,960000,12.1175,-1117.56494140625,20.1317,3364.65,192
193,3486.16,965000,12.9333,-1218.41650390625,19.9688,3452.13,193
194,3387.8,970000,11.1712,-980.9703979492188,18.6313,3361.54,194
195,3445.65,975000,12.4121,-1051.154296875,19.1034,3413.92,195
196,3411.54,980000,13.2283,-1060.3094482421875,19.8503,3383.15,196
197,430.64,985000,13.2099,-1404.50732421875,20.2719,1361.86,197
198,3455.57,990000,13.2958,-1267.0723876953125,19.5623,3419.92,198
199,3474.94,995000,13.5075,-1335.8087158203125,19.2893,3421.98,199
