Real Sto Return,Running Update Time,Real Det Return,Running Env Steps,Itration,Running Forward KL,Running Reverse KL,Reward Loss
1376.33,31,2313.79,155000,31,55.7434,23.1553,-1395.3314208984375
1370.42,32,2091.0,160000,32,54.5356,22.6973,-1347.9107666015625
1099.84,33,1101.97,165000,33,55.0019,22.0881,-1535.5640869140625
2651.23,34,3310.52,170000,34,52.7836,24.9381,-1142.9317626953125
1398.12,35,1615.62,175000,35,52.0116,23.3773,-1134.5369873046875
1618.83,36,2153.69,180000,36,52.2209,24.6856,-1132.9278564453125
1323.76,37,2200.86,185000,37,52.8717,22.1807,-1365.23828125
3000.81,38,3185.46,190000,38,52.7381,29.8305,-1137.953857421875
1849.62,39,1960.79,195000,39,54.2008,22.8405,-1578.6131591796875
2363.12,40,3224.83,200000,40,54.1543,25.0838,-1358.4603271484375
3192.79,41,3553.41,205000,41,53.6747,28.887,-1187.60400390625
2799.52,42,3263.99,210000,42,54.3257,29.9628,-1170.50830078125
2740.5,43,4080.38,215000,43,55.3261,26.7293,-1435.2359619140625
2490.78,44,3803.7,220000,44,54.1476,25.7901,-1283.837158203125
2528.3,45,3475.68,225000,45,53.6265,29.2987,-1250.505615234375
1943.06,46,3616.98,230000,46,53.96,25.0574,-1563.8912353515625
3664.96,47,3819.53,235000,47,56.8881,36.2002,-1217.141845703125
2067.49,48,3435.9,240000,48,55.5234,25.6364,-1771.149658203125
3015.32,49,4138.02,245000,49,56.5144,35.3215,-1076.0965576171875
4174.11,50,4249.87,250000,50,56.0673,38.2118,-1144.697998046875
3295.85,51,3608.93,255000,51,55.0027,32.1031,-1207.5675048828125
3687.12,52,4370.94,260000,52,55.1498,27.2897,-1614.4027099609375
3183.66,53,4233.23,265000,53,56.6961,25.73,-2069.02978515625
3195.05,54,4351.69,270000,54,55.8462,28.4009,-1577.1302490234375
3397.61,55,4847.11,275000,55,55.7948,34.3354,-1347.4078369140625
3044.33,56,4663.07,280000,56,55.4078,26.2462,-1820.98876953125
1187.34,57,2331.3,285000,57,58.2813,25.8006,-2212.789306640625
4156.46,58,4760.39,290000,58,57.1464,36.5134,-1499.665771484375
2294.34,59,3262.16,295000,59,57.1802,30.9986,-2015.0015869140625
2981.5,60,4387.69,300000,60,58.1662,30.6895,-1857.9857177734375
2791.31,61,2959.91,305000,61,58.3598,38.3848,-1709.5635986328125
4214.77,62,4841.59,310000,62,58.0373,34.6201,-1750.6170654296875
3977.87,63,3813.72,315000,63,59.3144,33.5664,-1911.261962890625
2828.48,64,3960.67,320000,64,57.308,36.362,-1774.733642578125
2143.13,65,2109.73,325000,65,58.1577,27.5395,-2275.499755859375
3150.48,66,3145.08,330000,66,58.1908,35.9077,-1698.3363037109375
3422.78,67,4901.33,335000,67,57.9114,31.083,-2140.89013671875
2664.34,68,4131.32,340000,68,57.6044,32.045,-1958.0458984375
3312.59,69,4471.98,345000,69,59.306,34.2153,-2200.038330078125
3403.39,70,3611.39,350000,70,59.6379,36.9639,-2122.945556640625
3079.08,71,3604.97,355000,71,61.3165,43.0192,-2001.269287109375
3008.83,72,4032.4,360000,72,59.4361,33.4924,-2302.76318359375
3440.6,73,3840.13,365000,73,60.0219,41.0036,-2138.08203125
3856.88,74,4420.16,370000,74,58.8255,33.4992,-2367.669921875
3828.83,75,5124.15,375000,75,60.1015,36.4432,-2383.513671875
3352.11,76,4288.92,380000,76,60.0663,35.4397,-2399.612548828125
4416.43,77,5039.5,385000,77,61.3126,39.7627,-2343.288818359375
3670.03,78,4093.76,390000,78,59.2028,35.9236,-2510.10546875
4318.94,79,4877.61,395000,79,58.6438,37.5005,-2427.7822265625
4134.76,80,5251.15,400000,80,58.7895,36.1431,-2524.6591796875
3977.42,81,4303.21,405000,81,60.8522,40.745,-2627.85498046875
3924.83,82,3917.73,410000,82,60.2163,37.3129,-2602.457763671875
4865.54,83,5043.96,415000,83,60.2842,36.8066,-2814.73046875
4537.09,84,5093.14,420000,84,61.212,42.2474,-2779.07421875
5095.64,85,5218.72,425000,85,60.3493,41.0191,-2764.855712890625
4718.24,86,5195.24,430000,86,60.5542,37.4662,-3032.0947265625
3901.88,87,4091.73,435000,87,59.2625,38.5882,-3000.009033203125
4219.51,88,4900.5,440000,88,60.4917,37.0048,-3181.804931640625
3930.7,89,5316.76,445000,89,63.3614,46.5515,-3092.04248046875
4854.23,90,5509.0,450000,90,60.6696,37.4364,-3313.13671875
4586.48,91,4692.31,455000,91,61.3246,42.5803,-3140.3974609375
5117.84,92,5540.44,460000,92,61.5858,39.1239,-3338.84228515625
4539.21,93,5580.61,465000,93,64.1676,48.6542,-3274.16552734375
4631.35,94,5313.21,470000,94,63.0388,46.492,-3288.154052734375
3983.85,95,4843.37,475000,95,61.2958,41.7877,-3464.900146484375
3582.23,96,4769.04,480000,96,60.1153,37.6626,-3524.500244140625
3881.42,97,4456.68,485000,97,58.9719,35.5467,-3566.647705078125
2741.17,98,4861.89,490000,98,61.0381,41.0508,-3684.75830078125
4280.29,99,4930.13,495000,99,60.9696,37.9744,-3761.0068359375
4134.12,100,5100.99,500000,100,60.2703,40.0568,-3929.92138671875
5223.07,101,4692.07,505000,101,61.6284,42.9729,-3890.900390625
5061.85,102,5680.82,510000,102,64.346,50.2868,-3912.458740234375
3853.49,103,4023.88,515000,103,60.264,38.6793,-4034.654296875
4579.04,104,5579.8,520000,104,64.4726,46.9504,-4057.05859375
4151.15,105,4911.82,525000,105,63.8007,45.4211,-4157.58056640625
3913.14,106,5691.56,530000,106,63.2446,43.5306,-4528.791015625
3640.64,107,4496.51,535000,107,64.1864,46.696,-4389.8125
4910.37,108,5632.86,540000,108,63.7431,48.2144,-4406.24658203125
4403.65,109,5493.5,545000,109,62.232,44.5135,-4535.99658203125
4645.97,110,5095.3,550000,110,64.4346,48.1811,-4913.46337890625
4440.52,111,5362.25,555000,111,62.2618,47.0196,-4703.7880859375
4091.63,112,4447.39,560000,112,61.5404,35.7649,-4848.49169921875
4633.59,113,4998.33,565000,113,64.2359,46.1299,-4904.54150390625
4808.51,114,4788.65,570000,114,64.8707,49.1575,-5135.408203125
3209.56,115,4793.58,575000,115,64.6735,50.5789,-5110.3232421875
3975.15,116,4087.13,580000,116,64.451,48.063,-5408.6416015625
4589.37,117,5338.97,585000,117,61.6271,40.5544,-5278.94140625
5130.01,118,5510.35,590000,118,62.245,44.6897,-5275.71728515625
4574.27,119,5688.47,595000,119,62.8712,46.2354,-5392.43603515625
5402.22,120,5869.16,600000,120,66.3695,49.2864,-5811.1259765625
3531.12,121,5047.59,605000,121,63.7794,47.6205,-5643.22705078125
4445.02,122,4918.36,610000,122,61.3538,42.7064,-5936.15576171875
4000.25,123,5545.29,615000,123,61.9443,43.3978,-5791.35888671875
5205.55,124,5836.06,620000,124,65.6142,54.0735,-6165.0
4593.97,125,5435.06,625000,125,63.3343,49.1343,-6074.79443359375
4822.34,126,5192.15,630000,126,64.2947,50.4531,-6388.06591796875
4955.39,127,5075.74,635000,127,63.5376,49.4348,-6389.39453125
4033.19,128,4701.14,640000,128,65.2647,51.5204,-6501.11669921875
5468.98,129,5885.13,645000,129,62.6446,44.5563,-6613.41796875
4454.73,130,5372.93,650000,130,63.147,50.0335,-6789.64013671875
4140.0,131,5263.19,655000,131,63.2219,46.0791,-6767.6533203125
4932.23,132,5427.95,660000,132,62.1294,43.2759,-6840.3642578125
3790.85,133,4941.27,665000,133,65.6092,53.0303,-7130.236328125
4741.38,134,4798.41,670000,134,65.5417,51.1407,-7390.0517578125
3754.13,135,5732.74,675000,135,66.1332,52.9819,-7415.9873046875
4955.28,136,5014.0,680000,136,64.1321,47.729,-7603.76611328125
4136.18,137,5293.74,685000,137,66.4166,54.5893,-7835.99755859375
5151.68,138,5751.51,690000,138,63.8939,46.4078,-7722.33056640625
4842.26,139,5728.6,695000,139,61.7095,41.3563,-7669.8818359375
4416.1,140,4296.84,700000,140,62.8422,46.5493,-7910.3388671875
4182.32,141,5659.63,705000,141,63.3082,47.8728,-8278.50390625
4960.65,142,5482.59,710000,142,67.0134,56.6107,-8361.2548828125
5075.4,143,5405.38,715000,143,67.2785,54.3905,-8642.8310546875
4454.71,144,5293.84,720000,144,61.2249,35.5854,-7873.69970703125
3600.74,145,4572.31,725000,145,63.7906,48.122,-8573.533203125
4400.36,146,5364.7,730000,146,63.9792,48.2096,-8663.08984375
3363.07,147,4656.14,735000,147,64.5244,48.3878,-8750.30078125
4323.58,148,5722.76,740000,148,64.7469,49.5487,-8992.5048828125
4732.9,149,6036.18,745000,149,65.284,51.1904,-9271.603515625
5347.23,150,5545.5,750000,150,64.894,53.2995,-9594.734375
3992.49,151,5839.15,755000,151,63.7828,42.0006,-9127.2119140625
4853.89,152,5776.58,760000,152,68.361,59.3243,-9716.001953125
4236.96,153,5106.32,765000,153,63.2115,46.4602,-9718.560546875
4373.82,154,5376.69,770000,154,64.6112,51.6328,-9975.0517578125
5244.33,155,5803.98,775000,155,66.7346,55.0877,-10381.2060546875
5083.25,156,5834.43,780000,156,63.9701,47.8109,-10220.234375
5239.7,157,5826.25,785000,157,65.1128,49.1714,-10616.97265625
5086.4,158,5406.69,790000,158,63.3588,46.2374,-10412.7333984375
4430.49,159,5815.27,795000,159,65.5014,50.4848,-10593.376953125
5265.18,160,5426.35,800000,160,63.0978,46.9058,-10900.1689453125
5404.77,161,5637.94,805000,161,63.6117,46.2826,-10901.63671875
4825.39,162,6045.21,810000,162,65.9568,54.7782,-11374.4609375
5388.78,163,5950.4,815000,163,65.2368,49.251,-11376.0595703125
4761.98,164,5400.23,820000,164,63.7733,46.6205,-11321.1923828125
5192.22,165,5572.9,825000,165,66.7086,56.6209,-11864.5966796875
4990.4,166,5469.06,830000,166,64.857,48.3637,-11961.171875
4365.42,167,4636.01,835000,167,68.4852,58.7772,-12521.0673828125
4720.66,168,5239.23,840000,168,65.5193,50.76,-12108.3701171875
4141.78,169,5439.4,845000,169,65.0558,53.6506,-12386.9814453125
4815.53,170,5795.81,850000,170,68.1653,56.6152,-12917.2900390625
3990.0,171,5310.38,855000,171,65.2194,53.7906,-13309.4658203125
5474.73,172,5969.32,860000,172,69.0242,58.7585,-13614.5234375
5065.13,173,6029.43,865000,173,64.0214,48.5586,-12996.23046875
5108.37,174,5602.62,870000,174,67.6243,56.2898,-13678.49609375
5081.69,175,5901.62,875000,175,67.9261,56.7405,-14075.537109375
5315.98,176,5778.84,880000,176,65.704,50.4932,-13787.1357421875
4757.54,177,5278.02,885000,177,67.7934,55.3907,-14320.7958984375
4841.2,178,5778.2,890000,178,69.4482,58.1514,-14845.9814453125
4862.08,179,5398.47,895000,179,67.446,57.4616,-14702.3427734375
3701.47,180,5360.34,900000,180,65.4706,51.2773,-14679.619140625
4377.6,181,5701.99,905000,181,68.1062,57.2936,-15333.599609375
4391.91,182,5553.47,910000,182,67.4865,55.4902,-15185.6064453125
4546.4,183,4865.75,915000,183,66.1744,52.644,-15372.654296875
4160.47,184,5385.51,920000,184,68.9355,59.3089,-15983.271484375
4503.41,185,5510.13,925000,185,64.7776,50.6682,-15205.3193359375
4453.81,186,5014.21,930000,186,65.7173,53.7772,-15995.2900390625
4710.72,187,5767.73,935000,187,66.9882,53.5823,-16351.044921875
5278.31,188,5847.06,940000,188,65.7135,52.4539,-16493.740234375
5111.66,189,5175.68,945000,189,66.4011,52.001,-16362.7939453125
5317.12,190,6010.61,950000,190,67.7179,57.8547,-17229.154296875
4539.03,191,6012.78,955000,191,64.6179,46.8039,-16701.017578125
4754.91,192,4963.78,960000,192,65.4853,50.5824,-17136.017578125
4707.94,193,4983.67,965000,193,67.8776,56.8418,-17695.984375
5540.5,194,5754.22,970000,194,64.829,50.5273,-17436.884765625
4846.65,195,5734.0,975000,195,65.6872,53.8268,-18065.576171875
2491.29,196,4354.87,980000,196,67.3622,55.4858,-18093.228515625
5105.35,197,5700.09,985000,197,69.6087,61.2611,-19084.44921875
4636.69,198,5189.42,990000,198,65.5808,52.8808,-18493.94140625
4493.91,199,5671.09,995000,199,66.5178,49.6421,-18992.123046875
5151.03,200,5882.34,1000000,200,67.8344,56.6066,-19257.640625
4976.28,201,5709.46,1005000,201,66.5649,54.6318,-19285.93359375
5024.81,202,5061.53,1010000,202,64.9302,50.8744,-19102.724609375
4912.53,203,4752.01,1015000,203,70.6509,62.8425,-20404.515625
4950.76,204,5978.81,1020000,204,65.1887,53.0991,-19965.16796875
4429.35,205,4762.04,1025000,205,65.3558,52.7008,-19997.146484375
4725.72,206,5527.85,1030000,206,64.0104,46.6442,-19619.23046875
4898.76,207,5508.6,1035000,207,66.8374,55.1454,-20739.892578125
4581.8,208,5976.01,1040000,208,66.0372,52.9597,-20773.236328125
5349.65,209,5604.87,1045000,209,66.6078,56.7966,-21338.90625
4641.48,210,5422.57,1050000,210,68.722,59.612,-21905.32421875
4932.42,211,5465.02,1055000,211,64.5238,51.3846,-21135.59375
3862.99,212,5082.54,1060000,212,70.8757,61.3689,-22411.765625
5454.16,213,5716.62,1065000,213,65.4818,51.154,-21620.7578125
5254.3,214,5879.28,1070000,214,65.6856,54.9863,-22448.337890625
3490.26,215,5253.14,1075000,215,67.7196,58.2321,-22992.77734375
5166.9,216,5455.18,1080000,216,65.3342,54.5382,-22767.1640625
4123.92,217,5491.64,1085000,217,70.0885,61.1696,-23511.009765625
4424.96,218,5709.83,1090000,218,65.8829,56.95,-23066.48828125
4349.66,219,5445.36,1095000,219,65.6638,53.772,-23230.46875
4094.15,220,4829.19,1100000,220,64.3528,50.2383,-22607.08203125
5412.77,221,5607.77,1105000,221,69.8559,62.0911,-24432.431640625
4417.47,222,5174.35,1110000,222,69.6125,60.3649,-24605.150390625
4572.07,223,4473.86,1115000,223,70.6341,61.54,-24875.271484375
3692.76,224,5138.31,1120000,224,65.398,51.6695,-24211.88671875
4993.8,225,5571.88,1125000,225,68.3641,59.5662,-25021.984375
5006.21,226,5370.47,1130000,226,69.709,60.3618,-25488.88671875
5477.19,227,5235.53,1135000,227,65.6821,52.6844,-24803.220703125
4974.2,228,5614.94,1140000,228,65.7199,55.1072,-25255.00390625
4534.15,229,5455.17,1145000,229,71.0201,64.7885,-26658.556640625
4868.91,230,5265.49,1150000,230,68.5436,58.6999,-26109.99609375
4812.56,231,5759.46,1155000,231,70.3578,62.4446,-26763.787109375
4810.37,232,5763.79,1160000,232,69.2377,59.9634,-26904.578125
5158.86,233,5751.57,1165000,233,70.2057,62.7326,-27087.453125
5101.37,234,5307.23,1170000,234,65.9006,53.6707,-26244.099609375
4169.44,235,5138.21,1175000,235,68.386,57.8739,-26855.060546875
4535.27,236,5766.51,1180000,236,69.8567,61.8496,-27745.984375
4354.33,237,4847.9,1185000,237,70.8515,62.1739,-27745.640625
5150.07,238,5895.68,1190000,238,69.4555,61.3624,-27974.68359375
4860.03,239,6117.37,1195000,239,67.2212,56.1003,-27327.04296875
5286.49,240,5907.82,1200000,240,70.1056,62.8279,-28664.330078125
5170.2,241,5976.52,1205000,241,72.6437,65.1648,-29070.044921875
5324.41,242,6040.15,1210000,242,70.8576,63.4774,-28985.736328125
4665.97,243,5432.23,1215000,243,65.5003,55.2244,-27783.27734375
4900.09,244,6021.78,1220000,244,72.4299,66.7437,-30013.4609375
4838.79,245,5403.67,1225000,245,66.2604,56.9826,-28474.201171875
5357.01,246,5617.27,1230000,246,67.9619,58.7395,-29285.693359375
5487.64,247,6026.44,1235000,247,64.7101,52.4673,-28057.798828125
4600.94,248,5978.79,1240000,248,71.5089,62.8532,-30484.2265625
4699.67,249,5860.76,1245000,249,70.7349,62.5661,-30925.83984375
4865.09,250,5462.81,1250000,250,67.8883,59.1374,-29719.3984375
5658.34,251,6050.39,1255000,251,71.9436,64.2386,-31392.1328125
5316.32,252,5797.61,1260000,252,70.5716,61.0893,-31522.826171875
4741.9,253,6009.33,1265000,253,66.4013,54.3918,-29876.7734375
4522.03,254,5957.95,1270000,254,69.8467,62.7294,-31832.857421875
5770.77,255,5828.12,1275000,255,66.7605,55.4127,-30989.765625
5207.31,256,5786.0,1280000,256,70.4511,62.948,-32242.75
4211.42,257,5400.24,1285000,257,70.9953,62.9873,-32670.822265625
5021.17,258,5516.02,1290000,258,72.466,64.9815,-32985.22265625
5324.8,259,5554.63,1295000,259,67.0857,55.6012,-31760.265625
5316.72,260,5827.92,1300000,260,65.1917,48.7488,-29867.486328125
5027.57,261,5728.5,1305000,261,66.4133,55.3504,-31666.10546875
4747.2,262,5803.36,1310000,262,65.9213,53.9223,-31819.072265625
4882.23,263,5498.4,1315000,263,70.2715,62.9037,-33959.84375
5205.86,264,5740.67,1320000,264,70.4952,61.773,-34358.6484375
5254.7,265,6095.02,1325000,265,69.1027,59.1532,-33112.734375
4710.1,266,6007.23,1330000,266,69.9755,61.9245,-34068.03125
3969.19,267,5914.82,1335000,267,71.3881,63.3983,-35178.6171875
5226.21,268,5469.5,1340000,268,70.9829,63.1066,-35088.9375
4837.92,269,5943.16,1345000,269,70.4201,61.7086,-34969.71484375
4456.29,270,6220.28,1350000,270,66.6148,53.0521,-33312.80078125
4562.68,271,6077.63,1355000,271,68.4351,59.3662,-34187.8203125
4680.59,272,5958.71,1360000,272,65.8628,51.8108,-33234.375
5380.62,273,5278.48,1365000,273,69.8264,59.4718,-35832.0625
5402.44,274,5873.39,1370000,274,64.7803,48.2629,-33024.62890625
5332.0,275,5193.03,1375000,275,69.9916,59.3062,-36212.31640625
5046.79,276,6110.34,1380000,276,71.5744,62.0089,-37412.390625
4706.33,277,6154.79,1385000,277,68.8407,56.8162,-35808.03515625
4520.39,278,5455.06,1390000,278,68.6223,58.2821,-36717.07421875
4600.82,279,5892.03,1395000,279,67.1673,57.0441,-35158.4296875
4258.03,280,5702.18,1400000,280,68.9204,57.1381,-36708.96484375
3913.62,281,5542.23,1405000,281,65.9524,54.5972,-35406.48828125
4627.98,282,5497.26,1410000,282,66.5156,52.5823,-35610.95703125
5062.18,283,5639.41,1415000,283,69.5111,58.3863,-38208.09375
4703.38,284,6027.66,1420000,284,70.3751,60.3392,-38097.859375
4670.37,285,5830.93,1425000,285,69.7569,59.6983,-38973.26953125
4283.68,286,5834.75,1430000,286,68.7405,58.4812,-38916.05078125
4534.62,287,5462.83,1435000,287,65.0508,51.7939,-36826.28515625
4991.73,288,5237.47,1440000,288,70.7615,62.1005,-39561.97265625
5190.86,289,5708.29,1445000,289,71.0571,63.1568,-40020.328125
4641.85,290,5879.48,1450000,290,70.5154,61.9664,-40624.8828125
5407.34,291,5747.85,1455000,291,69.4247,60.0361,-40520.38671875
4300.04,292,5338.02,1460000,292,70.1658,59.2939,-40293.9296875
4671.67,293,6014.74,1465000,293,68.5696,60.7098,-40619.640625
5048.82,294,5547.44,1470000,294,70.8075,60.5765,-41175.69921875
4950.01,295,5362.93,1475000,295,70.6247,60.7138,-41215.0234375
3877.07,296,5531.59,1480000,296,67.9699,56.322,-40594.73046875
5050.22,297,5479.98,1485000,297,64.3752,49.32,-37103.26953125
5139.57,298,5511.28,1490000,298,66.5228,56.7746,-40931.17578125
4682.63,299,6008.88,1495000,299,70.1241,60.8387,-42086.4921875
5257.17,300,5826.98,1500000,300,65.7657,52.8313,-40083.2734375
4858.21,301,6085.82,1505000,301,69.9421,58.557,-42869.79296875
4954.07,302,5796.3,1510000,302,68.7923,59.9935,-42303.51171875
4863.24,303,5398.9,1515000,303,65.7864,52.845,-40310.2890625
4575.84,304,5276.52,1520000,304,70.2527,60.2184,-43673.359375
4597.01,305,5710.61,1525000,305,71.5577,64.8789,-44447.8515625
4865.85,306,5723.22,1530000,306,66.9372,55.6243,-43009.54296875
4953.02,307,5641.69,1535000,307,64.3469,50.2764,-39295.68359375
5254.19,308,6102.0,1540000,308,65.764,53.8538,-41704.69921875
4704.73,309,5279.78,1545000,309,71.3532,61.4853,-46161.5390625
4572.86,310,6023.33,1550000,310,70.5378,62.4163,-45220.1953125
4974.41,311,5421.96,1555000,311,66.6141,54.6126,-43962.94921875
4122.72,312,5104.78,1560000,312,70.242,61.9107,-45710.12109375
4783.9,313,5497.5,1565000,313,70.4674,61.2017,-45887.23828125
5060.81,314,5766.39,1570000,314,71.5791,62.3999,-46393.609375
5092.74,315,5522.03,1575000,315,69.7027,58.9578,-46237.5
5363.99,316,5841.61,1580000,316,70.2398,61.2031,-46942.421875
4053.91,317,4899.81,1585000,317,67.0514,57.8821,-45571.109375
5107.49,318,5218.71,1590000,318,71.5667,61.8161,-48055.99609375
4368.59,319,5282.74,1595000,319,68.3243,60.5084,-45703.90625
5168.45,320,5743.82,1600000,320,71.752,64.0196,-49020.05859375
4785.11,321,5598.63,1605000,321,68.7074,60.2104,-47002.96484375
5256.58,322,6084.72,1610000,322,72.9025,65.24,-48883.359375
5156.3,323,5849.48,1615000,323,66.2693,57.5833,-45972.23046875
5279.1,324,5817.8,1620000,324,66.7174,53.9558,-45758.82421875
5343.25,325,5672.05,1625000,325,72.2458,64.671,-50092.92578125
5700.38,326,5784.58,1630000,326,67.1799,56.7025,-47164.3828125
5074.45,327,6021.62,1635000,327,71.4731,64.6167,-50607.6796875
5702.52,328,5862.84,1640000,328,66.9205,57.1511,-47962.62890625
5271.36,329,5263.92,1645000,329,69.1832,59.1508,-50137.0
5481.68,330,6105.61,1650000,330,69.9178,58.4845,-50336.65625
5092.85,331,5414.29,1655000,331,71.2839,64.3335,-51427.44921875
5596.25,332,6188.86,1660000,332,65.8071,50.7718,-46633.53125
5443.47,333,5845.11,1665000,333,68.3725,56.215,-50115.99609375
5477.54,334,5835.36,1670000,334,71.9456,64.6798,-52033.84375
5368.04,335,6123.96,1675000,335,69.1947,62.4052,-51392.7421875
5114.94,336,5795.75,1680000,336,70.1629,62.3644,-53053.0546875
5047.41,337,5585.89,1685000,337,63.9659,47.2377,-44973.25390625
5512.35,338,6077.96,1690000,338,71.8215,64.9787,-53698.28515625
5670.31,339,5513.52,1695000,339,70.5799,61.6452,-52864.99609375
5665.4,340,5923.87,1700000,340,65.0468,51.8715,-48805.42578125
5171.71,341,5732.25,1705000,341,64.6988,47.4095,-45736.3671875
4351.4,342,5297.97,1710000,342,67.1874,53.8297,-50014.24609375
5404.09,343,5812.71,1715000,343,71.8472,62.2222,-54343.41015625
5361.58,344,5828.89,1720000,344,67.8825,59.3516,-51969.89453125
5728.38,345,5861.74,1725000,345,71.9942,62.453,-55393.4765625
5468.02,346,5600.2,1730000,346,69.127,59.6017,-54105.87109375
5030.21,347,5762.08,1735000,347,71.5887,62.8172,-55361.0859375
5102.88,348,6022.68,1740000,348,66.7458,53.6989,-50646.50390625
5102.12,349,6115.49,1745000,349,71.435,61.0591,-55634.03515625
5482.17,350,6117.45,1750000,350,65.1472,51.4981,-50748.7578125
4780.84,351,5767.97,1755000,351,71.4612,61.2625,-56093.0390625
4516.94,352,5865.07,1760000,352,66.3372,53.5896,-51510.75390625
4792.93,353,5505.15,1765000,353,66.0947,53.2813,-50324.93359375
4800.44,354,5551.98,1770000,354,71.6594,63.2397,-55955.765625
5672.34,355,5924.5,1775000,355,69.1539,57.6343,-55478.4140625
5327.33,356,5425.99,1780000,356,70.23,60.4874,-55499.91015625
4804.96,357,6072.82,1785000,357,68.1307,58.3524,-53315.52734375
5410.77,358,5821.98,1790000,358,71.7517,62.685,-57722.0625
5225.86,359,6091.29,1795000,359,67.2003,55.0771,-52694.109375
4650.15,360,6082.81,1800000,360,71.3948,60.352,-55501.890625
5310.22,361,5743.31,1805000,361,68.4006,58.5492,-55706.07421875
5575.08,362,5752.65,1810000,362,67.1937,55.7347,-52882.15625
4715.9,363,5789.94,1815000,363,70.8234,60.0181,-57442.53125
5027.99,364,5862.29,1820000,364,67.3535,54.7307,-53656.4140625
5207.36,365,6099.75,1825000,365,70.9336,60.8145,-57286.23046875
5678.64,366,5476.1,1830000,366,70.5107,59.0503,-57506.9921875
5459.48,367,6073.42,1835000,367,69.5466,62.5751,-56844.7890625
4751.64,368,6075.91,1840000,368,72.112,62.2888,-58642.6171875
5358.53,369,5463.88,1845000,369,72.0887,61.8814,-58388.859375
5005.17,370,5670.94,1850000,370,71.0356,62.0616,-58388.95703125
4580.8,371,5976.09,1855000,371,71.205,63.07,-58969.67578125
4218.19,372,5362.61,1860000,372,71.3631,61.0769,-58469.8828125
5283.4,373,6085.65,1865000,373,72.2975,62.7424,-59788.21875
4893.56,374,5748.14,1870000,374,73.4083,64.6538,-60270.0078125
4389.13,375,5510.72,1875000,375,71.4302,61.8876,-59629.1484375
5322.18,376,6072.95,1880000,376,71.7453,60.8911,-60082.8203125
4089.97,377,5756.8,1885000,377,71.0702,63.5896,-59251.953125
5304.82,378,6014.53,1890000,378,72.8558,64.2675,-60692.91015625
5407.38,379,5600.77,1895000,379,71.3919,59.6431,-60842.8828125
5019.98,380,6118.62,1900000,380,70.849,59.8165,-60476.9140625
5159.0,381,6062.37,1905000,381,71.0029,61.6079,-60531.55859375
5166.17,382,5596.83,1910000,382,73.8658,64.5227,-61564.41015625
4825.64,383,5713.3,1915000,383,71.5312,63.1304,-61656.66796875
5555.6,384,6041.5,1920000,384,72.2713,64.5377,-62306.38671875
5239.61,385,6072.69,1925000,385,71.4195,63.799,-63045.26953125
4806.3,386,5394.41,1930000,386,73.451,64.7191,-62144.94140625
5244.98,387,5801.61,1935000,387,70.09,59.594,-61330.734375
4994.87,388,5832.72,1940000,388,71.8635,61.0096,-62305.07421875
5317.84,389,4777.21,1945000,389,71.0997,60.2385,-61166.3984375
5279.2,390,5788.79,1950000,390,70.9885,61.44,-62203.51171875
