Running Update Time,Itration,Real Det Return,Running Forward KL,Running Env Steps,Reward Loss,Real Sto Return,Running Reverse KL
27,27,3185.75,28.4789,135000,-22.981874465942383,3080.27,15.8884
28,28,3173.84,28.4937,140000,-24.38334083557129,2915.28,15.0161
29,29,3276.51,29.4731,145000,-18.81145668029785,3158.46,17.8808
30,30,3276.82,28.3128,150000,-18.62885856628418,3316.9,15.3737
31,31,3273.87,27.44,155000,-22.710792541503906,3236.68,14.1435
32,32,3168.51,27.4574,160000,-26.348918914794922,3096.65,13.9807
33,33,3307.38,28.7976,165000,-32.748573303222656,3322.57,16.2028
34,34,3073.2,28.0545,170000,-42.51605224609375,3171.85,13.1657
35,35,3284.06,27.2397,175000,-25.954910278320312,3268.89,12.8652
36,36,3341.32,27.5388,180000,-36.521183013916016,2798.95,13.5426
37,37,3389.33,27.7616,185000,-35.76321029663086,3191.44,14.1678
38,38,3312.49,29.5802,190000,-48.28864288330078,3141.88,17.0047
39,39,3329.45,28.0017,195000,-38.902923583984375,2661.17,14.6378
40,40,3370.37,29.2067,200000,-55.72795867919922,3374.69,16.4669
41,41,3399.94,28.2702,205000,-44.45694351196289,3370.0,15.1031
42,42,3168.79,29.1896,210000,-75.84534454345703,1921.9,16.3335
43,43,3386.71,28.0205,215000,-44.24091339111328,3261.9,14.6608
44,44,3358.53,27.7435,220000,-57.53092575073242,3358.1,14.6349
45,45,3406.18,28.3559,225000,-51.62641525268555,3394.04,14.3924
46,46,3402.92,27.3676,230000,-44.58173370361328,3387.31,13.4129
47,47,3421.07,27.6094,235000,-56.88108444213867,3366.3,14.6409
48,48,3414.9,27.3161,240000,-57.16322326660156,3280.7,14.4282
49,49,3428.23,27.5224,245000,-69.09610748291016,3408.54,14.9663
50,50,3385.55,26.6748,250000,-69.3899917602539,3286.21,13.1982
51,51,3405.01,27.8694,255000,-71.35661315917969,3381.22,15.0119
52,52,3405.31,26.8542,260000,-66.04719543457031,3357.35,13.6932
53,53,3444.44,26.7828,265000,-67.16934204101562,3226.12,12.7678
54,54,3155.5,28.5584,270000,-91.84086608886719,3249.05,16.347
55,55,3205.51,25.8931,275000,-64.39607238769531,2434.59,11.76
56,56,3439.83,27.7314,280000,-63.13566970825195,3425.8,14.8966
57,57,3381.59,26.9235,285000,-82.11644744873047,3359.17,14.0296
58,58,3377.47,26.8598,290000,-80.45451354980469,3345.45,14.0705
59,59,3429.06,26.725,295000,-82.28119659423828,3306.19,13.2739
60,60,3428.39,27.0551,300000,-92.16455841064453,3420.24,14.4111
61,61,3405.0,26.5652,305000,-90.80924987792969,3382.24,14.262
62,62,3419.08,26.7662,310000,-100.6372299194336,3406.95,14.6311
63,63,3427.54,26.6073,315000,-84.8593978881836,3414.02,13.7506
64,64,3482.68,28.2036,320000,-116.93152618408203,3133.52,15.3397
65,65,3408.65,26.5489,325000,-98.39682006835938,3396.89,13.9769
66,66,3387.55,26.7262,330000,-99.12142181396484,3263.26,12.8099
67,67,3415.8,26.755,335000,-101.49598693847656,3407.25,14.6339
68,68,3381.85,27.3579,340000,-102.37710571289062,3376.28,14.0088
69,69,3402.57,27.5981,345000,-115.48545837402344,3388.81,15.008
70,70,3447.34,26.5488,350000,-110.22705078125,3426.68,14.6831
71,71,3438.27,26.6649,355000,-110.3335189819336,3416.31,14.6342
72,72,3348.83,26.0209,360000,-125.85730743408203,3347.12,13.4655
73,73,3441.28,26.8783,365000,-113.99932098388672,3376.78,13.9247
74,74,3418.57,25.9581,370000,-128.6913299560547,3410.9,14.2258
75,75,3398.06,26.6283,375000,-114.17832946777344,3405.74,14.613
76,76,3461.38,26.2849,380000,-125.55744934082031,2964.91,13.261
77,77,3448.72,27.0387,385000,-123.12681579589844,3435.31,14.647
78,78,3415.93,27.2452,390000,-127.35231018066406,3397.94,15.0616
79,79,3411.26,27.65,395000,-138.1880645751953,3393.98,14.6271
80,80,3448.94,26.5879,400000,-136.46253967285156,3424.12,14.0668
81,81,3448.18,27.2939,405000,-138.4141845703125,3436.44,15.1993
82,82,3413.44,26.5871,410000,-147.1631317138672,3402.46,14.0903
83,83,3433.68,25.7188,415000,-124.81327056884766,3292.12,13.5352
84,84,3453.49,26.2976,420000,-142.8150177001953,3429.66,14.0462
85,85,3439.44,26.6791,425000,-151.07833862304688,3423.43,14.7061
86,86,3465.88,26.9729,430000,-154.12655639648438,3439.57,14.1275
87,87,3440.84,26.6004,435000,-162.18502807617188,3413.47,14.1382
88,88,3432.51,26.0702,440000,-164.5042266845703,3409.45,13.9335
89,89,3419.04,26.5734,445000,-152.75466918945312,3288.18,13.9284
90,90,3366.31,27.4001,450000,-173.02670288085938,3356.98,14.5652
91,91,3461.23,26.8318,455000,-158.19207763671875,3436.58,14.5062
92,92,3454.99,26.0587,460000,-162.19418334960938,3396.14,13.7512
93,93,3442.21,26.1113,465000,-161.1990966796875,3306.46,14.1503
94,94,3353.62,25.7893,470000,-142.77450561523438,2164.66,13.6998
95,95,3446.77,26.6238,475000,-166.9709014892578,3202.02,13.8741
96,96,3402.13,26.7516,480000,-122.0037841796875,3193.07,13.3463
97,97,3434.44,25.8109,485000,-143.42465209960938,3121.18,12.7122
98,98,3447.21,26.6136,490000,-175.6714630126953,3394.18,14.2904
99,99,3432.37,26.2101,495000,-173.02369689941406,3305.01,14.0362
100,100,3409.92,25.9305,500000,-173.49134826660156,2303.46,14.1561
101,101,3451.03,26.1647,505000,-172.7127685546875,3305.67,13.2632
102,102,3433.2,26.2256,510000,-187.0848846435547,3349.25,14.3111
103,103,3447.37,25.6641,515000,-184.26121520996094,3387.03,13.9686
104,104,3447.63,25.89,520000,-191.1726531982422,3415.81,13.9209
105,105,3482.66,25.4574,525000,-176.41558837890625,3303.06,13.611
106,106,3191.5,25.9611,530000,-158.38885498046875,2875.07,12.0498
107,107,3457.02,26.0598,535000,-194.79022216796875,3434.1,13.7842
108,108,3461.34,24.9397,540000,-200.59173583984375,3442.94,13.1671
109,109,3447.36,25.4841,545000,-185.31936645507812,3411.97,13.4629
110,110,3436.7,25.517,550000,-205.8014373779297,3374.6,13.7804
111,111,3428.52,25.5099,555000,-215.7652130126953,3408.42,13.1726
112,112,3469.4,25.7001,560000,-191.8075408935547,3285.84,13.1618
113,113,3462.76,25.7268,565000,-195.6646270751953,3372.82,13.6013
114,114,3466.46,25.045,570000,-174.67669677734375,3332.46,12.2193
115,115,3439.53,26.3057,575000,-210.00086975097656,3395.28,13.5052
116,116,3438.21,25.9555,580000,-225.09666442871094,3415.95,13.8545
117,117,3447.33,25.0184,585000,-202.3195037841797,3419.58,13.2851
118,118,3450.12,25.7615,590000,-224.56631469726562,3432.36,13.7944
119,119,3449.39,24.6836,595000,-205.5721435546875,3355.86,12.685
120,120,3444.41,26.0442,600000,-227.175048828125,3430.68,13.9273
121,121,3462.75,25.6176,605000,-196.0382537841797,3419.95,13.1048
122,122,3441.87,25.1321,610000,-209.42193603515625,3291.97,13.0745
123,123,3431.53,25.9232,615000,-238.85768127441406,3401.5,13.8856
124,124,3459.88,24.9784,620000,-235.6476593017578,3443.75,12.8802
125,125,3450.32,25.3443,625000,-217.5127716064453,3332.85,13.0427
126,126,3439.21,26.1388,630000,-230.95697021484375,3423.75,13.6681
127,127,3465.2,25.8596,635000,-229.48995971679688,3397.64,13.0007
128,128,3427.1,25.6049,640000,-222.1707763671875,3388.18,13.2545
129,129,3449.35,26.171,645000,-244.25453186035156,3437.93,14.2581
130,130,3405.97,24.9881,650000,-223.55677795410156,3413.82,12.7886
131,131,3479.35,25.2875,655000,-211.8407440185547,3310.74,12.6124
132,132,3447.12,25.1196,660000,-236.45668029785156,3438.68,13.5433
133,133,3453.64,25.3462,665000,-241.32254028320312,3423.65,12.7168
134,134,3422.55,25.5547,670000,-220.6026153564453,3344.57,12.8569
135,135,3448.04,24.7991,675000,-248.5667724609375,3436.55,12.9736
136,136,3420.76,25.8296,680000,-262.0165100097656,3400.38,14.0172
137,137,3444.97,25.3458,685000,-242.11268615722656,3387.48,12.7699
138,138,3442.23,25.3275,690000,-241.4501953125,3406.54,12.5831
139,139,3434.99,25.0404,695000,-249.35133361816406,3403.83,13.0056
140,140,3441.83,25.5562,700000,-254.7793426513672,3404.04,13.6454
141,141,3421.21,25.5805,705000,-257.6369323730469,3399.63,13.4598
142,142,3454.26,25.8588,710000,-226.49203491210938,3074.1,12.4789
143,143,3431.43,24.8828,715000,-246.66485595703125,3407.99,12.5055
144,144,3455.32,25.3509,720000,-232.51498413085938,3433.09,13.4426
145,145,3440.95,25.3873,725000,-263.19073486328125,3410.53,13.1057
146,146,3451.83,25.4253,730000,-278.8492736816406,3437.8,13.6391
147,147,3427.48,24.8384,735000,-262.7092590332031,3351.67,13.1913
148,148,3458.79,25.7161,740000,-273.13885498046875,3352.87,13.1969
149,149,3456.39,26.2946,745000,-279.1837463378906,3443.38,14.0988
150,150,3452.89,25.4215,750000,-242.32716369628906,2802.64,11.5217
151,151,3432.49,25.0911,755000,-285.5234069824219,3402.83,12.8691
152,152,3459.02,25.5151,760000,-294.4517517089844,3428.67,13.0839
153,153,3432.1,26.0268,765000,-293.1090393066406,3304.68,13.292
154,154,3460.11,25.924,770000,-253.82467651367188,2895.96,12.5812
155,155,3420.14,26.5329,775000,-279.01580810546875,3008.17,13.3507
156,156,3425.83,25.0589,780000,-283.3994445800781,3407.45,13.0807
157,157,3404.35,25.5343,785000,-272.56317138671875,3304.92,12.7112
158,158,3426.95,24.9529,790000,-271.5571594238281,3283.6,12.0173
159,159,3439.85,25.2719,795000,-311.96630859375,3425.67,13.1058
160,160,3458.96,25.6264,800000,-258.6194152832031,3059.39,12.3761
161,161,3417.57,25.3185,805000,-296.4081115722656,2814.91,13.0022
162,162,3435.71,25.6224,810000,-335.95867919921875,3312.62,13.3363
163,163,3442.75,25.3416,815000,-298.8892517089844,3119.59,12.8694
164,164,3466.51,24.7022,820000,-314.5102233886719,3433.05,12.7853
165,165,3445.99,25.1573,825000,-308.6120300292969,3399.66,12.7711
166,166,3468.49,25.269,830000,-318.46148681640625,3355.99,13.4158
167,167,3440.96,25.3518,835000,-314.22235107421875,3057.1,12.1444
168,168,3463.73,25.0869,840000,-304.359130859375,3144.26,12.4844
169,169,3423.84,24.6552,845000,-353.05401611328125,3382.66,12.3627
170,170,3457.02,25.6041,850000,-310.5071716308594,3242.81,12.8078
171,171,3442.57,24.732,855000,-318.6258850097656,3345.93,12.0449
172,172,3432.57,25.3894,860000,-312.1370544433594,3405.75,13.199
173,173,3434.69,25.9775,865000,-281.94537353515625,3059.25,12.5099
174,174,3461.92,25.2864,870000,-294.2186279296875,3237.58,12.1875
175,175,3453.51,25.2701,875000,-309.6090087890625,3115.45,13.0392
176,176,3455.75,25.2593,880000,-333.7256164550781,3368.57,13.3025
177,177,3405.37,25.5836,885000,-310.6215515136719,3340.56,12.6245
178,178,3424.26,24.986,890000,-354.21551513671875,3344.75,13.3212
179,179,3447.01,26.0243,895000,-319.0896911621094,2825.96,12.6582
180,180,3410.73,25.9669,900000,-372.04571533203125,3396.87,13.3183
181,181,3451.28,24.9929,905000,-333.565673828125,2986.65,12.04
182,182,3465.55,25.0732,910000,-333.2363586425781,3453.24,12.7246
183,183,3443.47,25.8729,915000,-379.301513671875,3414.95,13.7066
184,184,3460.99,25.8503,920000,-377.0296630859375,3351.56,13.5839
185,185,3447.59,25.5275,925000,-367.4981384277344,3275.63,12.9249
186,186,3468.43,25.1084,930000,-374.115478515625,3246.71,13.1249
187,187,3446.8,25.2962,935000,-396.6621398925781,3438.29,12.718
188,188,3430.42,24.5922,940000,-382.8348388671875,3237.43,12.7397
189,189,3474.11,26.3495,945000,-317.241943359375,2347.57,13.1906
190,190,3459.54,25.8211,950000,-387.60345458984375,3369.21,13.5551
191,191,3468.63,25.5994,955000,-394.1070251464844,3447.6,13.6503
192,192,3440.49,24.9972,960000,-389.6336669921875,3306.67,13.0566
193,193,3470.58,24.8133,965000,-389.56292724609375,3284.14,12.8603
194,194,3465.3,25.1477,970000,-389.7760009765625,3212.8,13.1668
195,195,3449.64,24.9767,975000,-426.02423095703125,3417.71,13.0839
196,196,3489.8,25.5345,980000,-335.6966552734375,2520.61,12.8557
197,197,3433.45,25.2401,985000,-451.641357421875,3394.33,13.1353
198,198,3448.57,24.8603,990000,-446.3637390136719,3415.8,12.5887
199,199,3505.15,24.0655,995000,-407.4324951171875,3484.69,12.7851
