Real Det Return,Itration,Real Sto Return,Reward Loss,Running Update Time,Running Reverse KL,Running Forward KL,Running Env Steps
132.48,58,141.81,-5359.6181640625,58,223.7869,30.3033,290000
1096.34,59,1222.79,-2511.202880859375,59,16.5869,30.7868,295000
251.82,60,237.97,-3132.04150390625,60,219.031,34.2477,300000
1035.34,61,1034.5,-4274.87646484375,61,25.6192,35.3963,305000
1142.96,62,1337.47,-2471.7861328125,62,83.9246,29.1997,310000
895.58,63,869.55,-2885.148681640625,63,129.6017,29.2872,315000
2194.65,64,2282.85,-1739.447509765625,64,36.8848,27.7543,320000
394.43,65,349.39,-3749.758544921875,65,163.4341,32.4518,325000
1430.03,66,1155.47,-2596.55517578125,66,94.9437,27.4095,330000
317.81,67,380.96,-3190.39990234375,67,153.1954,29.4375,335000
364.03,68,435.25,-2752.43115234375,68,30.7022,30.4112,340000
1251.39,69,1247.06,-4246.50439453125,69,31.7768,29.1448,345000
2286.94,70,2274.7,-2001.136962890625,70,24.1203,29.6698,350000
917.68,71,1001.5,-4102.2099609375,71,81.3576,29.2268,355000
1187.13,72,1337.95,-4141.08349609375,72,61.1575,28.7241,360000
1842.61,73,1838.1,-3267.3037109375,73,21.3768,30.9325,365000
1196.44,74,1372.74,-4066.021240234375,74,32.8182,30.6109,370000
291.06,75,349.62,-6020.67822265625,75,206.5555,31.2403,375000
90.26,76,89.5,-6594.17919921875,76,236.1461,34.559,380000
176.13,77,171.94,-3840.08935546875,77,37.9154,30.7171,385000
1061.54,78,1061.27,-5410.521484375,78,42.7516,33.8136,390000
994.5,79,994.54,-5523.0751953125,79,72.7546,38.5877,395000
1011.48,80,1011.28,-5584.2138671875,80,73.288,38.403,400000
1010.65,81,1010.37,-5616.25927734375,81,77.0826,39.0567,405000
1014.13,82,1014.64,-5490.70947265625,82,71.5994,36.784,410000
1020.75,83,1021.23,-5430.77490234375,83,75.2875,36.5547,415000
992.92,84,992.77,-5491.65771484375,84,59.1421,38.4043,420000
1001.07,85,1000.87,-5553.02294921875,85,52.9907,38.7917,425000
1001.57,86,1001.84,-5914.84765625,86,117.8168,38.4155,430000
998.68,87,998.92,-5866.4453125,87,96.0275,39.0026,435000
1019.25,88,1019.49,-5818.19189453125,88,27.8934,36.7588,440000
1007.21,89,1006.6,-5816.267578125,89,27.1255,36.4022,445000
105.38,90,109.66,-3100.878662109375,90,49.3629,31.8889,450000
80.39,91,79.71,-5015.31982421875,91,152.4043,31.9141,455000
971.05,92,926.95,-6128.56005859375,92,50.7937,37.0728,460000
973.49,93,973.45,-6305.00439453125,93,47.4235,38.5479,465000
975.8,94,975.73,-6287.90673828125,94,36.1533,37.2287,470000
985.75,95,985.61,-6250.583984375,95,37.0484,36.9865,475000
990.31,96,990.26,-6364.5595703125,96,118.6556,37.1323,480000
999.63,97,1000.98,-5481.77294921875,97,27.713,34.5958,485000
1039.71,98,1040.42,-6467.453125,98,28.1403,36.9093,490000
1035.42,99,1035.46,-6631.0146484375,99,29.2222,36.5507,495000
1053.76,100,1053.53,-6230.27099609375,100,23.2089,35.4919,500000
1200.03,101,1305.38,-4496.9228515625,101,26.3495,28.3752,505000
873.57,102,1193.99,-5680.58740234375,102,32.2494,30.0635,510000
799.87,103,728.88,-5589.5732421875,103,84.1046,30.214,515000
887.54,104,865.29,-6679.6376953125,104,69.5135,31.5504,520000
1055.05,105,1054.86,-5787.15087890625,105,17.3976,32.7747,525000
770.46,106,689.69,-4024.878662109375,106,17.0348,29.2113,530000
1024.32,107,1024.58,-7403.02099609375,107,47.0769,36.7187,535000
233.59,108,196.81,-7426.71728515625,108,205.0241,32.0435,540000
2124.37,109,2145.79,-3392.662841796875,109,22.6204,30.7676,545000
314.31,110,283.78,-4858.15380859375,110,24.6065,32.3901,550000
575.92,111,646.9,-5226.54296875,111,146.2533,29.5582,555000
299.13,112,286.21,-6276.697265625,112,190.4516,30.753,560000
680.36,113,584.99,-5741.74755859375,113,156.4834,29.0121,565000
335.43,114,325.53,-7496.6650390625,114,198.5499,30.7202,570000
609.95,115,512.13,-6031.22607421875,115,145.9948,27.9771,575000
967.06,116,966.5,-7908.76708984375,116,48.8809,38.5164,580000
850.44,117,757.21,-7488.529296875,117,90.4132,30.618,585000
969.8,118,969.74,-8016.654296875,118,120.6243,37.6426,590000
1016.6,119,1016.72,-7349.26611328125,119,36.3526,35.6831,595000
983.55,120,983.9,-7048.44189453125,120,23.4544,35.3227,600000
1005.61,121,1005.86,-8134.359375,121,141.2797,38.1081,605000
1008.14,122,1008.2,-8055.98779296875,122,35.0289,37.4769,610000
1193.16,123,1216.82,-6104.95751953125,123,45.2148,30.3936,615000
586.63,124,594.86,-6571.39599609375,124,83.0656,29.3973,620000
839.67,125,842.41,-5456.44189453125,125,16.6013,28.4051,625000
124.2,126,152.23,-6946.35546875,126,17.5984,31.1584,630000
564.09,127,488.19,-7043.63134765625,127,23.3024,28.6656,635000
414.33,128,461.43,-5931.3515625,128,22.1131,31.1213,640000
1074.14,129,1063.42,-5895.31640625,129,22.4936,30.4388,645000
540.38,130,625.75,-7826.96044921875,130,115.1792,31.3753,650000
1200.29,131,1171.1,-7112.0859375,131,32.169,32.2277,655000
7.24,132,7.05,-6918.32421875,132,23.0902,32.6448,660000
995.28,133,994.71,-8833.2529296875,133,40.7746,39.0133,665000
989.78,134,989.46,-8381.072265625,134,35.1571,36.7566,670000
995.44,135,995.58,-8944.9296875,135,58.7187,38.7206,675000
418.61,136,466.67,-8869.16015625,136,124.652,32.334,680000
202.01,137,203.93,-7393.84765625,137,210.9576,33.0528,685000
305.75,138,263.83,-7234.25927734375,138,205.6663,31.4647,690000
459.49,139,477.37,-7465.1591796875,139,167.1342,31.4212,695000
976.71,140,976.77,-9304.27734375,140,25.0382,37.6076,700000
1000.07,141,1000.27,-9407.82421875,141,72.3517,38.3207,705000
1021.58,142,1021.36,-9460.4501953125,142,23.3021,35.4461,710000
479.47,143,474.57,-7742.15234375,143,23.6656,32.8062,715000
1021.76,144,1022.35,-9193.1376953125,144,20.2134,33.3043,720000
1005.31,145,1005.49,-9427.703125,145,38.744,35.0898,725000
1003.67,146,1003.54,-10010.7919921875,146,105.9975,37.7105,730000
996.68,147,996.71,-10235.6552734375,147,146.4118,37.5623,735000
989.58,148,989.54,-10105.8408203125,148,45.0092,37.5883,740000
986.43,149,986.51,-10201.0048828125,149,38.4441,37.1708,745000
984.11,150,984.36,-10403.0703125,150,136.4665,37.3685,750000
1078.02,151,1076.16,-8297.1162109375,151,20.7445,34.1231,755000
1051.49,152,1051.37,-10118.5400390625,152,39.0874,36.0836,760000
1009.17,153,1009.14,-10826.943359375,153,91.1482,35.9749,765000
1039.93,154,1040.11,-10454.2890625,154,43.7799,35.5013,770000
1033.24,155,1033.05,-10430.5908203125,155,39.1626,36.7719,775000
1014.36,156,1014.65,-10870.994140625,156,72.7419,36.9041,780000
1055.02,157,1057.2,-9455.404296875,157,23.0888,35.1357,785000
1014.99,158,1015.76,-10884.4765625,158,26.8365,36.5027,790000
1019.46,159,1019.71,-11245.9833984375,159,44.5537,37.1863,795000
1014.85,160,1014.5,-10900.80859375,160,32.8512,37.0947,800000
1017.86,161,1017.82,-11296.537109375,161,119.2175,37.4685,805000
1022.0,162,1021.96,-10238.412109375,162,27.6699,35.3294,810000
1019.18,163,1020.02,-10692.8115234375,163,24.8673,35.8722,815000
1014.9,164,1015.06,-10766.6796875,164,27.1759,36.9824,820000
1004.69,165,1004.54,-11124.837890625,165,28.9855,37.6182,825000
1014.76,166,1014.43,-11242.9091796875,166,25.1174,37.0202,830000
1004.85,167,1004.6,-11445.5546875,167,27.0583,37.5439,835000
152.33,168,150.61,-12988.6240234375,168,210.2317,31.964,840000
1008.99,169,1008.93,-11394.908203125,169,36.9969,36.917,845000
1005.69,170,1005.67,-11346.9345703125,170,36.9163,35.6885,850000
209.28,171,201.26,-10389.2509765625,171,119.6374,32.5796,855000
139.89,172,145.66,-11080.3603515625,172,199.4248,32.4971,860000
426.75,173,428.89,-10719.1767578125,173,154.8923,32.4818,865000
345.7,174,346.67,-10800.0859375,174,100.463,32.5734,870000
450.22,175,545.73,-10787.4228515625,175,37.9647,33.0076,875000
1010.64,176,1016.12,-11951.23828125,176,49.1403,31.5158,880000
499.36,177,597.61,-9291.7685546875,177,26.3424,31.6706,885000
322.89,178,326.91,-11021.9208984375,178,74.9083,31.3055,890000
429.8,179,377.16,-10758.740234375,179,38.0888,31.4879,895000
286.9,180,249.1,-13332.5712890625,180,173.4978,31.8163,900000
385.58,181,412.26,-13164.0693359375,181,162.0228,31.9529,905000
330.56,182,346.94,-7164.56201171875,182,23.3919,30.186,910000
197.81,183,206.51,-10845.33984375,183,45.331,31.8592,915000
388.09,184,397.53,-10707.259765625,184,36.8634,30.6281,920000
231.67,185,274.17,-10477.4765625,185,35.0427,30.7072,925000
592.81,186,599.43,-12132.513671875,186,66.3901,31.5517,930000
540.32,187,553.92,-11628.3232421875,187,33.7703,31.7968,935000
168.49,188,157.48,-12278.841796875,188,180.2474,30.6656,940000
374.77,189,330.26,-12124.544921875,189,172.4566,31.1853,945000
621.41,190,601.23,-12644.4169921875,190,47.0101,31.5022,950000
467.46,191,472.61,-11354.2958984375,191,34.5651,30.4831,955000
765.79,192,819.99,-13140.21484375,192,66.6542,32.5496,960000
377.36,193,364.99,-11736.0400390625,193,149.029,31.4794,965000
1084.7,194,1084.53,-13995.3271484375,194,36.9394,34.6752,970000
564.87,195,559.93,-12949.6708984375,195,121.9518,32.1747,975000
1105.27,196,1074.13,-12296.794921875,196,82.2761,31.7407,980000
569.74,197,565.12,-12362.6435546875,197,44.5945,31.2054,985000
361.25,198,478.49,-11650.1435546875,198,91.6398,31.4971,990000
289.5,199,332.11,-12824.12109375,199,37.3932,30.7833,995000
