Running Update Time,Reward Loss,Real Sto Return,Itration,Real Det Return,Running Forward KL,Running Reverse KL,Running Env Steps
28,-1555.3009033203125,1557.27,28,1909.55,157.4014,16.1945,140000
29,-1592.83154296875,1565.09,29,1971.04,157.6512,16.5399,145000
30,-1626.40234375,1583.71,30,1918.5,157.577,16.3084,150000
31,-1668.322265625,1563.95,31,1912.68,157.5244,15.854,155000
32,-1689.4195556640625,1592.35,32,1909.73,157.4035,16.5103,160000
33,-1736.4136962890625,1594.76,33,1979.98,157.2706,16.1205,165000
34,-1809.5943603515625,1594.09,34,1970.91,157.3294,16.0582,170000
35,-1809.765869140625,1657.97,35,2004.48,157.1725,16.1328,175000
36,-1869.0638427734375,1658.14,36,2016.61,157.1451,16.3351,180000
37,-1888.65869140625,1635.84,37,1998.75,157.289,16.38,185000
38,-1942.112548828125,1643.48,38,2014.11,157.124,16.508,190000
39,-1979.6551513671875,1701.0,39,2059.05,157.221,16.4023,195000
40,-2006.743896484375,1642.27,40,2041.29,157.4855,16.1018,200000
41,-2054.568115234375,1664.66,41,2044.13,157.352,16.2873,205000
42,-2097.81591796875,1672.06,42,2008.06,157.2413,16.294,210000
43,-2140.61865234375,1651.44,43,2046.32,157.0898,15.9341,215000
44,-2183.87939453125,1664.26,44,2020.2,157.2666,16.4633,220000
45,-2208.030029296875,1675.51,45,2049.54,157.2879,16.4124,225000
46,-2256.464599609375,1685.41,46,2045.21,157.3298,16.069,230000
47,-2298.411376953125,1723.6,47,2055.03,156.9759,16.4939,235000
48,-2331.4580078125,1712.31,48,2065.25,157.1535,16.2669,240000
49,-2408.437255859375,1719.9,49,2082.24,157.2726,16.4167,245000
50,-2403.885986328125,1703.65,50,2016.01,157.1505,16.2849,250000
51,-2460.354736328125,1683.7,51,2020.68,157.0641,16.1081,255000
52,-2532.30419921875,1717.86,52,2055.59,157.0985,16.3622,260000
53,-2530.708740234375,1725.58,53,2042.75,156.9638,16.2136,265000
54,-2601.8515625,1739.31,54,2119.45,157.0975,16.1741,270000
55,-2606.410400390625,1703.84,55,2063.3,156.972,15.9131,275000
56,-2671.2900390625,1725.99,56,2097.43,156.9945,16.1648,280000
57,-2715.970703125,1754.08,57,2075.48,156.9634,16.2167,285000
58,-2723.638671875,1701.4,58,2051.55,157.1451,15.9058,290000
59,-2783.509765625,1689.49,59,2001.76,157.1093,15.6157,295000
60,-2797.409912109375,1689.66,60,2048.75,157.2346,15.9645,300000
61,-2875.73583984375,1765.5,61,2114.79,156.8208,15.8422,305000
62,-2906.37109375,1782.74,62,2134.3,156.9944,16.1529,310000
63,-2947.45654296875,1761.87,63,2079.39,156.9999,15.897,315000
64,-2993.064453125,1737.82,64,2049.8,156.8265,15.6047,320000
65,-3045.05712890625,1744.84,65,2082.68,157.0645,16.0586,325000
66,-3089.028564453125,1765.67,66,2127.58,156.9818,16.2668,330000
67,-3124.59130859375,1761.29,67,2125.24,156.945,15.9634,335000
68,-3162.932861328125,1746.99,68,2074.03,157.0893,15.8026,340000
69,-3203.66455078125,1739.49,69,2093.04,156.8918,15.5456,345000
70,-3235.806640625,1771.29,70,2119.57,157.0295,16.0425,350000
71,-3305.39453125,1790.17,71,2148.52,156.7866,15.6681,355000
72,-3352.059814453125,1799.32,72,2120.9,156.8375,15.8862,360000
73,-3419.1162109375,1783.66,73,2113.97,156.9613,16.1114,365000
74,-3415.17626953125,1814.65,74,2124.22,156.8872,16.1309,370000
75,-3465.482666015625,1740.0,75,2059.85,157.078,15.6141,375000
76,-3495.76806640625,1780.16,76,2096.84,156.896,16.0058,380000
77,-3566.984375,1760.65,77,2126.8,156.8654,15.874,385000
78,-3619.16748046875,1740.05,78,2107.99,156.7383,15.5389,390000
79,-3628.862060546875,1797.74,79,2084.73,156.5536,15.7364,395000
80,-3685.580078125,1807.04,80,2130.65,156.8739,15.594,400000
81,-3744.61572265625,1774.79,81,2114.46,157.1306,15.8872,405000
82,-3754.422607421875,1768.66,82,2091.86,156.8205,15.7547,410000
83,-3817.478759765625,1776.15,83,2083.26,156.7557,15.4606,415000
84,-3871.44189453125,1781.11,84,2102.4,157.1135,15.5113,420000
85,-3906.839111328125,1792.84,85,2099.79,156.8086,15.5522,425000
86,-3955.34130859375,1776.74,86,2115.99,156.579,15.4764,430000
87,-4008.40087890625,1819.47,87,2174.5,156.734,15.9278,435000
88,-4031.880859375,1771.92,88,2115.14,156.909,15.6925,440000
89,-4083.85791015625,1800.73,89,2101.52,156.9502,15.6124,445000
90,-4148.806640625,1781.65,90,2121.72,156.9192,15.8624,450000
91,-4158.6220703125,1802.26,91,2075.4,156.8967,15.9575,455000
92,-4226.65869140625,1802.37,92,2105.31,156.8627,15.593,460000
93,-4266.6884765625,1839.26,93,2164.54,156.7795,15.9444,465000
94,-4290.91015625,1820.59,94,2143.95,156.7746,15.7612,470000
95,-4362.55908203125,1837.57,95,2145.18,156.7396,15.6479,475000
96,-4396.52783203125,1819.37,96,2100.04,156.6879,15.5647,480000
97,-4504.63720703125,1823.26,97,2160.41,156.9929,15.7349,485000
98,-4506.65234375,1813.84,98,2167.87,156.9516,15.4343,490000
99,-4559.53955078125,1817.99,99,2179.89,156.7462,15.6423,495000
100,-4611.13916015625,1804.12,100,2135.4,156.8023,15.6723,500000
101,-4662.67138671875,1816.88,101,2161.0,156.7625,15.3757,505000
102,-4700.6533203125,1801.79,102,2125.73,156.8111,15.4157,510000
103,-4753.6318359375,1795.91,103,2124.61,156.8491,15.5249,515000
104,-4817.46240234375,1812.13,104,2165.95,156.9025,15.4833,520000
105,-4842.08837890625,1807.04,105,2149.29,156.9106,15.538,525000
106,-4921.68603515625,1803.5,106,2168.91,156.9522,15.5353,530000
107,-4948.4501953125,1794.89,107,2132.26,156.7943,15.4791,535000
108,-5019.935546875,1772.18,108,2062.88,156.7333,15.4157,540000
109,-5048.5068359375,1826.8,109,2121.89,156.9423,15.6266,545000
110,-5128.736328125,1833.06,110,2135.51,156.7659,15.64,550000
111,-5177.6240234375,1856.14,111,2180.05,156.8715,15.9518,555000
112,-5223.287109375,1843.67,112,2187.52,156.864,15.7165,560000
113,-5248.58740234375,1788.84,113,2107.3,156.7678,15.1421,565000
114,-5311.478515625,1834.91,114,2178.72,156.7385,15.3477,570000
115,-5372.87646484375,1830.59,115,2142.22,156.8706,15.3228,575000
116,-5417.208984375,1845.43,116,2190.28,156.8705,15.7741,580000
117,-5472.1376953125,1845.57,117,2163.94,156.7584,15.3331,585000
118,-5533.57958984375,1806.73,118,2128.7,156.7874,15.4048,590000
119,-5579.9443359375,1821.3,119,2130.06,156.875,15.395,595000
120,-5656.10546875,1792.72,120,2081.83,156.7918,15.3592,600000
121,-5697.6875,1829.46,121,2225.72,156.6842,15.3055,605000
122,-5742.697265625,1834.06,122,2125.85,156.833,15.6443,610000
123,-5782.59814453125,1834.47,123,2117.59,156.7549,15.1829,615000
124,-5850.58056640625,1812.36,124,2141.15,156.7294,15.1921,620000
125,-5871.44580078125,1828.3,125,2176.96,156.8834,15.713,625000
126,-5988.037109375,1877.41,126,2224.63,156.7844,15.6187,630000
127,-6038.912109375,1853.39,127,2200.08,156.7137,15.2643,635000
128,-6083.81884765625,1857.96,128,2183.06,156.67,15.4189,640000
129,-6133.43896484375,1849.91,129,2132.99,156.863,15.4322,645000
130,-6163.9990234375,1817.67,130,2111.16,156.8829,15.2447,650000
131,-6219.69140625,1850.7,131,2157.38,156.7056,15.3915,655000
132,-6327.9443359375,1857.44,132,2217.81,156.6859,15.3711,660000
133,-6360.50830078125,1831.01,133,2168.18,156.647,15.0442,665000
134,-6420.84619140625,1882.31,134,2197.2,156.7261,15.5962,670000
135,-6495.041015625,1855.23,135,2191.43,156.9985,15.7643,675000
136,-6527.52783203125,1860.2,136,2172.24,156.6478,15.2877,680000
137,-6557.85009765625,1858.59,137,2163.45,156.8314,15.5705,685000
138,-6682.92626953125,1887.95,138,2248.04,156.9094,15.5679,690000
139,-6711.48291015625,1843.39,139,2229.22,156.7711,15.383,695000
140,-6792.9287109375,1828.65,140,2226.96,156.8363,15.2191,700000
141,-6811.98193359375,1886.88,141,2175.41,156.8022,15.3754,705000
142,-6898.990234375,1858.42,142,2215.63,156.7562,15.2268,710000
143,-6946.62109375,1875.37,143,2266.28,156.6904,15.2682,715000
144,-7010.01806640625,1869.93,144,2223.23,156.7504,15.106,720000
145,-7034.361328125,1864.58,145,2227.95,156.6828,15.4559,725000
146,-7145.97314453125,1883.1,146,2272.37,156.7921,15.5036,730000
147,-7192.068359375,1878.88,147,2208.6,156.7194,15.5281,735000
148,-7238.4296875,1880.03,148,2232.03,156.7398,15.3998,740000
149,-7269.77099609375,1898.53,149,2268.99,156.7483,15.4593,745000
150,-7311.39599609375,1840.28,150,2167.33,156.6561,15.1514,750000
151,-7390.50390625,1890.91,151,2226.01,156.7124,15.5369,755000
152,-7439.220703125,1865.36,152,2140.61,156.5357,15.3296,760000
153,-7471.65478515625,1895.85,153,2270.11,156.5055,15.3221,765000
154,-7540.72021484375,1894.35,154,2244.8,156.7987,15.4926,770000
155,-7573.0693359375,1847.93,155,2176.9,156.6421,15.2262,775000
156,-7626.623046875,1872.61,156,2237.2,156.7467,15.0624,780000
157,-7668.310546875,1868.53,157,2191.67,156.5836,15.2669,785000
158,-7731.10693359375,1858.48,158,2190.85,156.6436,15.1704,790000
159,-7822.78955078125,1887.92,159,2251.09,156.691,15.3902,795000
160,-7857.84619140625,1891.94,160,2219.61,156.7031,15.4392,800000
161,-7919.3076171875,1922.25,161,2228.32,156.6059,15.4364,805000
162,-7970.251953125,1872.67,162,2203.97,156.6754,15.3791,810000
163,-8002.94677734375,1831.48,163,2135.8,156.651,14.9832,815000
164,-8077.6025390625,1861.76,164,2192.1,156.6987,14.9602,820000
165,-8126.783203125,1895.22,165,2231.87,156.6343,15.3685,825000
166,-8186.50341796875,1878.19,166,2185.27,156.6253,15.2461,830000
167,-8245.4697265625,1849.45,167,2210.96,156.7652,15.292,835000
168,-8348.2548828125,1910.48,168,2272.22,156.5774,15.243,840000
169,-8315.66015625,1884.26,169,2205.14,156.7508,15.092,845000
170,-8404.033203125,1857.23,170,2222.44,156.7622,15.2357,850000
171,-8428.49609375,1888.25,171,2219.91,156.5745,15.3782,855000
172,-8563.22265625,1892.48,172,2239.92,156.7618,15.2944,860000
173,-8564.0166015625,1912.95,173,2243.74,156.6668,15.3817,865000
174,-8585.4892578125,1898.67,174,2213.24,156.6379,15.4447,870000
175,-8658.07421875,1890.03,175,2237.09,156.601,15.102,875000
176,-8734.7587890625,1906.27,176,2215.59,156.5492,15.1405,880000
177,-8811.123046875,1918.61,177,2283.78,156.6603,15.3572,885000
178,-8840.369140625,1895.95,178,2238.67,156.7511,15.3317,890000
179,-8877.5830078125,1897.89,179,2245.71,156.7185,15.1825,895000
180,-8959.7705078125,1884.36,180,2202.82,156.5752,15.0285,900000
181,-8965.2041015625,1895.28,181,2226.42,156.743,15.4817,905000
182,-9046.7119140625,1901.84,182,2256.88,156.5806,15.1874,910000
183,-9124.349609375,1937.22,183,2262.63,156.6904,15.427,915000
184,-9086.73046875,1887.16,184,2224.42,156.6333,15.0858,920000
185,-9176.583984375,1863.95,185,2200.8,156.6259,15.2701,925000
186,-9192.865234375,1874.97,186,2232.7,156.665,15.1314,930000
187,-9170.02734375,1918.53,187,2237.39,156.6246,15.2214,935000
188,-9301.2578125,1926.97,188,2302.49,156.5673,15.3765,940000
189,-9310.3662109375,1891.84,189,2223.08,156.6055,15.0878,945000
190,-9304.6455078125,1897.23,190,2230.74,156.6207,15.2841,950000
191,-9345.5947265625,1904.34,191,2235.81,156.5778,15.0244,955000
192,-9387.6630859375,1905.59,192,2258.87,156.5309,14.8866,960000
193,-9423.3798828125,1899.81,193,2236.16,156.9535,15.0684,965000
194,-9486.865234375,1921.04,194,2315.92,156.53,15.2913,970000
195,-9531.7607421875,1896.53,195,2246.57,156.7178,15.0825,975000
196,-9506.068359375,1891.59,196,2238.14,156.5761,15.0485,980000
197,-9573.0771484375,1911.93,197,2255.8,156.4949,15.138,985000
198,-9572.5068359375,1934.29,198,2263.24,156.491,15.3472,990000
199,-9617.740234375,1897.74,199,2242.58,156.5545,15.1478,995000
200,-9695.177734375,1909.36,200,2239.65,156.9715,15.324,1000000
201,-9698.34765625,1927.8,201,2240.46,156.7287,15.3535,1005000
202,-9726.1962890625,1905.42,202,2232.64,156.6964,15.3841,1010000
203,-9754.65234375,1898.83,203,2238.76,156.6909,15.1085,1015000
204,-9791.7783203125,1913.8,204,2251.98,156.6018,15.2402,1020000
205,-9847.91796875,1904.53,205,2233.08,156.6909,15.3106,1025000
206,-9891.7919921875,1916.01,206,2263.87,156.6798,15.406,1030000
207,-9912.236328125,1914.36,207,2236.96,156.7245,15.2546,1035000
208,-9932.990234375,1911.3,208,2234.49,156.647,15.2164,1040000
209,-9960.56640625,1913.87,209,2225.1,156.6563,15.2995,1045000
210,-10000.23828125,1930.12,210,2266.65,156.7438,15.388,1050000
211,-10022.51953125,1922.59,211,2238.87,156.8278,15.4185,1055000
212,-10043.1650390625,1913.35,212,2248.31,156.7512,15.2479,1060000
213,-10113.3857421875,1909.02,213,2262.2,156.7413,15.1952,1065000
214,-10106.8115234375,1910.67,214,2221.6,156.6564,15.14,1070000
215,-10147.232421875,1882.91,215,2225.19,156.7529,15.0821,1075000
216,-10143.87890625,1898.23,216,2236.1,156.8261,15.124,1080000
217,-10195.9404296875,1914.0,217,2238.43,156.6698,15.1513,1085000
218,-10237.029296875,1907.47,218,2255.4,156.5403,15.1699,1090000
219,-10249.1728515625,1890.71,219,2250.09,156.6125,15.0375,1095000
220,-10294.2109375,1918.31,220,2255.71,156.7625,15.0798,1100000
221,-10286.2939453125,1923.87,221,2258.24,156.612,15.192,1105000
222,-10330.75,1907.68,222,2254.15,156.6905,15.2494,1110000
223,-10333.4228515625,1913.81,223,2224.33,156.7934,15.1965,1115000
224,-10361.8642578125,1910.23,224,2249.43,156.658,15.2524,1120000
225,-10392.8681640625,1921.37,225,2221.17,156.4809,15.2971,1125000
226,-10398.2890625,1893.23,226,2203.7,156.6267,15.049,1130000
227,-10449.865234375,1925.63,227,2256.45,156.7025,15.4618,1135000
228,-10486.30078125,1922.02,228,2251.2,156.685,15.2273,1140000
229,-10478.921875,1911.03,229,2226.69,156.7,15.1628,1145000
230,-10499.5185546875,1894.9,230,2227.43,156.5796,15.185,1150000
231,-10545.9638671875,1902.07,231,2242.21,156.7596,15.2099,1155000
232,-10569.048828125,1919.76,232,2259.68,156.7037,15.2974,1160000
233,-10560.4716796875,1894.65,233,2219.19,156.6435,15.1159,1165000
234,-10606.21875,1925.81,234,2252.52,156.582,15.1508,1170000
235,-10578.107421875,1903.54,235,2219.88,156.5814,15.1354,1175000
236,-10631.5146484375,1897.57,236,2242.45,156.6218,15.0448,1180000
237,-10660.90625,1911.18,237,2255.87,156.5649,15.0628,1185000
238,-10696.244140625,1905.72,238,2252.47,156.5925,14.9949,1190000
239,-10697.685546875,1908.07,239,2236.3,156.7092,15.1583,1195000
240,-10738.796875,1907.84,240,2256.14,156.7135,15.1426,1200000
241,-10728.5625,1893.91,241,2228.73,156.712,15.0014,1205000
242,-10775.2490234375,1909.27,242,2251.89,156.6704,15.108,1210000
243,-10790.8125,1904.7,243,2258.67,156.6354,15.046,1215000
244,-10822.765625,1903.67,244,2259.77,156.6327,15.0405,1220000
245,-10845.9931640625,1915.11,245,2251.53,156.716,15.1846,1225000
246,-10862.080078125,1908.64,246,2244.0,156.4507,15.0876,1230000
247,-10890.1279296875,1911.6,247,2255.65,156.6358,14.976,1235000
248,-10909.109375,1903.48,248,2242.0,156.5423,15.1437,1240000
249,-10908.9912109375,1884.27,249,2254.62,156.7329,15.2235,1245000
250,-10980.373046875,1908.9,250,2247.57,156.676,15.1152,1250000
251,-10998.4892578125,1904.21,251,2254.22,156.6252,14.8665,1255000
252,-11000.740234375,1915.56,252,2253.99,156.6097,15.071,1260000
253,-11041.099609375,1924.89,253,2253.79,156.7093,15.0961,1265000
254,-11079.484375,1905.26,254,2274.83,156.6318,15.0409,1270000
255,-11081.1904296875,1940.21,255,2265.56,156.8238,15.2166,1275000
256,-11077.71875,1915.05,256,2245.08,156.7723,15.1575,1280000
257,-11101.6728515625,1920.14,257,2252.81,156.5756,15.1714,1285000
258,-11113.7109375,1912.82,258,2259.05,156.6763,14.9912,1290000
259,-11156.09765625,1904.66,259,2264.79,156.5424,15.1405,1295000
260,-11184.3037109375,1947.53,260,2253.35,156.7384,15.2155,1300000
261,-11212.9072265625,1916.35,261,2248.14,156.7746,15.1338,1305000
262,-11199.654296875,1926.01,262,2251.43,156.6695,15.1343,1310000
263,-11268.7919921875,1918.6,263,2252.1,156.7007,15.0654,1315000
264,-11275.9306640625,1925.08,264,2266.17,156.6204,15.33,1320000
265,-11307.623046875,1914.17,265,2251.72,156.5612,15.0591,1325000
266,-11335.01171875,1931.24,266,2253.62,156.5648,15.0281,1330000
267,-11359.4990234375,1918.69,267,2266.94,156.7412,15.2703,1335000
268,-11381.751953125,1898.75,268,2260.47,156.7422,15.1332,1340000
269,-11382.8671875,1911.47,269,2246.0,156.7034,14.9771,1345000
270,-11443.337890625,1931.29,270,2250.42,156.9769,15.2597,1350000
271,-11435.2255859375,1938.98,271,2255.61,156.8046,15.2288,1355000
272,-11503.908203125,1897.51,272,2242.36,156.6174,15.0748,1360000
273,-11528.3857421875,1898.31,273,2264.9,156.6636,15.2475,1365000
274,-11507.7294921875,1927.73,274,2270.73,156.539,14.9939,1370000
275,-11551.9775390625,1925.31,275,2247.84,156.7659,15.1764,1375000
276,-11522.9287109375,1893.72,276,2253.22,156.8143,15.0447,1380000
277,-11606.87109375,1915.9,277,2287.11,156.6631,15.3053,1385000
278,-11621.494140625,1905.66,278,2260.61,156.8267,15.3756,1390000
279,-11638.4560546875,1928.96,279,2250.53,156.9137,15.2169,1395000
280,-11673.55078125,1916.93,280,2286.6,156.7505,15.2368,1400000
281,-11704.5625,1913.94,281,2252.09,156.6764,15.1185,1405000
282,-11674.810546875,1921.99,282,2248.31,156.5665,15.2031,1410000
283,-11758.9091796875,1924.74,283,2272.33,156.7168,15.0526,1415000
284,-11757.7587890625,1930.73,284,2273.07,156.7324,15.179,1420000
285,-11790.8349609375,1942.01,285,2294.63,156.6605,15.3051,1425000
286,-11795.3017578125,1935.21,286,2271.41,156.7295,15.221,1430000
287,-11851.724609375,1940.93,287,2269.16,156.5323,15.151,1435000
288,-11917.9365234375,1931.46,288,2269.12,156.5296,15.2092,1440000
289,-11825.8544921875,1917.15,289,2234.89,156.6237,15.2301,1445000
290,-11931.541015625,1916.6,290,2252.36,156.6797,15.2271,1450000
291,-11934.80859375,1912.94,291,2232.89,156.6461,15.1711,1455000
292,-11949.869140625,1908.63,292,2254.43,156.7354,15.2225,1460000
293,-11945.6318359375,1885.45,293,2250.22,156.6226,15.2291,1465000
294,-11936.8115234375,1899.06,294,2252.39,156.6399,15.0886,1470000
295,-12023.935546875,1806.49,295,2243.5,156.848,15.0739,1475000
296,-12072.4794921875,1918.56,296,2263.22,156.6393,15.3789,1480000
297,-12082.5205078125,1877.86,297,2269.06,156.7314,15.1431,1485000
298,-12077.51171875,1909.5,298,2272.13,156.6827,15.1688,1490000
299,-12128.0595703125,1897.35,299,2260.24,156.7162,15.2284,1495000
300,-12083.8623046875,1903.77,300,2243.21,156.5079,15.0283,1500000
301,-12155.74609375,1879.21,301,2260.87,156.6654,15.2408,1505000
302,-12162.5439453125,1884.72,302,2226.24,156.8474,15.2633,1510000
303,-12142.4931640625,1849.19,303,2222.18,156.454,15.1047,1515000
304,-12168.1650390625,1912.2,304,2239.25,156.7107,15.1937,1520000
305,-12173.3212890625,1869.42,305,2230.47,156.6919,15.2668,1525000
306,-12200.103515625,1921.28,306,2274.7,156.7719,15.2978,1530000
307,-12307.4248046875,1946.88,307,2291.1,156.7158,15.5003,1535000
308,-12283.0478515625,1942.21,308,2282.6,156.5245,15.2575,1540000
309,-12307.92578125,1937.1,309,2272.62,156.6915,15.2702,1545000
310,-12347.0732421875,1936.99,310,2291.14,156.8271,15.3351,1550000
311,-12382.2724609375,1942.37,311,2283.14,156.7659,15.3006,1555000
312,-12372.76171875,1910.42,312,2255.99,156.6452,15.1821,1560000
313,-12425.4912109375,1941.26,313,2290.93,156.5321,15.3642,1565000
314,-12395.33984375,1932.42,314,2262.48,156.652,15.1979,1570000
315,-12458.1162109375,1936.54,315,2281.78,156.7777,15.2766,1575000
316,-12485.638671875,1923.68,316,2258.83,156.5039,15.0983,1580000
317,-12461.2587890625,1898.79,317,2212.06,156.7142,15.1567,1585000
318,-12514.0458984375,1907.17,318,2264.69,156.539,15.2687,1590000
319,-12540.5087890625,1911.23,319,2282.35,156.7219,15.1695,1595000
320,-12536.0830078125,1923.97,320,2285.98,156.5765,15.2546,1600000
321,-12574.3125,1924.41,321,2277.69,156.6758,15.2403,1605000
322,-12810.3828125,1266.75,322,1499.77,156.5668,14.7737,1610000
323,-12654.708984375,1974.89,323,2281.21,156.533,15.4985,1615000
324,-12714.337890625,2016.37,324,2302.83,156.7054,15.557,1620000
325,-12657.6591796875,1992.3,325,2308.48,156.5598,15.4079,1625000
326,-12758.369140625,1974.83,326,2278.71,156.6277,15.4735,1630000
327,-12754.7294921875,1983.88,327,2305.56,156.5744,15.4738,1635000
328,-12716.80859375,1760.67,328,2086.25,156.3868,14.5768,1640000
329,-12734.1015625,1905.3,329,2228.18,156.2009,14.7072,1645000
330,-12843.595703125,1957.38,330,2305.33,156.5353,15.3304,1650000
331,-11042.541015625,-276.92,331,-265.48,160.6051,19.6446,1655000
332,-10154.12890625,-435.12,332,-491.62,161.5097,40.5968,1660000
333,-12187.73046875,-153.18,333,-180.89,159.7914,17.6436,1665000
334,-11608.05859375,742.19,334,575.24,157.4818,14.6864,1670000
335,-12942.4072265625,1895.12,335,2213.39,156.5869,15.0225,1675000
336,-12478.7607421875,1800.99,336,2061.57,156.4651,17.6026,1680000
337,-11954.466796875,949.9,337,95.7,157.0586,13.3448,1685000
338,-11866.02734375,-38.62,338,-110.64,159.3929,17.7494,1690000
339,-12205.1318359375,826.05,339,541.52,156.7808,14.029,1695000
340,-13190.0634765625,653.94,340,927.74,157.1516,14.5392,1700000
341,-13086.404296875,985.13,341,1268.57,156.7086,13.1659,1705000
342,-13473.724609375,1333.5,342,1370.57,156.6847,15.5606,1710000
343,-13065.0126953125,1117.71,343,1430.08,156.6121,14.0522,1715000
344,-12431.166015625,1160.29,344,1390.22,156.9906,13.3597,1720000
345,-11962.666015625,312.82,345,-152.9,157.4002,13.4524,1725000
346,-11799.138671875,689.54,346,-263.15,157.6527,18.3384,1730000
347,-13112.5947265625,1045.93,347,1564.27,157.3992,14.3422,1735000
348,-10357.2587890625,-92.06,348,-312.3,159.6878,20.1122,1740000
349,-12537.6044921875,892.98,349,95.29,156.7353,13.3977,1745000
350,-13218.1171875,1691.26,350,2061.05,156.6402,15.0705,1750000
351,-13191.7861328125,1806.61,351,2159.0,156.7139,15.257,1755000
352,-13159.5068359375,1862.54,352,2246.85,156.7203,15.4029,1760000
353,-13073.080078125,1755.62,353,20.64,156.7656,15.3783,1765000
354,-13245.884765625,1811.98,354,1712.91,156.8627,15.715,1770000
355,-13177.740234375,1806.64,355,2068.05,156.838,14.7968,1775000
356,-13202.1279296875,1692.28,356,2102.57,156.7351,15.1164,1780000
357,-13040.279296875,1328.81,357,-155.09,156.6845,15.5796,1785000
358,-13248.1025390625,1672.03,358,890.71,156.5892,15.14,1790000
359,-13337.419921875,1831.34,359,2179.14,156.8479,15.384,1795000
360,-13403.1962890625,1837.04,360,2214.16,156.7431,15.4544,1800000
361,-13424.712890625,1821.48,361,2171.67,156.635,15.1803,1805000
362,-13261.4111328125,1845.41,362,1929.37,156.6206,14.9593,1810000
363,-11485.9716796875,-434.06,363,-224.86,159.3342,15.8411,1815000
364,-13384.0751953125,1685.72,364,2110.73,156.9489,14.8917,1820000
365,-13479.39453125,1863.38,365,2180.18,156.9193,15.3073,1825000
366,-13419.099609375,1843.06,366,2210.55,156.7763,15.1686,1830000
367,-12318.1708984375,498.09,367,522.33,157.4014,13.9728,1835000
368,-12869.8759765625,1510.33,368,1822.01,156.8587,13.7966,1840000
369,-13492.25,1877.15,369,2231.46,156.6618,15.2473,1845000
370,-13566.763671875,1884.51,370,2242.1,156.696,15.3664,1850000
371,-13529.2412109375,1820.68,371,2180.14,156.9159,15.3304,1855000
372,-13494.3349609375,1723.95,372,1530.34,156.8114,15.0137,1860000
373,-13364.984375,1632.09,373,1951.89,156.5816,14.6259,1865000
374,-13619.0615234375,1886.35,374,2256.64,156.547,15.0754,1870000
375,-13623.68359375,1854.15,375,2223.49,156.7645,14.9683,1875000
376,-13616.3720703125,1844.55,376,2215.28,156.5459,15.1479,1880000
377,-13609.0927734375,1760.78,377,2170.0,156.7274,15.0351,1885000
378,-13687.466796875,1857.75,378,2217.26,156.4955,15.0196,1890000
379,-13717.9599609375,1867.08,379,2241.92,156.781,15.2208,1895000
380,-13737.76953125,1805.0,380,2191.69,156.7692,15.0443,1900000
381,-13704.044921875,1741.28,381,2077.99,156.7347,14.7251,1905000
382,-13770.8701171875,1432.32,382,1619.33,156.9111,14.9617,1910000
383,-13787.9619140625,1583.25,383,1815.75,156.8801,14.9018,1915000
384,-13778.2587890625,1823.62,384,2162.48,156.6783,14.8572,1920000
385,-13765.220703125,1824.6,385,2178.16,156.6459,14.9789,1925000
386,-13747.6982421875,1823.84,386,2195.31,156.5045,14.9246,1930000
387,-13779.8076171875,1859.13,387,2220.18,156.7366,15.1447,1935000
