Itration,Real Det Return,Real Sto Return,Running Forward KL,Reward Loss,Running Env Steps,Running Reverse KL,Running Update Time
101,2980.73,2126.56,56.0881,-979.3395385742188,505000,34.4617,101
102,2879.05,2042.88,55.825,-1153.3138427734375,510000,27.3918,102
103,2183.0,916.58,57.7071,-1379.9798583984375,515000,21.684,103
104,3348.35,2301.08,58.0331,-1164.3876953125,520000,30.1883,104
105,2515.98,1743.88,55.7524,-1115.32958984375,525000,27.2949,105
106,3005.67,2065.37,57.7724,-1331.491455078125,530000,24.186,106
107,2517.43,1778.1,57.6951,-1254.861083984375,535000,26.2868,107
108,3289.29,2720.98,62.2336,-1246.3187255859375,540000,42.4928,108
109,3294.32,2234.3,57.8583,-1298.0482177734375,545000,28.5796,109
110,3368.58,2337.44,58.6535,-1243.927734375,550000,32.3394,110
111,3323.15,2845.36,55.2763,-1094.303955078125,555000,30.4393,111
112,3549.14,2981.93,56.6808,-1187.4112548828125,560000,35.6499,112
113,3079.96,2651.84,57.8746,-1291.3157958984375,565000,32.0746,113
114,3444.02,2530.47,57.0091,-1234.4735107421875,570000,34.2833,114
115,2952.66,2037.32,57.2961,-1192.5140380859375,575000,31.9338,115
116,3406.89,2069.13,56.1063,-1382.2884521484375,580000,24.796,116
117,3402.64,2590.95,57.8402,-1220.4151611328125,585000,36.7533,117
118,3179.58,2242.38,55.6635,-1325.88623046875,590000,34.9304,118
119,3396.06,2391.64,55.6147,-1310.9857177734375,595000,28.1964,119
120,3761.1,2600.99,53.8291,-1387.425048828125,600000,25.4654,120
121,3482.69,2496.49,56.2736,-1296.28271484375,605000,31.4196,121
122,3541.26,2880.64,56.8376,-1476.47021484375,610000,27.9005,122
123,2997.46,1608.85,56.095,-1366.26318359375,615000,25.808,123
124,3629.45,2865.21,59.3456,-1433.222900390625,620000,39.172,124
125,2764.76,1657.37,57.3391,-1496.3865966796875,625000,27.2259,125
126,3354.22,2780.2,58.3213,-1410.97705078125,630000,39.8779,126
127,3121.69,2095.51,57.8898,-1354.300537109375,635000,32.9473,127
128,3567.49,2776.55,58.7342,-1517.39306640625,640000,33.5063,128
129,2730.21,2235.68,59.0068,-1572.5076904296875,645000,30.6177,129
130,3692.78,2903.88,59.134,-1404.5118408203125,650000,34.763,130
131,4098.2,2948.38,56.4728,-1331.844482421875,655000,34.6578,131
132,3645.09,2656.43,56.6922,-1431.092529296875,660000,35.528,132
133,2988.2,2166.86,58.0403,-1572.58154296875,665000,30.9089,133
134,2894.59,2089.93,58.3493,-1469.863525390625,670000,35.1075,134
135,3454.66,2520.92,56.0684,-1404.7088623046875,675000,36.3666,135
136,3710.41,2988.38,59.738,-1428.1529541015625,680000,43.2779,136
137,3827.21,3023.58,59.2167,-1452.2044677734375,685000,40.2259,137
138,3790.15,3249.04,57.7998,-1611.366455078125,690000,38.3541,138
139,3922.18,2957.53,58.5504,-1574.298583984375,695000,40.395,139
140,3663.87,3141.12,55.7038,-1623.3216552734375,700000,32.8188,140
141,4102.91,3297.59,59.3405,-1659.618896484375,705000,38.7179,141
142,3921.56,3586.3,61.1296,-1524.5634765625,710000,44.1175,142
143,3966.54,3617.96,61.0282,-1608.5198974609375,715000,48.096,143
144,4026.58,3057.26,58.3626,-1617.5238037109375,720000,42.4343,144
145,3345.36,2027.15,60.9411,-1866.925048828125,725000,34.8071,145
146,3903.69,3399.91,62.4629,-1603.30859375,730000,39.9711,146
147,3663.75,2502.23,58.2758,-1963.9031982421875,735000,29.3688,147
148,4133.55,3074.92,60.0007,-1770.9671630859375,740000,36.4966,148
149,3941.48,3302.72,60.7408,-1872.762451171875,745000,40.0385,149
150,3991.31,2941.65,60.4687,-1814.7593994140625,750000,36.3931,150
151,4339.12,3101.56,59.0135,-1814.2841796875,755000,35.1098,151
152,3813.16,3033.18,60.9285,-1958.0042724609375,760000,37.8265,152
153,4078.8,3639.14,61.7024,-1858.0828857421875,765000,42.7078,153
154,3700.75,3167.3,57.795,-1862.59228515625,770000,35.6117,154
155,4007.45,3287.54,62.0377,-1748.121826171875,775000,45.6722,155
156,3406.59,2719.6,58.9591,-1998.6666259765625,780000,35.4735,156
157,3737.79,3434.78,62.6496,-2168.936279296875,785000,40.6598,157
158,3288.09,2460.17,60.2758,-1948.1177978515625,790000,39.5737,158
159,3703.11,3023.91,59.5097,-1960.8836669921875,795000,39.4962,159
160,3993.27,3265.0,61.5723,-2038.1107177734375,800000,41.2752,160
161,2909.46,2477.94,63.5065,-1961.896728515625,805000,43.8124,161
162,2539.75,2146.95,61.6646,-2298.8076171875,810000,39.2908,162
163,3128.33,2666.2,61.6221,-2108.1962890625,815000,40.4341,163
164,3348.67,3073.44,61.2201,-2004.435791015625,820000,45.1861,164
165,4105.25,3465.09,62.3544,-2095.7666015625,825000,45.7297,165
166,4196.55,3796.06,63.3814,-2198.864013671875,830000,47.0297,166
167,3759.18,3073.25,62.07,-2342.4677734375,835000,35.604,167
168,3777.04,2409.98,60.8577,-2159.698974609375,840000,39.8664,168
169,4132.24,2978.76,60.671,-2093.24267578125,845000,44.2494,169
170,4070.68,3746.79,64.3738,-2271.214111328125,850000,44.8785,170
171,4568.96,3799.84,61.9924,-2324.0517578125,855000,43.6295,171
172,4144.42,3494.49,62.1772,-2370.3603515625,860000,44.5087,172
173,4268.4,3544.78,63.9125,-2349.20556640625,865000,51.0648,173
174,3373.15,2335.25,58.5426,-2243.154541015625,870000,40.3436,174
175,2161.96,2468.6,62.239,-2415.169189453125,875000,42.3762,175
176,3388.65,2890.92,62.8854,-2569.538330078125,880000,39.2705,176
177,4028.26,2940.27,60.3947,-2467.478271484375,885000,37.4926,177
178,3867.45,3262.54,61.2405,-2476.466552734375,890000,41.1285,178
179,2831.96,2626.99,60.9914,-2619.793701171875,895000,34.2863,179
180,4043.35,3502.57,61.9929,-2605.30810546875,900000,42.126,180
181,3339.15,3405.22,64.6756,-2550.156494140625,905000,52.4412,181
182,4315.11,4055.39,64.8587,-2482.6640625,910000,54.4956,182
183,4185.67,3541.69,62.9401,-2698.380126953125,915000,48.6142,183
184,4152.41,3525.68,64.8649,-2811.50244140625,920000,49.6545,184
185,4262.44,3415.48,63.8296,-2685.35791015625,925000,46.432,185
186,4143.96,3532.33,64.383,-2693.61376953125,930000,47.7937,186
187,4568.15,4159.74,69.135,-2714.406494140625,935000,59.5462,187
188,3882.42,3873.14,64.2283,-2726.608642578125,940000,50.2825,188
189,3689.41,2723.23,62.1101,-2839.69970703125,945000,42.197,189
190,3650.54,2461.2,63.1584,-2976.709716796875,950000,35.1466,190
191,4735.17,3506.07,65.9708,-2998.2939453125,955000,50.7554,191
192,3301.65,2487.61,65.7362,-2843.33349609375,960000,50.9816,192
193,4186.51,3603.25,64.9227,-2994.193603515625,965000,46.3032,193
194,4650.14,3684.11,66.1761,-3047.66455078125,970000,54.7835,194
195,4193.37,3663.92,65.61,-2871.005126953125,975000,53.4066,195
196,4185.98,3587.69,65.6707,-3010.526611328125,980000,51.4777,196
197,4030.28,3534.88,63.1463,-3204.381103515625,985000,36.5913,197
198,3791.67,2789.59,62.0041,-3076.878662109375,990000,39.6882,198
199,3966.87,3550.4,63.0195,-3065.215576171875,995000,42.5625,199
200,4668.25,4088.4,61.8392,-3166.577392578125,1000000,47.6932,200
201,4965.71,3509.53,64.4555,-3223.43408203125,1005000,49.7642,201
202,4673.64,3992.11,66.7652,-3259.421630859375,1010000,55.7561,202
203,3953.39,3675.24,65.1983,-3205.154296875,1015000,50.488,203
204,4579.26,3395.84,65.4735,-3423.525146484375,1020000,46.6287,204
205,4771.08,4324.84,66.833,-3250.26123046875,1025000,57.8527,205
206,4632.99,4294.8,67.4391,-3322.367431640625,1030000,61.7295,206
207,4720.72,4326.27,66.0535,-3381.358642578125,1035000,55.7636,207
208,4701.48,3454.81,67.297,-3305.47998046875,1040000,59.0096,208
209,4788.31,3740.36,67.0621,-3471.005615234375,1045000,58.3973,209
210,4851.61,4039.05,68.3145,-3492.8369140625,1050000,56.1446,210
211,4294.27,4396.17,63.9236,-3471.273681640625,1055000,50.344,211
212,4937.32,4039.55,64.6673,-3515.208984375,1060000,52.4768,212
213,5012.46,3976.19,63.4388,-3531.8076171875,1065000,47.7035,213
214,4899.04,4151.52,66.4819,-3651.598388671875,1070000,54.7081,214
215,4382.12,3227.47,64.4888,-3576.56494140625,1075000,51.0341,215
216,4833.54,3954.77,67.2115,-3725.805908203125,1080000,57.2382,216
217,4766.76,4282.94,64.0702,-3900.6083984375,1085000,54.6195,217
218,4419.48,3401.84,63.215,-3797.741455078125,1090000,46.4633,218
219,4923.96,4492.53,65.5336,-3914.138427734375,1095000,56.7555,219
220,3125.24,2383.16,63.1133,-3816.506103515625,1100000,38.8043,220
221,4828.69,3746.97,63.4445,-3896.630126953125,1105000,50.2009,221
222,4787.28,3894.5,65.9645,-3882.814697265625,1110000,55.057,222
223,4319.86,3847.41,62.9514,-3978.748046875,1115000,42.0725,223
224,4540.94,3002.49,63.1656,-3880.64697265625,1120000,49.0458,224
225,4760.69,3879.4,62.2814,-4021.225341796875,1125000,42.6602,225
226,3741.23,2696.16,62.2374,-3998.281005859375,1130000,42.394,226
227,4821.37,4206.27,64.0807,-4056.915283203125,1135000,53.1814,227
228,4680.45,2572.77,66.219,-4080.880615234375,1140000,51.573,228
229,4978.69,3935.35,65.243,-4188.7099609375,1145000,55.809,229
230,4027.74,3123.89,64.4423,-4156.21337890625,1150000,40.8591,230
231,4855.89,4333.16,67.6152,-4356.45751953125,1155000,57.0262,231
232,4114.74,2770.6,63.2343,-4218.0869140625,1160000,40.7369,232
233,4087.63,3835.58,65.058,-4249.109375,1165000,50.639,233
234,4572.19,3386.08,65.6083,-4423.5146484375,1170000,52.357,234
235,5110.35,3868.64,64.1174,-4315.90869140625,1175000,46.8043,235
236,4677.68,3687.32,65.1652,-4406.56005859375,1180000,50.7159,236
237,5098.89,3680.19,65.8644,-4485.8212890625,1185000,53.5774,237
238,4786.83,3071.88,64.0563,-4561.48046875,1190000,50.5958,238
239,4803.89,3519.09,63.0033,-4517.48583984375,1195000,44.9711,239
240,4277.5,3831.73,64.3144,-4558.8212890625,1200000,41.8697,240
241,3895.95,4056.89,64.8657,-4616.67578125,1205000,50.5085,241
242,4683.87,3858.15,65.3861,-4698.13134765625,1210000,50.9016,242
243,5227.49,4269.29,65.6575,-4819.60791015625,1215000,50.3054,243
244,5230.5,4429.57,67.9609,-4879.19580078125,1220000,58.8904,244
245,5124.77,4329.56,64.6297,-4917.53271484375,1225000,52.3267,245
246,5050.43,4187.98,64.928,-4965.09814453125,1230000,54.5339,246
247,4540.56,3825.84,63.8921,-4832.51318359375,1235000,44.9923,247
248,4922.84,3639.11,62.9608,-4842.00830078125,1240000,42.2867,248
249,4641.64,3833.16,64.9296,-4993.185546875,1245000,47.4797,249
250,5365.81,3516.81,68.0325,-5125.7880859375,1250000,58.2313,250
251,4021.04,3240.68,63.4205,-4834.42822265625,1255000,36.4317,251
252,3767.16,3045.95,64.3858,-4832.6728515625,1260000,37.6815,252
253,4244.14,3694.96,65.792,-5092.6669921875,1265000,47.589,253
254,4667.68,3719.62,65.7106,-5222.2861328125,1270000,53.5984,254
255,4752.01,3663.55,66.6585,-5363.4921875,1275000,56.2546,255
256,4608.77,3967.34,64.1691,-5187.50732421875,1280000,45.2525,256
257,4164.75,3131.82,63.7302,-5183.3984375,1285000,44.3533,257
258,4029.18,2725.15,63.2372,-5257.00439453125,1290000,43.7313,258
259,4722.36,4386.2,65.1294,-5426.75732421875,1295000,51.6155,259
260,5130.58,4018.28,62.2061,-5308.16455078125,1300000,43.0754,260
261,3485.25,4137.79,64.2018,-5423.81103515625,1305000,48.4527,261
262,4822.83,4248.84,63.578,-5520.03662109375,1310000,50.5096,262
263,4538.61,4282.55,65.8306,-5703.37353515625,1315000,51.2754,263
264,4530.73,3423.42,63.8574,-5607.02978515625,1320000,53.0671,264
265,5108.93,4344.02,65.4784,-5726.705078125,1325000,52.0966,265
266,4332.93,3322.2,62.0907,-5526.77734375,1330000,41.2648,266
267,5330.56,4506.06,64.3547,-5810.2685546875,1335000,52.2522,267
268,4417.66,4233.93,67.872,-6000.6259765625,1340000,60.71,268
269,4669.5,3249.18,63.917,-5706.2314453125,1345000,47.9471,269
270,4952.44,4000.3,66.4675,-6024.2412109375,1350000,59.1653,270
271,4650.9,3676.33,67.8326,-6060.90771484375,1355000,60.8582,271
272,5254.95,4408.67,63.4218,-5880.0947265625,1360000,44.5451,272
273,4486.06,3992.85,65.346,-6080.80908203125,1365000,55.8788,273
274,4219.0,4155.34,66.4318,-6175.7509765625,1370000,57.2091,274
275,4303.2,4147.42,65.9905,-6214.1044921875,1375000,56.1679,275
276,4097.93,4203.33,63.3703,-5925.95654296875,1380000,45.074,276
277,4796.74,3976.45,66.2805,-6319.62890625,1385000,57.6455,277
278,5085.52,4366.11,66.2156,-6455.8935546875,1390000,56.4522,278
279,4486.59,4542.89,64.6722,-6329.24853515625,1395000,57.2607,279
280,5046.23,4175.62,63.7129,-6330.9404296875,1400000,50.6431,280
281,5596.31,4147.91,68.1035,-6638.5390625,1405000,60.507,281
282,4370.76,3922.86,63.3806,-6206.005859375,1410000,46.0648,282
283,5059.74,4872.93,65.3554,-6729.2890625,1415000,55.807,283
284,5525.44,4522.81,68.5368,-6942.30322265625,1420000,63.5341,284
285,5317.72,4506.84,68.5866,-6845.8798828125,1425000,57.8738,285
286,5203.7,4992.59,65.0799,-7051.0166015625,1430000,57.1614,286
287,4617.11,4582.29,64.9933,-6773.35302734375,1435000,55.7138,287
288,4810.18,4588.89,70.2724,-7052.17724609375,1440000,63.5338,288
289,4594.66,3802.52,66.3145,-6980.64453125,1445000,57.5179,289
290,4998.39,4472.95,63.5733,-6821.96142578125,1450000,49.8926,290
291,5034.26,4042.29,65.5634,-6999.02734375,1455000,53.0019,291
292,4999.62,4653.02,65.4122,-7049.5625,1460000,55.3271,292
293,4657.69,4190.21,68.8522,-7292.49658203125,1465000,61.8261,293
294,4799.91,4083.29,63.1362,-6964.82080078125,1470000,49.6382,294
295,5703.82,4601.24,65.1153,-7350.0673828125,1475000,55.6471,295
296,5230.3,4608.4,67.6055,-7386.04052734375,1480000,61.8164,296
297,5073.05,3973.84,65.3514,-7337.1240234375,1485000,56.173,297
298,5442.85,4292.41,66.9118,-7503.65283203125,1490000,60.1748,298
299,5433.65,5051.41,67.5774,-7599.82470703125,1495000,62.9363,299
300,4918.8,4404.47,64.6621,-7473.88916015625,1500000,55.4904,300
301,4797.41,4276.54,65.2153,-7233.6806640625,1505000,50.3984,301
302,4988.77,4347.15,64.7118,-7542.11328125,1510000,54.397,302
303,4865.26,4449.14,66.6796,-7779.57080078125,1515000,58.7974,303
304,4804.03,4959.52,67.2504,-7550.56005859375,1520000,59.2156,304
305,5151.12,4402.63,65.8996,-7568.82666015625,1525000,55.1141,305
306,4592.49,4480.95,64.2623,-7313.1435546875,1530000,46.8447,306
307,5025.31,4229.3,65.1732,-7737.013671875,1535000,56.0331,307
308,4426.98,3926.57,62.2339,-7268.6943359375,1540000,45.6314,308
309,5260.09,4867.8,67.377,-7734.35986328125,1545000,55.3191,309
310,4962.82,4930.14,65.3683,-7930.15283203125,1550000,59.0028,310
311,5460.1,4163.79,67.952,-8032.87109375,1555000,60.2801,311
312,4973.09,3602.41,64.1671,-7734.2568359375,1560000,52.7041,312
313,4629.34,3683.7,64.6649,-7713.28564453125,1565000,51.7844,313
314,4681.79,4257.52,67.149,-8161.5703125,1570000,57.9268,314
315,5052.37,4720.96,63.8269,-7899.68701171875,1575000,52.3209,315
316,4315.09,4808.79,66.0617,-8283.4267578125,1580000,58.2361,316
317,4849.26,4578.79,65.7964,-8240.4306640625,1585000,56.03,317
318,4313.25,4005.58,64.8813,-7839.95166015625,1590000,50.6973,318
319,5422.45,4223.12,64.5178,-7873.6650390625,1595000,48.7628,319
320,5594.47,4942.71,67.6368,-8667.4609375,1600000,62.1238,320
321,5099.34,4447.24,65.3731,-8294.8681640625,1605000,54.5393,321
322,4530.54,4562.71,63.2476,-8044.87060546875,1610000,50.8294,322
323,5156.42,4368.11,67.0249,-8465.74609375,1615000,59.5747,323
324,5368.63,4665.0,67.9806,-8742.0146484375,1620000,60.402,324
325,5133.82,4548.13,71.0433,-8835.5576171875,1625000,63.356,325
326,4824.64,4649.25,66.5758,-8600.751953125,1630000,57.9785,326
327,5507.12,4506.75,70.6745,-8800.083984375,1635000,64.0926,327
328,4827.95,4991.77,65.1303,-8771.728515625,1640000,54.6777,328
329,5322.41,4771.62,67.5463,-8855.5546875,1645000,60.478,329
330,5637.48,4799.36,69.1487,-8994.0546875,1650000,63.2894,330
331,5352.88,4766.34,67.4627,-9015.2919921875,1655000,59.1742,331
332,5313.5,3784.02,66.5989,-8696.359375,1660000,54.6511,332
333,5628.27,5172.68,68.5111,-9232.3408203125,1665000,64.9078,333
334,5454.73,4191.1,67.1715,-8854.8935546875,1670000,59.5712,334
335,5085.29,4391.54,69.7332,-9034.466796875,1675000,64.5091,335
336,5135.44,3842.46,66.7733,-8863.6806640625,1680000,59.1624,336
337,4547.95,4110.92,70.1148,-9201.8359375,1685000,61.7937,337
338,5312.05,4170.08,66.5693,-9169.1865234375,1690000,60.9219,338
339,5481.3,4944.27,64.8047,-8750.044921875,1695000,51.507,339
340,4925.77,3884.8,65.5239,-9024.4560546875,1700000,54.1776,340
341,4726.84,4686.83,66.6928,-9083.1005859375,1705000,59.0377,341
342,5132.89,4231.51,63.318,-8354.0458984375,1710000,44.882,342
343,4991.6,4823.25,67.4637,-9264.3349609375,1715000,60.2414,343
344,5242.96,3988.73,71.4555,-9761.1650390625,1720000,68.7777,344
345,5105.39,4574.34,69.5697,-9750.228515625,1725000,64.738,345
346,4575.19,3724.14,66.3273,-9278.1083984375,1730000,57.0055,346
347,4887.52,4719.84,68.4181,-9622.3349609375,1735000,63.7867,347
348,5303.09,4628.42,66.5189,-9405.9970703125,1740000,55.1754,348
349,4961.59,4672.43,66.6309,-9124.654296875,1745000,52.1992,349
350,5732.98,4050.26,68.5032,-9552.7939453125,1750000,56.8421,350
351,5278.35,4713.74,71.1351,-9919.021484375,1755000,64.0913,351
352,5379.76,4269.61,67.065,-9688.240234375,1760000,58.1001,352
353,5065.18,3962.28,67.0598,-9598.828125,1765000,58.5135,353
354,5541.94,4424.46,65.9867,-9373.3388671875,1770000,54.351,354
355,5662.48,4864.21,70.408,-10221.09765625,1775000,64.9394,355
356,4907.77,4589.77,67.9926,-9939.8583984375,1780000,59.9016,356
357,5729.88,4666.17,69.2377,-10011.328125,1785000,63.7382,357
358,4948.83,4922.36,65.8301,-9346.5302734375,1790000,53.6333,358
359,5528.83,4519.39,69.4281,-10043.6787109375,1795000,65.5023,359
360,5202.01,4470.74,70.8305,-10329.486328125,1800000,67.0577,360
361,5046.06,3825.62,66.3081,-9702.7666015625,1805000,56.5256,361
362,5366.24,5283.13,69.0145,-10363.8837890625,1810000,61.5169,362
363,4967.97,4361.92,70.6061,-10237.9892578125,1815000,64.6822,363
364,5188.26,4968.15,66.6055,-10043.9853515625,1820000,58.9899,364
365,4860.57,4337.17,64.6747,-9113.0556640625,1825000,45.5594,365
366,4772.25,4150.93,69.1847,-10308.8740234375,1830000,64.6967,366
367,5463.46,4749.61,71.4028,-10588.166015625,1835000,68.0806,367
368,5318.17,4812.5,69.1172,-10475.8388671875,1840000,62.0174,368
369,5241.41,4207.55,69.8907,-10593.978515625,1845000,63.6094,369
370,4960.25,4911.96,65.889,-9987.548828125,1850000,58.1154,370
371,5474.1,3958.54,66.777,-10533.6435546875,1855000,63.5826,371
372,4405.66,4744.61,69.8396,-10704.6455078125,1860000,63.2183,372
373,4773.67,4647.36,65.4128,-10045.015625,1865000,52.1026,373
374,4944.14,4723.53,68.3376,-10919.2919921875,1870000,61.7657,374
375,5442.96,4204.18,66.154,-10291.9677734375,1875000,56.1347,375
376,5421.0,4938.76,71.4834,-10953.087890625,1880000,66.0375,376
377,5672.04,4044.37,66.6699,-10475.580078125,1885000,58.7507,377
378,5317.16,4466.7,65.0599,-10160.6201171875,1890000,53.1775,378
379,5172.55,4488.59,69.4641,-10777.0419921875,1895000,64.0179,379
380,5632.03,4783.63,68.7716,-10805.6845703125,1900000,59.729,380
381,4779.97,3604.63,67.0483,-10521.693359375,1905000,58.4205,381
382,4960.02,3527.28,65.721,-10296.1181640625,1910000,53.9201,382
383,5419.43,3793.56,66.2804,-10722.0322265625,1915000,56.0616,383
384,5256.42,4851.13,64.4847,-9756.3359375,1920000,48.7685,384
385,5115.77,4269.34,64.0734,-10205.2783203125,1925000,49.7551,385
