Real Sto Return,Running Env Steps,Real Det Return,Running Update Time,Running Forward KL,Reward Loss,Running Reverse KL,Itration
2999.49,665000,3465.34,133,18.7577,-1435.899658203125,11.4279,133
2694.76,670000,3451.36,134,18.5923,-1628.3482666015625,13.8872,134
2899.1,675000,3458.08,135,18.7406,-1972.645263671875,14.2765,135
2594.43,680000,3469.01,136,19.4375,-2525.27783203125,18.2988,136
2966.98,685000,3515.85,137,19.0689,-2133.385986328125,18.2301,137
3076.77,690000,3448.88,138,18.1258,-1234.37451171875,10.9683,138
3162.42,695000,3454.01,139,18.1939,-1230.8482666015625,14.0834,139
3192.18,700000,3439.02,140,17.4944,-790.7224731445312,10.2269,140
3288.33,705000,3467.95,141,17.646,-1253.553955078125,13.1543,141
3090.99,710000,3524.62,142,17.8531,-1310.7939453125,13.1711,142
2243.58,715000,3437.66,143,17.9839,-2208.728271484375,16.6066,143
3278.68,720000,3446.2,144,17.798,-1712.2357177734375,15.3757,144
3425.21,725000,3423.98,145,18.682,-911.5747680664062,10.7168,145
3497.22,730000,3491.0,146,18.3186,-948.2181396484375,10.8083,146
3085.37,735000,3536.57,147,18.4854,-1982.9564208984375,20.3507,147
2480.75,740000,3524.88,148,18.5148,-1949.79638671875,18.6245,148
3366.84,745000,3425.03,149,17.6782,-747.1187744140625,10.2438,149
3103.79,750000,3532.28,150,18.4271,-2450.6787109375,16.5237,150
3038.66,755000,3463.09,151,17.9257,-1400.6090087890625,11.0457,151
2916.12,760000,3528.12,152,18.9621,-1693.8582763671875,14.7907,152
3506.64,765000,3525.2,153,17.7563,-938.0227661132812,10.195,153
3495.08,770000,3503.03,154,18.3584,-1275.251220703125,10.3924,154
3268.03,775000,3458.63,155,18.6723,-1659.50830078125,12.6058,155
2875.5,780000,3544.68,156,19.296,-1585.9853515625,12.1096,156
3394.63,785000,3530.94,157,18.3934,-982.656005859375,10.212,157
3494.16,790000,3516.2,158,17.1706,-924.1611938476562,10.5049,158
2766.43,795000,3488.33,159,18.8286,-2023.2530517578125,14.3324,159
3226.33,800000,3507.13,160,19.8625,-1399.118408203125,12.0195,160
2624.92,805000,3520.14,161,20.003,-2841.333740234375,23.4363,161
3060.24,810000,3489.5,162,18.373,-1592.1868896484375,11.8052,162
2940.16,815000,3442.96,163,19.0339,-1979.6280517578125,17.8988,163
2916.63,820000,3469.26,164,19.4138,-1942.1983642578125,17.6215,164
2011.9,825000,2939.43,165,19.9862,-2995.200439453125,23.8687,165
3256.86,830000,3468.16,166,18.3671,-1272.9287109375,11.7183,166
3278.11,835000,3522.66,167,19.1688,-1666.6490478515625,12.7066,167
3046.3,840000,3508.53,168,19.3134,-1496.8446044921875,15.6334,168
3197.81,845000,3510.54,169,17.8198,-941.46875,10.3302,169
3468.74,850000,3475.47,170,18.5506,-1057.156982421875,10.8769,170
3101.3,855000,3542.58,171,19.0909,-2236.04638671875,15.906,171
2474.06,860000,3465.69,172,19.3342,-2449.669677734375,21.8315,172
3374.38,865000,3507.76,173,18.3911,-1658.518798828125,12.2427,173
2962.26,870000,3467.07,174,18.5539,-1863.65869140625,13.851,174
