Itration,Real Sto Return,Running Forward KL,Running Reverse KL,Real Det Return
261,255.72,74.7883,30.0743,915.11
262,266.53,74.9793,30.0168,973.25
263,246.85,73.8871,29.6331,912.01
264,268.72,75.1827,30.1226,870.49
265,255.79,74.1367,29.96,922.66
266,248.02,74.3961,29.7823,919.34
267,267.37,74.2545,29.3585,877.17
268,269.09,74.0878,30.0718,871.7
269,255.26,74.2313,29.6492,866.93
270,296.39,73.7366,29.4726,959.55
271,236.69,73.9981,29.4336,969.48
272,223.44,73.9681,29.6967,870.05
273,252.61,74.1532,29.781,675.3
274,236.02,73.7269,29.3794,925.64
275,228.89,73.9296,29.6713,825.95
276,223.84,76.162,30.3063,868.69
277,249.43,75.5031,30.007,910.77
278,257.36,74.3283,29.9951,815.4
279,306.25,74.9063,30.2014,763.69
280,288.23,74.3408,30.1593,961.91
281,257.28,74.4978,30.3218,767.86
282,311.1,73.6831,29.7737,866.34
283,246.46,74.7898,29.9195,917.49
284,304.97,74.3462,30.2562,1014.91
285,247.15,74.4797,30.1261,845.56
286,234.1,74.1061,30.0825,876.73
287,220.28,75.2438,30.495,765.81
288,276.84,75.177,29.8781,817.91
289,258.35,74.1133,30.2609,964.04
290,232.66,76.2574,30.1931,718.91
291,244.4,75.5369,30.0379,810.3
292,229.83,74.528,30.082,994.14
293,248.95,74.4436,29.852,870.64
294,266.19,74.829,29.9504,961.92
295,316.97,75.1002,29.7413,861.63
296,219.96,74.9284,30.1823,900.95
297,252.16,75.557,30.194,950.56
298,222.07,74.8647,30.0792,907.94
299,257.6,75.3947,30.3168,838.58
300,262.93,74.5512,29.9454,865.85
301,202.75,75.6295,30.0805,808.76
302,259.87,74.9702,30.1111,754.8
303,242.11,75.2474,30.2909,903.63
304,289.25,75.5307,30.4077,897.14
305,253.38,75.0298,30.4523,804.89
306,209.07,74.9532,30.2436,754.52
307,257.1,75.376,30.5143,905.71
308,185.37,75.1666,30.2682,839.97
309,248.6,75.6527,30.5173,743.97
310,271.15,74.6738,30.6306,862.65
311,211.08,74.2346,30.264,865.04
312,257.27,75.038,29.9407,852.93
313,287.87,73.7737,29.5159,752.29
314,226.96,75.0008,29.981,802.11
315,264.95,75.4965,30.5845,886.45
316,231.12,73.9133,29.583,893.51
317,274.8,74.9773,29.6444,703.34
318,276.0,75.647,29.9182,893.6
319,303.18,75.8345,30.7852,859.05
320,206.11,74.2772,29.7639,892.86
321,284.39,74.9167,29.9335,898.78
