Running Forward KL,Running Env Steps,Running Reverse KL,Real Det Return,Running Update Time,Real Sto Return,Itration,Reward Loss
24.2263,275000,25.1401,3036.93,55,1868.66,55,-2091.113037109375
23.6277,280000,15.9631,2928.26,56,2771.06,56,-603.3643798828125
23.9011,285000,15.7575,2955.32,57,3000.26,57,-384.7073669433594
25.1852,290000,16.8669,2936.84,58,2951.21,58,-437.31683349609375
25.0352,295000,16.5465,2930.0,59,2870.86,59,-433.36566162109375
23.2204,300000,16.8992,3010.5,60,2879.61,60,-848.8446044921875
23.9964,305000,15.4848,3068.17,61,2030.83,61,-871.052734375
24.1417,310000,16.0038,3041.64,62,2966.5,62,-391.3820495605469
24.6712,315000,18.7738,2946.22,63,2461.27,63,-1175.2503662109375
23.7276,320000,16.8404,3069.06,64,3017.27,64,-718.8768920898438
23.9808,325000,16.2304,2983.13,65,3013.67,65,-481.0068359375
24.615,330000,16.9234,2977.77,66,3017.05,66,-486.4365539550781
22.6596,335000,16.1575,3076.43,67,2564.14,67,-974.2196044921875
23.4547,340000,16.7411,2961.34,68,3004.46,68,-494.05804443359375
24.1935,345000,16.5512,3024.53,69,3003.9,69,-474.4081115722656
22.8238,350000,17.0536,3087.23,70,2720.71,70,-847.3550415039062
23.8095,355000,16.4278,3030.83,71,3081.14,71,-510.62811279296875
22.0999,360000,18.0025,2429.98,72,2379.86,72,-1371.1407470703125
24.0772,365000,16.9429,3063.51,73,3095.96,73,-487.6056823730469
22.7124,370000,15.6949,3008.28,74,3091.61,74,-521.0092163085938
22.0218,375000,15.212,3077.14,75,3115.28,75,-460.0677795410156
22.6719,380000,16.6187,3128.28,76,2576.08,76,-829.8194580078125
21.5897,385000,16.422,2791.47,77,2224.78,77,-972.5406494140625
23.3967,390000,15.9435,3052.22,78,2915.28,78,-561.04443359375
21.8853,395000,12.9551,2706.45,79,2192.36,79,-1463.0751953125
21.5685,400000,15.1264,3146.06,80,3094.26,80,-443.30828857421875
21.6093,405000,13.8009,3132.91,81,2961.7,81,-824.8544921875
22.4452,410000,15.8581,3108.5,82,3004.99,82,-548.8822021484375
21.4645,415000,18.1965,3131.4,83,2825.02,83,-1375.49462890625
22.1317,420000,14.8876,3139.46,84,3008.52,84,-640.4263916015625
22.1918,425000,14.4666,3103.82,85,2803.47,85,-997.1544189453125
21.8401,430000,14.1741,3120.76,86,2995.13,86,-808.6830444335938
22.4004,435000,15.6818,3100.32,87,3116.55,87,-1226.2237548828125
22.251,440000,14.8873,3114.86,88,3154.12,88,-913.6644287109375
21.1911,445000,13.6402,3159.96,89,2737.08,89,-1032.6351318359375
22.3984,450000,15.5826,3099.53,90,3135.14,90,-632.1900634765625
21.7141,455000,16.3458,3119.43,91,2730.69,91,-1444.659423828125
22.1457,460000,15.471,3121.56,92,3159.54,92,-646.2099609375
21.9722,465000,14.3182,3113.57,93,2844.75,93,-856.454833984375
21.97,470000,14.0129,3189.67,94,2404.01,94,-1331.450927734375
22.1266,475000,15.2953,3093.73,95,3103.53,95,-766.9015502929688
21.4632,480000,14.7972,3132.05,96,3140.66,96,-617.838134765625
21.9652,485000,14.7196,3173.17,97,2872.78,97,-870.6431274414062
22.0207,490000,14.1837,3145.52,98,2694.11,98,-1279.638916015625
22.6452,495000,14.6842,3155.97,99,3171.01,99,-766.149169921875
21.2061,500000,14.407,3147.57,100,2733.43,100,-1046.6875
21.2396,505000,14.0471,3197.21,101,2248.95,101,-1329.3182373046875
21.7465,510000,13.5817,3171.04,102,2788.45,102,-909.6903686523438
21.5646,515000,14.678,3137.25,103,3185.57,103,-924.3350219726562
22.0952,520000,15.0586,3144.14,104,3135.44,104,-1109.9971923828125
21.4038,525000,13.6261,3134.51,105,3180.93,105,-835.0337524414062
21.9744,530000,14.8537,3122.85,106,3124.81,106,-748.3560180664062
22.6312,535000,15.4747,3146.59,107,3097.83,107,-704.484619140625
21.9661,540000,13.7541,3168.14,108,2971.23,108,-1020.469970703125
22.0846,545000,14.9332,3137.86,109,3162.47,109,-752.509521484375
22.8837,550000,14.858,1241.38,110,614.56,110,-2800.60302734375
21.2278,555000,14.3026,3129.35,111,3002.44,111,-747.3275146484375
22.2824,560000,15.1207,3120.8,112,3140.23,112,-764.9454345703125
21.2569,565000,13.0571,3199.57,113,2590.81,113,-1313.8470458984375
22.0337,570000,15.0753,3121.11,114,3139.33,114,-786.3074951171875
22.6212,575000,15.3434,3152.01,115,3176.56,115,-751.6835327148438
21.9626,580000,14.5903,3130.1,116,3151.41,116,-799.2677612304688
22.168,585000,15.356,3132.06,117,3152.34,117,-882.0912475585938
21.5857,590000,14.3269,3136.03,118,3179.95,118,-821.977783203125
21.2611,595000,14.3922,3174.89,119,3083.07,119,-777.8519287109375
22.5418,600000,16.0332,3148.19,120,3167.25,120,-824.775390625
21.681,605000,14.7266,3134.36,121,3144.06,121,-835.618896484375
21.7198,610000,14.7856,3130.89,122,3143.58,122,-861.1334838867188
21.7179,615000,15.1501,3185.05,123,3233.38,123,-814.61962890625
21.4042,620000,14.4656,3176.28,124,2967.22,124,-861.071044921875
21.8092,625000,14.9006,3144.15,125,3118.49,125,-871.8101806640625
22.1982,630000,15.0512,3154.79,126,3183.67,126,-885.3681640625
22.1925,635000,15.4216,3159.61,127,3175.67,127,-894.6246337890625
22.2076,640000,15.2009,3171.11,128,3201.19,128,-894.2617797851562
22.0694,645000,15.4884,3163.9,129,3193.8,129,-876.6155395507812
22.5241,650000,15.7056,3193.74,130,3211.36,130,-863.326904296875
21.9127,655000,15.294,3148.31,131,3175.84,131,-961.3387451171875
22.276,660000,14.6466,3173.39,132,3201.28,132,-1120.9881591796875
22.144,665000,14.9844,3162.57,133,3188.47,133,-914.0369262695312
22.1791,670000,14.9108,3151.42,134,3085.62,134,-954.4591064453125
21.6767,675000,14.3976,3174.01,135,3203.13,135,-949.3735961914062
21.6986,680000,14.6664,3148.62,136,3175.81,136,-987.69482421875
