Itration,Running Forward KL,Running Update Time,Running Env Steps,Real Sto Return,Running Reverse KL,Real Det Return,Reward Loss
91,24.3865,91,455000,2955.97,14.6824,3163.77,-1729.489501953125
92,24.1625,92,460000,3105.05,15.8215,3164.75,-1680.7607421875
93,24.7022,93,465000,2879.82,16.7842,3205.97,-1816.15673828125
94,24.5709,94,470000,3134.19,15.7572,3189.7,-1697.6348876953125
95,23.9205,95,475000,3122.86,15.3341,3164.47,-1806.5302734375
96,24.4275,96,480000,3135.72,15.679,3142.65,-1727.490966796875
97,24.2141,97,485000,3081.07,15.1071,3184.94,-1805.8853759765625
98,25.1378,98,490000,3134.68,15.9871,3196.94,-1786.7099609375
99,25.0182,99,495000,2644.67,15.7514,3222.15,-1837.430419921875
100,24.6538,100,500000,3190.91,14.6801,3204.88,-1777.514892578125
101,24.4794,101,505000,3174.8,15.9898,3176.41,-1844.6214599609375
102,24.1256,102,510000,3203.44,14.8341,3207.38,-1851.3673095703125
103,24.6754,103,515000,2988.77,14.8203,3185.13,-1910.667236328125
104,24.3735,104,520000,3107.77,15.2889,3168.69,-1880.3018798828125
105,24.1199,105,525000,3149.35,14.9449,3166.9,-1849.0396728515625
106,24.5581,106,530000,3125.97,16.3745,3128.15,-1920.4610595703125
107,23.8416,107,535000,3176.03,15.0026,3164.67,-1948.318359375
108,23.8278,108,540000,3186.41,13.7529,3191.98,-1801.0938720703125
109,23.6659,109,545000,3075.05,15.6214,3189.48,-1944.4197998046875
110,23.7049,110,550000,3135.92,15.6012,3177.85,-1967.871826171875
111,24.701,111,555000,3124.34,15.1466,3181.4,-2027.1075439453125
112,23.5562,112,560000,3131.31,14.4341,3189.6,-2024.566162109375
113,24.0987,113,565000,3156.55,14.555,3155.6,-2078.258056640625
114,24.0578,114,570000,3114.29,15.2217,3189.13,-2060.57373046875
115,23.9708,115,575000,3186.96,14.6543,3200.98,-2069.10888671875
116,23.6825,116,580000,3115.75,15.1137,3187.02,-2067.883056640625
117,24.2653,117,585000,3210.18,15.8012,3207.62,-2132.132080078125
118,24.3075,118,590000,3065.23,15.1967,3173.72,-2172.882080078125
119,24.5325,119,595000,3025.74,15.6759,3211.1,-2210.47412109375
120,24.1133,120,600000,3170.71,15.3563,3166.81,-2218.65771484375
121,24.0275,121,605000,3152.91,15.0357,3207.19,-2211.94287109375
122,23.6372,122,610000,3152.4,14.6677,3155.44,-2302.841064453125
123,24.2684,123,615000,3181.08,16.001,3174.85,-2253.964111328125
124,24.0186,124,620000,3191.61,14.8594,3185.44,-2290.337646484375
125,23.6887,125,625000,3013.75,14.7536,3171.02,-2251.072998046875
126,24.0604,126,630000,3115.25,15.409,3148.53,-2324.120849609375
127,23.4406,127,635000,3198.17,14.6544,3192.69,-2357.138427734375
128,24.1113,128,640000,3211.07,15.3565,3211.59,-2369.29638671875
129,23.948,129,645000,3157.85,14.8724,3184.54,-2328.72021484375
130,23.6776,130,650000,3035.09,15.0252,3172.17,-2402.8369140625
131,23.257,131,655000,3172.72,14.5576,3168.8,-2381.75341796875
132,23.7149,132,660000,3196.42,14.8177,3197.03,-2471.919189453125
133,23.3685,133,665000,3071.43,20.577,3157.65,-2486.671630859375
134,23.3448,134,670000,3131.5,14.8085,3193.27,-2401.36865234375
135,22.7935,135,675000,3125.72,13.6023,3207.27,-2489.016845703125
136,23.8004,136,680000,3176.37,14.9981,3170.3,-2557.339599609375
137,23.3952,137,685000,3127.8,14.6241,3189.03,-2518.5869140625
