Itration,Reward Loss,Running Update Time,Running Env Steps,Real Sto Return,Running Forward KL,Real Det Return,Running Reverse KL
88,-3534.392822265625,88,440000,1802.34,156.8302,2152.59,15.5464
89,-3576.2705078125,89,445000,1821.61,156.8063,2142.36,15.7847
90,-3638.891845703125,90,450000,1769.56,156.9581,2089.82,15.4862
91,-3655.710205078125,91,455000,1823.09,156.8059,2154.85,15.702
92,-3733.587890625,92,460000,1807.21,156.8848,2170.04,15.5964
93,-3769.268798828125,93,465000,1869.6,156.7151,2201.21,15.9514
94,-3801.983642578125,94,470000,1842.1,156.7976,2206.61,15.9056
95,-3849.693115234375,95,475000,1832.19,156.7262,2198.87,15.6631
96,-3886.813720703125,96,480000,1849.23,156.7361,2185.04,15.8183
97,-3971.501953125,97,485000,1833.74,156.8125,2166.06,15.603
98,-3996.93701171875,98,490000,1815.89,156.6747,2189.56,15.634
99,-4035.002685546875,99,495000,1839.7,156.8172,2186.88,15.5313
100,-4069.729248046875,100,500000,1840.79,156.8162,2164.19,15.3847
101,-4119.53125,101,505000,1829.58,156.7986,2197.18,15.5638
102,-4186.6376953125,102,510000,1859.56,156.7031,2189.52,15.6447
103,-4215.1494140625,103,515000,1826.12,156.6017,2195.41,15.4448
104,-4253.9423828125,104,520000,1832.49,156.8066,2193.28,15.4687
105,-4327.98095703125,105,525000,1878.47,156.7691,2241.55,15.9147
106,-4378.49267578125,106,530000,1842.06,156.8898,2192.9,15.3211
107,-4379.27099609375,107,535000,1830.8,156.8106,2182.89,15.1497
108,-4470.91748046875,108,540000,1820.33,156.6057,2170.92,15.3272
109,-4487.4443359375,109,545000,1797.31,156.6945,2083.1,15.2459
110,-4574.18359375,110,550000,1821.94,156.7825,2209.25,15.5887
111,-4611.2353515625,111,555000,1825.6,156.798,2164.94,15.5121
112,-4634.013671875,112,560000,1860.02,156.8236,2154.06,15.4947
113,-4703.66796875,113,565000,1815.25,156.8166,2183.2,15.5835
114,-4751.43115234375,114,570000,1852.48,156.8733,2177.57,15.6956
115,-4806.45849609375,115,575000,1893.66,156.8538,2244.32,15.7413
116,-4875.181640625,116,580000,1854.62,156.8127,2241.93,15.6935
117,-4925.0361328125,117,585000,1833.31,156.8443,2163.99,15.3867
118,-4922.5986328125,118,590000,1835.9,156.6978,2194.29,15.1981
119,-5005.6220703125,119,595000,1891.14,156.7548,2223.42,15.5367
120,-5054.50146484375,120,600000,1814.06,156.7129,2159.74,15.0832
121,-5085.607421875,121,605000,1841.83,156.904,2201.81,15.4478
122,-5155.28955078125,122,610000,1845.36,156.5017,2226.56,15.2733
123,-5212.39599609375,123,615000,1890.83,156.787,2213.17,15.5666
124,-5284.20263671875,124,620000,1880.29,156.8164,2210.1,15.8812
125,-5321.6875,125,625000,1827.59,156.7059,2187.76,15.1484
126,-5386.18115234375,126,630000,1875.21,156.8564,2242.17,15.7669
127,-5412.4482421875,127,635000,1852.57,156.6974,2162.08,15.0842
128,-5444.29296875,128,640000,1888.81,156.656,2199.34,15.3444
129,-5515.2802734375,129,645000,1903.5,156.7541,2245.84,15.582
130,-5601.90478515625,130,650000,1868.26,156.7299,2245.28,15.69
131,-5625.6376953125,131,655000,1866.64,156.6365,2267.09,15.4845
132,-5683.53955078125,132,660000,1854.92,156.6835,2166.99,15.1427
133,-5715.0751953125,133,665000,1894.76,156.6395,2257.23,15.4867
134,-5789.75732421875,134,670000,1901.66,156.7436,2286.86,15.6118
135,-5843.51904296875,135,675000,1860.37,156.8118,2224.43,15.3487
136,-5893.20263671875,136,680000,1875.74,156.69,2229.49,15.5651
137,-5955.65576171875,137,685000,1886.72,156.8263,2245.19,15.6907
138,-5973.9541015625,138,690000,1881.9,156.7851,2213.26,15.4383
139,-6076.03759765625,139,695000,1827.03,156.7927,2190.99,15.1847
140,-6133.771484375,140,700000,1895.59,156.7216,2247.1,15.4113
141,-6148.4921875,141,705000,1862.08,156.885,2239.89,15.1309
142,-6193.22314453125,142,710000,1872.4,156.545,2247.59,15.2692
143,-6281.87353515625,143,715000,1883.98,156.6945,2257.63,15.3004
144,-6314.6025390625,144,720000,1927.43,156.6206,2293.04,15.6253
145,-6366.43017578125,145,725000,1920.42,156.7522,2295.52,15.4435
146,-6439.044921875,146,730000,1892.96,156.7733,2264.6,15.4766
147,-6489.0712890625,147,735000,1881.64,156.7529,2267.19,15.3152
148,-6544.1494140625,148,740000,1879.45,156.6159,2239.58,15.2331
149,-6616.7158203125,149,745000,1906.46,156.6729,2252.08,15.5502
150,-6689.36962890625,150,750000,1842.52,156.7736,2199.1,15.3469
151,-6709.955078125,151,755000,1882.38,156.5587,2231.14,15.1541
152,-6808.20458984375,152,760000,1884.81,156.5607,2275.12,15.3122
153,-6852.46826171875,153,765000,1893.74,156.7405,2280.11,15.2229
154,-6850.69384765625,154,770000,1903.07,156.5491,2255.87,15.2149
155,-6970.5595703125,155,775000,1869.33,156.5947,2221.34,15.1245
156,-7035.44677734375,156,780000,1909.3,156.6438,2292.98,15.3654
157,-7082.99755859375,157,785000,1908.93,156.6384,2264.66,15.4321
158,-7182.1650390625,158,790000,1858.78,156.6146,2198.61,15.188
159,-7208.26904296875,159,795000,1863.25,156.759,2231.48,15.1204
160,-7297.9853515625,160,800000,1885.12,156.7949,2259.29,15.3652
161,-7364.783203125,161,805000,1879.02,156.9687,2270.1,15.3439
162,-7403.42138671875,162,810000,1902.61,156.7268,2252.53,15.5977
163,-7424.4736328125,163,815000,1886.71,156.7354,2238.81,15.2279
164,-7518.7705078125,164,820000,1883.64,156.7669,2209.97,15.2493
165,-7566.6748046875,165,825000,1874.42,156.6114,2253.34,15.185
166,-7635.634765625,166,830000,1873.21,156.7541,2228.67,15.1852
167,-7657.16650390625,167,835000,1918.91,156.6286,2290.39,15.4445
168,-7672.71337890625,168,840000,1943.09,156.6845,2280.51,15.5448
169,-7738.349609375,169,845000,1873.95,156.7018,2206.96,15.2259
170,-7783.53564453125,170,850000,1931.67,156.5592,2317.53,15.1507
171,-7847.7470703125,171,855000,1928.44,156.4318,2294.94,15.1627
172,-7874.36279296875,172,860000,1943.2,156.6834,2263.19,15.4439
173,-7919.6533203125,173,865000,1935.48,156.5847,2308.27,15.2009
174,-7943.78125,174,870000,1930.07,156.6613,2235.05,15.3494
175,-8014.5986328125,175,875000,1913.59,156.6913,2272.06,15.4242
176,-8005.177734375,176,880000,1899.89,156.6188,2268.0,15.2826
177,-8125.490234375,177,885000,1922.37,156.7021,2296.27,15.562
178,-8115.888671875,178,890000,1918.01,156.53,2277.32,15.1446
179,-8185.7822265625,179,895000,1941.05,156.8109,2313.78,15.4799
180,-8183.00537109375,180,900000,1935.43,156.5183,2264.39,15.1266
181,-8247.9736328125,181,905000,1908.59,156.745,2293.96,15.1032
182,-8302.9677734375,182,910000,1932.81,156.4982,2280.16,15.3647
183,-8339.1025390625,183,915000,1932.04,156.5689,2321.11,15.1677
184,-8407.4482421875,184,920000,1936.19,156.7507,2301.88,15.306
185,-8435.9482421875,185,925000,1902.96,156.6112,2277.46,15.2817
186,-8441.650390625,186,930000,1950.09,156.5314,2255.44,15.5828
187,-8479.7412109375,187,935000,1918.85,156.73,2300.79,15.1303
188,-8561.8818359375,188,940000,1915.2,156.5571,2278.54,15.1704
189,-8553.9091796875,189,945000,1914.14,156.653,2300.54,15.0039
190,-8641.41796875,190,950000,1905.51,156.6331,2216.71,15.0032
191,-8660.484375,191,955000,1931.34,156.6322,2256.97,15.1162
192,-8700.212890625,192,960000,1929.7,156.6381,2264.9,15.063
193,-8745.447265625,193,965000,1913.43,156.5847,2293.23,15.2527
194,-8748.23046875,194,970000,1925.69,156.4841,2271.06,15.103
195,-8833.013671875,195,975000,1922.34,156.5591,2306.14,15.4809
196,-8871.5361328125,196,980000,1936.79,156.5703,2290.65,15.0766
197,-8870.4619140625,197,985000,1915.97,156.6051,2282.46,15.1263
198,-8937.2333984375,198,990000,1914.26,156.5887,2255.9,15.2744
199,-9005.193359375,199,995000,1950.81,156.5947,2308.76,15.3164
200,-9037.3642578125,200,1000000,1920.94,156.4868,2231.12,15.1283
201,-9088.119140625,201,1005000,1945.55,156.4363,2288.9,15.0346
202,-9176.494140625,202,1010000,1953.08,156.5794,2268.09,15.2209
203,-9164.4482421875,203,1015000,1945.96,156.5969,2275.57,15.1123
204,-9255.3125,204,1020000,1959.7,156.6207,2297.89,15.1624
205,-9280.1025390625,205,1025000,1958.47,156.6368,2296.12,15.2734
206,-9290.3935546875,206,1030000,1966.71,156.465,2289.5,15.2752
207,-9340.37890625,207,1035000,1950.98,156.5488,2264.62,14.9342
208,-9389.64453125,208,1040000,1940.82,156.5452,2264.37,15.2026
209,-9449.8330078125,209,1045000,1925.7,156.4725,2271.41,15.0323
210,-9471.1728515625,210,1050000,1940.67,156.5659,2254.67,15.0187
211,-9496.0146484375,211,1055000,1956.82,156.5656,2302.42,15.0763
212,-9528.1484375,212,1060000,1948.49,156.515,2288.12,15.0527
213,-9528.6162109375,213,1065000,1968.58,156.5855,2289.03,15.1401
214,-9577.8623046875,214,1070000,1967.14,156.5463,2318.94,15.1746
215,-9611.75390625,215,1075000,1917.02,156.644,2207.21,14.8423
216,-9625.810546875,216,1080000,1943.15,156.4493,2293.14,14.9367
217,-9699.119140625,217,1085000,1932.81,156.5469,2270.87,15.224
218,-9743.669921875,218,1090000,1952.87,156.6107,2272.11,15.1825
219,-9779.77734375,219,1095000,1942.27,156.6344,2263.52,15.0926
220,-9813.59375,220,1100000,1972.43,156.5701,2288.17,15.1104
221,-9849.39453125,221,1105000,1950.33,156.6122,2279.66,15.1216
222,-9872.9208984375,222,1110000,1954.76,156.4656,2283.37,15.3028
223,-9910.6240234375,223,1115000,1927.48,156.6155,2249.99,15.0585
224,-9985.361328125,224,1120000,1922.24,156.5492,2266.15,14.9224
225,-10011.1123046875,225,1125000,1925.41,156.5728,2252.57,15.0312
226,-10072.34375,226,1130000,1950.76,156.5841,2278.92,15.0006
227,-10107.3955078125,227,1135000,1935.88,156.5488,2254.9,15.168
228,-10130.2958984375,228,1140000,1961.98,156.4243,2283.34,15.1974
229,-10129.548828125,229,1145000,1924.56,156.6338,2259.43,15.0354
230,-10218.005859375,230,1150000,1939.13,156.5084,2274.55,14.9901
231,-10245.404296875,231,1155000,1964.38,156.5531,2291.3,15.2209
232,-10267.5849609375,232,1160000,1944.93,156.5515,2265.39,15.0613
233,-10309.083984375,233,1165000,1945.61,156.5212,2281.88,14.993
234,-10355.8203125,234,1170000,1954.5,156.5448,2280.79,15.1223
235,-10350.07421875,235,1175000,1940.01,156.5638,2270.21,15.1068
236,-10431.0107421875,236,1180000,1950.33,156.6504,2304.48,15.1426
237,-10480.123046875,237,1185000,1943.67,156.6429,2294.42,15.1596
238,-10458.5283203125,238,1190000,1940.14,156.5954,2274.38,15.0209
239,-10509.8173828125,239,1195000,1929.86,156.5835,2268.77,15.0474
240,-10551.7080078125,240,1200000,1919.84,156.5044,2249.95,15.0885
241,-10590.244140625,241,1205000,1936.15,156.6405,2275.94,15.1605
242,-10581.2451171875,242,1210000,1937.21,156.5996,2272.19,15.0902
243,-10641.7822265625,243,1215000,1943.22,156.5507,2267.84,14.9774
244,-10689.6689453125,244,1220000,1957.78,156.641,2301.96,15.0307
245,-10725.5703125,245,1225000,1904.26,156.7573,2242.76,14.9692
246,-10758.2822265625,246,1230000,1939.73,156.5556,2259.82,15.1303
247,-10803.7822265625,247,1235000,1943.6,156.6053,2277.18,15.1806
248,-10837.6376953125,248,1240000,1945.44,156.6111,2299.94,15.0856
249,-10881.9462890625,249,1245000,1942.86,156.5912,2289.32,15.1854
250,-10909.009765625,250,1250000,1947.25,156.6868,2288.4,15.0869
251,-10926.904296875,251,1255000,1947.45,156.5642,2263.47,15.1116
252,-10954.603515625,252,1260000,1928.94,156.5564,2272.22,15.0155
253,-10999.857421875,253,1265000,1954.77,156.4809,2290.79,15.0547
254,-11027.2041015625,254,1270000,1947.93,156.7076,2259.59,15.1571
255,-11067.375,255,1275000,1944.27,156.6623,2279.34,15.0831
256,-11130.626953125,256,1280000,1952.57,156.4595,2301.67,15.0891
257,-11159.8095703125,257,1285000,1941.43,156.4758,2279.1,15.0024
258,-11198.5732421875,258,1290000,1958.96,156.5482,2303.55,15.364
259,-11196.8466796875,259,1295000,1946.95,156.6988,2305.33,15.2137
260,-11232.564453125,260,1300000,1935.11,156.5252,2294.41,15.2199
261,-11289.0224609375,261,1305000,1970.66,156.6124,2303.67,15.2671
262,-11342.2509765625,262,1310000,1940.08,156.4444,2278.37,15.2267
263,-11387.3701171875,263,1315000,1951.57,156.534,2301.44,15.1089
264,-11399.8623046875,264,1320000,1959.13,156.473,2300.13,15.3554
265,-11444.1064453125,265,1325000,1964.02,156.5723,2334.6,15.1631
266,-11496.130859375,266,1330000,1963.57,156.5552,2313.48,15.3325
267,-11518.59375,267,1335000,1964.25,156.579,2313.91,15.2561
268,-11569.6328125,268,1340000,1951.64,156.5912,2330.2,15.401
269,-11567.3818359375,269,1345000,1978.93,156.5395,2339.49,15.2216
270,-11649.8701171875,270,1350000,1989.55,156.6462,2338.47,15.324
271,-11676.8720703125,271,1355000,1944.53,156.5279,2323.86,15.4229
272,-11704.0791015625,272,1360000,1963.1,156.5559,2340.18,15.3378
273,-11704.4052734375,273,1365000,1963.96,156.6596,2326.17,15.1724
274,-11779.4658203125,274,1370000,1964.93,156.5928,2353.24,15.2596
275,-11802.5859375,275,1375000,1941.41,156.6087,2309.9,15.3021
276,-11832.5732421875,276,1380000,1945.87,156.7153,2334.9,15.3068
277,-11860.9306640625,277,1385000,1963.08,156.5379,2328.79,15.3125
278,-11884.40625,278,1390000,1955.36,156.483,2313.32,15.188
279,-11920.611328125,279,1395000,1967.15,156.6182,2330.92,15.2363
280,-11960.337890625,280,1400000,1953.07,156.4956,2336.49,15.2753
281,-11967.7490234375,281,1405000,1947.67,156.5129,2325.21,15.2527
282,-11965.7919921875,282,1410000,1948.15,156.427,2326.25,15.1951
283,-12063.6865234375,283,1415000,1963.86,156.5986,2330.84,15.4555
284,-12064.708984375,284,1420000,1959.72,156.6852,2305.23,15.2089
285,-12091.060546875,285,1425000,1939.42,156.7052,2310.81,14.9411
286,-12130.9501953125,286,1430000,1945.07,156.5225,2329.98,15.1404
287,-12178.1474609375,287,1435000,1979.79,156.4974,2338.58,15.2888
288,-12246.974609375,288,1440000,1967.59,156.4167,2335.59,15.4211
289,-12216.634765625,289,1445000,1960.97,156.5877,2315.84,15.1646
290,-12283.97265625,290,1450000,1947.49,156.478,2326.43,15.218
291,-12263.4482421875,291,1455000,1956.41,156.5076,2317.43,15.0979
292,-12322.1826171875,292,1460000,1959.96,156.5624,2318.77,15.1857
293,-12384.203125,293,1465000,1944.0,156.5623,2333.78,15.0705
294,-12391.2978515625,294,1470000,1957.86,156.6014,2331.1,15.4008
295,-12437.1533203125,295,1475000,1938.61,156.6911,2313.54,15.2422
296,-12468.259765625,296,1480000,1943.58,156.5721,2300.57,15.3148
297,-12505.578125,297,1485000,1957.73,156.4763,2347.71,15.1966
298,-12532.46484375,298,1490000,1942.89,156.6433,2316.21,15.2861
299,-12489.8525390625,299,1495000,1961.14,156.6171,2325.58,15.2537
300,-12596.7021484375,300,1500000,1952.9,156.5608,2346.17,15.3642
301,-12604.2236328125,301,1505000,1957.49,156.3898,2316.25,15.1724
302,-12603.23046875,302,1510000,1954.21,156.4396,2311.48,15.2466
303,-12742.0244140625,303,1515000,1945.14,156.5564,2342.44,15.2283
304,-12692.3642578125,304,1520000,1968.92,156.4298,2349.64,15.1649
305,-12727.7626953125,305,1525000,1950.29,156.5702,2347.37,15.1695
306,-12758.6923828125,306,1530000,1945.04,156.561,2358.0,15.3855
307,-12740.26171875,307,1535000,1939.97,156.541,2346.66,15.1372
308,-12792.2568359375,308,1540000,1964.16,156.5379,2357.53,15.3415
309,-12870.62109375,309,1545000,1980.38,156.6086,2369.47,15.235
310,-12899.1982421875,310,1550000,1962.0,156.5723,2335.88,15.1629
311,-12870.0068359375,311,1555000,1970.56,156.5365,2336.35,15.2388
312,-12944.388671875,312,1560000,1960.42,156.6155,2339.11,15.1641
313,-12926.88671875,313,1565000,1965.14,156.5448,2336.14,15.0203
314,-12917.0888671875,314,1570000,1943.7,156.4436,2315.84,15.1105
315,-12958.1826171875,315,1575000,1963.99,156.602,2350.67,15.2312
316,-12949.3134765625,316,1580000,1958.66,156.5328,2327.95,15.1152
317,-13101.0205078125,317,1585000,1970.26,156.4267,2347.93,15.2425
318,-13110.0732421875,318,1590000,1963.33,156.5785,2337.72,15.1199
319,-13112.5283203125,319,1595000,1981.17,156.6246,2355.83,15.2121
320,-13171.9365234375,320,1600000,1937.35,156.6673,2325.94,15.1745
321,-13148.9453125,321,1605000,1947.21,156.5914,2319.42,15.0676
322,-13141.6474609375,322,1610000,1933.42,156.4963,2319.78,15.0644
323,-13184.6220703125,323,1615000,1954.95,156.5058,2330.57,14.9889
324,-13278.171875,324,1620000,1958.07,156.5604,2328.17,15.1572
325,-13259.19140625,325,1625000,1939.19,156.606,2327.7,14.9805
326,-13284.8037109375,326,1630000,1961.45,156.5149,2345.78,15.2037
327,-13314.3759765625,327,1635000,1931.2,156.5095,2328.85,15.0351
328,-13292.9462890625,328,1640000,1961.99,156.6496,2342.24,14.9971
329,-13389.2158203125,329,1645000,1975.62,156.548,2352.23,15.1037
330,-13350.83984375,330,1650000,1958.11,156.5324,2329.26,15.0698
331,-13376.4326171875,331,1655000,1957.97,156.5972,2327.32,15.0645
332,-13424.4208984375,332,1660000,1925.56,156.6555,2323.76,15.0092
333,-13387.130859375,333,1665000,1935.96,156.5321,2336.42,15.1196
334,-13431.5634765625,334,1670000,1948.38,156.4985,2335.01,14.9437
335,-13486.3359375,335,1675000,1971.05,156.4985,2333.82,15.1162
336,-13390.544921875,336,1680000,1937.67,156.5914,2293.38,14.8653
337,-13470.2626953125,337,1685000,1940.7,156.6041,2320.98,14.9411
338,-13519.017578125,338,1690000,1935.29,156.7293,2302.54,14.9794
339,-13529.36328125,339,1695000,1961.53,156.6095,2348.43,15.0314
340,-13519.5517578125,340,1700000,1952.38,156.4374,2331.65,15.0757
341,-13583.015625,341,1705000,1954.27,156.4312,2336.93,15.1917
342,-13624.318359375,342,1710000,1972.6,156.5122,2353.01,15.0722
343,-13613.251953125,343,1715000,1934.75,156.3767,2296.15,15.0487
344,-13682.6611328125,344,1720000,1952.72,156.5203,2344.2,15.034
345,-13631.8291015625,345,1725000,1960.4,156.452,2327.11,15.0233
346,-13665.537109375,346,1730000,1958.12,156.6238,2341.31,15.0552
347,-13661.955078125,347,1735000,1945.1,156.5042,2321.65,15.0093
348,-13702.0146484375,348,1740000,1977.49,156.6516,2343.98,15.239
349,-13716.556640625,349,1745000,1952.09,156.4917,2351.37,14.9903
350,-13732.869140625,350,1750000,1954.22,156.6267,2350.91,15.0836
351,-13728.3916015625,351,1755000,1930.73,156.4653,2338.39,14.937
352,-13823.5283203125,352,1760000,1962.5,156.5238,2356.77,15.0221
353,-13879.4921875,353,1765000,1968.51,156.6976,2367.11,15.1917
354,-13829.1689453125,354,1770000,1949.98,156.6692,2351.97,15.0724
355,-13872.24609375,355,1775000,1967.61,156.669,2367.76,15.1476
356,-13819.236328125,356,1780000,1948.74,156.5002,2341.98,15.0364
357,-13861.064453125,357,1785000,1961.69,156.5545,2354.44,15.1225
358,-13920.3154296875,358,1790000,1951.74,156.6787,2366.56,15.2078
359,-13848.3125,359,1795000,1927.28,156.56,2310.31,14.9185
360,-13948.8466796875,360,1800000,1963.08,156.6927,2359.6,15.3407
361,-13996.412109375,361,1805000,1948.21,156.7051,2368.23,15.1125
362,-13887.767578125,362,1810000,1934.75,156.5438,2334.85,15.0413
363,-13994.798828125,363,1815000,1965.27,156.4233,2348.76,15.0651
364,-13983.87890625,364,1820000,1949.31,156.5291,2344.17,14.9584
365,-14019.9873046875,365,1825000,1941.94,156.5507,2345.88,15.0301
366,-13982.7060546875,366,1830000,1954.25,156.6092,2356.72,14.9297
367,-13977.8623046875,367,1835000,1929.14,156.6058,2331.19,14.8051
368,-14083.4501953125,368,1840000,1957.18,156.3067,2351.53,15.0958
369,-14100.953125,369,1845000,1948.9,156.5229,2346.06,15.0811
370,-14124.7919921875,370,1850000,1977.47,156.4985,2373.61,15.137
371,-14094.201171875,371,1855000,1945.32,156.677,2350.0,15.0401
372,-14134.029296875,372,1860000,1971.38,156.4713,2340.79,15.0325
373,-14173.5419921875,373,1865000,1970.73,156.5636,2371.19,15.1347
374,-14199.6826171875,374,1870000,1965.42,156.7653,2350.47,15.074
375,-14213.8720703125,375,1875000,1972.73,156.5453,2356.18,15.1564
376,-14256.037109375,376,1880000,1971.59,156.4966,2371.38,14.9826
377,-14212.880859375,377,1885000,1939.41,156.5716,2350.94,15.0529
378,-14258.8876953125,378,1890000,1932.26,156.6514,2362.82,15.0675
379,-14252.4287109375,379,1895000,1962.59,156.6792,2363.51,15.3273
380,-14350.8701171875,380,1900000,1965.24,156.6409,2364.86,15.221
381,-14296.8779296875,381,1905000,1957.27,156.5946,2345.32,14.9664
382,-14339.171875,382,1910000,1948.7,156.5527,2348.66,15.0639
383,-14320.150390625,383,1915000,1991.03,156.5721,2369.26,15.0972
384,-14365.396484375,384,1920000,1976.56,156.629,2350.34,15.1417
385,-14367.20703125,385,1925000,1959.01,156.5864,2359.75,15.0762
