Itration,Running Reverse KL,Real Sto Return,Reward Loss,Running Update Time,Running Env Steps,Real Det Return,Running Forward KL
141,10.8298,3418.72,-421.4695739746094,141,705000,3441.98,17.7514
142,10.5166,3296.6,-485.557373046875,142,710000,3427.01,17.6435
143,10.3484,3373.69,-439.4856262207031,143,715000,3461.36,17.6445
144,10.4129,3381.74,-531.1566162109375,144,720000,3396.35,17.4315
145,10.0659,3423.89,-481.2075500488281,145,725000,3435.92,17.4581
146,11.6152,3441.93,-482.0461730957031,146,730000,3442.01,18.4591
147,10.9848,3179.78,-531.5502319335938,147,735000,3440.26,18.3177
148,10.5474,3296.85,-564.9213256835938,148,740000,3418.06,17.7806
149,11.2609,3445.56,-426.88592529296875,149,745000,3459.12,17.7401
150,10.6058,3358.69,-479.8719787597656,150,750000,3424.9,16.9863
151,10.555,3426.82,-461.0556945800781,151,755000,3437.89,17.3622
152,10.3063,3194.97,-631.6058349609375,152,760000,3423.76,18.2418
153,11.6142,2920.98,-594.045654296875,153,765000,3444.29,18.2309
154,10.7892,3341.55,-459.9912414550781,154,770000,3420.03,17.1921
155,14.6337,3408.65,-551.8560180664062,155,775000,3445.16,17.587
156,10.7585,3408.15,-549.4483642578125,156,780000,3426.16,17.4334
157,10.3208,3374.8,-525.8193359375,157,785000,3436.35,17.2465
158,10.6415,3393.69,-560.76611328125,158,790000,3424.98,17.1507
159,10.777,3428.49,-514.895751953125,159,795000,3442.39,17.389
160,10.5932,3303.71,-579.4346313476562,160,800000,3438.6,16.6956
161,10.6321,3367.32,-515.7391967773438,161,805000,3432.87,17.2108
