Running Update Time,Running Forward KL,Running Reverse KL,Real Det Return,Itration,Reward Loss,Real Sto Return,Running Env Steps
29,46.6545,23.8927,3280.42,29,-160.79420471191406,3019.91,145000
30,46.1723,16.292,2861.36,30,-269.01556396484375,1660.27,150000
31,46.8512,19.5691,3351.72,31,-258.834228515625,2515.95,155000
32,46.4964,21.099,3064.41,32,-242.47747802734375,2995.4,160000
33,46.3708,17.3576,3103.31,33,-254.3824005126953,2503.02,165000
34,46.1459,18.6783,3191.58,34,-277.336669921875,2127.3,170000
35,45.7511,16.336,2900.19,35,-264.00537109375,2160.38,175000
36,45.6783,19.1842,2950.12,36,-237.92245483398438,2447.56,180000
37,46.0001,21.7713,3081.35,37,-222.52960205078125,3000.56,185000
38,45.8557,20.7441,3271.72,38,-268.423095703125,2520.79,190000
39,45.8474,16.0126,2759.78,39,-323.64520263671875,2272.12,195000
40,45.9538,18.96,3137.95,40,-340.9109191894531,2275.97,200000
41,47.1698,23.0488,2994.97,41,-224.81695556640625,3169.81,205000
42,45.8558,20.3426,2885.89,42,-319.5519714355469,3119.93,210000
43,46.0168,19.6472,2986.51,43,-334.5848083496094,2146.33,215000
44,46.4682,18.4426,3053.8,44,-331.8539123535156,2554.63,220000
45,45.9384,20.0078,3101.6,45,-288.2001037597656,3129.26,225000
46,46.0976,19.6758,3354.19,46,-314.87738037109375,2371.64,230000
47,46.2583,19.9752,3244.63,47,-293.8097839355469,2901.3,235000
48,46.2659,20.8562,3298.24,48,-304.8450622558594,2779.1,240000
49,46.3266,20.9009,3090.32,49,-302.80108642578125,2953.67,245000
50,46.4489,20.5397,3405.87,50,-307.9073486328125,2767.95,250000
51,46.1301,17.1855,2903.54,51,-358.5978088378906,2511.36,255000
52,46.0601,17.5365,3072.66,52,-394.6658630371094,2340.16,260000
53,46.5768,18.3305,3354.59,53,-404.523681640625,2295.88,265000
54,46.2813,18.8169,2935.75,54,-346.8340148925781,3219.62,270000
55,46.5432,18.5674,3206.53,55,-440.65374755859375,2569.26,275000
56,46.2916,17.9873,3346.49,56,-381.4812927246094,3130.61,280000
57,46.0387,21.0047,3063.05,57,-329.7896423339844,2786.22,285000
58,46.4255,21.5211,2964.6,58,-339.93994140625,2889.55,290000
59,46.5565,18.9818,2954.01,59,-363.2476501464844,3187.08,295000
60,46.426,19.2074,3108.07,60,-363.30316162109375,2876.0,300000
61,45.4698,17.2349,2988.92,61,-404.44061279296875,2840.24,305000
62,46.1184,17.2341,3373.81,62,-423.9884033203125,2098.28,310000
63,46.5167,17.1034,3092.9,63,-439.8687438964844,2742.71,315000
64,46.3069,18.6002,3070.52,64,-402.0838317871094,3388.09,320000
65,45.9727,16.3513,3111.85,65,-441.3089294433594,3054.69,325000
66,46.0342,17.5992,3545.34,66,-430.39349365234375,2730.29,330000
67,45.8808,17.2297,3534.58,67,-477.8852233886719,2698.2,335000
68,46.2968,16.0247,3274.9,68,-523.1303100585938,2477.24,340000
69,45.9308,16.4242,3442.02,69,-465.206298828125,1914.38,345000
70,45.9345,18.2657,3085.56,70,-463.3543701171875,2942.33,350000
71,46.3935,20.831,3209.53,71,-450.6802673339844,2988.84,355000
72,45.9567,17.6988,3099.29,72,-481.1442565917969,2994.94,360000
73,46.1396,18.0099,3526.44,73,-517.8133544921875,2835.93,365000
74,45.9506,19.8189,3150.73,74,-489.6866149902344,3059.07,370000
75,46.4447,18.7972,2986.54,75,-470.4665832519531,2987.2,375000
76,46.1337,16.0871,3227.05,76,-536.9716186523438,2512.78,380000
77,46.1108,18.0743,3125.87,77,-503.41796875,2794.31,385000
78,45.7929,16.5616,3129.02,78,-531.5790405273438,3233.86,390000
79,46.2801,15.4022,3070.35,79,-554.251953125,2404.5,395000
80,46.557,18.3688,3361.12,80,-536.7740478515625,3049.33,400000
81,45.6976,17.1968,3157.62,81,-590.4549560546875,2759.1,405000
82,46.906,20.4901,3128.58,82,-488.2749328613281,3069.98,410000
83,46.1122,16.8943,3550.52,83,-558.0559692382812,2964.93,415000
84,46.1067,18.1997,3164.49,84,-542.4130249023438,2560.54,420000
85,46.2974,18.874,3098.3,85,-546.9885864257812,2818.36,425000
86,45.9432,15.3513,3495.58,86,-578.6503295898438,3145.13,430000
87,46.3738,17.5608,3129.51,87,-564.4972534179688,3129.55,435000
88,46.0903,15.8788,3029.36,88,-577.8351440429688,2911.44,440000
89,46.2683,18.5503,3153.02,89,-553.9610595703125,2874.15,445000
90,45.711,14.707,3095.3,90,-656.58154296875,2391.35,450000
91,45.6532,17.6967,3100.43,91,-569.6854248046875,3156.12,455000
92,46.6497,19.5567,3377.12,92,-570.7808227539062,3238.58,460000
93,45.5026,16.3043,3353.36,93,-624.7355346679688,2483.39,465000
94,46.5913,19.6728,3096.95,94,-577.7711791992188,3154.36,470000
95,46.2268,18.3746,3604.5,95,-584.9837646484375,3399.93,475000
96,45.8663,16.9157,3087.99,96,-607.7306518554688,2894.53,480000
97,46.099,16.0546,3153.01,97,-682.6104125976562,3069.83,485000
98,46.4027,18.6285,3146.21,98,-618.7804565429688,3376.82,490000
99,45.8113,19.1121,3446.76,99,-639.296142578125,3257.29,495000
100,45.6794,18.2868,3111.06,100,-632.7567749023438,3514.2,500000
101,45.5724,16.7824,3251.59,101,-634.2777099609375,3453.6,505000
102,46.3478,15.2872,3576.34,102,-734.421142578125,2712.2,510000
103,45.8792,19.6199,3568.91,103,-635.0379638671875,3457.24,515000
104,45.5307,16.4636,3116.7,104,-657.0625610351562,2902.22,520000
105,46.3525,18.0398,3243.45,105,-669.3270263671875,2780.5,525000
106,46.5865,14.5026,3414.37,106,-820.2335815429688,2477.17,530000
107,46.5395,16.5355,3256.65,107,-766.6239624023438,2445.85,535000
108,46.3136,15.7838,3174.15,108,-762.3280029296875,2816.93,540000
109,45.7508,17.3847,3085.13,109,-700.2525024414062,2898.93,545000
110,46.1949,18.1341,3256.03,110,-690.212158203125,3369.49,550000
111,45.835,18.4501,3321.74,111,-726.3723754882812,3018.72,555000
112,45.8614,16.3886,3160.86,112,-767.4441528320312,3115.91,560000
113,46.1585,17.0963,3581.22,113,-729.7183227539062,3204.73,565000
114,45.9587,19.039,3665.32,114,-706.4903564453125,3603.17,570000
115,46.036,17.0478,3282.37,115,-753.0457763671875,3452.01,575000
116,45.9688,15.7812,3200.59,116,-754.013427734375,3301.63,580000
117,46.0296,18.3697,3210.61,117,-782.4776000976562,2955.2,585000
118,45.8972,17.0809,3591.48,118,-810.5953979492188,3005.39,590000
119,46.3449,19.0676,3369.84,119,-753.396240234375,3456.46,595000
120,46.2674,16.4571,3327.55,120,-808.2568969726562,3422.57,600000
121,46.5511,14.0258,3239.24,121,-888.9371948242188,2249.71,605000
122,46.0147,18.2106,3585.95,122,-766.5438842773438,3352.35,610000
123,45.876,18.2824,3160.16,123,-786.239501953125,3163.56,615000
124,46.2096,18.6542,3581.34,124,-808.7738037109375,3406.27,620000
125,46.2627,16.3846,3502.92,125,-887.2176513671875,2888.3,625000
126,46.3688,18.4779,3557.02,126,-843.357421875,3317.03,630000
127,46.0182,17.7175,3210.54,127,-839.5945434570312,3087.57,635000
128,46.3061,17.1541,3659.95,128,-850.421875,3227.89,640000
129,46.1218,18.276,3541.7,129,-860.1561889648438,3309.31,645000
130,45.9024,19.6958,3398.68,130,-808.0164184570312,3292.66,650000
131,45.9428,16.3809,3731.03,131,-877.3228149414062,2952.27,655000
132,45.6312,17.8564,3192.75,132,-826.1765747070312,3458.14,660000
133,45.3719,17.8453,3680.07,133,-854.4351196289062,3078.4,665000
134,45.787,17.4849,3450.82,134,-867.5673217773438,3537.44,670000
135,46.1267,18.8181,3226.75,135,-878.014404296875,3437.56,675000
136,45.5151,17.9739,3322.14,136,-855.8898315429688,3341.08,680000
137,45.8998,18.2428,3620.23,137,-903.3933715820312,3338.52,685000
138,45.8289,18.7237,3621.54,138,-900.1478881835938,3514.5,690000
139,45.7816,18.3407,3518.99,139,-935.8484497070312,3510.84,695000
140,45.729,17.635,3707.12,140,-929.7213134765625,3301.8,700000
141,44.8468,16.8832,3721.07,141,-906.9434204101562,3436.18,705000
142,46.0906,18.9088,3715.45,142,-943.689208984375,3294.08,710000
143,45.3579,16.4864,3598.9,143,-1005.8038330078125,3397.74,715000
144,45.8019,19.3351,3638.29,144,-978.0508422851562,3244.42,720000
145,45.6937,18.1502,3663.96,145,-952.6558837890625,3318.78,725000
146,45.9373,18.5752,3302.9,146,-984.80810546875,3358.52,730000
147,45.8988,18.5958,3266.27,147,-996.5258178710938,3327.15,735000
148,45.3878,18.5534,3698.77,148,-950.182373046875,3569.07,740000
149,45.5705,18.2033,3618.51,149,-978.0106811523438,3666.01,745000
150,45.8,19.4485,3677.51,150,-993.3765869140625,3243.63,750000
151,45.7582,16.6743,3192.66,151,-1044.50927734375,3363.43,755000
152,46.1731,19.1732,3679.48,152,-1025.898681640625,3640.8,760000
153,45.7736,17.128,3669.03,153,-1046.902587890625,3251.65,765000
154,45.586,16.6605,3351.66,154,-1103.96435546875,2993.74,770000
155,45.5906,19.0633,3465.43,155,-1007.6346435546875,3391.49,775000
156,45.4598,18.7691,3620.14,156,-1019.2551879882812,3337.57,780000
157,45.6091,18.1431,3676.03,157,-1056.93115234375,3500.21,785000
158,45.4369,17.5465,3193.82,158,-1094.1475830078125,3423.03,790000
159,45.5793,17.5157,3249.03,159,-1101.754638671875,3621.36,795000
160,46.0377,18.0228,3578.82,160,-1094.5133056640625,3620.96,800000
161,45.8737,18.2186,3289.13,161,-1127.6785888671875,3514.47,805000
162,45.7142,17.6711,3271.21,162,-1119.473876953125,3456.28,810000
163,45.6439,17.4212,3475.22,163,-1163.32177734375,3429.91,815000
164,45.6886,17.7102,3669.74,164,-1144.69091796875,3276.46,820000
165,45.6971,16.8413,3273.08,165,-1152.021240234375,3003.54,825000
166,45.7393,18.4163,3540.01,166,-1167.555419921875,3445.4,830000
167,45.7132,17.1835,3555.61,167,-1170.3763427734375,3423.1,835000
168,45.6603,17.4131,3581.17,168,-1196.1279296875,3521.78,840000
169,45.5583,17.4032,3397.35,169,-1220.2755126953125,3517.19,845000
170,45.7204,17.3341,3500.16,170,-1250.7264404296875,3555.44,850000
171,45.7166,17.4126,3520.91,171,-1280.056396484375,2878.33,855000
172,45.5182,17.9697,3631.22,172,-1242.552490234375,3373.74,860000
173,45.7594,16.5802,3715.96,173,-1288.05224609375,3443.28,865000
174,45.8725,17.9249,3589.51,174,-1288.881591796875,3491.82,870000
175,45.7286,18.2659,3527.76,175,-1317.7039794921875,3648.99,875000
176,45.7083,17.8136,3644.96,176,-1286.95654296875,3470.57,880000
177,45.5531,17.1734,3569.28,177,-1306.8961181640625,3417.19,885000
178,45.6806,19.6772,3552.29,178,-1249.297607421875,3546.62,890000
179,45.4224,17.4815,3672.07,179,-1287.2591552734375,3534.51,895000
180,45.1007,17.6391,3670.73,180,-1278.8548583984375,3489.29,900000
181,45.4531,16.5281,3164.82,181,-1351.3104248046875,3590.08,905000
182,45.678,18.8357,3394.94,182,-1333.6661376953125,3405.13,910000
183,45.6402,16.1105,3416.99,183,-1380.25732421875,3534.17,915000
184,45.6349,17.138,3635.56,184,-1388.3006591796875,3383.27,920000
185,45.5774,17.2848,3686.39,185,-1388.359375,3516.82,925000
186,45.2738,17.88,3584.51,186,-1357.1207275390625,3476.88,930000
187,45.88,15.1947,3654.16,187,-1429.299560546875,2866.99,935000
188,45.6974,17.672,3629.97,188,-1420.61572265625,3434.32,940000
189,45.2255,16.5637,3658.53,189,-1423.0211181640625,3231.91,945000
190,45.3833,16.079,3718.21,190,-1465.6988525390625,3500.24,950000
191,45.6117,18.1804,3640.45,191,-1418.400390625,3470.51,955000
192,45.6245,16.1471,3558.2,192,-1465.1474609375,3407.27,960000
193,45.4396,16.3855,3537.87,193,-1479.118408203125,3561.59,965000
194,45.306,16.4561,3538.33,194,-1462.2532958984375,2980.25,970000
195,45.2752,15.5477,3307.45,195,-1487.610107421875,3088.48,975000
196,45.5421,16.1896,3452.36,196,-1537.2239990234375,3578.15,980000
197,45.5661,15.9256,3292.34,197,-1555.252685546875,3432.14,985000
198,45.3353,16.4182,3580.0,198,-1528.1409912109375,3605.68,990000
199,45.8819,15.8904,3512.42,199,-1569.7269287109375,3414.74,995000
200,45.9378,15.8266,3583.19,200,-1599.3082275390625,3505.07,1000000
201,45.6204,16.6145,3433.93,201,-1626.3504638671875,2833.02,1005000
202,45.6066,17.0101,3610.72,202,-1613.8265380859375,3465.83,1010000
203,45.6965,17.257,3650.12,203,-1643.828857421875,3633.6,1015000
204,45.5424,17.4226,3579.64,204,-1674.837158203125,3208.86,1020000
205,45.8084,16.8205,3573.76,205,-1627.57373046875,3124.03,1025000
206,45.6006,17.3121,3326.73,206,-1626.0736083984375,3191.17,1030000
207,45.7232,17.4086,3628.87,207,-1671.5927734375,3422.53,1035000
208,45.8344,17.4157,3577.3,208,-1662.6796875,3294.29,1040000
209,45.9546,16.5814,3597.65,209,-1681.6802978515625,3140.31,1045000
210,45.6121,17.962,3612.86,210,-1684.7530517578125,3384.74,1050000
211,45.8049,17.0906,3511.09,211,-1705.37744140625,3503.08,1055000
212,45.573,16.5569,3455.4,212,-1713.6605224609375,3040.69,1060000
213,45.61,16.3928,3629.5,213,-1752.5914306640625,3495.97,1065000
214,45.2791,15.522,3460.85,214,-1778.4959716796875,3333.62,1070000
215,45.4562,17.0581,3491.15,215,-1794.6805419921875,3589.05,1075000
216,45.5856,16.0451,3522.46,216,-1806.999267578125,3149.18,1080000
217,45.77,17.0822,3453.03,217,-1841.3262939453125,3591.69,1085000
218,45.7968,17.7172,3548.56,218,-1801.4080810546875,3484.55,1090000
219,45.5344,15.9383,3449.61,219,-1844.5467529296875,3476.39,1095000
220,45.8044,16.0859,3269.01,220,-1883.2545166015625,3434.0,1100000
221,45.5122,16.7651,3574.5,221,-1857.5936279296875,3572.09,1105000
222,45.5004,16.8663,3537.92,222,-1876.391357421875,3542.71,1110000
223,45.5722,16.8321,3469.71,223,-1908.1156005859375,3448.29,1115000
224,45.6238,16.1572,3569.95,224,-1934.3507080078125,3562.88,1120000
225,45.2938,16.5307,3577.45,225,-1895.2178955078125,3429.44,1125000
226,45.371,16.2102,3490.58,226,-1929.394287109375,3393.43,1130000
227,45.623,16.7331,3477.14,227,-2013.895751953125,3485.27,1135000
228,45.3393,16.2478,3515.65,228,-1940.604736328125,3567.65,1140000
229,45.4802,17.2525,3579.64,229,-1963.92578125,3437.61,1145000
230,45.0367,16.3072,3573.09,230,-1945.310302734375,3453.97,1150000
231,45.1702,16.8417,3620.83,231,-1952.808349609375,3584.25,1155000
232,45.0303,16.3796,3522.62,232,-2001.2073974609375,3594.96,1160000
233,45.2344,17.1149,3578.8,233,-1977.4320068359375,3676.07,1165000
234,45.3305,16.0215,3503.73,234,-2046.42529296875,3261.28,1170000
235,45.1732,16.2747,3622.38,235,-1987.446533203125,3596.3,1175000
236,45.0259,16.5455,3549.72,236,-2024.809814453125,3714.09,1180000
237,45.4518,16.1985,3499.13,237,-2097.5478515625,3639.34,1185000
238,45.3828,17.0468,3533.6,238,-2081.21142578125,3641.81,1190000
239,45.3423,15.801,3502.92,239,-2128.74951171875,3489.68,1195000
240,45.3241,17.0871,3474.7,240,-2129.715576171875,3517.81,1200000
241,45.4101,15.9704,3527.84,241,-2154.853759765625,3449.12,1205000
242,45.1484,16.5544,3484.74,242,-2141.170654296875,3527.13,1210000
243,45.1815,16.8152,3587.27,243,-2167.401611328125,3625.28,1215000
244,45.2989,16.5354,3609.82,244,-2145.431884765625,3658.14,1220000
245,45.3794,16.9661,3587.58,245,-2196.8837890625,3630.04,1225000
246,44.9615,15.3528,3550.67,246,-2197.139404296875,3645.03,1230000
247,45.2145,16.3345,3522.05,247,-2277.15478515625,3569.13,1235000
248,45.243,16.2921,3539.25,248,-2220.222412109375,3529.66,1240000
249,45.5002,16.5268,3524.85,249,-2303.127685546875,3669.19,1245000
250,45.1993,15.6466,3600.71,250,-2276.978515625,3694.99,1250000
251,45.0024,16.3304,3516.63,251,-2331.045166015625,3531.56,1255000
252,45.211,16.5625,3588.75,252,-2341.778076171875,3681.28,1260000
253,44.889,15.6575,3574.71,253,-2325.035400390625,3524.73,1265000
254,45.0976,15.1794,3597.53,254,-2381.621826171875,3536.27,1270000
255,45.3833,16.914,3525.2,255,-2391.133544921875,3583.16,1275000
256,44.9301,15.0498,3522.69,256,-2386.3974609375,3502.22,1280000
257,45.0255,16.3855,3629.19,257,-2406.6875,3695.23,1285000
258,45.1594,16.8594,3610.65,258,-2412.856689453125,3581.16,1290000
259,45.2829,15.4501,3542.01,259,-2417.961669921875,3367.08,1295000
260,44.9878,15.9498,3495.62,260,-2493.360595703125,3639.61,1300000
261,44.9027,16.1721,3490.0,261,-2493.97802734375,3684.99,1305000
262,45.0882,15.2036,3618.08,262,-2515.1962890625,3724.35,1310000
263,44.8441,16.0611,3621.87,263,-2473.76123046875,3738.28,1315000
264,45.1291,16.4381,3461.83,264,-2567.694580078125,3449.49,1320000
265,45.1127,15.8092,3571.89,265,-2570.66796875,3340.57,1325000
266,44.7667,15.6123,3449.11,266,-2571.621337890625,3483.7,1330000
267,45.3357,16.086,3551.25,267,-2619.517333984375,3537.31,1335000
268,45.2401,16.2018,3522.63,268,-2623.9443359375,3259.83,1340000
269,45.3471,16.617,3416.94,269,-2665.049560546875,3448.35,1345000
270,45.3334,16.7408,3533.38,270,-2712.816162109375,3682.1,1350000
271,45.3269,16.6762,3595.86,271,-2676.509033203125,3448.57,1355000
272,45.2631,17.0682,3577.43,272,-2744.23876953125,3732.67,1360000
273,45.1063,16.4232,3574.43,273,-2731.12890625,3642.84,1365000
274,45.3082,16.9055,3558.75,274,-2718.75,3708.35,1370000
275,45.4494,16.7504,3541.57,275,-2815.013916015625,3576.05,1375000
276,45.3243,17.2895,3614.04,276,-2794.47607421875,3700.57,1380000
277,45.4818,16.8851,3606.04,277,-2829.32373046875,3602.19,1385000
278,45.3677,17.2011,3610.46,278,-2855.509033203125,3641.8,1390000
279,45.2417,16.5764,3500.64,279,-2861.072509765625,3341.49,1395000
280,45.2485,17.2103,3573.56,280,-2854.008056640625,3674.94,1400000
281,45.0055,17.0198,3647.22,281,-2821.546630859375,3422.83,1405000
282,45.1327,16.0458,3620.9,282,-2932.07080078125,3677.23,1410000
283,45.3689,17.2247,3496.85,283,-2889.981201171875,3555.65,1415000
284,45.0967,16.6118,3655.02,284,-2939.381591796875,3598.06,1420000
285,45.1687,17.2735,3638.61,285,-3024.349365234375,3743.66,1425000
286,45.2812,17.3582,3564.63,286,-3055.83251953125,3689.77,1430000
287,45.2058,17.1996,3552.11,287,-3004.982177734375,3709.21,1435000
288,45.1378,16.7648,3530.54,288,-3033.71630859375,3655.71,1440000
289,45.2568,16.054,3466.85,289,-3120.596435546875,3622.69,1445000
290,45.1711,16.0117,3306.82,290,-3059.84423828125,3599.37,1450000
291,45.2853,16.3111,3444.08,291,-3182.166748046875,3635.35,1455000
292,45.2044,16.4157,3555.37,292,-3163.66015625,3612.21,1460000
293,44.8381,16.4244,3595.49,293,-3133.591064453125,3708.63,1465000
294,45.1278,16.6133,3626.2,294,-3148.27734375,3721.06,1470000
295,44.6383,16.7097,3661.59,295,-3107.0947265625,3605.61,1475000
296,44.9791,17.2505,3640.88,296,-3169.67041015625,3638.16,1480000
297,44.973,17.0509,3603.86,297,-3184.853515625,3716.72,1485000
298,44.5301,16.6605,3685.45,298,-3115.098876953125,3660.73,1490000
299,45.0753,16.9275,3515.3,299,-3294.82275390625,3676.7,1495000
300,45.0664,17.4937,3634.83,300,-3311.06396484375,3675.66,1500000
301,45.282,17.2213,3546.0,301,-3343.312744140625,3704.33,1505000
302,45.0181,17.3306,3640.03,302,-3318.2529296875,3521.88,1510000
303,44.7528,17.8946,3617.61,303,-3269.18896484375,3596.03,1515000
304,44.8361,17.3265,3616.15,304,-3293.85791015625,3636.56,1520000
305,44.7109,16.8433,3535.27,305,-3380.69384765625,3499.61,1525000
306,44.7933,16.5702,3464.51,306,-3435.584716796875,3529.46,1530000
307,44.9076,17.9079,3533.18,307,-3371.029052734375,3432.22,1535000
308,44.8253,17.3377,3660.57,308,-3394.99853515625,3738.38,1540000
309,44.9504,21.8084,3670.02,309,-3372.37890625,3723.9,1545000
310,45.1166,17.1423,3513.57,310,-3564.3466796875,3699.35,1550000
311,45.1758,21.8288,3428.98,311,-3476.284423828125,3542.61,1555000
312,44.9835,17.2156,3530.61,312,-3498.73681640625,3479.04,1560000
313,44.7148,21.217,3525.91,313,-3491.12451171875,3642.08,1565000
314,44.6733,19.0172,3475.41,314,-3543.741455078125,3728.5,1570000
315,44.952,17.0929,3496.33,315,-3576.201416015625,3408.03,1575000
316,44.7305,16.9498,3568.23,316,-3611.734619140625,3752.56,1580000
317,44.8812,17.406,3643.41,317,-3478.6865234375,3503.9,1585000
318,44.9728,32.7684,3668.66,318,-3439.059814453125,3123.91,1590000
319,44.6308,21.752,3675.02,319,-3653.6416015625,3569.9,1595000
320,44.7518,25.2108,3630.45,320,-3545.72412109375,3812.55,1600000
321,44.5722,17.1233,3593.34,321,-3729.23828125,3366.61,1605000
322,44.9585,24.4516,3652.84,322,-3589.1455078125,3255.17,1610000
323,44.5682,19.5367,3595.5,323,-3726.62158203125,3427.91,1615000
324,44.4463,16.4625,3549.09,324,-3772.4130859375,3384.03,1620000
325,45.0493,19.2335,3533.79,325,-3823.496826171875,3714.2,1625000
326,44.6755,17.2304,3678.7,326,-3837.79345703125,3625.12,1630000
327,44.5465,17.5797,3670.65,327,-3688.327880859375,3449.89,1635000
328,45.0045,17.5795,3642.58,328,-3863.30908203125,3710.98,1640000
329,44.7444,16.2218,3661.99,329,-3839.18994140625,3532.81,1645000
330,44.8132,16.6744,3644.97,330,-3952.05126953125,3143.87,1650000
331,45.1273,32.683,3714.0,331,-3635.64013671875,2939.81,1655000
332,44.7016,21.2216,3635.7,332,-3808.036865234375,3166.71,1660000
333,44.5964,18.0669,3493.92,333,-3936.493896484375,2856.48,1665000
334,44.7602,17.0779,3716.79,334,-4036.46240234375,3300.88,1670000
335,44.9738,17.4051,3691.51,335,-3991.339599609375,3381.27,1675000
336,44.7581,19.8225,3674.5,336,-4004.546142578125,3267.94,1680000
337,44.7378,16.8062,3619.62,337,-4168.69189453125,3184.78,1685000
338,44.9079,18.3391,3646.72,338,-4106.5556640625,3416.83,1690000
339,44.9046,17.5698,3723.5,339,-4108.12939453125,3721.52,1695000
340,44.5227,28.5347,3688.89,340,-3947.190673828125,3552.19,1700000
341,44.4169,19.591,3610.98,341,-4127.8916015625,3474.38,1705000
342,45.0518,22.281,3464.52,342,-4123.99462890625,3640.77,1710000
343,44.9073,19.6255,3599.78,343,-4282.87548828125,3462.17,1715000
344,44.533,16.6649,3642.88,344,-4273.001953125,3474.29,1720000
345,44.6308,19.1579,3648.66,345,-4187.22802734375,3668.58,1725000
346,44.6908,36.6385,3600.92,346,-4093.56494140625,3366.94,1730000
347,44.7279,25.8339,3603.53,347,-4176.6611328125,3088.22,1735000
348,44.5836,18.1596,3599.38,348,-4388.140625,3583.14,1740000
349,44.4071,16.6326,3708.08,349,-4349.0673828125,3135.68,1745000
350,44.4474,17.0417,3560.98,350,-4451.0224609375,3334.73,1750000
351,44.4602,18.7593,3682.41,351,-4386.82275390625,3534.43,1755000
352,44.5933,17.3576,3608.85,352,-4427.3203125,3353.94,1760000
353,44.4899,19.2666,3639.19,353,-4347.69091796875,3209.22,1765000
354,44.4343,16.1373,3588.99,354,-4578.58251953125,3370.82,1770000
355,44.6195,20.7357,3506.07,355,-4557.9013671875,3301.24,1775000
356,44.565,19.562,3618.14,356,-4487.1962890625,3300.35,1780000
357,44.7016,21.3171,3668.42,357,-4511.08642578125,3512.75,1785000
358,44.5764,20.5565,3623.44,358,-4475.10791015625,3603.04,1790000
359,44.3276,16.5236,3586.2,359,-4706.22021484375,3598.05,1795000
360,44.548,16.6929,3646.73,360,-4687.63427734375,3440.45,1800000
361,44.8811,19.6001,3592.63,361,-4684.78466796875,3365.84,1805000
362,44.6461,17.4745,3601.42,362,-4685.88330078125,3119.85,1810000
363,44.8048,16.5491,3636.02,363,-4848.267578125,3257.79,1815000
364,44.6691,15.0165,3671.99,364,-4876.07470703125,2745.13,1820000
365,45.0225,18.791,3619.43,365,-4909.2177734375,2728.17,1825000
366,44.6522,17.1148,3627.97,366,-4864.0068359375,3541.12,1830000
367,44.891,26.9037,3640.89,367,-4581.11083984375,3061.62,1835000
368,44.4043,20.7923,3673.8,368,-4843.634765625,3370.94,1840000
369,44.9973,20.7875,3572.9,369,-4788.06201171875,3128.94,1845000
370,44.4853,19.7147,3747.39,370,-4742.8408203125,3415.79,1850000
371,44.6148,17.6969,3704.22,371,-4866.220703125,2923.67,1855000
372,44.5879,22.6177,3634.81,372,-4887.25830078125,3242.17,1860000
373,44.6902,16.3949,3644.73,373,-5010.962890625,3234.02,1865000
374,44.5394,23.8576,3641.53,374,-4946.03271484375,3301.55,1870000
375,44.499,20.5833,3664.59,375,-4950.9892578125,3238.31,1875000
376,44.9064,19.247,3597.48,376,-5038.11376953125,3148.54,1880000
377,44.6348,19.3695,3643.95,377,-4935.1044921875,3056.03,1885000
378,44.3233,17.3569,3683.65,378,-5133.22265625,2895.6,1890000
379,44.5167,15.457,3337.53,379,-5202.08837890625,2427.19,1895000
380,44.6717,19.7113,3609.97,380,-5136.19677734375,3262.75,1900000
381,44.7051,22.0985,3528.49,381,-5104.02392578125,2830.92,1905000
382,44.4572,15.679,3652.62,382,-5368.48779296875,3359.77,1910000
