Running Reverse KL,Itration,Running Env Steps,Real Det Return,Reward Loss,Running Update Time,Real Sto Return,Running Forward KL
20.6682,27,135000,1051.26,-1187.4581298828125,27,778.87,33.0911
49.9171,28,140000,1180.02,-1216.704833984375,28,887.26,27.0402
23.7837,29,145000,503.02,-1149.894287109375,29,533.43,26.5801
18.6786,30,150000,808.3,-1154.8095703125,30,632.08,31.4065
47.1348,31,155000,211.18,-862.767333984375,31,208.41,33.2502
179.4277,32,160000,-1.13,-997.986083984375,32,-1.06,37.9426
22.5664,33,165000,269.78,-707.5435180664062,33,270.17,30.1933
51.7425,34,170000,248.09,-951.88330078125,34,289.29,29.0944
44.5459,35,175000,1262.72,-830.6799926757812,35,1133.57,24.2802
51.3511,36,180000,982.35,-1062.4381103515625,36,958.46,27.7373
35.2769,37,185000,1328.62,-774.1396484375,37,962.3,26.8773
198.5989,38,190000,195.02,-798.2236328125,38,193.9,30.3061
138.2501,39,195000,271.0,-1082.2979736328125,39,242.03,29.167
88.0564,40,200000,192.16,-1104.7666015625,40,192.94,31.9182
140.2698,41,205000,351.12,-1215.6729736328125,41,350.12,27.5712
175.8414,42,210000,631.05,-843.0618896484375,42,596.56,26.2223
208.7228,43,215000,178.9,-1136.0645751953125,43,250.02,30.1535
168.8111,44,220000,335.71,-2442.0986328125,44,334.33,33.1404
49.0594,45,225000,88.25,-2050.984619140625,45,88.4,29.6991
27.344,46,230000,84.33,-1996.389892578125,46,84.48,30.8827
106.929,47,235000,14.19,-2334.779052734375,47,14.44,30.083
235.3648,48,240000,2.47,-1716.47412109375,48,2.58,38.0679
47.2063,49,245000,667.41,-1772.9083251953125,49,706.47,28.847
45.9457,50,250000,417.47,-1951.4490966796875,50,379.75,29.5778
38.0562,51,255000,733.53,-1826.9482421875,51,727.17,29.5448
64.7214,52,260000,435.97,-2233.191162109375,52,467.17,29.2226
46.9603,53,265000,458.49,-2356.162353515625,53,492.28,29.1054
31.3413,54,270000,542.82,-2317.087646484375,54,556.98,28.052
19.8957,55,275000,2396.38,-1104.9632568359375,55,2363.51,26.9474
50.8751,56,280000,716.1,-2019.8258056640625,56,641.56,27.6204
125.5094,57,285000,562.07,-2454.523681640625,57,477.83,26.901
24.9505,58,290000,2257.12,-1232.455078125,58,2043.21,26.6676
21.294,59,295000,1898.94,-1555.1966552734375,59,1879.26,25.2631
43.4822,60,300000,814.86,-2134.732666015625,60,785.92,26.4979
27.4148,61,305000,1176.17,-2332.09619140625,61,1149.38,27.962
28.8363,62,310000,1356.23,-2575.67724609375,62,1476.14,29.5843
31.2743,63,315000,1043.83,-2775.55419921875,63,1043.33,36.0412
19.6981,64,320000,2064.2,-1097.157470703125,64,2098.74,26.9257
25.1378,65,325000,2024.9,-1341.0010986328125,65,2087.46,29.608
28.4275,66,330000,367.56,-1608.711181640625,66,379.14,29.1801
18.2927,67,335000,2382.38,-968.7263793945312,67,2492.96,25.4652
17.1326,68,340000,2232.65,-1438.5943603515625,68,2231.8,27.9969
21.6742,69,345000,2254.38,-1536.0264892578125,69,2250.61,28.5078
16.7811,70,350000,2150.72,-1544.482177734375,70,2193.15,26.2702
20.4712,71,355000,2588.53,-1152.75537109375,71,2588.69,25.8973
18.3435,72,360000,1805.14,-1543.798095703125,72,1817.57,27.9428
22.8173,73,365000,1235.33,-818.576171875,73,1087.52,25.6084
32.1901,74,370000,824.26,-1505.995361328125,74,650.48,26.6841
23.218,75,375000,880.81,-2114.78662109375,75,945.2,25.2073
21.2399,76,380000,876.67,-1925.8316650390625,76,771.01,25.9774
18.4152,77,385000,295.18,-2005.8177490234375,77,283.67,25.7863
28.2372,78,390000,976.87,-3232.943115234375,78,977.35,35.9933
23.8012,79,395000,2522.97,-953.3030395507812,79,2520.51,26.3209
22.7918,80,400000,2168.88,-1796.02392578125,80,2160.81,28.2075
29.6526,81,405000,1379.16,-3471.400390625,81,1058.56,35.4018
21.9385,82,410000,2158.95,-1615.137451171875,82,2124.5,25.925
63.5608,83,415000,989.26,-3451.390380859375,83,989.19,37.7656
46.4041,84,420000,1000.15,-3534.988525390625,84,1000.1,37.8245
33.2001,85,425000,1005.7,-3638.513671875,85,1005.91,37.1336
40.1248,86,430000,1008.93,-3736.174560546875,86,1008.55,38.228
64.5472,87,435000,1004.35,-3690.713134765625,87,1004.32,39.18
24.1536,88,440000,2083.37,-1525.0184326171875,88,2091.11,27.8481
24.8733,89,445000,730.84,-2077.496337890625,89,762.45,29.909
28.5546,90,450000,2537.5,-1253.6707763671875,90,2565.2,26.0108
33.8266,91,455000,564.29,-2541.9248046875,91,563.9,29.4296
30.3814,92,460000,1203.88,-1406.2418212890625,92,1321.42,28.6845
26.4171,93,465000,1911.16,-1860.015869140625,93,1903.91,27.1008
21.2127,94,470000,1915.94,-1821.160400390625,94,1935.89,28.9436
23.1362,95,475000,2146.18,-1784.2252197265625,95,2139.33,27.9006
26.3143,96,480000,2058.69,-2198.80322265625,96,2057.78,29.1585
18.31,97,485000,653.16,-2425.311767578125,97,662.27,28.2742
20.3177,98,490000,1786.52,-2340.149658203125,98,1656.28,28.0275
31.4056,99,495000,2151.46,-1665.679931640625,99,2148.29,29.8419
18.081,100,500000,1842.46,-1899.0931396484375,100,1702.14,26.1002
19.6061,101,505000,1913.5,-2530.685791015625,101,1942.51,28.9119
20.3259,102,510000,2088.36,-1453.72802734375,102,2108.63,25.5238
17.5804,103,515000,2224.24,-1997.66552734375,103,2073.5,26.8739
24.7685,104,520000,1536.15,-2360.282958984375,104,1431.83,28.5506
27.1367,105,525000,465.9,-2703.102294921875,105,458.32,28.4606
85.412,106,530000,654.36,-3815.830322265625,106,644.65,28.7617
19.7732,107,535000,1979.01,-2685.40576171875,107,1915.86,28.3652
17.4547,108,540000,1155.98,-1595.511474609375,108,1370.9,27.3204
18.3082,109,545000,649.79,-2345.4599609375,109,653.76,26.1671
20.0911,110,550000,2023.43,-2316.32421875,110,2049.31,28.0966
35.4835,111,555000,938.27,-4004.79541015625,111,874.92,28.043
76.4984,112,560000,1032.54,-4593.6357421875,112,1032.57,38.5119
21.8954,113,565000,1537.26,-2813.76806640625,113,1488.77,28.4471
20.2566,114,570000,2175.3,-2327.895263671875,114,2232.52,27.1829
58.3945,115,575000,1009.73,-3736.0263671875,115,1382.93,29.5459
16.6163,116,580000,1280.42,-2474.864013671875,116,1171.96,27.1911
17.9746,117,585000,2557.87,-1220.3612060546875,117,2574.82,24.8579
56.2204,118,590000,589.35,-3640.978515625,118,675.19,26.7914
25.494,119,595000,2568.43,-1426.670166015625,119,2570.58,26.1415
14.7065,120,600000,1285.92,-2338.324462890625,120,1196.71,26.9169
20.2928,121,605000,2483.48,-1493.7823486328125,121,2484.71,25.1537
24.4585,122,610000,2068.14,-1965.68994140625,122,2125.42,25.4104
18.4858,123,615000,870.01,-3741.132568359375,123,1067.61,26.9788
31.849,124,620000,2242.38,-1815.4190673828125,124,2242.83,28.6653
21.1533,125,625000,759.13,-2714.989013671875,125,904.24,27.1139
26.3716,126,630000,2121.36,-2509.706787109375,126,2123.61,29.2384
26.294,127,635000,2227.9,-1900.3048095703125,127,2222.9,28.1238
20.895,128,640000,1904.23,-2835.833984375,128,1794.72,26.4994
65.8153,129,645000,1039.81,-5178.66357421875,129,1039.97,38.9653
25.0784,130,650000,1216.54,-2926.687744140625,130,1306.11,26.5961
33.3267,131,655000,1375.85,-3347.203369140625,131,1309.62,26.8891
26.7001,132,660000,1137.83,-3725.191162109375,132,885.31,27.3038
115.3879,133,665000,456.98,-5060.21337890625,133,462.55,29.4665
28.8466,134,670000,2082.23,-3048.88330078125,134,2081.61,30.3018
68.6305,135,675000,1084.62,-4559.5048828125,135,962.73,26.9292
44.6622,136,680000,1601.72,-3450.311279296875,136,1432.01,26.9519
25.6085,137,685000,2321.49,-2249.377685546875,137,2319.63,27.3114
16.733,138,690000,2146.42,-2335.862060546875,138,2248.46,26.8234
20.8228,139,695000,1275.65,-2698.05712890625,139,1273.12,26.2662
27.0806,140,700000,2348.23,-2122.597412109375,140,2350.35,28.6691
19.682,141,705000,2067.61,-2638.449462890625,141,2013.0,27.3751
31.147,142,710000,842.59,-4072.655029296875,142,806.57,27.606
23.2704,143,715000,2283.43,-2305.39697265625,143,2286.31,27.7185
19.397,144,720000,2022.58,-3541.5986328125,144,2017.3,28.0353
27.5601,145,725000,2071.76,-3851.59814453125,145,2070.85,29.9641
21.7692,146,730000,2689.26,-1314.2108154296875,146,2695.79,24.9424
19.8188,147,735000,3008.32,-998.9420776367188,147,3012.29,23.9511
16.7981,148,740000,2516.86,-1927.7196044921875,148,2557.96,23.7882
22.4728,149,745000,1619.18,-2260.9521484375,149,1757.64,26.417
22.4659,150,750000,2875.9,-1572.17578125,150,2902.49,24.2664
17.1521,151,755000,2566.07,-2201.82763671875,151,2567.55,23.6043
21.0413,152,760000,1886.49,-3321.02099609375,152,1898.55,26.887
28.5367,153,765000,1763.36,-3990.73291015625,153,1767.96,29.7772
39.869,154,770000,1126.33,-4579.947265625,154,939.62,27.1443
21.9226,155,775000,2283.4,-2587.475830078125,155,2288.63,28.0557
24.8584,156,780000,2213.41,-2395.8076171875,156,2275.29,27.2359
36.0791,157,785000,920.08,-4509.080078125,157,948.41,28.4781
20.5991,158,790000,2299.21,-1936.7047119140625,158,2302.0,26.7367
68.1115,159,795000,533.98,-5360.01220703125,159,558.31,28.3544
19.7903,160,800000,668.5,-3372.22705078125,160,676.38,28.6205
30.8399,161,805000,2012.5,-3079.58203125,161,2106.21,28.3534
37.9726,162,810000,659.52,-6176.06689453125,162,566.51,28.4347
35.8338,163,815000,2270.64,-2722.139892578125,163,2270.68,29.7188
24.602,164,820000,1568.82,-4858.70751953125,164,1756.68,30.8548
23.509,165,825000,2448.11,-3127.811767578125,165,2448.83,27.7043
23.4834,166,830000,1085.88,-4967.04345703125,166,993.26,28.0764
18.1217,167,835000,1912.31,-3061.928955078125,167,1822.77,28.1168
82.5015,168,840000,1009.17,-6699.1962890625,168,1008.98,40.2518
35.9359,169,845000,1387.72,-5174.4833984375,169,1324.13,29.8112
20.8062,170,850000,2626.84,-2130.921142578125,170,2601.17,24.6786
100.7781,171,855000,1502.59,-4800.83544921875,171,1616.49,25.8144
20.3227,172,860000,1348.56,-3996.669921875,172,1303.12,26.6834
27.0089,173,865000,2357.92,-2282.125,173,2357.65,28.2478
18.4821,174,870000,724.66,-1420.95654296875,174,705.98,23.5651
52.0018,175,875000,1400.46,-5086.224609375,175,1273.96,25.6464
41.4495,176,880000,695.77,-3888.819091796875,176,716.55,25.6158
16.3119,177,885000,805.29,-3760.479736328125,177,688.36,26.7675
24.4169,178,890000,2372.73,-3155.6640625,178,2374.1,28.8498
27.2431,179,895000,2723.01,-1866.4920654296875,179,2721.64,26.6316
25.0258,180,900000,1172.34,-2976.1845703125,180,1086.43,26.25
20.9905,181,905000,1966.85,-3788.587890625,181,1965.96,29.25
28.3001,182,910000,2408.11,-2653.6875,182,2410.82,27.9674
41.3392,183,915000,751.15,-6549.88720703125,183,840.0,26.9112
33.2685,184,920000,1020.99,-5732.775390625,184,995.18,27.4131
32.0103,185,925000,2391.52,-2230.738037109375,185,2389.92,28.4353
25.0331,186,930000,1300.77,-2855.6875,186,1741.87,28.4882
34.1736,187,935000,920.32,-4775.07080078125,187,793.77,26.5437
58.0875,188,940000,306.6,-7777.69970703125,188,292.44,30.5789
27.1791,189,945000,2286.45,-3293.616455078125,189,2285.83,28.7523
112.611,190,950000,320.48,-8593.3798828125,190,288.73,30.6961
52.5543,191,955000,499.97,-8208.2890625,191,488.35,27.273
47.4525,192,960000,2133.84,-4191.14990234375,192,2059.62,27.3692
27.3697,193,965000,2510.13,-2840.724853515625,193,2511.19,27.3707
25.713,194,970000,1913.11,-4596.1201171875,194,1780.21,28.4015
21.3648,195,975000,1542.53,-4017.440673828125,195,1739.76,27.8987
22.9529,196,980000,2452.26,-3363.323974609375,196,2448.79,28.3274
51.5748,197,985000,1133.56,-6236.3720703125,197,1223.52,25.7335
24.2561,198,990000,2634.23,-2423.84765625,198,2635.64,25.8209
25.5258,199,995000,2276.61,-3303.680419921875,199,2278.75,28.5069
