Real Det Return,Running Reverse KL,Reward Loss,Real Sto Return,Itration,Running Env Steps,Running Update Time,Running Forward KL
4959.91,76.7857,-1191.463134765625,4819.71,121,605000,121,76.0411
5173.47,74.8149,-1216.4290771484375,4658.51,122,610000,122,75.5697
4882.82,68.6925,-1205.8748779296875,4781.14,123,615000,123,74.3507
5000.54,85.6443,-1260.0916748046875,4814.33,124,620000,124,78.2288
4509.93,79.4298,-1252.468505859375,4449.95,125,625000,125,74.7144
5065.62,78.0606,-1293.97314453125,5047.93,126,630000,126,72.6367
5285.94,85.7695,-1316.055419921875,4734.08,127,635000,127,78.5473
5037.8,84.4296,-1346.4150390625,4930.34,128,640000,128,78.6113
5413.66,79.7887,-1351.7166748046875,4131.52,129,645000,129,78.5228
5406.46,67.4966,-1368.515869140625,4225.73,130,650000,130,71.3066
4728.64,77.2267,-1388.1490478515625,3844.23,131,655000,131,76.8433
5392.32,77.0508,-1458.3302001953125,4827.17,132,660000,132,76.79
5479.73,79.2808,-1486.7493896484375,5060.79,133,665000,133,78.411
5520.77,76.3835,-1495.7838134765625,4611.37,134,670000,134,76.3979
5277.53,79.288,-1505.850341796875,4604.47,135,675000,135,76.2608
5331.3,81.9072,-1572.5518798828125,4957.75,136,680000,136,77.6173
5661.08,79.911,-1579.93896484375,5348.53,137,685000,137,78.0489
5012.12,78.9926,-1584.5013427734375,4734.24,138,690000,138,77.8073
5145.2,71.8183,-1614.015869140625,4928.69,139,695000,139,71.9888
5154.14,71.3596,-1600.7105712890625,4362.54,140,700000,140,71.6015
4722.82,81.47,-1657.537353515625,4221.02,141,705000,141,77.9643
4740.8,84.7562,-1709.73193359375,4275.64,142,710000,142,79.6096
4454.03,76.0036,-1741.589111328125,4661.06,143,715000,143,77.0343
5472.72,85.8261,-1782.2138671875,4999.85,144,720000,144,78.6421
5517.94,84.258,-1831.818115234375,5193.4,145,725000,145,78.7677
5242.89,79.3496,-1822.5843505859375,5206.16,146,730000,146,78.0531
5252.21,78.231,-1830.84130859375,5159.46,147,735000,147,76.9534
5026.22,83.1426,-1906.9403076171875,5194.35,148,740000,148,77.5979
5067.75,83.6159,-1948.4808349609375,5033.42,149,745000,149,78.78
5431.83,79.4838,-2006.245361328125,5035.01,150,750000,150,77.3441
5554.55,68.9747,-1915.1129150390625,4787.5,151,755000,151,69.5087
4698.72,79.9616,-1982.91943359375,3601.29,152,760000,152,76.1458
5485.14,78.3031,-2058.58154296875,4588.32,153,765000,153,76.1036
5549.9,74.6684,-2079.584228515625,4822.22,154,770000,154,77.4742
5269.14,79.6365,-2083.858642578125,4357.62,155,775000,155,78.6929
5608.04,81.3886,-2162.3310546875,4960.75,156,780000,156,78.0017
5512.05,70.878,-2118.048583984375,4811.96,157,785000,157,71.7852
5316.07,79.5691,-2255.63134765625,4667.67,158,790000,158,76.9553
5363.13,75.0266,-2224.153076171875,4034.49,159,795000,159,75.6184
5651.06,76.3849,-2271.730224609375,4400.42,160,800000,160,78.0223
5657.34,68.2351,-2259.718994140625,4541.75,161,805000,161,70.1053
5327.04,77.9015,-2359.107666015625,4858.61,162,810000,162,74.4334
5563.5,79.513,-2381.002197265625,5179.86,163,815000,163,78.0478
5311.35,81.1499,-2467.005126953125,4575.88,164,820000,164,79.5814
5455.4,81.2294,-2496.1552734375,5322.48,165,825000,165,79.0313
5347.19,74.3095,-2529.670654296875,5201.7,166,830000,166,77.2806
5464.26,80.7441,-2593.00390625,4848.22,167,835000,167,78.0973
5637.99,78.9666,-2613.675048828125,5149.64,168,840000,168,77.0823
5248.47,79.8301,-2631.26611328125,4858.14,169,845000,169,80.0023
5712.75,83.0158,-2716.155517578125,4876.95,170,850000,170,79.4692
5422.98,77.1283,-2718.830322265625,5370.68,171,855000,171,76.4267
5578.8,75.3888,-2731.792724609375,4701.18,172,860000,172,77.0706
5366.59,76.8478,-2751.51123046875,4728.23,173,865000,173,76.4293
5543.77,78.6344,-2832.19775390625,4738.9,174,870000,174,76.6418
5588.51,82.0384,-2923.927490234375,5134.03,175,875000,175,78.0453
5551.02,79.0613,-2946.25146484375,4931.63,176,880000,176,78.2429
5636.88,77.2032,-3017.991943359375,5074.97,177,885000,177,75.9926
5610.39,72.872,-3053.22607421875,5331.78,178,890000,178,77.9999
5598.15,81.7268,-3096.847412109375,5011.87,179,895000,179,78.1256
5364.74,80.7284,-3129.036865234375,5111.66,180,900000,180,79.8559
5602.9,80.34,-3186.3271484375,5127.23,181,905000,181,78.5725
4850.85,78.5765,-3237.122802734375,5109.73,182,910000,182,78.216
4976.51,74.0925,-3191.10205078125,4785.52,183,915000,183,76.1943
5191.61,78.2117,-3259.2919921875,5117.34,184,920000,184,74.2178
5781.61,70.1887,-3222.520751953125,5050.54,185,925000,185,71.2532
5136.86,79.0961,-3411.6962890625,4238.05,186,930000,186,78.5948
5232.02,78.4184,-3494.1845703125,5014.98,187,935000,187,77.2269
5425.85,68.2722,-3346.013427734375,4968.71,188,940000,188,70.302
5595.33,73.915,-3592.3125,5481.17,189,945000,189,76.6281
5514.26,77.0734,-3638.245361328125,4475.68,190,950000,190,78.3267
5753.89,78.2305,-3732.46337890625,5404.82,191,955000,191,79.1339
5202.75,72.4878,-3657.423828125,4810.76,192,960000,192,72.7701
5733.62,79.5714,-3836.147705078125,4932.65,193,965000,193,77.7003
5222.54,84.3708,-3910.400146484375,4687.25,194,970000,194,78.7461
5471.58,83.9746,-3938.225341796875,5070.89,195,975000,195,79.9277
5657.79,81.2873,-4069.981689453125,5391.59,196,980000,196,79.1837
5529.64,79.464,-3995.653564453125,5252.33,197,985000,197,77.0828
5542.81,77.288,-4060.80859375,5253.16,198,990000,198,76.7969
5563.33,85.4153,-4199.68408203125,4888.97,199,995000,199,81.0611
5851.09,79.8101,-4248.5419921875,5575.65,200,1000000,200,79.2015
5409.28,77.6262,-4257.52197265625,5271.94,201,1005000,201,76.4062
5144.53,77.804,-4298.44287109375,5078.59,202,1010000,202,77.7058
5785.1,72.9151,-4196.60205078125,4961.71,203,1015000,203,71.8502
5535.07,79.1683,-4461.70263671875,5597.54,204,1020000,204,78.7781
5509.81,81.9352,-4488.47412109375,5030.77,205,1025000,205,78.6313
5765.9,78.942,-4529.0478515625,5154.87,206,1030000,206,77.6211
5787.18,80.6129,-4666.5625,5060.12,207,1035000,207,77.7802
5706.33,78.6548,-4716.41259765625,5235.56,208,1040000,208,77.9601
5439.12,76.2837,-4762.34326171875,4413.47,209,1045000,209,77.5619
5379.17,76.9582,-4833.14892578125,4725.94,210,1050000,210,77.4562
5729.94,75.4261,-4842.48291015625,5463.61,211,1055000,211,76.9298
5579.34,81.3572,-5015.775390625,5208.22,212,1060000,212,78.5976
5757.88,78.0872,-5017.87548828125,4933.75,213,1065000,213,78.5827
5329.5,78.4278,-5047.38623046875,4776.27,214,1070000,214,77.3408
5791.99,76.7193,-5172.07958984375,4646.81,215,1075000,215,77.9462
4641.48,81.067,-5184.4599609375,4985.14,216,1080000,216,78.1813
5039.59,82.0845,-5252.5107421875,4690.53,217,1085000,217,78.4475
5354.29,76.1573,-5333.41259765625,4972.91,218,1090000,218,77.3561
5495.28,73.8134,-5392.0380859375,5117.0,219,1095000,219,76.6533
5568.8,70.2406,-5166.39697265625,4911.48,220,1100000,220,71.1816
5328.82,81.6396,-5516.43994140625,5146.27,221,1105000,221,79.6581
5082.95,75.677,-5424.7958984375,3845.96,222,1110000,222,73.1588
4925.51,78.8022,-5668.732421875,4619.34,223,1115000,223,78.7927
5399.83,78.7352,-5726.3974609375,5313.61,224,1120000,224,76.3358
5157.67,79.2059,-5819.30810546875,4964.13,225,1125000,225,78.1567
5499.52,73.9465,-5815.7734375,4931.91,226,1130000,226,77.3652
5480.81,79.1131,-5953.62548828125,4637.33,227,1135000,227,78.3156
5653.06,74.5077,-5869.01611328125,4580.13,228,1140000,228,75.2983
5571.81,77.1062,-6130.35546875,4831.9,229,1145000,229,76.9999
5461.36,79.1198,-6130.2060546875,4811.73,230,1150000,230,78.3892
5858.81,73.587,-6068.9521484375,5560.34,231,1155000,231,72.0663
5363.18,77.2731,-6315.990234375,4897.07,232,1160000,232,78.0388
4775.65,75.1928,-6243.6201171875,5011.07,233,1165000,233,76.4699
5683.46,69.699,-6205.08642578125,5279.88,234,1170000,234,72.4872
5650.65,78.2374,-6401.59619140625,4771.12,235,1175000,235,77.136
4998.89,82.066,-6512.12548828125,4955.17,236,1180000,236,78.8493
5672.22,77.1249,-6492.0263671875,5221.69,237,1185000,237,75.8036
5665.71,71.138,-6386.42333984375,5287.55,238,1190000,238,73.1701
5474.49,80.6497,-6726.15966796875,5494.38,239,1195000,239,78.002
5813.19,75.8819,-6793.82421875,4943.46,240,1200000,240,76.2086
5335.28,78.4454,-6829.2373046875,5186.69,241,1205000,241,78.1849
5295.62,75.424,-6883.56591796875,5279.03,242,1210000,242,77.0634
5358.38,77.3989,-6906.7919921875,4772.96,243,1215000,243,77.2758
5810.55,67.5211,-6518.8447265625,5332.21,244,1220000,244,70.3903
5104.38,76.6106,-7079.470703125,5392.99,245,1225000,245,76.5941
5398.61,72.0358,-7076.5771484375,5196.85,246,1230000,246,75.5922
5869.81,76.7935,-7286.7021484375,5343.26,247,1235000,247,79.4585
5000.21,74.8211,-7193.12841796875,5034.37,248,1240000,248,75.6583
5329.92,75.7212,-7334.81591796875,5176.0,249,1245000,249,76.6123
5300.07,77.2522,-7370.97607421875,5413.5,250,1250000,250,76.793
5746.42,68.6065,-7324.400390625,4739.12,251,1255000,251,72.0421
5733.67,68.9818,-7251.37744140625,5451.23,252,1260000,252,70.9194
5889.5,74.5965,-7583.10595703125,5620.28,253,1265000,253,77.2408
5910.87,74.4434,-7653.10400390625,4625.43,254,1270000,254,76.351
5387.09,79.2585,-7774.27880859375,5145.75,255,1275000,255,77.2163
5846.46,75.2607,-7753.13232421875,4976.85,256,1280000,256,74.7959
5542.01,67.5114,-7291.41357421875,4560.24,257,1285000,257,69.9326
5699.26,72.1137,-7730.54248046875,5075.97,258,1290000,258,73.1796
5102.7,75.6179,-7822.84130859375,5230.68,259,1295000,259,75.6164
5625.74,77.2603,-8033.02880859375,4795.64,260,1300000,260,76.4236
5309.76,75.4625,-8136.77099609375,5069.66,261,1305000,261,77.0648
5888.13,64.941,-7521.16943359375,5041.85,262,1310000,262,69.6583
5724.89,71.4739,-8219.91015625,5151.72,263,1315000,263,75.0571
4765.33,73.6788,-8220.37890625,5079.97,264,1320000,264,77.0543
5634.83,71.857,-8442.3251953125,5540.83,265,1325000,265,76.7996
5855.07,73.028,-8460.3564453125,5610.45,266,1330000,266,75.9595
5740.75,74.6632,-8440.3515625,5013.67,267,1335000,267,75.422
5017.46,63.5942,-7892.6494140625,4979.34,268,1340000,268,70.168
5476.31,64.6689,-8130.9033203125,5543.07,269,1345000,269,68.9916
5995.74,75.1229,-8709.7392578125,5431.73,270,1350000,270,76.1324
5896.29,74.6246,-8763.5107421875,5246.06,271,1355000,271,76.015
5404.26,62.6269,-7874.5546875,4335.79,272,1360000,272,68.6047
4551.11,68.3033,-8620.1708984375,5348.27,273,1365000,273,72.7651
5275.11,70.3433,-8644.93359375,4899.59,274,1370000,274,72.1634
5251.62,62.7173,-8291.0673828125,4855.74,275,1375000,275,69.5093
5556.48,72.4542,-9018.99609375,4878.13,276,1380000,276,75.9649
5903.03,63.013,-8440.6787109375,5056.38,277,1385000,277,69.6666
5943.27,70.274,-9027.75,4472.3,278,1390000,278,75.5553
5717.33,61.1474,-8512.064453125,4999.09,279,1395000,279,69.4497
5925.59,69.4128,-9084.5087890625,5229.39,280,1400000,280,73.0375
5115.34,67.2534,-8950.4599609375,4554.45,281,1405000,281,72.2317
5589.9,68.0025,-8994.1982421875,5259.8,282,1410000,282,72.8531
5932.37,76.4366,-9529.822265625,4672.74,283,1415000,283,76.643
5944.94,74.1958,-9604.1201171875,4621.05,284,1420000,284,76.4381
5422.84,68.7698,-9585.431640625,5644.17,285,1425000,285,74.7819
5700.45,60.7913,-8988.3828125,4663.4,286,1430000,286,69.2599
5647.29,70.2473,-9743.1142578125,5194.65,287,1435000,287,75.0589
5360.15,74.7821,-9887.205078125,4812.92,288,1440000,288,76.9074
5422.36,72.2783,-9680.7021484375,4907.43,289,1445000,289,73.6497
5936.46,63.5677,-9380.2373046875,5554.77,290,1450000,290,70.3221
5378.6,70.4559,-10108.1884765625,4456.41,291,1455000,291,75.9356
5796.3,56.8853,-8313.4775390625,5416.38,292,1460000,292,67.0772
4328.06,68.2751,-9817.23046875,3904.26,293,1465000,293,70.4459
5527.87,67.4806,-9961.4375,4847.28,294,1470000,294,73.3917
4899.52,68.8261,-10211.4765625,4591.24,295,1475000,295,72.8394
5388.54,74.3468,-10475.19140625,4864.93,296,1480000,296,77.1684
5665.58,63.457,-10010.841796875,3927.66,297,1485000,297,71.0686
5629.76,67.3211,-10159.2138671875,5294.94,298,1490000,298,71.1779
5667.3,59.2696,-9642.7412109375,5401.21,299,1495000,299,70.4171
5993.65,70.1302,-10796.9775390625,4858.59,300,1500000,300,74.7839
