Running Reverse KL,Running Update Time,Running Env Steps,Reward Loss,Running Forward KL,Real Sto Return,Real Det Return,Itration
15.6044,279,1395000,-50695.78515625,156.7029,1940.23,2269.39,279
15.651,280,1400000,-50716.890625,156.6464,1956.27,2262.33,280
15.6133,281,1405000,-50781.54296875,156.6501,1948.21,2297.21,281
15.5664,282,1410000,-50872.5703125,156.6671,1958.12,2245.65,282
15.5751,283,1415000,-51007.80859375,156.707,1938.58,2245.75,283
15.6872,284,1420000,-51206.80078125,156.5278,1961.94,2280.82,284
15.5302,285,1425000,-51001.546875,156.6784,1925.05,2243.09,285
15.5746,286,1430000,-51328.56640625,156.7986,1931.29,2263.7,286
15.6389,287,1435000,-51560.3984375,156.6582,1940.4,2271.74,287
15.5898,288,1440000,-51551.96484375,156.6732,1923.94,2267.71,288
15.3324,289,1445000,-51820.1875,156.5556,1916.41,2288.53,289
15.5463,290,1450000,-51958.04296875,156.6878,1941.35,2277.15,290
15.5755,291,1455000,-51961.0234375,156.8478,1918.85,2237.64,291
15.7285,292,1460000,-52225.8828125,156.7948,1955.17,2280.09,292
15.5458,293,1465000,-52304.84765625,156.7779,1934.25,2279.41,293
15.5397,294,1470000,-52585.46875,156.7792,1937.18,2279.19,294
15.5591,295,1475000,-52397.78125,156.7727,1926.48,2273.48,295
15.7835,296,1480000,-52613.18359375,156.8654,1930.36,2272.79,296
15.5737,297,1485000,-52924.0390625,156.7044,1920.11,2244.7,297
15.5884,298,1490000,-52944.9140625,156.7347,1914.53,2273.68,298
15.418,299,1495000,-53024.61328125,156.8115,1900.73,2229.67,299
15.5298,300,1500000,-53155.8828125,156.8046,1897.07,2222.77,300
15.5242,301,1505000,-53287.1015625,156.7631,1943.09,2261.68,301
15.7168,302,1510000,-53399.95703125,156.8635,1940.16,2251.87,302
15.5039,303,1515000,-53581.9921875,156.6704,1923.02,2260.03,303
15.444,304,1520000,-53731.26953125,156.7131,1909.39,2252.09,304
15.5123,305,1525000,-53914.3828125,156.8348,1924.64,2258.92,305
15.5778,306,1530000,-53669.19140625,156.7882,1926.92,2280.44,306
15.6624,307,1535000,-54069.0234375,156.5952,1926.62,2259.53,307
15.6353,308,1540000,-54227.3671875,156.7848,1951.12,2297.2,308
15.2994,309,1545000,-54175.5,156.6852,1943.33,2282.88,309
15.2736,310,1550000,-54189.734375,156.5355,1950.2,2278.21,310
15.5182,311,1555000,-54641.609375,156.592,1953.17,2291.97,311
15.4266,312,1560000,-54480.13671875,156.628,1926.19,2276.35,312
15.4139,313,1565000,-54798.4296875,156.638,1917.15,2283.13,313
15.5115,314,1570000,-54830.625,156.6293,1949.68,2296.75,314
15.3768,315,1575000,-54752.8125,156.7184,1937.93,2269.78,315
15.5646,316,1580000,-55283.2109375,156.7099,1944.73,2292.52,316
15.4413,317,1585000,-55280.19140625,156.8079,1939.95,2292.38,317
15.3705,318,1590000,-55150.63671875,156.7592,1929.94,2285.33,318
15.5889,319,1595000,-55654.9375,156.8113,1949.43,2278.44,319
15.3999,320,1600000,-55692.20703125,156.7561,1945.59,2288.86,320
15.2768,321,1605000,-55964.38671875,156.8518,1924.87,2261.81,321
15.4358,322,1610000,-55789.79296875,156.8125,1943.58,2275.31,322
15.3608,323,1615000,-56119.46875,156.6027,1943.19,2248.55,323
15.3333,324,1620000,-55971.70703125,156.6357,1929.92,2275.56,324
15.4352,325,1625000,-56402.53125,156.8459,1914.76,2273.22,325
15.3791,326,1630000,-56322.6328125,156.8057,1909.82,2252.98,326
15.402,327,1635000,-56530.5703125,156.8371,1925.55,2289.59,327
15.3296,328,1640000,-56799.91015625,156.7009,1935.74,2260.94,328
15.3451,329,1645000,-56728.359375,156.8038,1938.1,2267.11,329
15.2566,330,1650000,-56863.26953125,156.5422,1934.12,2265.93,330
15.3864,331,1655000,-57193.3984375,156.7994,1945.9,2274.17,331
15.383,332,1660000,-57268.9609375,156.5838,1931.38,2271.95,332
15.4026,333,1665000,-57318.0546875,156.7619,1929.3,2256.54,333
15.3426,334,1670000,-57580.53125,156.6836,1933.71,2304.77,334
15.307,335,1675000,-57502.43359375,156.5523,1946.9,2260.76,335
15.4788,336,1680000,-57803.9375,156.7632,1953.09,2300.67,336
15.4262,337,1685000,-57822.3046875,156.6553,1912.88,2256.08,337
15.405,338,1690000,-57839.87109375,156.7318,1927.48,2255.77,338
15.2039,339,1695000,-58077.2421875,156.5247,1951.36,2266.19,339
15.3111,340,1700000,-58060.765625,156.6245,1938.32,2280.09,340
15.2335,341,1705000,-58176.09375,156.6771,1940.55,2254.68,341
15.2787,342,1710000,-58445.3671875,156.632,1945.68,2276.28,342
15.3144,343,1715000,-58534.90625,156.7668,1954.4,2288.16,343
15.4002,344,1720000,-58607.90625,156.7276,1943.38,2273.26,344
15.1628,345,1725000,-58606.72265625,156.641,1928.57,2240.18,345
14.9563,346,1730000,-58887.9375,156.7071,1929.71,2297.63,346
15.2631,347,1735000,-58904.59765625,156.7189,1939.48,2275.53,347
15.1151,348,1740000,-59119.0078125,156.6606,1928.54,2218.95,348
15.4099,349,1745000,-59294.14453125,156.8406,1948.72,2257.89,349
15.2379,350,1750000,-59290.31640625,156.7851,1949.94,2284.1,350
