Itration,Real Det Return,Running Reverse KL,Running Forward KL,Reward Loss,Running Update Time,Running Env Steps,Real Sto Return
126,995.12,33.0333,33.5711,-645.43359375,126,630000,1063.7
127,511.99,30.7715,32.93,-727.5852661132812,127,635000,473.38
128,974.84,49.1564,43.3641,-872.7719116210938,128,640000,979.01
129,995.0,51.0696,44.8996,-871.09619140625,129,645000,997.51
130,1006.31,53.7374,44.9502,-894.06005859375,130,650000,1006.51
131,17.08,68.028,44.7375,-1185.9571533203125,131,655000,66.32
132,11.79,92.4857,42.0034,-1000.1399536132812,132,660000,11.78
133,805.26,38.4389,42.6135,-886.431396484375,133,665000,994.42
134,995.67,53.6978,43.2501,-924.2536010742188,134,670000,995.63
135,29.16,25.9219,41.1168,-1059.9853515625,135,675000,29.66
136,984.05,54.3105,44.6283,-934.6409912109375,136,680000,983.95
137,434.22,46.3553,41.0134,-964.7579956054688,137,685000,565.92
138,975.91,46.3083,45.9334,-979.9813842773438,138,690000,979.81
139,137.92,36.7451,39.6508,-904.0232543945312,139,695000,137.07
140,51.78,67.9316,33.9286,-972.1441040039062,140,700000,54.48
141,999.32,47.4983,44.0025,-985.128173828125,141,705000,1000.57
142,1004.82,33.4905,42.7025,-964.7254028320312,142,710000,1004.67
143,988.12,52.5793,44.1629,-1011.2317504882812,143,715000,988.04
144,988.11,45.7973,42.7532,-1019.5652465820312,144,720000,987.88
145,994.92,56.5463,43.5069,-1062.8211669921875,145,725000,995.0
146,994.74,56.0298,43.8828,-1064.2515869140625,146,730000,994.68
147,1016.21,43.0842,42.5068,-1050.93603515625,147,735000,1011.65
148,1019.53,37.6534,42.6688,-1058.756103515625,148,740000,1012.81
149,1023.84,43.1853,42.7234,-1049.0826416015625,149,745000,1023.93
150,1018.36,46.0619,42.0059,-1066.8343505859375,150,750000,1018.3
151,1016.3,44.4824,43.8411,-1109.2706298828125,151,755000,1016.23
152,59.83,85.032,38.1657,-1223.73681640625,152,760000,60.01
153,210.75,59.2361,36.8637,-1056.339111328125,153,765000,208.81
154,239.39,30.1371,31.4274,-593.3316650390625,154,770000,240.9
155,266.11,22.8946,37.7103,-859.233642578125,155,775000,265.61
156,465.37,25.0401,33.6359,-1002.4553833007812,156,780000,435.46
157,258.29,20.284,29.7643,-716.1520385742188,157,785000,233.18
158,710.34,30.668,32.9645,-1023.9026489257812,158,790000,653.95
159,991.65,39.6414,43.7149,-1188.5548095703125,159,795000,991.4
160,994.15,51.4399,44.0661,-1249.694580078125,160,800000,993.77
161,992.34,52.0317,45.1875,-1268.685546875,161,805000,990.77
162,66.07,39.3905,38.5095,-1285.2244873046875,162,810000,66.81
163,356.97,27.772,38.7811,-1205.3828125,163,815000,295.17
164,274.63,59.2804,40.5656,-1272.873779296875,164,820000,276.87
165,269.41,44.4297,38.901,-1255.4171142578125,165,825000,268.86
166,1043.38,41.7226,42.6369,-1274.6168212890625,166,830000,1043.5
167,1039.1,37.086,43.6989,-1255.0325927734375,167,835000,1038.42
168,1030.2,32.8992,43.9384,-1255.99853515625,168,840000,1030.31
169,1010.45,37.4392,43.8826,-1320.09912109375,169,845000,1001.94
170,1042.13,32.085,42.0435,-1287.3240966796875,170,850000,1041.22
171,1042.03,37.401,41.8177,-1319.58251953125,171,855000,1041.08
172,1017.65,38.5608,42.6126,-1338.1263427734375,172,860000,1017.94
173,994.37,45.7561,43.9957,-1383.7457275390625,173,865000,994.32
174,992.84,52.1277,44.6232,-1422.4405517578125,174,870000,991.55
175,1008.85,45.5986,44.4351,-1410.090087890625,175,875000,999.17
176,1031.86,38.2993,44.8473,-1432.7532958984375,176,880000,1032.63
177,1002.07,48.5022,45.2034,-1467.3370361328125,177,885000,960.87
178,40.58,86.6727,43.2563,-1841.7796630859375,178,890000,41.12
179,64.62,78.8499,32.5933,-1438.2562255859375,179,895000,71.09
180,100.05,65.263,37.5577,-1356.4864501953125,180,900000,57.97
181,50.51,59.6392,36.6821,-1429.199462890625,181,905000,50.19
182,1000.97,38.29,43.7397,-1491.931640625,182,910000,954.83
183,917.58,51.063,43.884,-1515.00341796875,183,915000,581.53
184,25.63,107.2924,41.5528,-1576.47607421875,184,920000,27.72
185,25.95,199.7997,44.2662,-1763.8099365234375,185,925000,26.06
186,8.23,122.1699,41.4938,-1720.2275390625,186,930000,8.23
187,32.19,52.6694,38.0472,-1528.83837890625,187,935000,31.23
188,988.43,46.0566,46.0981,-1630.4046630859375,188,940000,988.08
189,206.25,54.5063,38.5198,-1363.8123779296875,189,945000,176.51
190,7.66,38.9753,39.883,-1499.003173828125,190,950000,7.44
191,96.93,42.8264,41.1258,-1561.5103759765625,191,955000,98.22
192,1013.86,53.2444,41.773,-1665.2109375,192,960000,1013.29
193,984.83,55.0582,44.4635,-1691.4237060546875,193,965000,984.42
194,979.64,53.7545,44.5672,-1734.5592041015625,194,970000,979.35
195,989.07,40.8041,44.5475,-1650.0721435546875,195,975000,988.23
196,1009.14,46.3704,44.1624,-1702.098388671875,196,980000,1012.36
197,1017.36,37.2187,44.8768,-1682.05029296875,197,985000,998.51
198,980.74,60.4506,45.2659,-1771.18896484375,198,990000,980.37
199,172.31,110.4223,41.0072,-1685.1285400390625,199,995000,172.37
