Itration,Running Reverse KL,Running Env Steps,Real Sto Return,Running Update Time,Running Forward KL,Real Det Return,Reward Loss
144,10.4562,720000,3414.9,144,16.5472,3443.11,-820.8770141601562
145,10.5879,725000,3433.09,145,17.0069,3447.54,-807.720947265625
146,10.0325,730000,3396.25,146,16.5973,3411.67,-870.6812133789062
147,9.7526,735000,3355.92,147,16.8289,3409.16,-832.1546020507812
148,9.6044,740000,3384.24,148,16.1102,3401.02,-824.2379150390625
149,10.4118,745000,3452.21,149,16.699,3443.84,-800.3657836914062
150,10.948,750000,3250.45,150,17.092,3425.86,-755.8001098632812
151,10.9349,755000,3450.37,151,16.777,3465.88,-846.2776489257812
152,10.4371,760000,3429.57,152,16.9274,3454.71,-892.8870849609375
153,10.4698,765000,3417.67,153,16.5587,3412.82,-872.7705078125
154,10.4047,770000,3424.3,154,16.3483,3470.0,-926.6168823242188
155,9.8168,775000,3432.06,155,16.1525,3493.44,-938.1970825195312
156,10.1231,780000,3399.8,156,16.714,3446.91,-850.1835327148438
157,10.2134,785000,3446.06,157,15.8221,3485.24,-828.0386352539062
158,12.3155,790000,3260.2,158,17.351,3423.76,-963.2142944335938
159,10.7368,795000,3425.32,159,16.8651,3450.12,-850.4569702148438
160,10.9861,800000,3421.79,160,16.9384,3443.84,-995.5992431640625
161,10.4871,805000,3474.32,161,16.3724,3492.14,-810.9425659179688
162,11.6013,810000,3363.99,162,17.2088,3462.27,-882.9775390625
163,10.4537,815000,3409.03,163,16.4745,3448.05,-999.4332275390625
164,9.8627,820000,3382.27,164,16.3354,3432.48,-1060.2847900390625
165,9.8791,825000,3407.3,165,16.1653,3446.6,-893.6412963867188
166,10.6031,830000,3405.4,166,16.6756,3435.3,-1026.4163818359375
167,10.4681,835000,3373.32,167,16.5256,3444.99,-1015.5933837890625
168,11.0965,840000,3359.39,168,17.0307,3477.44,-924.2232666015625
169,10.6955,845000,3409.24,169,16.9632,3454.06,-979.0733642578125
170,10.3468,850000,3427.6,170,16.9907,3440.81,-1019.5598754882812
171,9.9304,855000,3361.92,171,16.1208,3464.37,-813.6842041015625
172,10.2485,860000,3390.93,172,16.3116,3419.99,-1023.673583984375
173,10.9656,865000,3339.27,173,17.2219,3452.26,-1198.927490234375
174,10.6894,870000,3337.29,174,17.1933,3457.2,-1029.4530029296875
175,9.9539,875000,3418.71,175,16.1376,3453.93,-985.5885620117188
176,14.0657,880000,2934.93,176,17.7918,3430.68,-1068.384033203125
177,10.9964,885000,3420.65,177,17.5724,3467.58,-1112.137451171875
178,10.8213,890000,3435.03,178,16.926,3472.62,-1083.814453125
179,10.2084,895000,3397.65,179,17.0033,3449.48,-1013.2343139648438
180,10.4078,900000,3376.4,180,16.6896,3451.32,-1075.603515625
181,10.2586,905000,3387.24,181,16.6652,3436.28,-1115.5897216796875
182,10.3373,910000,3420.07,182,16.516,3449.14,-1084.0765380859375
183,10.6952,915000,3423.08,183,17.1913,3453.67,-1255.1605224609375
184,10.0487,920000,3426.23,184,16.6192,3450.97,-1200.0386962890625
185,10.2786,925000,3364.14,185,16.3515,3457.23,-1102.0059814453125
186,11.1101,930000,3397.04,186,18.0347,3434.48,-1255.427001953125
187,10.2356,935000,3228.86,187,16.5338,3483.38,-1061.9462890625
188,10.6108,940000,3412.7,188,16.786,3442.38,-1220.498779296875
189,10.8041,945000,3418.86,189,16.6045,3453.89,-1255.27587890625
190,10.1505,950000,2290.09,190,17.7962,3478.22,-1134.506591796875
191,11.0712,955000,3376.94,191,17.2611,3470.04,-1191.825927734375
192,10.3475,960000,3389.73,192,16.2187,3469.72,-1144.2662353515625
193,10.4434,965000,3420.88,193,17.2777,3463.64,-1130.6082763671875
194,10.6493,970000,3453.07,194,16.8114,3482.1,-1131.99169921875
195,10.3173,975000,3336.14,195,16.9931,3444.32,-1361.0262451171875
196,10.8743,980000,3457.32,196,17.19,3483.61,-1200.3721923828125
197,10.6152,985000,3234.8,197,17.1442,3459.11,-1122.3070068359375
198,11.0147,990000,3434.66,198,17.2494,3477.54,-1221.1343994140625
199,10.281,995000,3443.32,199,16.2482,3478.2,-1283.64501953125
