Real Sto Return,Running Env Steps,Itration,Real Det Return,Running Update Time,Running Reverse KL,Running Forward KL,Reward Loss
200.98,180000,36,701.66,36,31.1108,72.8463,-416.0230407714844
204.62,185000,37,818.15,37,31.9633,73.6112,-430.150390625
248.89,190000,38,821.54,38,31.1404,72.4867,-440.0858459472656
236.81,195000,39,830.65,39,31.2202,73.0387,-453.9277038574219
193.38,200000,40,736.5,40,31.437,72.8101,-469.91339111328125
208.3,205000,41,821.11,41,31.5617,73.8019,-481.5119934082031
185.73,210000,42,822.37,42,32.0641,75.03,-502.7228088378906
195.38,215000,43,784.64,43,31.7757,72.9828,-510.67913818359375
226.15,220000,44,823.36,44,31.8816,72.9305,-520.4364013671875
201.49,225000,45,848.21,45,31.3173,74.1703,-543.0942993164062
174.72,230000,46,877.12,46,31.3514,73.6251,-556.00732421875
201.05,235000,47,763.01,47,30.6363,71.2908,-562.26171875
255.02,240000,48,756.73,48,31.6876,73.781,-581.847900390625
195.1,245000,49,797.46,49,30.7369,73.0153,-598.24365234375
213.39,250000,50,820.1,50,31.6157,73.9499,-615.5805053710938
178.39,255000,51,751.58,51,30.8086,73.8768,-632.025390625
186.21,260000,52,800.62,52,31.758,73.8722,-644.783203125
306.12,265000,53,896.8,53,31.7333,72.0896,-651.5427856445312
176.73,270000,54,868.67,54,31.3048,72.6971,-668.7313232421875
246.25,275000,55,738.41,55,31.3287,73.1258,-693.4945068359375
201.03,280000,56,772.33,56,31.6206,73.9609,-710.817626953125
281.36,285000,57,865.79,57,31.3635,74.4138,-721.6250610351562
210.84,290000,58,884.81,58,30.6054,72.4362,-737.302978515625
213.86,295000,59,873.69,59,31.0406,71.8743,-741.1486206054688
207.14,300000,60,911.97,60,30.7061,72.7215,-768.2498779296875
304.64,305000,61,752.11,61,31.3418,72.0769,-782.4898681640625
176.41,310000,62,796.21,62,30.7173,73.6929,-801.6041870117188
224.65,315000,63,898.61,63,30.965,73.0158,-816.8329467773438
278.5,320000,64,847.78,64,31.2392,74.0949,-838.4326782226562
217.28,325000,65,759.5,65,31.6459,72.7584,-856.209228515625
178.45,330000,66,752.71,66,31.1436,72.765,-873.4234008789062
197.31,335000,67,811.31,67,30.2552,73.2518,-882.6506958007812
227.48,340000,68,997.4,68,31.6269,73.1404,-904.8301391601562
230.1,345000,69,892.79,69,30.9993,72.7981,-911.1078491210938
267.76,350000,70,884.51,70,30.947,74.2807,-952.0737915039062
277.45,355000,71,991.76,71,29.8416,70.924,-939.9755859375
112.54,360000,72,918.02,72,30.3514,71.0749,-972.9266357421875
261.91,365000,73,869.93,73,31.3808,73.02,-1008.5958251953125
198.57,370000,74,912.93,74,31.3329,73.8565,-1021.077392578125
240.13,375000,75,825.69,75,30.5627,72.6463,-1029.3145751953125
188.08,380000,76,901.49,76,30.6128,71.1787,-1038.7608642578125
256.75,385000,77,781.79,77,30.6299,72.4733,-1075.972412109375
273.42,390000,78,945.45,78,30.4254,70.6334,-1082.287109375
226.94,395000,79,874.11,79,31.3965,71.3066,-1096.95263671875
250.4,400000,80,855.61,80,30.9358,71.7127,-1126.901611328125
152.61,405000,81,937.65,81,30.2054,71.0948,-1137.6981201171875
197.25,410000,82,888.32,82,31.0519,72.4709,-1170.64990234375
302.79,415000,83,933.52,83,30.8766,72.3232,-1216.5428466796875
252.9,420000,84,667.87,84,30.3162,72.2422,-1204.5706787109375
229.94,425000,85,655.84,85,29.3324,69.8098,-1210.2611083984375
256.13,430000,86,881.13,86,30.9313,72.2106,-1265.89990234375
279.42,435000,87,849.0,87,31.6959,74.6304,-1298.161376953125
247.14,440000,88,968.52,88,30.9064,73.8433,-1319.9317626953125
230.39,445000,89,672.68,89,30.9441,72.6667,-1331.7149658203125
211.33,450000,90,922.52,90,30.6227,73.6584,-1365.0333251953125
221.5,455000,91,866.01,91,29.7328,71.5157,-1361.191650390625
271.02,460000,92,977.29,92,30.4487,71.5089,-1392.4632568359375
251.14,465000,93,634.05,93,31.3606,70.9812,-1402.4708251953125
193.0,470000,94,850.22,94,31.3159,74.3676,-1468.822021484375
226.5,475000,95,819.31,95,30.785,72.8832,-1479.87353515625
241.27,480000,96,847.61,96,30.4431,71.0135,-1480.6861572265625
186.43,485000,97,898.49,97,30.32,72.9045,-1526.6654052734375
217.49,490000,98,993.16,98,30.8908,73.6305,-1561.6280517578125
222.74,495000,99,1021.79,99,30.8088,72.4209,-1563.125732421875
245.48,500000,100,826.14,100,30.231,70.1045,-1563.18212890625
254.02,505000,101,855.96,101,30.6377,70.1224,-1578.1787109375
252.32,510000,102,913.57,102,30.7325,70.9572,-1640.5484619140625
235.51,515000,103,739.19,103,30.7204,70.996,-1630.2254638671875
192.32,520000,104,750.38,104,31.1387,72.2434,-1706.675048828125
247.12,525000,105,996.06,105,31.1607,71.5752,-1723.5028076171875
268.77,530000,106,953.47,106,31.4133,72.6188,-1793.7568359375
170.56,535000,107,864.76,107,32.2215,73.418,-1792.3074951171875
198.94,540000,108,601.28,108,33.4654,72.1095,-1817.64208984375
302.46,545000,109,736.28,109,31.0327,74.455,-1888.8433837890625
244.57,550000,110,889.75,110,30.4757,70.4057,-1852.6173095703125
176.79,555000,111,867.71,111,31.3335,73.6384,-1928.480224609375
256.61,560000,112,882.49,112,38.5986,73.5713,-1921.4031982421875
131.03,565000,113,959.6,113,37.1534,72.0558,-1958.2635498046875
265.63,570000,114,817.87,114,30.5651,73.1898,-2042.498291015625
230.46,575000,115,822.98,115,31.3997,73.3385,-2075.13037109375
297.34,580000,116,863.19,116,31.1551,73.2592,-2072.890380859375
293.89,585000,117,916.72,117,30.8591,73.3783,-2133.984130859375
232.58,590000,118,757.73,118,30.5042,72.8422,-2140.530029296875
253.27,595000,119,854.4,119,30.8069,73.7173,-2190.8818359375
267.64,600000,120,867.91,120,30.9172,74.3719,-2215.61083984375
253.99,605000,121,764.1,121,30.874,73.9444,-2255.092041015625
228.71,610000,122,890.99,122,31.0358,72.4005,-2254.68408203125
188.28,615000,123,953.74,123,30.3862,72.0816,-2312.1630859375
288.5,620000,124,884.73,124,30.45,73.242,-2356.736572265625
243.89,625000,125,883.89,125,30.5596,71.986,-2372.828857421875
192.69,630000,126,724.28,126,30.7853,71.6705,-2400.4287109375
244.62,635000,127,926.61,127,29.9031,70.5225,-2421.983154296875
225.9,640000,128,845.33,128,30.3354,71.6512,-2494.831298828125
250.44,645000,129,904.75,129,31.0631,72.3707,-2534.920654296875
271.19,650000,130,940.34,130,30.8551,73.1315,-2564.52001953125
195.76,655000,131,742.09,131,30.7694,72.9849,-2632.15380859375
281.55,660000,132,897.55,132,30.5386,72.4366,-2608.6533203125
215.93,665000,133,798.91,133,30.2111,72.9687,-2673.177734375
203.52,670000,134,787.63,134,31.6604,72.9399,-2761.40869140625
243.01,675000,135,884.79,135,30.4516,72.7621,-2750.770263671875
219.51,680000,136,790.59,136,30.6376,71.9672,-2779.923583984375
235.93,685000,137,864.59,137,30.6431,73.4451,-2853.362548828125
277.13,690000,138,823.92,138,30.4885,72.5187,-2887.470947265625
251.71,695000,139,838.53,139,30.7186,73.3662,-2935.794189453125
220.03,700000,140,763.56,140,30.3638,72.6562,-2915.379150390625
308.5,705000,141,1003.69,141,30.6248,73.4808,-3056.46826171875
241.85,710000,142,1033.45,142,30.5803,72.1912,-2997.51806640625
275.8,715000,143,986.45,143,30.6067,71.5277,-3032.476318359375
274.78,720000,144,916.38,144,30.681,73.1446,-3098.28173828125
238.76,725000,145,932.56,145,31.4438,71.6477,-3151.707763671875
194.34,730000,146,985.0,146,29.5492,70.0461,-3120.124755859375
189.39,735000,147,907.55,147,31.1727,72.6991,-3239.254638671875
275.73,740000,148,914.04,148,30.8715,72.7419,-3343.564453125
273.82,745000,149,990.54,149,31.55,73.3881,-3383.57568359375
298.45,750000,150,1020.97,150,30.8905,73.5396,-3423.319091796875
328.72,755000,151,1022.55,151,30.7027,72.2511,-3443.55126953125
214.54,760000,152,660.09,152,30.0529,69.9696,-3432.90185546875
308.69,765000,153,973.65,153,30.7675,71.6011,-3541.81640625
231.49,770000,154,729.79,154,30.4806,71.9197,-3594.02294921875
332.95,775000,155,941.44,155,31.2994,73.0665,-3673.54150390625
228.99,780000,156,940.25,156,30.5382,73.9476,-3733.734375
338.31,785000,157,1010.47,157,30.7303,72.2035,-3745.49267578125
250.38,790000,158,983.7,158,30.7779,72.5488,-3845.886962890625
251.9,795000,159,693.04,159,30.2722,70.7615,-3762.65478515625
307.65,800000,160,879.84,160,31.3978,73.1311,-4002.009033203125
295.06,805000,161,863.36,161,30.6886,74.7794,-4026.901611328125
267.76,810000,162,939.79,162,30.9095,71.1181,-3938.857177734375
264.86,815000,163,800.1,163,30.3032,72.0247,-3995.791259765625
328.57,820000,164,1003.88,164,30.0622,70.8066,-4068.250732421875
214.6,825000,165,997.0,165,31.4379,72.1732,-4184.98486328125
288.62,830000,166,897.38,166,31.5551,73.2215,-4241.25146484375
337.4,835000,167,1073.08,167,30.6613,69.0976,-4217.890625
264.64,840000,168,1013.83,168,30.8391,70.9673,-4310.2958984375
355.07,845000,169,941.62,169,30.8181,70.1862,-4361.7900390625
241.93,850000,170,832.83,170,30.8633,73.1239,-4498.24951171875
338.79,855000,171,967.56,171,30.8604,72.6265,-4581.0634765625
240.25,860000,172,1004.16,172,30.7794,72.9232,-4656.1435546875
258.27,865000,173,920.14,173,31.0595,73.0032,-4741.9150390625
301.88,870000,174,817.23,174,31.0915,72.2938,-4759.0400390625
290.25,875000,175,785.91,175,30.9045,72.7583,-4773.7822265625
306.27,880000,176,966.78,176,30.906,72.4934,-4904.33935546875
263.22,885000,177,835.37,177,29.942,68.9543,-4808.5224609375
222.26,890000,178,936.98,178,30.2854,71.6467,-4949.205078125
257.74,895000,179,942.85,179,30.0357,70.2913,-4911.1953125
304.62,900000,180,1029.51,180,30.9421,72.8866,-5164.92919921875
282.54,905000,181,844.64,181,30.5781,72.1306,-5165.435546875
286.97,910000,182,979.66,182,30.2096,72.3279,-5262.359375
289.03,915000,183,961.26,183,30.8105,73.0812,-5418.291015625
232.49,920000,184,837.13,184,30.1868,70.4776,-5274.59228515625
273.03,925000,185,833.97,185,30.8473,73.6328,-5508.2666015625
337.79,930000,186,799.61,186,30.6881,73.5886,-5571.86572265625
280.09,935000,187,777.79,187,30.3876,73.414,-5623.2900390625
270.74,940000,188,856.52,188,30.3228,72.3807,-5699.9228515625
347.65,945000,189,1024.5,189,30.68,73.2298,-5811.26611328125
370.43,950000,190,1070.1,190,30.6829,71.2387,-5753.6162109375
337.69,955000,191,1036.83,191,30.733,71.7784,-5955.29150390625
333.53,960000,192,1038.36,192,30.2913,70.8119,-5845.07373046875
335.29,965000,193,986.79,193,30.8384,71.0204,-6140.19189453125
233.26,970000,194,767.48,194,31.2829,72.3947,-6250.08056640625
342.01,975000,195,963.63,195,30.5972,71.8026,-6297.0322265625
317.66,980000,196,880.08,196,30.777,70.4086,-6253.8291015625
294.84,985000,197,963.04,197,30.7244,73.6035,-6487.92919921875
268.76,990000,198,887.48,198,31.0128,71.0665,-6379.72705078125
332.27,995000,199,931.39,199,30.6535,70.6074,-6499.82177734375
236.58,1000000,200,961.68,200,30.1192,71.6356,-6672.69921875
288.26,1005000,201,921.23,201,30.7393,73.8761,-6736.38134765625
246.33,1010000,202,825.68,202,30.5936,71.7716,-6783.27294921875
269.67,1015000,203,916.2,203,30.7629,73.6052,-6976.8828125
250.95,1020000,204,744.17,204,30.0691,72.573,-7020.68408203125
280.33,1025000,205,846.8,205,30.0874,71.1782,-6964.3759765625
279.9,1030000,206,946.17,206,30.937,72.3078,-7144.1259765625
311.63,1035000,207,970.41,207,30.5481,73.1342,-7130.44677734375
292.37,1040000,208,908.47,208,30.152,73.4323,-7359.623046875
260.07,1045000,209,990.0,209,30.6085,73.0377,-7504.3076171875
312.34,1050000,210,877.33,210,31.0647,73.9766,-7549.15869140625
273.07,1055000,211,969.12,211,31.3171,73.7785,-7705.1572265625
291.2,1060000,212,1012.4,212,29.9277,73.8834,-7729.7509765625
309.56,1065000,213,931.04,213,31.1016,73.8696,-7931.48046875
319.88,1070000,214,916.48,214,31.0177,73.8946,-7990.83984375
325.53,1075000,215,844.73,215,31.2547,74.1689,-8067.3876953125
260.01,1080000,216,822.55,216,30.646,74.7947,-8250.966796875
276.63,1085000,217,961.75,217,30.8395,71.775,-8402.0576171875
272.55,1090000,218,958.15,218,30.7465,74.5491,-8497.2958984375
310.72,1095000,219,819.36,219,30.7211,73.6123,-8475.0859375
269.78,1100000,220,1006.85,220,30.6962,74.1786,-8641.0546875
304.09,1105000,221,878.43,221,30.6718,73.0083,-8834.515625
232.48,1110000,222,855.28,222,30.8228,70.9537,-8687.0947265625
264.88,1115000,223,860.52,223,30.8529,73.1047,-8852.9736328125
225.13,1120000,224,1007.78,224,30.8919,74.7275,-9126.2578125
252.93,1125000,225,1004.7,225,31.1182,74.7044,-9182.40625
331.24,1130000,226,954.12,226,30.8608,73.8754,-9367.353515625
245.63,1135000,227,861.08,227,31.0108,74.3983,-9369.2685546875
215.72,1140000,228,858.96,228,31.3848,73.7472,-9494.4873046875
293.41,1145000,229,1009.26,229,30.7716,73.4893,-9597.265625
271.41,1150000,230,816.78,230,31.3019,73.9564,-9734.3037109375
170.72,1155000,231,911.33,231,30.827,72.6732,-9768.9794921875
282.68,1160000,232,993.82,232,30.6131,73.088,-9953.5986328125
313.58,1165000,233,864.16,233,30.5829,73.5005,-10046.97265625
277.14,1170000,234,811.84,234,31.2805,74.3621,-10182.548828125
284.01,1175000,235,961.79,235,31.0975,73.5885,-10226.6220703125
273.84,1180000,236,955.97,236,30.7778,72.479,-10271.923828125
318.5,1185000,237,900.07,237,31.0363,73.1138,-10289.80859375
212.48,1190000,238,760.3,238,30.8402,73.2103,-10590.5791015625
269.46,1195000,239,808.81,239,30.7522,72.7557,-10593.4677734375
260.01,1200000,240,861.15,240,30.8886,73.6991,-10756.5185546875
295.99,1205000,241,859.79,241,31.0214,74.5452,-10924.091796875
260.89,1210000,242,958.57,242,30.8396,73.7141,-10907.6884765625
293.31,1215000,243,861.08,243,31.0175,73.0238,-10936.3271484375
271.87,1220000,244,921.03,244,31.2234,73.7079,-11091.2880859375
253.67,1225000,245,830.82,245,30.5435,72.2927,-11095.771484375
309.11,1230000,246,815.4,246,30.8663,73.3136,-11382.90625
216.49,1235000,247,905.45,247,30.9701,73.389,-11570.6611328125
250.51,1240000,248,797.16,248,31.2326,74.6165,-11515.6044921875
261.28,1245000,249,1007.26,249,31.4219,73.3598,-11682.458984375
275.94,1250000,250,810.4,250,30.9875,74.366,-11613.0849609375
279.59,1255000,251,1004.53,251,30.7031,72.8352,-11602.7275390625
239.81,1260000,252,906.1,252,31.0737,74.7558,-12018.716796875
203.2,1265000,253,850.74,253,30.7512,74.0917,-12102.7294921875
275.84,1270000,254,958.34,254,30.9193,73.3771,-12007.638671875
308.51,1275000,255,966.39,255,31.14,74.3705,-12165.416015625
210.3,1280000,256,669.07,256,31.115,75.2898,-12130.61328125
269.7,1285000,257,944.66,257,31.1868,74.5831,-12553.435546875
252.2,1290000,258,813.57,258,30.7055,73.7374,-12311.3212890625
237.97,1295000,259,830.32,259,30.2648,73.1447,-12452.236328125
209.66,1300000,260,578.19,260,30.8242,73.6859,-12897.9501953125
199.73,1305000,261,800.22,261,30.4047,72.8862,-12695.23828125
218.16,1310000,262,509.46,262,30.8025,74.5744,-12949.193359375
282.28,1315000,263,707.56,263,30.5435,73.9883,-12945.4423828125
255.19,1320000,264,972.32,264,30.1946,72.9167,-12838.962890625
220.56,1325000,265,797.25,265,30.9539,75.3424,-13125.1376953125
243.19,1330000,266,801.62,266,30.6309,73.71,-13155.939453125
217.4,1335000,267,703.9,267,30.7467,74.6449,-13364.8876953125
250.29,1340000,268,707.09,268,31.1843,74.9103,-13388.095703125
260.24,1345000,269,653.66,269,30.9613,74.5484,-13603.5234375
205.79,1350000,270,905.02,270,30.8936,74.3054,-13569.4560546875
162.72,1355000,271,841.55,271,30.9386,73.5335,-13691.87890625
179.67,1360000,272,754.39,272,30.4799,74.0688,-13726.037109375
173.06,1365000,273,805.11,273,30.7468,74.9895,-13986.994140625
214.71,1370000,274,612.7,274,30.8713,73.9171,-13748.916015625
150.91,1375000,275,720.63,275,30.8474,74.4058,-14087.4501953125
188.97,1380000,276,699.3,276,30.7062,72.7426,-13900.3466796875
206.17,1385000,277,751.29,277,30.7679,74.6723,-14257.240234375
252.8,1390000,278,846.39,278,30.5351,72.9488,-14168.8916015625
280.26,1395000,279,753.52,279,30.6333,74.6388,-14348.3408203125
233.42,1400000,280,721.95,280,30.7002,73.6263,-14476.7509765625
224.61,1405000,281,958.73,281,30.4744,72.7724,-14130.4111328125
204.37,1410000,282,847.53,282,30.2961,73.5374,-14532.3310546875
256.6,1415000,283,895.9,283,30.9675,73.8504,-14718.7021484375
192.09,1420000,284,909.75,284,31.1859,74.5574,-15078.1728515625
249.08,1425000,285,516.09,285,31.2933,74.6617,-14970.7958984375
229.09,1430000,286,855.16,286,30.4376,72.9773,-14765.1396484375
216.98,1435000,287,707.9,287,31.0356,73.5206,-15010.2119140625
152.25,1440000,288,698.81,288,30.6623,74.1862,-15397.5029296875
237.59,1445000,289,757.11,289,30.8135,73.4056,-15235.7099609375
195.39,1450000,290,720.99,290,31.0582,74.04,-15438.3427734375
269.67,1455000,291,816.02,291,30.7384,74.2053,-15451.2783203125
233.32,1460000,292,958.02,292,30.6731,73.1403,-15653.4443359375
239.34,1465000,293,857.81,293,30.4349,73.5767,-15625.8046875
204.01,1470000,294,734.47,294,30.2386,74.0086,-15936.0908203125
226.8,1475000,295,712.18,295,31.0482,73.8663,-16070.880859375
268.06,1480000,296,954.4,296,30.8507,74.1136,-15942.30859375
246.84,1485000,297,754.43,297,30.6049,74.6703,-15949.1845703125
221.08,1490000,298,652.91,298,30.9364,73.3149,-15830.66796875
209.4,1495000,299,953.44,299,30.5942,73.6662,-16124.7060546875
136.72,1500000,300,751.26,300,30.3507,73.4154,-16295.4326171875
226.5,1505000,301,710.78,301,30.4141,74.6226,-16380.0888671875
195.08,1510000,302,846.35,302,31.1325,74.3532,-16732.96484375
223.77,1515000,303,750.3,303,30.7254,73.7164,-16312.412109375
184.43,1520000,304,651.06,304,30.6529,73.4662,-16648.42578125
227.32,1525000,305,664.11,305,30.9509,74.3009,-16613.591796875
206.37,1530000,306,904.08,306,30.4653,73.7255,-16762.607421875
193.71,1535000,307,848.94,307,30.6259,73.8399,-16874.29296875
237.15,1540000,308,605.68,308,30.3161,73.1406,-16496.466796875
211.94,1545000,309,606.46,309,30.7865,72.8469,-17065.310546875
256.26,1550000,310,753.61,310,30.164,72.8406,-16970.173828125
260.8,1555000,311,850.03,311,30.1938,72.7745,-16992.54296875
186.04,1560000,312,491.06,312,30.7771,74.0485,-17358.53515625
183.05,1565000,313,760.02,313,30.5447,73.1904,-17230.349609375
223.88,1570000,314,671.62,314,30.2295,73.9479,-17284.95703125
274.45,1575000,315,804.88,315,30.1167,73.9214,-17294.208984375
257.79,1580000,316,748.07,316,30.2622,73.1304,-17438.5625
234.57,1585000,317,706.2,317,30.6728,75.3737,-17564.880859375
202.68,1590000,318,559.31,318,30.4162,74.2453,-17702.46484375
202.81,1595000,319,747.14,319,30.557,74.4699,-17839.34375
301.53,1600000,320,844.75,320,30.4947,74.0581,-17642.234375
126.38,1605000,321,705.14,321,30.4846,75.0186,-17828.7421875
172.75,1610000,322,558.71,322,30.2899,73.9093,-17381.783203125
266.6,1615000,323,779.93,323,30.6062,72.8221,-17625.36328125
278.28,1620000,324,507.14,324,30.9892,75.0166,-18040.509765625
159.5,1625000,325,602.11,325,30.6982,74.0274,-17951.958984375
137.69,1630000,326,844.99,326,30.4658,75.0717,-17981.189453125
159.48,1635000,327,831.75,327,30.3433,74.537,-18053.3671875
195.66,1640000,328,639.55,328,30.2146,74.3514,-18256.9453125
155.9,1645000,329,701.98,329,30.2799,74.8066,-18086.958984375
166.52,1650000,330,597.36,330,30.4623,74.9107,-18282.837890625
188.19,1655000,331,500.16,331,29.7579,73.5816,-18116.328125
191.17,1660000,332,944.22,332,30.7683,75.272,-18297.20703125
192.82,1665000,333,594.07,333,30.258,73.8994,-18120.517578125
257.46,1670000,334,764.75,334,30.9508,75.2657,-18307.021484375
160.19,1675000,335,502.41,335,30.3726,74.5326,-18290.451171875
268.71,1680000,336,596.88,336,30.9458,74.6038,-18350.833984375
213.43,1685000,337,805.34,337,30.5388,73.9256,-18385.28125
189.98,1690000,338,563.99,338,30.2782,73.3054,-18361.69140625
184.57,1695000,339,700.54,339,30.9571,75.4351,-18534.927734375
240.21,1700000,340,693.81,340,30.6648,74.4492,-18398.384765625
205.16,1705000,341,751.36,341,30.5723,75.2222,-18531.728515625
164.4,1710000,342,653.88,342,30.5865,74.2246,-18489.54296875
232.67,1715000,343,992.2,343,30.9883,74.5699,-18586.052734375
188.84,1720000,344,794.75,344,30.2077,75.0547,-18571.3359375
166.96,1725000,345,598.51,345,30.107,74.482,-18504.615234375
213.86,1730000,346,803.95,346,30.6219,74.9829,-18576.55078125
150.24,1735000,347,843.85,347,30.514,73.3537,-18466.134765625
213.53,1740000,348,751.35,348,30.6306,75.018,-18698.634765625
240.12,1745000,349,651.92,349,30.5937,75.1809,-18794.994140625
202.37,1750000,350,844.12,350,30.8052,74.6849,-18590.92578125
173.88,1755000,351,832.82,351,30.2375,74.6574,-18822.677734375
152.16,1760000,352,656.38,352,30.694,75.3615,-18599.349609375
144.93,1765000,353,608.05,353,30.6014,74.8119,-18836.044921875
171.34,1770000,354,651.69,354,30.8882,75.6109,-18795.34765625
147.93,1775000,355,954.66,355,30.8677,75.2285,-18814.025390625
264.89,1780000,356,790.02,356,30.8342,75.2513,-18856.5078125
197.2,1785000,357,752.88,357,30.4577,74.7502,-18819.087890625
242.38,1790000,358,702.28,358,30.3766,73.8941,-18690.6015625
165.29,1795000,359,797.57,359,30.6611,74.433,-18879.513671875
174.48,1800000,360,666.07,360,30.6161,73.1638,-18819.66796875
228.69,1805000,361,745.38,361,30.5105,74.4955,-18826.32421875
159.75,1810000,362,762.36,362,31.0973,75.7878,-18851.865234375
270.84,1815000,363,801.88,363,30.8986,75.3787,-18928.228515625
189.7,1820000,364,849.56,364,30.5242,75.6071,-18991.078125
247.19,1825000,365,654.31,365,30.7588,74.7014,-18935.619140625
183.07,1830000,366,838.15,366,30.7129,74.1306,-18824.548828125
216.84,1835000,367,708.3,367,30.73,75.3591,-18926.072265625
215.06,1840000,368,847.14,368,30.3592,75.4586,-18856.28515625
186.91,1845000,369,852.01,369,30.7248,74.7703,-18953.216796875
252.94,1850000,370,665.02,370,30.2727,73.86,-18861.66796875
273.97,1855000,371,857.04,371,30.3608,75.39,-18902.572265625
196.18,1860000,372,660.96,372,30.8272,75.1037,-19004.708984375
196.34,1865000,373,804.56,373,30.6222,73.8124,-19006.74609375
256.58,1870000,374,740.21,374,30.8623,75.2197,-19015.712890625
192.94,1875000,375,649.83,375,30.6581,74.2364,-19038.01171875
144.32,1880000,376,701.78,376,30.7474,75.0644,-18972.38671875
233.36,1885000,377,611.8,377,30.5364,74.1646,-18984.1875
126.14,1890000,378,801.61,378,30.8905,73.4774,-19021.234375
140.96,1895000,379,657.2,379,30.7567,73.1577,-18970.52734375
281.39,1900000,380,743.29,380,30.134,73.6909,-18894.22265625
186.57,1905000,381,709.61,381,30.4678,74.6014,-18977.125
168.63,1910000,382,614.77,382,29.9139,72.3892,-18790.048828125
169.38,1915000,383,715.61,383,31.2239,75.3871,-19085.177734375
164.4,1920000,384,620.8,384,30.715,74.2592,-19122.17578125
169.08,1925000,385,704.61,385,31.0427,73.0381,-18965.904296875
224.73,1930000,386,752.58,386,31.0439,74.4827,-19027.056640625
197.22,1935000,387,796.78,387,30.9078,74.4547,-19174.8125
186.05,1940000,388,650.16,388,30.4659,74.8473,-19156.625
187.74,1945000,389,801.37,389,30.5611,74.1938,-19114.216796875
247.6,1950000,390,855.05,390,31.1035,74.4246,-19173.162109375
255.61,1955000,391,958.84,391,30.8241,73.8318,-19114.162109375
203.47,1960000,392,791.83,392,30.5362,74.1795,-19122.22265625
220.57,1965000,393,753.37,393,30.3413,73.7616,-19053.599609375
202.26,1970000,394,695.88,394,31.2254,73.7375,-19167.830078125
234.54,1975000,395,659.87,395,30.7531,75.7117,-19223.234375
186.74,1980000,396,797.44,396,31.1245,74.6452,-19210.978515625
239.93,1985000,397,798.15,397,30.6451,73.6174,-19060.482421875
220.63,1990000,398,848.89,398,30.149,74.0542,-19137.8125
238.88,1995000,399,835.29,399,30.4274,73.765,-19064.25
222.44,2000000,400,843.2,400,30.9497,75.7555,-19272.703125
225.12,2005000,401,762.82,401,30.6561,73.0849,-19134.48046875
239.77,2010000,402,741.78,402,30.9789,74.9544,-19290.537109375
279.3,2015000,403,878.66,403,30.7552,74.1684,-19045.322265625
261.02,2020000,404,749.66,404,30.3679,74.5117,-19168.677734375
229.51,2025000,405,692.74,405,31.0149,74.9351,-19238.84375
202.13,2030000,406,651.52,406,30.9174,75.0034,-19081.908203125
264.45,2035000,407,714.99,407,31.3148,74.1396,-19156.177734375
