Running Reverse KL,Running Forward KL,Real Sto Return,Itration,Running Env Steps,Real Det Return,Reward Loss,Running Update Time
11.9351,18.5549,3139.36,151,755000,3481.86,-1053.878173828125,151
11.6185,18.195,3363.39,152,760000,3403.89,-1057.3873291015625,152
10.939,18.5988,3014.96,153,765000,3434.33,-1142.9327392578125,153
12.0479,18.2822,3299.12,154,770000,3439.99,-1014.2637329101562,154
12.3762,19.1255,3249.21,155,775000,3445.2,-980.6072998046875,155
11.7883,18.3694,3349.82,156,780000,3385.81,-1065.8876953125,156
11.5886,18.6096,3376.64,157,785000,3436.88,-1073.402587890625,157
11.7019,18.4856,3373.38,158,790000,3414.28,-1077.218994140625,158
11.3673,18.3485,3347.08,159,795000,3416.45,-1092.966552734375,159
12.0046,18.6526,3397.38,160,800000,3431.01,-1069.49609375,160
11.8747,18.1898,3345.76,161,805000,3358.42,-1088.6663818359375,161
12.2397,18.6547,3265.96,162,810000,3381.86,-1170.03515625,162
11.4172,18.2959,3285.91,163,815000,3400.18,-1214.8653564453125,163
12.3622,18.3858,3385.51,164,820000,3399.06,-1124.6683349609375,164
11.5819,18.3701,3324.42,165,825000,3387.44,-1189.9781494140625,165
12.3225,19.1387,3331.01,166,830000,3395.7,-1186.80419921875,166
12.0898,18.7914,3343.67,167,835000,3415.19,-1224.98876953125,167
11.952,18.0323,3370.95,168,840000,3401.24,-1076.6756591796875,168
12.2112,17.8336,3439.07,169,845000,3450.8,-1084.8258056640625,169
11.3193,17.7818,3361.26,170,850000,3376.61,-1206.9925537109375,170
11.9168,18.5856,3371.2,171,855000,3401.81,-1401.993408203125,171
12.2595,18.5666,3423.35,172,860000,3457.52,-1099.3079833984375,172
12.6757,19.0398,3432.13,173,865000,3464.97,-1156.1385498046875,173
11.8595,18.6989,3149.3,174,870000,3406.73,-1315.943603515625,174
11.7941,18.6502,3379.55,175,875000,3416.38,-1169.7796630859375,175
11.9333,17.9205,3341.92,176,880000,3364.15,-1233.44970703125,176
11.1922,17.8905,3368.73,177,885000,3445.57,-1235.548095703125,177
11.647,18.2323,3384.71,178,890000,3473.26,-1144.9324951171875,178
11.8288,18.8054,3342.13,179,895000,3394.95,-1263.9984130859375,179
12.5666,18.7061,3391.72,180,900000,3409.06,-1282.012451171875,180
11.892,18.7674,3330.51,181,905000,3418.22,-1408.4940185546875,181
11.4018,17.701,3395.55,182,910000,3399.28,-1435.445556640625,182
11.2409,18.4058,3331.21,183,915000,3406.88,-1445.1373291015625,183
11.2651,17.9608,3435.14,184,920000,3456.6,-1212.8843994140625,184
11.6478,18.5716,3449.04,185,925000,3455.66,-1395.69287109375,185
11.7583,18.5017,3406.49,186,930000,3445.68,-1257.997802734375,186
12.9923,19.4738,3186.72,187,935000,3427.94,-1586.0125732421875,187
11.7983,18.1987,3404.79,188,940000,3410.65,-1291.5584716796875,188
12.0353,18.7555,3397.62,189,945000,3448.6,-1486.530517578125,189
11.6771,19.2358,3297.2,190,950000,3432.25,-1369.719482421875,190
10.9423,17.5042,3304.48,191,955000,3444.58,-1295.2020263671875,191
11.0932,18.558,2919.87,192,960000,3417.43,-1758.0491943359375,192
10.7703,17.4169,3434.6,193,965000,3462.13,-1453.7294921875,193
13.3485,19.6024,3153.6,194,970000,3434.79,-1741.9527587890625,194
11.9307,19.1815,3109.86,195,975000,3369.39,-1540.2802734375,195
11.8556,18.2295,3318.68,196,980000,3434.71,-1493.666015625,196
11.5562,18.352,3306.35,197,985000,3444.82,-1599.1927490234375,197
11.3217,18.5064,3415.29,198,990000,3429.84,-1434.536376953125,198
11.2426,18.5871,3297.04,199,995000,3415.58,-1614.9742431640625,199
