Real Sto Return,Running Reverse KL,Running Env Steps,Itration,Reward Loss,Running Update Time,Running Forward KL,Real Det Return
648.21,23.0159,515000,103,-3610.61181640625,103,27.3133,820.17
1026.22,38.1156,520000,104,-4492.69677734375,104,36.5635,1026.32
1168.53,21.9145,525000,105,-3364.313232421875,105,33.1287,1290.43
146.51,17.8933,530000,106,-4099.9765625,106,31.8242,148.42
134.74,68.5483,535000,107,-4157.10546875,107,29.9462,135.73
1229.12,24.0561,540000,108,-2957.11328125,108,32.7962,1445.57
1048.52,33.6368,545000,109,-4544.19287109375,109,33.1787,1062.37
1140.33,37.5955,550000,110,-3967.64013671875,110,31.2545,1408.64
1506.46,25.8335,555000,111,-2473.8330078125,111,32.4761,1501.86
1030.79,27.0267,560000,112,-5087.87939453125,112,37.0217,1030.52
276.45,41.1744,565000,113,-3560.92919921875,113,29.0999,1023.16
1451.27,24.9191,570000,114,-3614.66845703125,114,32.8374,1446.59
1376.07,22.8136,575000,115,-3364.356201171875,115,32.8888,1226.46
460.86,59.6592,580000,116,-4186.56201171875,116,29.2581,317.21
570.05,29.9427,585000,117,-5374.5341796875,117,34.2687,103.24
664.76,62.9904,590000,118,-5031.71826171875,118,30.6558,498.94
282.12,108.4865,595000,119,-4543.1884765625,119,27.7466,276.43
435.3,50.3456,600000,120,-4782.13623046875,120,29.0948,448.13
1205.62,23.5643,605000,121,-4717.6337890625,121,34.1127,1196.49
1459.93,25.7251,610000,122,-3038.39599609375,122,32.17,1459.51
236.45,22.0728,615000,123,-4518.63916015625,123,31.5974,237.39
503.32,24.6477,620000,124,-3821.926513671875,124,27.4424,590.15
1068.79,21.4847,625000,125,-4691.05029296875,125,30.4782,1146.55
1194.21,23.1521,630000,126,-4951.646484375,126,32.9471,1246.76
1021.2,40.4004,635000,127,-5675.49951171875,127,32.0854,1060.19
907.03,24.3577,640000,128,-4805.03662109375,128,29.1036,1057.46
944.46,37.854,645000,129,-5837.97412109375,129,33.3064,1054.49
1045.7,32.4848,650000,130,-5957.052734375,130,34.7893,1043.57
1494.77,27.9093,655000,131,-3769.408447265625,131,32.6491,1490.86
522.61,23.7996,660000,132,-4837.119140625,132,28.3128,463.65
1563.05,24.7611,665000,133,-4017.496826171875,133,32.7485,1565.26
22.45,27.547,670000,134,-4671.11279296875,134,28.0246,21.34
999.36,50.0297,675000,135,-6329.60205078125,135,32.7429,1034.89
1046.1,41.0904,680000,136,-6370.19287109375,136,34.2831,1046.38
1184.26,27.2717,685000,137,-4932.12646484375,137,32.1191,1368.32
1181.01,19.8167,690000,138,-3004.532958984375,138,28.7018,1676.19
1075.44,25.6191,695000,139,-6250.34228515625,139,35.9898,1070.92
1606.19,26.7921,700000,140,-3399.509033203125,140,32.6161,1597.66
1527.02,27.7427,705000,141,-3770.75927734375,141,33.0919,1527.07
1545.85,23.3538,710000,142,-3835.224853515625,142,32.1452,1543.72
426.15,24.9801,715000,143,-5037.27294921875,143,30.2483,562.95
1042.23,38.5264,720000,144,-6673.82421875,144,37.92,1043.14
1027.23,41.1823,725000,145,-6817.4013671875,145,37.8323,1027.67
85.37,136.4721,730000,146,-6115.3046875,146,32.5334,84.52
159.94,36.4346,735000,147,-6848.552734375,147,37.8836,158.58
1044.05,28.4671,740000,148,-6895.765625,148,36.2996,1044.51
1003.61,39.3252,745000,149,-7023.4697265625,149,39.0282,1002.33
991.7,35.1507,750000,150,-7162.828125,150,40.4094,991.41
989.08,40.0653,755000,151,-7200.81396484375,151,38.7243,988.71
885.01,40.652,760000,152,-6769.615234375,152,32.1282,757.57
193.37,112.6696,765000,153,-7327.95361328125,153,31.8475,206.63
792.18,34.7353,770000,154,-7438.53515625,154,34.418,913.46
408.38,83.4241,775000,155,-7198.96484375,155,33.4379,338.02
1026.12,48.7279,780000,156,-7408.5009765625,156,38.387,1025.35
72.95,96.423,785000,157,-7533.0634765625,157,33.113,73.35
315.11,165.7223,790000,158,-6843.01123046875,158,31.3263,302.21
1047.23,29.7151,795000,159,-7874.419921875,159,34.7792,1049.15
103.05,70.6301,800000,160,-7123.8603515625,160,32.1002,112.18
346.62,71.9844,805000,161,-7455.73046875,161,33.6352,347.66
1041.31,21.6949,810000,162,-7882.697265625,162,35.2944,1050.87
1037.82,27.396,815000,163,-8104.0166015625,163,35.1455,1039.16
164.11,21.6401,820000,164,-7576.46484375,164,35.3247,1037.39
1004.15,24.6772,825000,165,-8157.3974609375,165,35.5678,1043.3
323.89,24.631,830000,166,-8199.701171875,166,36.0547,681.01
1018.91,32.9567,835000,167,-8210.015625,167,34.8005,1020.11
1111.63,22.3649,840000,168,-7403.77880859375,168,33.336,1140.79
980.79,18.0637,845000,169,-6899.6357421875,169,32.7719,1036.16
1006.11,28.5457,850000,170,-8458.056640625,170,37.5992,1006.58
998.81,51.3209,855000,171,-8560.8818359375,171,36.9872,997.36
478.26,26.7986,860000,172,-7751.837890625,172,31.771,299.44
437.4,19.7287,865000,173,-5484.4296875,173,31.6041,306.49
822.64,19.4049,870000,174,-6490.9482421875,174,31.2692,825.18
455.49,17.2674,875000,175,-6575.7587890625,175,31.6594,368.85
697.69,34.4793,880000,176,-7544.65771484375,176,32.2696,533.24
1468.92,18.269,885000,177,-5954.29638671875,177,32.0768,1463.73
1284.54,24.3496,890000,178,-7116.58251953125,178,33.758,1255.81
1293.9,16.7927,895000,179,-5916.169921875,179,31.9446,1348.81
986.21,48.8845,900000,180,-9528.958984375,180,39.8465,986.6
999.92,43.4585,905000,181,-9477.8525390625,181,39.9372,999.67
1002.93,30.6995,910000,182,-9150.08203125,182,38.1326,1000.19
1072.56,46.2251,915000,183,-9696.337890625,183,39.4157,1112.52
1568.65,19.0701,920000,184,-5597.89892578125,184,32.1379,1574.41
1245.39,30.4884,925000,185,-8708.607421875,185,33.2745,1373.85
994.7,41.705,930000,186,-9912.6220703125,186,38.7609,995.01
1002.51,50.9174,935000,187,-9891.3984375,187,38.7441,1002.47
1000.06,42.0041,940000,188,-10013.7353515625,188,38.2942,1000.76
985.7,51.7939,945000,189,-10204.78515625,189,38.4297,985.58
1032.27,40.6826,950000,190,-10188.44921875,190,36.1218,1032.07
1033.62,38.1526,955000,191,-10355.07421875,191,36.4897,1033.61
1039.82,36.9857,960000,192,-10253.5146484375,192,35.8896,1038.16
305.01,150.0963,965000,193,-9999.7958984375,193,32.6726,300.12
405.66,21.4294,970000,194,-7195.69970703125,194,31.1015,500.87
333.05,31.6729,975000,195,-6580.9248046875,195,31.8716,315.45
1054.38,24.7548,980000,196,-9421.9091796875,196,33.0636,1056.69
169.4,20.0421,985000,197,-7787.255859375,197,30.7746,130.95
688.25,26.4958,990000,198,-9263.5029296875,198,31.6586,989.92
172.27,41.3819,995000,199,-10735.0009765625,199,35.1251,172.74
