Running Update Time,Itration,Real Det Return,Running Reverse KL,Reward Loss,Running Env Steps,Running Forward KL,Real Sto Return
75,75,902.34,85.7131,-461.7422180175781,375000,35.5943,876.96
76,76,1358.98,39.936,-462.0400695800781,380000,34.624,1203.03
77,77,1054.7,42.1574,-495.4959411621094,385000,36.3732,1122.86
78,78,1212.36,63.7303,-522.5852661132812,390000,34.4097,871.4
79,79,1258.51,22.0809,-482.85015869140625,395000,36.7,1266.72
80,80,1507.53,29.4139,-431.2955322265625,400000,34.1316,1564.56
81,81,1647.21,14.6419,-386.2857360839844,405000,32.1794,1742.78
82,82,1993.78,17.226,-324.97125244140625,410000,33.4279,1930.09
83,83,1110.74,15.5445,-347.67626953125,415000,32.4125,1065.69
84,84,1546.92,18.1552,-317.2492980957031,420000,28.8188,1654.4
85,85,1338.6,15.8081,-275.4891662597656,425000,29.6597,1653.8
86,86,1354.6,51.1884,-476.1664733886719,430000,30.1592,1347.84
87,87,1344.41,21.9943,-500.056396484375,435000,32.1189,930.72
88,88,435.82,119.383,-733.33984375,440000,36.3266,439.6
89,89,474.86,126.0378,-707.6796875,445000,37.2858,410.65
90,90,762.42,29.4491,-547.5667724609375,450000,30.0345,840.31
91,91,1238.18,25.0499,-540.2623291015625,455000,31.1731,1072.06
92,92,1501.53,45.816,-486.29266357421875,460000,31.2802,1340.66
93,93,965.6,49.9907,-637.1329956054688,465000,33.1528,959.31
94,94,1240.33,27.5514,-547.419677734375,470000,31.8389,1371.94
95,95,1318.85,57.4492,-429.0239562988281,475000,31.6094,1163.14
96,96,1304.0,13.6673,-579.0267944335938,480000,31.3973,1411.89
97,97,1404.6,13.3559,-506.8551330566406,485000,30.2365,1336.96
98,98,1670.65,16.8211,-447.36651611328125,490000,29.3678,1673.32
99,99,1273.87,25.4629,-533.9998168945312,495000,31.1675,1332.97
100,100,1051.53,52.9376,-589.9724731445312,500000,31.6322,1095.77
101,101,2312.86,40.0334,-337.48870849609375,505000,28.7065,2043.79
102,102,1922.43,49.6873,-575.6761474609375,510000,28.9655,1958.98
103,103,1700.98,57.7437,-492.768310546875,515000,29.2383,1719.11
104,104,2015.03,14.5741,-451.19189453125,520000,30.5054,1824.13
105,105,1914.01,14.2555,-437.4539794921875,525000,30.8663,1994.33
106,106,1278.93,14.6568,-589.828369140625,530000,32.7199,1149.82
107,107,2162.92,17.1084,-409.83843994140625,535000,28.8472,2138.89
108,108,1920.68,22.43,-429.77301025390625,540000,29.6721,1767.85
109,109,1816.28,12.5203,-516.5477905273438,545000,31.4554,1759.6
110,110,1437.98,13.9377,-598.7139892578125,550000,30.9719,1687.09
111,111,1540.68,19.8982,-620.2344970703125,555000,29.4108,1588.31
112,112,2412.11,12.2006,-370.8916320800781,560000,28.9785,2409.45
113,113,1337.62,14.6849,-629.3657836914062,565000,32.0792,1472.59
114,114,2042.99,13.4111,-488.14617919921875,570000,30.7437,1991.83
115,115,2197.53,31.8228,-498.5030517578125,575000,29.1348,2044.44
116,116,2343.14,28.3992,-506.6460266113281,580000,29.7457,2444.52
117,117,1871.13,66.4008,-648.3469848632812,585000,29.5654,1643.72
118,118,1708.52,41.9931,-567.1506958007812,590000,29.8602,1686.55
119,119,1607.89,14.6328,-542.7496948242188,595000,30.911,1790.4
120,120,1522.53,40.2559,-623.5567626953125,600000,30.6996,1726.08
121,121,1478.28,28.6197,-700.9993286132812,605000,32.892,1590.8
122,122,1842.73,35.8158,-649.7747192382812,610000,30.2809,1785.0
123,123,1498.7,25.3509,-677.5223999023438,615000,30.3329,1418.17
124,124,1485.41,24.8207,-582.5319213867188,620000,31.2119,1425.07
125,125,1222.5,39.876,-690.3655395507812,625000,31.8191,1197.98
126,126,1322.41,52.7025,-614.5279541015625,630000,31.0451,1262.81
127,127,1637.77,40.4808,-656.2198486328125,635000,29.4937,1555.37
128,128,1105.07,40.1607,-690.109130859375,640000,29.1653,1397.16
129,129,1154.04,48.281,-787.652587890625,645000,31.2802,1123.04
130,130,1051.35,58.0908,-794.2462158203125,650000,32.5161,1257.5
131,131,1600.51,25.3121,-614.0695190429688,655000,30.0485,1512.37
132,132,1457.92,17.4293,-678.3229370117188,660000,33.2626,1473.66
133,133,1358.45,31.2991,-705.7262573242188,665000,34.3108,1467.28
134,134,1625.5,12.9811,-684.8875122070312,670000,30.6334,1619.33
135,135,1209.9,17.124,-812.6950073242188,675000,35.1597,1222.36
136,136,1366.03,20.3526,-780.8305053710938,680000,33.2312,1327.51
137,137,1275.19,17.7792,-762.82080078125,685000,30.686,1318.28
138,138,1101.46,68.8843,-663.27490234375,690000,33.842,1017.17
139,139,1177.41,29.7558,-800.7047119140625,695000,31.4395,1370.27
140,140,1048.28,34.6541,-835.081298828125,700000,31.3406,1319.56
141,141,1944.05,66.9815,-869.5789794921875,705000,31.3883,1762.0
142,142,1827.28,17.1209,-633.6923217773438,710000,32.0508,1967.22
143,143,2018.73,28.8938,-691.9044799804688,715000,32.2216,1529.67
144,144,1168.35,71.1941,-864.6282348632812,720000,32.1632,1169.09
145,145,2155.43,15.0144,-654.8486938476562,725000,30.961,2170.38
146,146,2308.83,13.4482,-589.7286987304688,730000,30.851,1967.17
147,147,1382.0,16.2801,-737.2704467773438,735000,30.4921,1395.6
148,148,1722.83,27.4623,-776.0940551757812,740000,30.3583,1503.43
149,149,1276.29,21.9895,-852.4559326171875,745000,30.5378,1473.68
150,150,738.78,25.8009,-823.7154541015625,750000,32.391,770.43
151,151,431.08,64.8257,-800.1632690429688,755000,35.67,525.45
152,152,1209.03,32.5806,-846.141845703125,760000,31.6812,1256.62
153,153,977.95,70.3563,-999.4182739257812,765000,31.1867,956.86
154,154,1340.94,21.9809,-908.24853515625,770000,33.1042,1373.61
155,155,1011.2,32.0968,-900.0311889648438,775000,30.9171,1252.34
156,156,670.8,117.0623,-1156.146240234375,780000,32.2855,663.9
157,157,948.94,49.3173,-1047.5560302734375,785000,31.5339,1035.16
158,158,1331.63,27.9019,-964.275390625,790000,30.8899,1340.7
159,159,1124.58,55.1314,-983.117919921875,795000,30.9196,1278.7
160,160,1306.43,30.4514,-963.7511596679688,800000,34.9342,1197.37
161,161,1149.16,33.5313,-1008.8889770507812,805000,31.328,1339.44
162,162,1451.96,38.6789,-1058.8409423828125,810000,31.7495,1380.81
163,163,1448.21,39.1631,-1067.3221435546875,815000,32.1575,1332.77
164,164,1174.07,21.1891,-1248.684326171875,820000,34.3832,1125.27
165,165,1062.84,15.0068,-1125.5255126953125,825000,33.1642,963.29
166,166,985.8,24.956,-1096.8416748046875,830000,31.8986,1156.11
167,167,1516.34,17.3983,-1030.7723388671875,835000,32.0245,1496.39
168,168,1316.49,23.0127,-1166.65234375,840000,33.5869,1185.97
169,169,1148.98,38.1451,-985.0794677734375,845000,31.5739,1192.54
170,170,967.45,91.922,-1178.5758056640625,850000,32.2986,1073.05
171,171,1212.89,41.5261,-1044.9422607421875,855000,32.6481,1241.93
172,172,1253.82,52.8855,-899.1602172851562,860000,31.7693,1607.23
173,173,1347.61,44.3588,-1150.4927978515625,865000,32.5144,1366.95
174,174,1427.88,79.3352,-1016.6922607421875,870000,31.1981,1303.53
175,175,982.51,27.4391,-969.794921875,875000,31.9413,956.51
176,176,959.15,53.4973,-1079.448974609375,880000,30.0293,1069.39
177,177,1835.32,35.8094,-819.5686645507812,885000,29.2771,2094.75
178,178,1801.41,13.3256,-897.1052856445312,890000,31.4229,1418.99
179,179,1717.73,24.6404,-940.5,895000,30.8267,1774.21
180,180,1589.36,18.166,-1045.2891845703125,900000,30.238,1644.59
181,181,447.99,109.2264,-1228.385009765625,905000,41.1147,475.21
182,182,523.31,21.2364,-1456.82421875,910000,40.9557,517.24
183,183,1394.5,26.5508,-1055.098876953125,915000,33.0565,1449.69
184,184,1369.16,15.1198,-1171.744384765625,920000,35.2139,1283.55
185,185,1013.87,39.1605,-1257.5057373046875,925000,35.2374,1104.47
186,186,1468.62,14.7256,-1157.0565185546875,930000,32.707,1541.65
187,187,853.97,44.0867,-1404.060791015625,935000,37.3148,900.5
188,188,975.87,30.7564,-1462.20361328125,940000,40.2158,970.85
189,189,934.94,27.4256,-1496.3902587890625,945000,39.5334,950.94
190,190,983.0,41.4722,-1492.448486328125,950000,42.9481,983.07
191,191,592.07,21.3321,-1527.00634765625,955000,41.2692,567.26
192,192,685.85,20.0559,-1534.7301025390625,960000,40.6374,686.79
193,193,635.41,18.8049,-1561.637939453125,965000,36.4828,766.99
194,194,756.88,89.9565,-1208.142822265625,970000,34.0706,787.26
195,195,744.16,80.1729,-1309.9747314453125,975000,33.4958,805.83
196,196,660.1,47.2247,-1429.9326171875,980000,35.0129,745.59
197,197,1435.84,18.1497,-1285.062744140625,985000,32.2769,1677.13
198,198,685.27,46.6436,-1462.0489501953125,990000,36.1543,827.9
199,199,1359.02,12.8159,-1366.22900390625,995000,32.6865,1489.43
