Real Det Return,Running Update Time,Running Env Steps,Reward Loss,Real Sto Return,Itration,Running Forward KL,Running Reverse KL
171.75,164,820000,-3160.398193359375,173.48,164,30.3556,19.7378
84.16,165,825000,-4651.72216796875,84.29,165,31.3315,125.8298
232.63,166,830000,-5900.80810546875,217.38,166,30.8494,75.2344
211.96,167,835000,-5827.716796875,202.62,167,29.4836,50.1704
987.69,168,840000,-7007.93017578125,987.16,168,39.0278,61.048
995.72,169,845000,-7050.54248046875,996.09,169,39.1807,65.5819
989.81,170,850000,-7007.7275390625,989.88,170,38.1925,73.5812
987.66,171,855000,-6780.00927734375,987.55,171,37.0505,26.7036
1005.11,172,860000,-6940.517578125,1004.73,172,37.017,28.0065
1018.04,173,865000,-7070.962890625,1018.8,173,36.7037,28.5338
415.57,174,870000,-3840.577880859375,390.72,174,28.0769,57.4836
363.08,175,875000,-3868.996337890625,362.39,175,28.9537,44.6845
386.84,176,880000,-4840.43701171875,389.04,176,29.7791,17.2015
429.0,177,885000,-6186.98828125,405.23,177,28.5759,67.1393
402.3,178,890000,-6450.654296875,396.65,178,29.6443,135.955
350.37,179,895000,-6854.99560546875,365.72,179,29.6462,123.0955
452.9,180,900000,-6871.25146484375,462.87,180,29.7151,43.8062
1001.12,181,905000,-7848.29541015625,1030.49,181,38.2943,98.6531
1037.37,182,910000,-7841.65185546875,1036.99,182,37.1692,42.7815
1026.37,183,915000,-8063.9892578125,1026.58,183,37.3029,106.1315
1024.57,184,920000,-8032.271484375,1024.42,184,37.4068,92.0935
397.29,185,925000,-6980.70263671875,405.87,185,29.4582,147.65
436.16,186,930000,-7061.2265625,454.04,186,29.1068,41.1636
639.02,187,935000,-7352.3544921875,623.47,187,30.8281,30.2208
1280.99,188,940000,-5150.7734375,1186.25,188,28.2395,21.0769
1657.07,189,945000,-3919.708984375,1694.1,189,27.9664,17.4027
1044.15,190,950000,-4733.4228515625,889.06,190,26.4285,19.3754
1628.48,191,955000,-5739.0673828125,1600.55,191,29.3352,23.1108
1144.01,192,960000,-5947.9970703125,1155.86,192,29.4342,35.5153
1061.18,193,965000,-8523.6279296875,1061.16,193,36.0652,107.3725
1054.61,194,970000,-8615.119140625,1054.16,194,35.3866,106.3212
1017.09,195,975000,-8607.6982421875,1016.82,195,37.1738,37.5687
46.14,196,980000,-8817.9482421875,44.65,196,38.9486,55.1829
44.14,197,985000,-8178.04052734375,45.71,197,38.3273,175.1929
45.13,198,990000,-8900.900390625,45.03,198,38.3514,40.509
19.05,199,995000,-8255.8701171875,18.9,199,38.0281,61.1687
