Running Env Steps,Real Det Return,Running Forward KL,Real Sto Return,Running Update Time,Itration,Reward Loss,Running Reverse KL
205000,3123.93,23.7774,2623.59,41,41,-366.95623779296875,16.8068
210000,3132.4,23.5674,2759.86,42,42,-402.4378967285156,16.6459
215000,3108.58,23.9945,2127.78,43,43,-501.5791931152344,17.0983
220000,3148.71,23.4443,1811.01,44,44,-529.849609375,15.3196
225000,3092.21,24.616,2947.95,45,45,-421.5814208984375,17.5772
230000,3160.25,24.1408,1438.42,46,46,-599.1387939453125,14.606
235000,3142.58,23.7575,1799.17,47,47,-537.8038940429688,15.4059
240000,3190.76,23.3163,1922.13,48,48,-578.9593505859375,15.9068
245000,3151.08,23.8997,3013.75,49,49,-479.0578918457031,17.5191
250000,3146.93,24.3056,2903.56,50,50,-484.9951477050781,17.2323
255000,3099.12,23.9474,2462.99,51,51,-519.1488647460938,15.2705
260000,3154.58,23.5721,1826.23,52,52,-661.019775390625,16.0847
265000,3109.26,23.9599,2769.99,53,53,-587.1650390625,16.2477
270000,3171.14,23.6163,1789.11,54,54,-724.5203857421875,15.9636
275000,2706.06,24.4778,1261.23,55,55,-901.479736328125,19.0326
280000,3139.54,23.5855,2869.56,56,56,-585.05517578125,16.0402
285000,3131.96,23.2593,2177.59,57,57,-701.6917724609375,15.9273
290000,3127.85,23.9205,1824.45,58,58,-734.8262939453125,16.3114
295000,3173.84,23.7534,1728.31,59,59,-824.8042602539062,18.5531
300000,3138.41,23.5195,1718.11,60,60,-798.4047241210938,16.3558
305000,3152.31,23.2511,2494.5,61,61,-661.150634765625,15.5771
310000,3181.36,23.4783,1839.61,62,62,-857.3672485351562,20.1484
315000,3114.03,23.33,1664.68,63,63,-870.4573364257812,17.2883
320000,3070.29,23.7433,3080.66,64,64,-637.330322265625,15.9396
325000,1413.25,24.2331,1295.4,65,65,-1182.2254638671875,26.9373
330000,3158.13,23.4091,2492.52,66,66,-736.8984375,15.6035
335000,3137.56,23.6292,1800.28,67,67,-1106.0084228515625,21.6316
340000,2104.63,23.4569,2036.39,68,68,-949.7478637695312,18.3235
345000,3152.35,23.4646,1679.63,69,69,-812.6719970703125,16.1862
350000,3201.21,23.6004,2200.66,70,70,-931.6405639648438,16.0252
355000,3162.47,23.5689,1468.01,71,71,-966.0238647460938,16.8491
360000,3159.17,23.4919,2628.79,72,72,-786.4302978515625,15.3398
365000,3143.68,23.2219,1711.36,73,73,-995.9384765625,16.0141
370000,3176.76,22.942,1704.47,74,74,-963.3438720703125,16.6311
375000,2550.97,23.091,2092.87,75,75,-1026.833740234375,16.8288
380000,3139.86,23.2101,2041.58,76,76,-793.6171875,15.1374
385000,3133.25,23.1005,2387.23,77,77,-941.7554931640625,15.8996
390000,3143.3,23.4887,1970.61,78,78,-1028.378173828125,15.7221
395000,3081.02,23.3546,2948.7,79,79,-957.8743896484375,15.1619
400000,2698.4,24.1734,1405.54,80,80,-1317.2037353515625,17.9799
405000,3088.57,23.0837,2626.12,81,81,-1006.5863037109375,15.2872
410000,3132.71,22.8032,2481.15,82,82,-918.5272216796875,14.528
415000,3113.19,23.3182,2268.4,83,83,-920.40625,15.2222
420000,3142.44,22.6354,2597.6,84,84,-990.1239013671875,14.4791
425000,3099.31,22.9324,2436.04,85,85,-874.57763671875,14.702
430000,2979.3,23.1487,2089.81,86,86,-1041.935302734375,15.7742
435000,3144.41,23.1656,2011.47,87,87,-1058.905029296875,16.2064
440000,3129.02,23.0104,2860.31,88,88,-891.853271484375,15.4364
445000,3155.17,23.4758,1633.9,89,89,-1355.29248046875,19.2455
450000,2904.83,23.8484,2470.64,90,90,-1010.9113159179688,15.8548
455000,3138.52,23.2927,2616.59,91,91,-999.6826782226562,14.2089
460000,3121.44,23.4333,2131.99,92,92,-1182.5029296875,14.8128
465000,3129.1,23.1324,1897.64,93,93,-1354.968994140625,15.6146
470000,3171.2,23.0094,2213.04,94,94,-1100.9251708984375,14.5407
475000,3142.84,22.675,2775.72,95,95,-1180.6346435546875,13.7753
480000,3159.67,23.1661,1716.49,96,96,-1181.5335693359375,15.288
485000,3154.2,23.2676,2460.04,97,97,-1200.1424560546875,13.7677
490000,3155.44,22.8837,2270.08,98,98,-1108.99853515625,14.3469
495000,2289.95,23.3363,1604.84,99,99,-1492.41943359375,15.2629
500000,3160.89,23.1519,2519.29,100,100,-1188.0194091796875,14.8184
505000,3138.93,23.1127,2908.11,101,101,-1133.29443359375,14.4321
510000,3154.76,22.9853,2380.21,102,102,-1324.2960205078125,14.682
515000,3169.2,22.895,2009.17,103,103,-1222.0994873046875,14.548
520000,3160.51,22.6749,2377.03,104,104,-1129.729736328125,14.116
525000,3116.24,23.2662,2957.22,105,105,-1110.4471435546875,14.941
530000,3146.41,23.0397,2752.61,106,106,-1115.018310546875,14.4477
535000,2795.36,23.0526,2109.45,107,107,-1415.93798828125,14.0586
540000,3149.76,23.1362,2629.77,108,108,-1319.9093017578125,15.7707
545000,2839.41,22.5131,2490.92,109,109,-1360.1646728515625,14.6792
550000,3160.63,22.5769,2616.8,110,110,-1168.316162109375,14.0566
555000,3178.98,23.6073,2111.64,111,111,-1663.546875,14.1549
560000,2388.96,23.1745,2271.8,112,112,-1564.4876708984375,15.0033
565000,2090.61,23.0087,1621.1,113,113,-1804.072021484375,14.0694
570000,3171.74,23.0448,2309.8,114,114,-1523.1207275390625,13.8356
575000,3156.33,22.5735,2653.85,115,115,-1305.427734375,14.0117
580000,3148.36,22.6703,2579.35,116,116,-1240.810302734375,14.0753
585000,2349.55,23.1376,1798.58,117,117,-1621.9112548828125,15.2263
590000,3142.29,23.1188,2010.9,118,118,-1681.186767578125,14.0788
595000,3155.42,22.5653,2976.63,119,119,-1254.0382080078125,14.0417
600000,3138.54,23.5524,2439.18,120,120,-1448.279541015625,14.4247
605000,3149.21,22.1486,2420.81,121,121,-1370.000732421875,13.9358
610000,3147.81,22.8258,2410.83,122,122,-1463.968505859375,14.3348
615000,3167.28,22.8458,2182.31,123,123,-1729.2381591796875,15.4246
620000,3135.12,22.8423,2094.74,124,124,-1386.3006591796875,14.3195
625000,3155.39,23.0963,2198.36,125,125,-1569.86328125,14.8656
630000,3154.92,23.0937,2070.38,126,126,-1899.3846435546875,15.65
635000,3149.85,23.184,2525.7,127,127,-1808.0745849609375,15.0963
640000,3127.95,23.5799,2604.42,128,128,-1711.3951416015625,14.5158
645000,3166.24,22.9156,2284.69,129,129,-1784.607177734375,15.0864
650000,2174.28,23.0255,1753.63,130,130,-1965.123046875,19.3827
655000,3124.84,22.5808,2077.56,131,131,-1681.6826171875,15.0986
660000,3133.45,22.9569,2106.89,132,132,-1803.2080078125,15.4089
665000,3147.33,22.3482,2413.14,133,133,-1442.641845703125,13.7619
670000,3152.3,22.3787,2349.55,134,134,-1610.838623046875,13.3733
675000,3151.91,22.8072,2292.27,135,135,-1796.625732421875,12.9393
680000,3155.01,22.2308,2644.74,136,136,-1669.6282958984375,13.5229
685000,3148.76,22.5997,2442.77,137,137,-1647.6715087890625,13.1753
690000,3141.51,23.2008,2534.7,138,138,-2053.138427734375,15.0312
695000,3117.03,23.3995,2370.14,139,139,-1674.485107421875,14.6486
700000,3153.98,23.2534,2314.4,140,140,-1940.95166015625,14.5428
705000,3142.93,22.6272,2243.55,141,141,-1752.58349609375,13.8255
710000,3134.89,23.0968,2277.33,142,142,-2063.37109375,14.1167
715000,3112.74,22.6874,2348.37,143,143,-1948.6612548828125,16.0062
720000,-2.22,35.5226,-2.08,144,144,-3186.5810546875,46.0065
725000,2818.32,22.9481,1837.12,145,145,-2084.47802734375,15.0751
730000,30.78,26.2519,34.36,146,146,-3324.291259765625,60.8715
735000,2312.37,23.5888,1530.71,147,147,-2511.01171875,19.8135
740000,3152.75,23.226,2429.33,148,148,-1621.1939697265625,14.4601
745000,3157.42,22.9839,2660.92,149,149,-1771.062744140625,13.8807
750000,3135.95,23.0731,2443.57,150,150,-1532.627197265625,15.0459
755000,3130.68,22.7808,2651.12,151,151,-1567.5540771484375,14.4353
760000,3142.44,22.5976,2342.52,152,152,-1702.5697021484375,14.2136
765000,3159.82,22.8144,2434.92,153,153,-1717.09375,14.0097
770000,3158.33,23.368,1761.43,154,154,-2511.18310546875,15.7708
775000,3161.84,22.6945,2311.0,155,155,-1623.6146240234375,14.1257
780000,3137.51,23.212,2886.84,156,156,-1665.986083984375,14.9763
785000,3162.82,22.7007,2406.75,157,157,-2002.93359375,14.2794
790000,3170.69,22.8078,1838.06,158,158,-2243.16796875,15.1302
795000,3158.89,22.8836,1766.19,159,159,-2249.96435546875,14.1772
800000,3174.99,22.8194,2022.68,160,160,-2413.314453125,15.3355
805000,3159.55,22.3576,2817.78,161,161,-1780.19482421875,13.7059
810000,3128.72,22.7548,2396.34,162,162,-1717.5279541015625,13.6585
815000,3123.03,22.6811,2265.0,163,163,-2155.323486328125,13.7676
820000,3138.88,22.5092,2110.81,164,164,-1749.1773681640625,13.9846
825000,3144.59,22.8848,2189.17,165,165,-2259.075927734375,14.0513
830000,3123.36,22.5449,2992.81,166,166,-1634.513916015625,13.619
835000,3172.56,23.2624,1344.42,167,167,-3032.1748046875,15.3106
840000,3136.64,22.6396,2213.21,168,168,-2299.431396484375,14.3149
845000,3117.86,22.4844,2642.51,169,169,-1845.8935546875,13.8007
850000,3166.68,22.3595,1872.65,170,170,-2554.906494140625,14.0939
855000,3105.22,22.9379,2901.33,171,171,-1714.8856201171875,14.1807
860000,3129.78,22.8091,2318.22,172,172,-2202.95068359375,14.0078
865000,3166.37,22.3699,2087.55,173,173,-2408.38818359375,15.0923
870000,3152.17,21.9856,2217.86,174,174,-2116.53369140625,15.5521
875000,3177.99,22.388,1915.33,175,175,-2246.382568359375,13.7568
880000,3152.88,22.3508,2292.31,176,176,-2149.148193359375,13.2065
885000,3138.42,22.1857,2595.37,177,177,-1885.4027099609375,13.2972
890000,3124.94,22.4534,2676.09,178,178,-1829.7330322265625,13.7138
895000,3115.34,22.9428,2345.14,179,179,-1969.762451171875,13.6124
900000,3126.66,23.3097,2318.9,180,180,-2215.89501953125,14.2047
905000,3190.4,23.4596,1434.42,181,181,-2996.409912109375,17.3169
910000,3184.45,23.227,1507.5,182,182,-2993.974609375,16.3421
915000,3197.84,23.2424,1587.37,183,183,-3191.1826171875,14.7871
920000,3153.78,22.7157,2065.64,184,184,-2647.9140625,16.1149
925000,3171.03,23.0763,1894.46,185,185,-2741.803955078125,15.1876
930000,3156.93,22.415,1869.65,186,186,-2418.064208984375,13.3916
935000,3094.41,23.3554,1622.62,187,187,-3625.545166015625,16.9454
940000,3149.59,21.6669,2177.93,188,188,-2422.5751953125,13.1584
945000,3138.25,22.6105,1838.63,189,189,-2435.03173828125,13.6651
950000,3115.55,22.4866,1952.57,190,190,-2990.18310546875,15.2747
955000,3112.51,22.2046,2040.32,191,191,-2347.9677734375,14.1338
960000,3116.52,22.1011,2486.3,192,192,-2316.7880859375,14.6538
965000,3109.23,22.4376,2828.92,193,193,-1988.7957763671875,13.5823
970000,3177.81,22.9422,1881.74,194,194,-3427.27880859375,15.4371
975000,3157.87,22.4313,2289.15,195,195,-2538.531494140625,13.184
980000,3167.36,22.6757,1543.17,196,196,-2991.1474609375,14.661
985000,3164.96,22.4804,1821.76,197,197,-2596.2685546875,12.797
990000,3170.04,22.7657,2057.16,198,198,-2828.027099609375,15.0332
995000,3168.01,22.7801,1488.67,199,199,-3145.66015625,13.5083
