Real Sto Return,Running Forward KL,Reward Loss,Real Det Return,Running Reverse KL,Itration,Running Env Steps,Running Update Time
3352.83,18.5934,-327.24658203125,3474.15,12.8051,50,250000,50
3444.25,19.8454,-282.7208251953125,3472.13,13.6215,51,255000,51
3336.7,20.3276,-731.9473876953125,3469.0,20.9046,52,260000,52
3407.54,20.4726,-365.2344665527344,3439.54,13.3167,53,265000,53
3428.84,21.0342,-368.651123046875,3458.27,14.4297,54,270000,54
3483.27,19.8099,-358.0777587890625,3509.73,13.3735,55,275000,55
3454.85,18.6891,-401.5346984863281,3469.1,11.8998,56,280000,56
3451.12,18.5161,-368.22601318359375,3475.47,13.2019,57,285000,57
2949.46,19.4913,-393.0323791503906,3451.66,13.3736,58,290000,58
3253.26,19.3026,-369.47412109375,3476.04,12.7929,59,295000,59
3450.54,18.4052,-339.0499267578125,3479.05,12.651,60,300000,60
3246.99,19.0403,-590.85205078125,3460.51,20.1465,61,305000,61
3217.11,18.4266,-584.718017578125,3481.14,22.3789,62,310000,62
3264.95,20.4444,-549.3553466796875,3472.53,13.2702,63,315000,63
1014.03,21.0538,-1704.3909912109375,2241.47,32.1731,64,320000,64
3140.58,20.0277,-710.2813720703125,3456.84,19.0131,65,325000,65
3249.92,20.3322,-590.5803833007812,3431.35,13.7239,66,330000,66
2984.55,19.789,-1153.15380859375,3453.39,37.9956,67,335000,67
3222.79,19.1171,-489.34100341796875,3454.76,12.5987,68,340000,68
3315.6,19.9317,-936.9105834960938,3436.17,19.0152,69,345000,69
3444.46,19.024,-472.318115234375,3464.44,12.8174,70,350000,70
3403.68,19.5213,-773.2161254882812,3476.56,24.0948,71,355000,71
3480.7,19.4477,-472.6440124511719,3507.67,14.1161,72,360000,72
3428.11,18.4804,-452.9948425292969,3446.33,12.2112,73,365000,73
3192.17,20.3934,-595.8728637695312,3453.28,13.6471,74,370000,74
2758.93,20.0514,-827.167236328125,3460.19,24.315,75,375000,75
3407.83,19.7948,-1048.65869140625,3450.3,26.624,76,380000,76
3274.8,18.6497,-445.5047912597656,3471.96,11.6146,77,385000,77
3461.17,18.467,-429.802001953125,3457.29,12.3525,78,390000,78
3288.75,19.2789,-636.54150390625,3461.33,17.8079,79,395000,79
2820.21,20.4054,-609.1519775390625,3466.65,14.3894,80,400000,80
2862.24,19.9967,-710.8135375976562,3443.86,14.4917,81,405000,81
3411.54,17.536,-514.0056762695312,3462.51,11.6108,82,410000,82
3419.81,17.9661,-522.5537719726562,3433.44,11.518,83,415000,83
3436.59,19.1958,-772.6804809570312,3455.07,15.044,84,420000,84
3439.12,18.8977,-568.5494384765625,3464.38,12.7286,85,425000,85
3426.6,19.0017,-908.7219848632812,3466.9,14.4777,86,430000,86
3388.32,19.1357,-657.9479370117188,3458.83,12.8287,87,435000,87
3420.45,17.3843,-608.2189331054688,3446.93,10.8192,88,440000,88
3445.91,18.9766,-655.5238037109375,3473.65,12.9923,89,445000,89
3424.67,19.4865,-668.7009887695312,3443.42,13.0788,90,450000,90
3356.72,18.8263,-609.2855834960938,3465.78,11.8536,91,455000,91
3024.93,19.2088,-1233.8056640625,3472.62,18.0052,92,460000,92
2975.2,19.1139,-763.3807373046875,3456.26,12.5645,93,465000,93
3073.69,17.7896,-876.3402709960938,3447.25,20.6281,94,470000,94
3320.0,18.8659,-688.9165649414062,3454.5,12.7954,95,475000,95
3211.0,17.9875,-634.267333984375,3459.59,11.2485,96,480000,96
3393.95,17.7956,-711.0293579101562,3491.61,11.851,97,485000,97
3450.65,17.7456,-639.9358520507812,3480.98,11.0492,98,490000,98
3423.85,18.0803,-685.137939453125,3482.4,12.1471,99,495000,99
3072.36,18.54,-1023.8634643554688,3505.89,16.7396,100,500000,100
3273.19,18.3586,-752.9852294921875,3477.5,12.1394,101,505000,101
3467.87,18.2334,-740.7310180664062,3485.41,11.9866,102,510000,102
3078.96,18.1214,-838.34228515625,3484.26,12.6328,103,515000,103
2478.84,20.4851,-1377.53369140625,3498.52,20.3207,104,520000,104
2432.02,19.4534,-1263.8394775390625,1647.45,16.9891,105,525000,105
3322.26,17.8669,-691.8988037109375,3489.4,11.6195,106,530000,106
3217.69,19.0834,-1283.6229248046875,3485.17,15.2156,107,535000,107
3435.35,17.9957,-781.8825073242188,3504.84,11.7716,108,540000,108
3292.86,17.4637,-740.362548828125,3496.34,11.3705,109,545000,109
3162.03,20.2744,-886.6027221679688,3483.41,13.9093,110,550000,110
3447.52,19.2834,-884.945068359375,3471.01,12.9388,111,555000,111
3410.61,18.3713,-868.719482421875,3473.72,11.7121,112,560000,112
3185.88,17.9539,-852.8338623046875,3477.32,11.4972,113,565000,113
3367.26,19.1535,-848.8414306640625,3482.12,12.6621,114,570000,114
3448.28,17.8698,-848.6082763671875,3488.04,12.6026,115,575000,115
3064.01,19.2303,-1104.2498779296875,3497.24,15.0045,116,580000,116
3434.41,17.4075,-875.126220703125,3464.64,12.3112,117,585000,117
3336.4,17.0567,-771.9068603515625,3498.99,10.9008,118,590000,118
3468.14,18.5378,-825.5969848632812,3488.03,12.1126,119,595000,119
3121.0,19.0653,-868.0032348632812,3495.21,13.0583,120,600000,120
3464.71,17.7878,-831.5989379882812,3483.88,12.8009,121,605000,121
2819.41,19.2741,-1721.5517578125,3423.3,22.8565,122,610000,122
3293.04,18.7516,-1077.20458984375,3483.16,14.2959,123,615000,123
3254.48,18.4846,-1003.2754516601562,3478.78,12.1995,124,620000,124
2981.41,19.5699,-1329.9290771484375,3505.06,15.3563,125,625000,125
3451.43,17.9402,-975.9862670898438,3485.57,12.2027,126,630000,126
3312.13,18.9307,-1171.548583984375,3497.54,11.8952,127,635000,127
3318.67,18.3806,-1016.5437622070312,3485.56,11.8217,128,640000,128
3414.78,18.1181,-950.0239868164062,3486.32,12.202,129,645000,129
3328.74,19.2535,-1027.1859130859375,3481.78,12.4928,130,650000,130
3460.38,17.3402,-936.2728881835938,3484.83,11.7622,131,655000,131
3219.32,18.1231,-1343.9102783203125,3483.66,18.0716,132,660000,132
3302.2,20.219,-1159.4761962890625,3512.67,13.4803,133,665000,133
3327.28,19.3884,-1437.6495361328125,3463.83,14.5617,134,670000,134
3382.35,18.8465,-1052.2774658203125,3487.55,12.7086,135,675000,135
3292.37,18.0121,-1004.5762939453125,3434.09,11.4252,136,680000,136
3394.51,18.3925,-1252.7135009765625,3479.16,15.4929,137,685000,137
2867.51,19.5178,-1639.13525390625,3478.97,25.0409,138,690000,138
3485.14,18.7034,-1230.6353759765625,3472.95,15.8282,139,695000,139
2175.65,19.0695,-1814.6519775390625,3300.91,36.4835,140,700000,140
3075.45,18.4817,-1178.0152587890625,3503.13,13.124,141,705000,141
3470.94,18.4815,-1185.7032470703125,3493.43,12.9184,142,710000,142
3195.34,17.8887,-1095.10693359375,3498.73,11.7811,143,715000,143
3368.92,18.6661,-1245.63134765625,3494.07,13.7216,144,720000,144
3393.56,17.8099,-1041.4920654296875,3514.6,11.8337,145,725000,145
3361.39,17.3635,-1181.6993408203125,3483.59,14.9069,146,730000,146
3275.64,18.1584,-1296.744873046875,3498.13,12.4614,147,735000,147
3483.59,18.5288,-1156.8763427734375,3513.16,12.315,148,740000,148
3426.44,17.9777,-1406.570556640625,3474.84,15.857,149,745000,149
3454.81,17.2021,-1170.1239013671875,3470.7,12.1105,150,750000,150
2993.55,19.4629,-1498.0203857421875,3464.29,20.2204,151,755000,151
3046.7,18.5772,-1424.4364013671875,3480.66,16.4001,152,760000,152
3466.11,18.2781,-1336.9267578125,3472.84,12.2339,153,765000,153
3355.12,17.8628,-1199.603759765625,3491.56,11.5303,154,770000,154
3338.68,17.8469,-1240.24462890625,3471.83,11.2233,155,775000,155
3001.15,18.3903,-1532.6663818359375,3469.93,13.3177,156,780000,156
3444.47,17.8831,-1138.9476318359375,3488.66,11.9648,157,785000,157
2876.89,19.083,-2053.72314453125,3501.13,31.3303,158,790000,158
3162.85,17.4953,-1293.66162109375,3487.11,12.4713,159,795000,159
3482.35,16.7799,-1164.4208984375,3502.37,11.65,160,800000,160
3397.69,18.2015,-1363.85400390625,3489.42,11.8914,161,805000,161
2610.81,18.6349,-1701.251953125,3493.06,20.8416,162,810000,162
3307.46,17.6816,-1366.2623291015625,3491.95,11.8748,163,815000,163
3137.07,18.2512,-1270.5263671875,3478.2,11.9213,164,820000,164
3206.0,19.3853,-1790.23974609375,3491.76,19.5308,165,825000,165
3494.6,17.5481,-1287.2607421875,3501.92,11.4833,166,830000,166
3482.78,18.6188,-1569.918701171875,3489.28,13.2062,167,835000,167
3393.8,17.6609,-1312.659912109375,3511.07,11.1721,168,840000,168
3350.01,17.7843,-1652.4312744140625,3472.71,17.2943,169,845000,169
3491.02,18.365,-1384.629150390625,3496.7,11.6944,170,850000,170
3151.68,17.9662,-1479.6739501953125,3489.02,13.4857,171,855000,171
3265.15,18.0109,-1417.434326171875,3485.55,12.3253,172,860000,172
3423.37,17.3896,-1498.024169921875,3479.26,12.4623,173,865000,173
3424.73,19.1375,-1752.595947265625,3507.17,17.7886,174,870000,174
3410.26,17.8417,-1304.4066162109375,3506.24,11.4953,175,875000,175
3165.76,18.5945,-1529.11083984375,3492.64,13.6952,176,880000,176
3060.67,18.3587,-1413.1280517578125,3500.32,14.0066,177,885000,177
3409.1,17.8285,-1382.8349609375,3513.43,12.1663,178,890000,178
3368.25,18.1468,-1467.0672607421875,3526.75,12.1141,179,895000,179
3420.87,19.2717,-1710.171630859375,3509.2,15.2163,180,900000,180
3452.28,18.3496,-1691.49853515625,3468.39,11.9931,181,905000,181
3256.99,18.3226,-1580.798828125,3509.08,13.6612,182,910000,182
3403.09,18.0472,-1534.8909912109375,3510.73,12.3236,183,915000,183
3393.26,18.0274,-1597.490234375,3511.52,11.7153,184,920000,184
3267.02,17.6566,-1579.46142578125,3484.38,13.5188,185,925000,185
3043.84,18.0945,-1634.5665283203125,3520.45,15.2045,186,930000,186
3367.59,17.4866,-1497.9862060546875,3487.64,11.4452,187,935000,187
3458.82,17.5301,-1607.9427490234375,3492.16,12.2273,188,940000,188
3263.56,17.7643,-1643.3829345703125,3493.28,12.9865,189,945000,189
3432.66,18.2492,-1614.107177734375,3492.92,11.6509,190,950000,190
3509.58,17.7964,-1655.8050537109375,3492.24,11.5285,191,955000,191
3426.52,17.7095,-1751.1029052734375,3491.01,12.6515,192,960000,192
3275.07,18.2542,-2084.84521484375,3495.91,14.2324,193,965000,193
3344.43,16.6817,-1493.4156494140625,3452.2,9.9914,194,970000,194
2972.68,17.9747,-1770.8079833984375,3466.37,11.4928,195,975000,195
3088.17,18.1131,-1954.2509765625,3502.94,13.1331,196,980000,196
3294.1,17.7819,-1691.8848876953125,3505.85,11.1635,197,985000,197
2730.48,19.6666,-2164.87451171875,3437.29,18.3247,198,990000,198
3215.15,17.4405,-1720.9013671875,3498.99,15.4435,199,995000,199
