Itration,Running Env Steps,Reward Loss,Running Reverse KL,Running Forward KL,Real Det Return,Real Sto Return,Running Update Time
180,900000,-4948.15478515625,27.2941,74.9785,-416.06,-812.55,180
181,905000,-5004.8544921875,23.5028,74.7885,-666.52,-637.05,181
182,910000,-5146.2958984375,24.2014,75.57,-521.58,-509.7,182
183,915000,-5078.14208984375,27.8753,74.8661,-629.77,-757.44,183
184,920000,-5076.0478515625,29.3238,74.4102,-761.8,-778.36,184
185,925000,-5372.90673828125,33.6353,75.156,-504.34,-615.62,185
186,930000,-5394.935546875,34.6698,77.2428,-607.62,-511.83,186
187,935000,-5501.12890625,28.871,75.1225,-568.1,-746.08,187
188,940000,-5595.615234375,45.3718,75.1511,-1022.48,-1027.74,188
189,945000,-5504.9208984375,22.6213,74.8174,-724.6,-489.1,189
190,950000,-5744.6171875,25.7527,75.2196,-737.58,-364.64,190
191,955000,-5756.484375,27.187,74.9855,-567.19,-688.19,191
192,960000,-5769.64208984375,24.5587,75.122,-312.07,-462.68,192
193,965000,-5702.6171875,35.6987,74.5262,-964.69,-935.72,193
194,970000,-5811.98876953125,24.5647,74.2571,-430.38,-426.33,194
195,975000,-5794.421875,40.3392,75.0467,-1079.79,-988.75,195
196,980000,-6016.671875,23.4916,74.2385,-418.55,-579.45,196
197,985000,-6191.75244140625,29.6026,75.3203,-794.97,-477.3,197
198,990000,-6197.94189453125,28.7789,73.6864,-702.74,-977.55,198
199,995000,-6023.57470703125,43.7898,74.1015,-531.4,-826.43,199
200,1000000,-6436.10107421875,26.6711,74.2526,-683.78,-522.85,200
201,1005000,-6580.12890625,28.3114,74.4632,-600.27,-414.69,201
202,1010000,-6624.33447265625,29.1199,74.8416,-538.75,-561.27,202
203,1015000,-6567.6240234375,26.9212,73.8091,-582.2,-230.74,203
204,1020000,-6881.5791015625,31.5398,75.4429,-383.07,-480.13,204
205,1025000,-6933.80224609375,28.2298,74.5546,-645.38,-423.53,205
206,1030000,-6995.529296875,32.9919,75.2667,-319.7,-170.55,206
207,1035000,-7096.4951171875,27.3366,75.0329,-330.61,-383.16,207
208,1040000,-7136.4755859375,24.2308,75.1858,-455.53,-411.51,208
209,1045000,-7252.0361328125,25.3876,74.624,-363.88,-440.4,209
210,1050000,-7370.55126953125,26.0449,76.0028,-289.14,-517.58,210
211,1055000,-7492.5087890625,26.5435,75.4189,-424.94,-235.39,211
212,1060000,-7683.44677734375,30.4223,76.1711,-619.44,-428.23,212
213,1065000,-7659.81787109375,26.9717,75.2008,-568.78,-344.58,213
214,1070000,-7720.89404296875,25.6331,74.6173,-321.92,-561.55,214
215,1075000,-7778.08837890625,25.3275,75.6133,-299.01,-268.14,215
216,1080000,-7907.90380859375,23.9979,76.5808,-439.37,-383.81,216
217,1085000,-8044.21826171875,24.5331,75.1221,-514.61,-353.92,217
218,1090000,-8029.34814453125,23.2621,75.3333,-305.94,-611.67,218
219,1095000,-8156.0048828125,24.4337,74.2642,-243.63,-423.32,219
220,1100000,-8303.02734375,23.5121,74.6156,-486.41,-181.65,220
221,1105000,-8417.142578125,24.595,75.6919,-356.63,-292.58,221
222,1110000,-8213.1044921875,21.7893,74.1933,-349.08,-402.93,222
223,1115000,-8473.4296875,23.1759,74.7466,-210.18,-383.95,223
224,1120000,-8628.9970703125,23.3303,75.675,-455.28,-425.05,224
225,1125000,-8679.259765625,23.1294,75.0238,-540.64,-436.39,225
226,1130000,-8799.7373046875,22.6197,75.0473,-268.77,-341.38,226
227,1135000,-8934.9892578125,23.4605,75.5304,-302.05,-514.76,227
228,1140000,-8991.072265625,26.1115,74.5004,-247.77,-273.75,228
229,1145000,-9209.72265625,28.1281,76.5455,-251.6,-634.88,229
230,1150000,-9248.5029296875,23.5299,74.6493,-380.95,-461.9,230
231,1155000,-9416.98046875,23.166,74.7889,-209.03,-309.86,231
232,1160000,-9334.640625,22.6349,74.5462,-355.51,-525.98,232
233,1165000,-9438.25,25.4711,74.0229,-347.1,-524.07,233
234,1170000,-9454.2314453125,22.6461,75.3069,-206.13,-349.12,234
235,1175000,-9547.794921875,22.9189,75.3353,-290.05,-156.11,235
236,1180000,-9752.580078125,22.3377,75.6569,-408.08,-273.4,236
237,1185000,-9744.7353515625,21.9916,75.5693,-448.3,-260.01,237
238,1190000,-9912.3291015625,21.8594,75.3015,-262.55,-321.69,238
239,1195000,-9810.1796875,22.6843,73.6158,-233.96,-284.93,239
240,1200000,-10159.91015625,23.5021,76.6622,-270.66,-376.62,240
241,1205000,-10122.767578125,20.7714,76.443,-221.84,-201.77,241
242,1210000,-10278.7724609375,21.5894,76.3086,-304.47,-186.25,242
243,1215000,-10090.083984375,20.2981,74.4878,-251.62,-236.45,243
244,1220000,-10304.333984375,23.9168,76.411,-301.64,-321.75,244
245,1225000,-10276.974609375,22.3134,74.0348,-149.62,-210.18,245
246,1230000,-10370.2392578125,21.3529,77.0828,-388.67,-156.01,246
247,1235000,-10485.7978515625,21.8371,74.3542,-382.53,-409.98,247
248,1240000,-10642.068359375,22.403,74.8698,-352.96,-239.43,248
249,1245000,-10687.2783203125,20.8541,75.0095,-447.44,-272.51,249
250,1250000,-10834.1201171875,21.3855,74.8991,-178.94,-444.5,250
251,1255000,-10980.5380859375,22.6381,75.5788,-270.62,-283.84,251
252,1260000,-10900.158203125,21.4536,75.0488,-311.14,-309.21,252
253,1265000,-11038.0,20.2356,75.7663,-412.91,-374.12,253
254,1270000,-11068.9521484375,20.126,75.1332,-398.53,-182.17,254
255,1275000,-11159.076171875,20.9876,75.2887,-474.11,-367.58,255
256,1280000,-11400.736328125,22.18,76.3064,-680.62,-463.1,256
257,1285000,-11490.421875,22.4831,75.114,-318.32,-408.21,257
258,1290000,-11477.060546875,21.7562,74.5543,-358.7,-175.6,258
259,1295000,-11468.2939453125,21.6796,76.1319,-242.14,-242.63,259
260,1300000,-11635.7021484375,20.4465,74.493,-306.96,-157.25,260
261,1305000,-11720.806640625,22.277,73.9946,-409.29,-286.03,261
262,1310000,-11621.6767578125,21.3617,74.9642,-254.32,-197.77,262
263,1315000,-11555.3701171875,19.993,74.0953,-266.89,-363.2,263
264,1320000,-11569.53125,21.7035,75.4279,-353.06,-306.94,264
265,1325000,-11966.359375,21.7075,76.0479,-399.92,-247.05,265
266,1330000,-11910.673828125,23.2261,74.9459,-261.5,-313.27,266
267,1335000,-12025.8896484375,22.3831,75.0158,-391.07,-287.43,267
268,1340000,-12233.1337890625,22.1714,75.8168,-287.53,-503.74,268
269,1345000,-12064.9599609375,22.5853,76.4456,-295.3,-325.01,269
270,1350000,-12188.546875,22.9554,75.3527,-427.9,-246.8,270
271,1355000,-12518.943359375,24.6003,76.5292,-417.14,-500.22,271
272,1360000,-12448.548828125,25.1574,78.0104,-420.08,-241.15,272
273,1365000,-12645.291015625,24.3991,76.9653,-277.51,-324.86,273
274,1370000,-12507.28515625,25.4421,76.3627,-413.69,-407.0,274
275,1375000,-12905.3310546875,26.4133,77.1525,-322.47,-857.06,275
276,1380000,-12633.6533203125,24.7637,76.9484,-357.38,-406.0,276
277,1385000,-12422.6962890625,21.0465,74.9899,-333.22,-400.5,277
278,1390000,-12697.603515625,22.4561,76.197,-400.73,-312.86,278
279,1395000,-12703.548828125,23.4352,76.2435,-514.4,-376.12,279
280,1400000,-12567.19921875,21.4007,75.0393,-329.31,-423.92,280
281,1405000,-13127.3544921875,25.1413,77.2056,-472.44,-183.21,281
282,1410000,-13219.9580078125,25.8046,77.3831,-448.66,-382.5,282
283,1415000,-13138.365234375,24.0989,75.765,-514.63,-266.19,283
284,1420000,-12876.6669921875,21.9917,75.686,-308.18,-308.22,284
285,1425000,-13173.2255859375,23.6647,76.1329,-424.99,-372.68,285
286,1430000,-13282.9140625,22.7137,76.847,-287.94,-383.31,286
287,1435000,-13275.166015625,25.8515,76.2546,-393.01,-519.91,287
288,1440000,-13420.42578125,22.471,76.4058,-367.43,-493.1,288
289,1445000,-13605.623046875,22.8402,76.2632,-241.71,-269.65,289
290,1450000,-13376.201171875,21.4011,75.3023,-511.49,-249.35,290
291,1455000,-13528.8984375,22.5137,76.7678,-289.04,-301.12,291
292,1460000,-13735.455078125,22.9829,76.4282,-534.17,-379.86,292
293,1465000,-13739.822265625,22.4231,75.929,-584.51,-435.46,293
294,1470000,-13723.5830078125,23.4994,76.3773,-402.88,-516.87,294
295,1475000,-13382.88671875,20.7905,75.9787,-209.48,-248.29,295
296,1480000,-13788.90625,22.6567,76.5394,-234.82,-355.56,296
297,1485000,-13705.8466796875,21.0811,76.7913,-327.44,-432.27,297
298,1490000,-13749.3232421875,21.8794,75.8255,-368.68,-238.42,298
299,1495000,-13861.4130859375,21.8513,76.9826,-324.15,-317.84,299
300,1500000,-13790.2587890625,21.7441,76.7543,-218.12,-312.4,300
301,1505000,-13906.5419921875,21.7215,76.8186,-412.94,-394.32,301
302,1510000,-14199.890625,24.3071,77.5991,-418.7,-467.21,302
303,1515000,-14022.859375,22.0124,76.109,-272.57,-316.77,303
304,1520000,-13834.626953125,22.2419,75.6597,-281.35,-281.74,304
305,1525000,-14210.4111328125,29.0217,75.8426,-421.69,-279.82,305
306,1530000,-14414.5751953125,24.3998,77.158,-496.84,-127.28,306
307,1535000,-14300.8056640625,21.7387,76.1423,-300.78,-389.98,307
308,1540000,-14251.7802734375,25.3212,75.3997,-179.88,-209.57,308
309,1545000,-14126.474609375,22.7843,74.525,-258.28,-219.19,309
310,1550000,-14249.1640625,20.5893,75.0402,-321.46,-353.71,310
311,1555000,-14435.53515625,21.4001,76.23,-254.55,-300.06,311
312,1560000,-14573.79296875,21.2558,75.9275,-370.56,-419.94,312
313,1565000,-14447.8876953125,22.0457,76.2034,-233.57,-171.52,313
314,1570000,-14563.396484375,22.4239,75.8013,-306.38,-367.56,314
315,1575000,-14680.0400390625,23.4519,75.8182,-245.13,-265.48,315
316,1580000,-14623.4208984375,20.5605,75.9052,-307.12,-293.93,316
317,1585000,-14728.767578125,21.1774,76.1382,-200.4,-186.04,317
318,1590000,-14557.861328125,22.2909,75.6693,-405.08,-200.2,318
319,1595000,-14483.6728515625,20.1379,74.3498,-320.54,-322.98,319
320,1600000,-14665.2734375,21.7948,74.9573,-331.9,-543.73,320
321,1605000,-14756.57421875,21.3779,75.8918,-207.1,-281.1,321
322,1610000,-14620.83984375,22.0007,75.8077,-339.01,-260.71,322
323,1615000,-14863.708984375,23.6382,75.0953,-178.77,-275.97,323
324,1620000,-14915.359375,21.891,74.6524,-419.75,-312.04,324
325,1625000,-15040.2490234375,21.3972,76.0972,-471.86,-368.61,325
326,1630000,-14804.9814453125,21.0516,75.6473,-377.18,-247.61,326
327,1635000,-14913.7939453125,21.432,74.2198,-255.64,-368.23,327
328,1640000,-14994.6689453125,21.2717,76.6512,-295.39,-320.07,328
329,1645000,-15429.84765625,21.8532,76.5156,-422.05,-216.1,329
330,1650000,-15279.25,22.2784,76.0728,-426.04,-308.32,330
331,1655000,-15125.1162109375,21.5525,75.8024,-307.74,-468.66,331
332,1660000,-15306.1533203125,21.4642,75.7185,-395.8,-248.67,332
333,1665000,-15367.00390625,22.1539,75.5503,-331.21,-475.8,333
334,1670000,-15321.8916015625,22.5431,76.3669,-497.13,-392.16,334
335,1675000,-15245.8994140625,21.7041,75.9599,-281.6,-284.83,335
336,1680000,-15443.2587890625,22.1399,76.7354,-414.11,-178.28,336
337,1685000,-15559.3056640625,22.3004,74.9917,-337.47,-520.86,337
338,1690000,-15732.5927734375,21.9889,75.9767,-282.2,-248.66,338
339,1695000,-15676.3173828125,22.4846,74.4156,-275.09,-403.44,339
340,1700000,-15927.9833984375,23.7816,75.8447,-666.55,-493.4,340
341,1705000,-16047.1669921875,23.2891,76.4658,-441.84,-378.56,341
342,1710000,-16017.087890625,21.4536,76.2935,-567.24,-387.88,342
343,1715000,-16171.6005859375,22.8465,76.0337,-451.06,-301.35,343
344,1720000,-15936.4033203125,22.0314,75.6999,-409.51,-542.27,344
345,1725000,-15819.974609375,21.4557,76.2094,-375.02,-385.13,345
346,1730000,-16145.328125,21.8321,76.3629,-373.76,-346.62,346
347,1735000,-16279.876953125,22.7895,75.391,-331.77,-420.5,347
348,1740000,-16461.5546875,23.9684,75.1134,-566.42,-446.52,348
349,1745000,-16330.578125,22.3631,77.1387,-450.38,-421.89,349
350,1750000,-16365.0263671875,23.5204,77.1446,-386.88,-290.62,350
351,1755000,-16340.728515625,22.1703,77.5769,-377.48,-304.54,351
352,1760000,-16507.94140625,23.1003,75.7277,-434.48,-325.55,352
353,1765000,-16370.2734375,22.9175,75.9201,-293.61,-256.05,353
354,1770000,-16561.2265625,23.3416,76.8354,-547.32,-334.24,354
355,1775000,-16410.345703125,21.6035,75.7782,-498.79,-480.1,355
356,1780000,-16396.068359375,22.3752,75.0985,-433.27,-374.4,356
357,1785000,-16526.078125,21.5365,77.1964,-466.3,-181.2,357
358,1790000,-16648.2421875,22.0588,75.4264,-290.59,-354.1,358
359,1795000,-16487.99609375,21.3241,75.2,-272.89,-212.69,359
360,1800000,-16520.61328125,21.0959,75.8626,-334.08,-625.96,360
361,1805000,-16694.708984375,22.4701,76.1008,-386.78,-343.25,361
362,1810000,-16633.80078125,21.8903,76.3275,-434.18,-199.1,362
363,1815000,-16781.728515625,21.4433,77.6364,-292.65,-297.49,363
364,1820000,-16931.92578125,22.6812,76.4489,-436.67,-473.79,364
365,1825000,-16670.193359375,21.6675,75.0672,-425.22,-328.73,365
366,1830000,-16803.48828125,20.9222,76.3009,-425.61,-451.2,366
367,1835000,-16886.3515625,23.4038,76.4407,-493.85,-605.44,367
368,1840000,-17075.234375,22.408,77.364,-365.24,-424.52,368
369,1845000,-17403.44140625,27.3655,76.5039,-469.86,-738.47,369
370,1850000,-17199.826171875,21.3555,76.0226,-405.69,-169.43,370
