Running Env Steps,Running Update Time,Running Forward KL,Itration,Real Det Return,Real Sto Return,Reward Loss,Running Reverse KL
425000,85,28.3254,85,355.26,350.91,-809.1824951171875,73.3431
430000,86,33.2189,86,368.27,351.8,-830.9566650390625,29.7548
435000,87,31.8832,87,915.28,914.53,-774.44775390625,47.241
440000,88,34.9567,88,1031.86,1032.3,-911.3731689453125,38.2058
445000,89,39.7517,89,982.92,982.53,-946.3253173828125,52.9884
450000,90,36.761,90,212.01,212.35,-974.3193969726562,29.9822
455000,91,29.2753,91,60.93,61.95,-850.3373413085938,107.8755
460000,92,32.6803,92,206.07,210.77,-959.392822265625,33.1144
465000,93,35.7637,93,1006.61,988.88,-977.401611328125,40.1682
470000,94,37.2902,94,1007.07,1006.94,-1022.2322998046875,50.2237
475000,95,31.9044,95,212.92,213.81,-970.7598266601562,53.1993
480000,96,30.809,96,213.05,214.45,-971.7800903320312,45.742
485000,97,30.0213,97,526.5,492.59,-902.3876953125,53.4428
490000,98,36.2255,98,994.5,992.74,-1052.49169921875,40.5835
495000,99,37.8243,99,992.44,992.35,-1037.535888671875,30.3856
500000,100,37.0928,100,1034.13,1026.66,-1076.321044921875,35.0268
505000,101,36.4999,101,999.23,1001.74,-1057.9544677734375,26.2021
510000,102,37.7812,102,980.22,979.98,-1086.583251953125,46.5885
515000,103,30.9851,103,242.17,281.8,-883.5872802734375,76.9838
520000,104,31.0207,104,116.61,118.63,-1067.8787841796875,34.966
525000,105,31.2526,105,314.63,320.48,-707.9864501953125,23.8128
530000,106,33.5183,106,293.73,293.6,-1131.591552734375,39.4109
535000,107,33.9256,107,356.85,355.7,-915.5271606445312,143.367
540000,108,33.2391,108,257.05,268.21,-1209.6517333984375,203.1043
545000,109,33.1732,109,15.85,16.15,-839.0509033203125,37.5235
550000,110,29.5182,110,259.02,260.03,-875.726318359375,24.074
555000,111,35.8316,111,1034.72,1035.33,-1179.0382080078125,36.1157
560000,112,40.6184,112,1000.86,1000.5,-1230.1285400390625,50.8074
565000,113,36.8321,113,984.75,984.77,-1221.7796630859375,49.6043
570000,114,36.7758,114,987.17,984.41,-1232.841064453125,49.4045
575000,115,37.1738,115,1005.69,1005.69,-1268.010498046875,52.3532
580000,116,36.4876,116,1051.71,1052.49,-1255.890380859375,33.0748
585000,117,36.0876,117,1048.12,1047.6,-1273.939697265625,31.9524
590000,118,35.8202,118,1009.95,1010.0,-1303.50341796875,47.554
595000,119,37.4451,119,1000.08,389.47,-1246.227783203125,25.6179
600000,120,38.0046,120,1018.47,974.89,-1300.0086669921875,36.6575
605000,121,38.5741,121,27.3,27.32,-389.4542541503906,190.9342
610000,122,32.6389,122,48.2,39.47,-1172.9652099609375,37.3415
615000,123,38.6632,123,986.1,985.92,-1348.2921142578125,54.1335
620000,124,34.1009,124,11.23,11.41,-1187.1866455078125,25.8683
625000,125,33.899,125,974.14,844.38,-1328.0938720703125,48.7127
630000,126,30.58,126,346.76,340.1,-1186.027099609375,30.8454
635000,127,29.518,127,226.43,252.89,-664.9332275390625,17.5793
640000,128,38.3435,128,1034.42,1033.68,-1394.5439453125,30.181
645000,129,39.8854,129,991.32,991.79,-1426.645263671875,44.9327
650000,130,39.348,130,983.11,982.6,-1433.1358642578125,52.8274
655000,131,39.4875,131,976.38,976.15,-1440.4769287109375,52.0575
660000,132,38.9182,132,985.32,985.45,-1455.87255859375,48.8681
665000,133,39.6043,133,989.62,989.58,-1480.3311767578125,56.1367
670000,134,38.7592,134,977.96,977.75,-1482.1346435546875,53.5586
675000,135,38.5184,135,981.9,981.83,-1492.5732421875,53.7956
680000,136,29.5491,136,112.03,97.6,-538.8114013671875,40.4135
685000,137,30.0271,137,294.41,263.36,-653.29296875,28.3568
690000,138,29.0296,138,291.15,298.81,-984.67431640625,58.2952
695000,139,29.6847,139,863.5,758.91,-1062.18603515625,32.7207
700000,140,37.2233,140,1004.41,1002.45,-1542.9097900390625,37.708
705000,141,37.4836,141,1008.46,1010.83,-1560.952392578125,37.3557
710000,142,27.5433,142,349.0,360.53,-919.0809936523438,20.5024
715000,143,27.9328,143,597.14,595.46,-1158.599853515625,24.7076
720000,144,26.9802,144,453.81,453.89,-736.83837890625,18.5109
725000,145,27.0606,145,519.03,499.67,-1040.3389892578125,17.3808
730000,146,29.5808,146,496.06,409.98,-1537.7236328125,40.7918
735000,147,29.3816,147,388.02,372.41,-1053.364501953125,20.6084
740000,148,29.2328,148,409.25,394.66,-1569.2388916015625,56.9024
745000,149,28.577,149,563.69,557.81,-1497.7900390625,48.9956
750000,150,28.1279,150,662.97,642.38,-1425.691162109375,38.5543
755000,151,28.4361,151,535.49,531.08,-1452.2139892578125,197.1523
760000,152,27.8077,152,474.94,431.15,-1482.5050048828125,146.3281
765000,153,29.1354,153,533.92,514.23,-1507.1905517578125,198.6088
770000,154,29.8543,154,288.96,276.18,-1636.45654296875,193.601
775000,155,27.8345,155,426.24,428.74,-1600.081298828125,208.9543
780000,156,27.8282,156,478.3,425.71,-1596.094482421875,204.3722
785000,157,28.0509,157,439.45,507.22,-1617.955810546875,181.7987
790000,158,27.7572,158,425.77,429.26,-1609.3631591796875,182.8569
795000,159,26.2213,159,494.02,451.49,-1696.5194091796875,104.3627
800000,160,27.5087,160,514.7,503.97,-1673.024658203125,123.2879
805000,161,26.4426,161,440.74,436.59,-1765.3643798828125,88.37
810000,162,28.4859,162,421.53,371.86,-1811.7767333984375,72.021
815000,163,26.8354,163,503.25,516.34,-1693.1396484375,72.1653
820000,164,27.9459,164,603.05,570.97,-1696.79296875,60.9225
825000,165,25.6197,165,661.56,609.89,-1652.5203857421875,40.4822
830000,166,28.2113,166,573.95,591.41,-1680.34326171875,41.847
835000,167,27.302,167,552.45,572.46,-1680.00634765625,38.7188
840000,168,27.5643,168,690.35,646.28,-1671.5167236328125,36.3987
845000,169,27.4694,169,611.37,636.75,-1682.541015625,33.2168
850000,170,25.1106,170,954.83,942.91,-1525.81103515625,28.8082
855000,171,26.0104,171,1021.61,936.28,-1520.6644287109375,32.188
860000,172,27.3029,172,2023.17,1904.08,-650.304443359375,15.8262
865000,173,27.3483,173,641.99,771.29,-1624.8619384765625,38.6402
870000,174,27.5629,174,417.59,629.72,-1597.1068115234375,44.9639
875000,175,27.0063,175,2182.1,1519.9,-885.5509643554688,25.3355
880000,176,27.4044,176,1092.11,1883.3,-890.843017578125,24.1516
885000,177,28.5896,177,252.8,470.04,-1793.640869140625,35.1791
890000,178,28.3767,178,739.93,682.8,-1747.6070556640625,33.872
895000,179,27.3842,179,817.72,792.01,-1669.0294189453125,38.7801
900000,180,26.9321,180,877.33,873.79,-1638.284423828125,31.2569
905000,181,38.045,181,1017.12,1017.07,-2057.2099609375,43.0145
910000,182,29.5302,182,688.9,756.09,-1953.7666015625,48.4872
915000,183,32.787,183,488.57,490.92,-2101.621826171875,45.1542
920000,184,28.2059,184,455.35,469.35,-1905.487060546875,44.1331
925000,185,36.904,185,1010.09,1010.07,-2090.54931640625,39.3169
930000,186,34.9877,186,1009.41,1009.39,-2087.595703125,42.8828
935000,187,35.8811,187,1025.48,1025.18,-2128.133056640625,38.8083
940000,188,35.9894,188,1025.93,1025.87,-2154.066650390625,53.4672
945000,189,32.1668,189,1031.78,1002.44,-2102.002685546875,40.832
950000,190,37.4192,190,1028.3,1028.25,-2187.694580078125,43.5764
955000,191,37.6868,191,1028.04,1028.12,-2214.626220703125,47.632
960000,192,36.8935,192,1042.4,1042.81,-2179.366455078125,36.3423
965000,193,36.251,193,1037.4,938.81,-2206.05322265625,37.4298
970000,194,38.8982,194,1002.89,1003.53,-2224.369873046875,42.0776
975000,195,39.3878,195,1004.6,1004.63,-2253.9404296875,58.2164
980000,196,38.806,196,980.82,980.96,-2234.369140625,53.3318
985000,197,38.0374,197,990.17,990.17,-2268.359375,57.8075
990000,198,40.2,198,1021.41,1021.42,-2333.41357421875,53.5655
995000,199,37.3112,199,1009.83,1009.95,-2322.785888671875,43.6588
