Real Det Return,Running Forward KL,Real Sto Return,Running Reverse KL,Reward Loss,Itration,Running Update Time,Running Env Steps
1038.99,34.8975,1027.3,25.7441,-5295.0703125,104,104,520000
1048.57,38.249,1048.47,42.498,-5597.38232421875,105,105,525000
1043.88,34.2948,1042.09,28.7489,-5500.14208984375,106,106,530000
1044.46,33.8405,1044.88,49.8625,-5651.73388671875,107,107,535000
1029.5,30.705,1033.86,27.3191,-4997.36572265625,108,108,540000
1001.02,40.9198,1000.81,43.3405,-5813.52099609375,109,109,545000
1050.33,36.2688,1049.73,33.1878,-5606.3974609375,110,110,550000
1049.76,33.8702,1049.15,39.2501,-5970.0185546875,111,111,555000
1017.11,37.3824,1013.55,29.1364,-5875.22412109375,112,112,560000
1001.72,34.3532,958.14,32.7822,-5936.3447265625,113,113,565000
1051.67,34.2839,1051.13,36.6276,-5952.15869140625,114,114,570000
994.32,40.6569,978.25,41.6275,-6262.15087890625,115,115,575000
1043.71,35.2109,1043.77,34.3833,-6308.03857421875,116,116,580000
1053.94,35.4221,1030.29,38.1017,-6222.5478515625,117,117,585000
903.96,31.8179,794.19,21.3479,-4384.4462890625,118,118,590000
1053.5,34.5627,1054.67,39.2781,-6334.1220703125,119,119,595000
993.1,38.9569,991.5,39.304,-6501.09521484375,120,120,600000
507.84,35.4854,642.32,27.7169,-6004.4814453125,121,121,605000
1005.63,39.6143,1004.2,34.3628,-6557.2734375,122,122,610000
1046.54,35.0425,1046.92,28.7463,-6567.017578125,123,123,615000
1046.92,34.67,1047.06,52.7201,-6832.8408203125,124,124,620000
120.04,35.6867,84.94,26.7089,-6202.20556640625,125,125,625000
1053.26,37.8721,1053.68,34.4715,-6766.12451171875,126,126,630000
1051.99,36.674,1050.68,36.2895,-6878.63818359375,127,127,635000
993.12,37.8802,1022.2,30.9911,-7093.91015625,128,128,640000
936.17,31.9001,970.8,37.7846,-6641.732421875,129,129,645000
99.17,38.0483,94.29,44.5974,-7113.79150390625,130,130,650000
