Running Reverse KL,Itration,Real Det Return,Real Sto Return,Running Forward KL
68.0848,81,4003.37,5048.63,267.6379
73.2617,82,821.48,4373.1,267.0668
52.9461,83,1528.57,5124.62,255.5925
100.3762,84,1345.88,3757.8,265.334
75.1962,85,4215.5,4183.04,258.2472
56.1656,86,5222.1,4806.21,258.325
73.404,87,764.12,3927.64,261.4114
113.8248,88,1625.07,3023.01,275.6775
54.808,89,4518.86,4617.47,261.6826
52.9408,90,5021.28,5051.26,260.9974
49.4696,91,5242.84,4924.51,250.4469
81.2717,92,3868.05,4918.59,260.8475
70.8748,93,1607.1,3793.68,251.8083
72.0713,94,2764.51,4710.82,254.1823
96.9864,95,2384.34,4152.87,263.6221
67.0367,96,2389.29,4849.41,264.5813
75.2798,97,1430.8,4621.83,260.6117
81.0366,98,1289.29,4847.12,272.1272
59.9903,99,4539.39,4386.11,252.3796
66.4416,100,1633.35,4832.81,270.1288
122.8465,101,1124.17,4025.19,267.4621
85.3325,102,2312.98,4460.44,264.921
71.1572,103,3295.0,5002.8,273.0688
58.4534,104,3917.34,4872.54,257.8221
63.2611,105,3453.92,4882.04,262.4968
63.2426,106,5261.08,5118.72,262.7841
76.1617,107,3477.13,4907.17,268.8474
119.3749,108,1206.94,3548.61,279.3696
70.682,109,1043.35,4797.68,270.5127
61.0523,110,1564.21,4704.07,265.5161
69.8706,111,4512.18,4975.17,264.9615
58.0053,112,1354.16,5109.03,263.1787
63.4234,113,4414.21,4842.36,271.0434
85.9199,114,2412.11,4167.24,262.3692
59.5913,115,5148.87,4981.28,265.1153
66.3348,116,4387.26,5057.4,269.4021
61.3435,117,4128.14,5045.53,269.2584
75.3735,118,5061.14,5036.1,274.7085
64.6112,119,4876.13,5007.71,266.5646
55.9457,120,1418.17,4788.24,258.4105
61.3793,121,5082.19,5042.52,258.3325
54.6559,122,5097.01,4886.54,266.1593
61.6816,123,4867.7,4732.78,263.3743
68.9128,124,4392.1,5136.08,260.6997
57.1545,125,3873.92,4985.84,263.2235
57.3006,126,5015.04,4847.18,267.0879
54.8914,127,3918.39,5032.38,260.6053
59.4992,128,4053.51,4999.58,261.4703
57.0454,129,4746.62,5017.38,261.9633
54.1705,130,4974.72,5011.24,263.8041
64.8778,131,5097.97,4933.32,263.4955
56.5127,132,4900.49,5077.2,256.6734
73.9385,133,4751.28,5117.16,265.9062
75.9272,134,5075.51,5071.85,268.2245
47.3294,135,3398.58,5137.0,252.4619
47.4085,136,5212.37,5046.05,258.1731
42.1826,137,5151.03,5000.0,250.3103
46.6095,138,3522.01,4887.36,255.4592
45.0069,139,4943.99,5147.81,244.8066
50.4347,140,3763.91,4764.44,260.6338
44.6462,141,5019.51,5153.27,248.8588
76.5216,142,1100.54,4442.03,264.2127
39.6727,143,5027.1,5084.44,244.2044
48.5643,144,1637.4,4796.5,251.7318
33.0638,145,4703.83,4934.81,240.3951
28.3141,146,5230.44,5095.6,237.3007
40.9018,147,5292.62,4850.21,252.2367
86.4436,148,1673.58,3806.66,255.0064
53.7996,149,2208.96,4844.13,249.4732
47.677,150,5155.64,4984.85,257.9536
38.5604,151,3036.99,4970.01,248.4535
45.7975,152,4933.69,5046.59,250.3132
32.2693,153,5261.89,4821.21,243.5124
38.7713,154,5068.83,4956.82,243.3933
39.7381,155,5259.71,4614.87,246.9744
51.4127,156,5283.28,5071.65,255.5819
42.173,157,3867.24,4873.38,250.102
54.6632,158,4934.57,4986.6,259.5176
58.5209,159,5047.54,4936.05,266.5477
44.428,160,5175.62,5011.88,256.181
55.0563,161,5022.53,4943.29,266.7762
61.4161,162,5037.9,4949.08,268.0276
54.4688,163,5039.17,4984.53,264.2939
43.9756,164,4943.96,4844.97,253.0141
50.4763,165,5202.44,4963.21,258.4047
45.3043,166,4979.26,4991.52,255.4806
49.1155,167,5053.63,5064.23,256.8574
68.9419,168,5280.08,5043.51,264.471
63.0918,169,5151.39,4940.03,271.8278
39.9208,170,5270.98,5157.15,245.1875
41.0774,171,5174.29,4974.85,249.1211
54.4519,172,5120.84,4976.82,264.3422
45.5905,173,5062.01,5009.63,252.9723
50.8963,174,5205.93,4976.24,258.4026
50.9519,175,4410.01,5092.33,253.4498
41.1696,176,4519.9,4868.89,251.3931
40.1859,177,5159.39,4902.73,256.1966
42.4439,178,5124.55,4947.88,250.6686
33.9425,179,4592.73,4940.73,239.9947
54.8894,180,4616.66,4314.61,265.4139
40.2411,181,5112.17,4785.85,249.5265
28.3425,182,5249.23,4777.46,238.7439
33.9086,183,4391.34,5000.21,238.2189
50.926,184,4329.23,4874.37,250.519
29.9579,185,4920.08,5026.95,239.4107
39.3829,186,4994.09,4959.74,244.8771
32.1045,187,3700.4,4769.95,239.9075
