Running Update Time,Itration,Running Env Steps,Reward Loss,Running Reverse KL,Real Sto Return,Real Det Return,Running Forward KL
177,177,885000,-3295.916748046875,75.8616,4267.0,5074.56,79.559
178,178,890000,-3294.21240234375,78.9859,3387.29,4960.02,82.8639
179,179,895000,-3353.341552734375,82.4638,4671.66,4891.11,82.814
180,180,900000,-3444.071533203125,90.8499,4525.79,5154.43,86.3891
181,181,905000,-3577.1494140625,88.2407,4769.18,5411.87,84.5439
182,182,910000,-3472.48828125,78.0543,4894.51,5326.74,76.7864
183,183,915000,-3472.339111328125,66.7366,4292.98,5520.25,75.4596
184,184,920000,-3610.896728515625,85.8702,5008.34,5581.46,84.7828
185,185,925000,-3669.4111328125,75.1406,4968.9,5257.71,78.999
186,186,930000,-3771.158203125,83.7147,4608.23,5331.6,83.7254
187,187,935000,-3726.46142578125,85.3944,4905.89,5177.47,83.6366
188,188,940000,-3907.477783203125,82.3612,5019.67,5452.9,83.5889
189,189,945000,-4087.639892578125,89.646,4684.01,4876.53,87.0609
190,190,950000,-4048.19580078125,82.5132,4359.87,5313.11,85.0881
191,191,955000,-3824.249267578125,72.2474,4468.72,5249.71,73.5238
192,192,960000,-3955.358642578125,73.7736,4486.15,5291.06,75.5041
193,193,965000,-4058.158935546875,79.2013,4761.51,5513.82,79.4361
194,194,970000,-4073.696044921875,79.8785,4142.69,5143.94,78.7698
195,195,975000,-4060.132568359375,77.6395,4937.45,5554.27,76.8693
196,196,980000,-4220.16455078125,73.8878,4794.59,5340.08,76.151
197,197,985000,-4338.65380859375,86.1356,4622.75,5178.32,79.9697
198,198,990000,-4497.71923828125,88.6058,4443.95,5265.67,85.5736
199,199,995000,-4106.02490234375,61.5581,4181.57,4492.24,72.4109
200,200,1000000,-4514.7138671875,89.5817,4928.3,5350.37,84.3864
201,201,1005000,-4510.82177734375,89.7266,4377.17,5336.25,85.3583
202,202,1010000,-4585.25244140625,79.7139,4671.36,5547.57,82.7623
203,203,1015000,-4617.341796875,87.7831,4887.87,5361.08,80.8017
204,204,1020000,-4683.935546875,81.9895,4444.99,5004.58,83.1617
205,205,1025000,-4786.7265625,90.7971,5046.01,5498.98,85.3579
206,206,1030000,-4848.400390625,87.0244,4461.44,5092.49,84.4095
207,207,1035000,-4920.6455078125,90.7508,4972.18,5364.13,85.8826
208,208,1040000,-4974.6494140625,85.4925,5013.25,5187.61,83.5142
209,209,1045000,-5056.5849609375,88.0225,5153.12,5523.62,83.9908
210,210,1050000,-4983.244140625,82.1011,4884.34,4913.22,77.577
211,211,1055000,-5192.431640625,91.0116,4946.45,5542.84,85.568
212,212,1060000,-5205.4052734375,89.4235,4980.26,5183.42,85.2938
213,213,1065000,-5133.1533203125,79.6346,4857.39,5443.32,76.3159
214,214,1070000,-5332.65576171875,88.331,5067.01,5380.94,87.4668
215,215,1075000,-5431.427734375,90.4011,4050.19,5545.46,86.0106
216,216,1080000,-5514.8291015625,94.5386,4685.44,5028.38,86.7183
217,217,1085000,-5598.7431640625,90.8537,4513.5,5585.8,84.9692
218,218,1090000,-5725.17041015625,91.2087,4827.95,5474.22,85.038
219,219,1095000,-5786.23828125,87.4978,4691.94,5283.61,85.7618
220,220,1100000,-5803.8017578125,90.236,5173.21,5402.3,82.2618
221,221,1105000,-5924.294921875,96.8274,5377.8,5319.9,88.6175
222,222,1110000,-5975.548828125,98.1753,4968.04,5100.05,88.2436
223,223,1115000,-5945.59375,91.7264,5331.12,5578.87,85.0018
224,224,1120000,-6065.9306640625,96.1281,5146.56,5060.58,87.581
225,225,1125000,-6073.673828125,91.6334,5252.77,5375.54,86.2406
226,226,1130000,-6159.181640625,100.2435,4893.24,5665.85,88.4166
227,227,1135000,-6245.564453125,93.9423,5143.2,5595.5,85.7044
228,228,1140000,-6351.54296875,93.4268,4971.72,5332.47,87.5148
229,229,1145000,-6291.59521484375,98.9979,4841.64,5457.47,88.4249
230,230,1150000,-6456.19482421875,100.7929,5225.35,5618.88,90.989
231,231,1155000,-6310.9658203125,86.8307,5113.91,5240.64,78.1516
232,232,1160000,-6491.33203125,93.3211,4921.94,5664.19,87.827
233,233,1165000,-6623.06591796875,101.6381,5266.62,5346.45,87.3228
234,234,1170000,-6367.3681640625,75.087,4969.21,5435.32,77.5421
235,235,1175000,-6779.4609375,98.197,5337.72,5519.91,90.1569
236,236,1180000,-6760.5478515625,96.7977,5198.22,5610.5,89.3916
237,237,1185000,-6909.07080078125,96.3189,5008.15,5654.47,87.9593
238,238,1190000,-6968.76025390625,93.1453,5244.19,4936.41,88.747
239,239,1195000,-7045.3525390625,94.2637,5422.19,5797.4,86.8518
240,240,1200000,-7173.0537109375,95.9376,5233.94,5604.12,88.1496
241,241,1205000,-7096.6142578125,89.2108,5095.95,5268.68,86.853
242,242,1210000,-7234.54443359375,97.3086,4948.27,5735.54,89.1269
243,243,1215000,-7237.56103515625,91.6145,5258.41,5806.49,87.7893
244,244,1220000,-7345.48095703125,95.5462,5361.96,5690.33,89.9942
245,245,1225000,-7502.6591796875,99.0243,5460.62,5343.99,89.5569
246,246,1230000,-7474.41796875,92.1794,4507.23,5130.01,89.1673
247,247,1235000,-7580.5576171875,90.525,5311.13,5659.24,88.8567
248,248,1240000,-7549.95458984375,87.8867,5011.86,5526.79,87.7973
249,249,1245000,-7714.70947265625,92.6879,5323.26,5785.2,86.8014
250,250,1250000,-7834.7451171875,93.6046,5402.37,5583.13,88.0472
251,251,1255000,-7842.2734375,90.6381,4918.72,5800.62,86.6226
252,252,1260000,-7957.82177734375,101.2899,5350.76,5611.43,90.5869
253,253,1265000,-7864.49267578125,87.3487,4773.22,5768.58,88.4505
254,254,1270000,-8004.56884765625,95.3657,5152.31,5874.02,90.0371
255,255,1275000,-8090.27001953125,94.0791,5520.14,5660.04,88.0342
256,256,1280000,-8191.779296875,94.5101,5200.66,5623.14,87.6048
257,257,1285000,-8304.228515625,95.5366,5546.87,5695.72,89.6836
258,258,1290000,-8220.9775390625,90.9406,5248.23,5890.94,86.6072
259,259,1295000,-8419.609375,94.7389,5400.68,5826.56,89.2294
260,260,1300000,-8391.921875,92.5766,4807.07,5803.9,87.57
261,261,1305000,-8322.57421875,89.2757,5342.94,5836.96,86.9132
262,262,1310000,-8593.7490234375,94.6066,5237.2,5635.59,88.3262
263,263,1315000,-8431.751953125,90.4344,5276.01,5589.68,88.5714
264,264,1320000,-8555.5029296875,86.2657,5150.24,5863.55,86.6053
265,265,1325000,-8642.2734375,91.3829,5463.91,5886.31,87.3319
266,266,1330000,-8664.935546875,89.4558,5316.78,5894.11,88.5533
267,267,1335000,-8278.2021484375,74.9431,5540.34,5694.81,76.8282
268,268,1340000,-8663.5986328125,89.3951,4794.84,5880.43,86.7837
269,269,1345000,-8743.185546875,87.6222,5569.77,5916.63,86.6929
270,270,1350000,-8455.953125,76.3011,5352.58,5760.45,78.264
271,271,1355000,-8854.978515625,84.4716,5329.16,5943.62,84.3002
272,272,1360000,-8846.3251953125,86.5928,5557.84,5736.42,86.3449
273,273,1365000,-9025.892578125,91.5377,5347.36,5899.91,87.787
274,274,1370000,-8869.162109375,87.9401,5316.55,5633.45,85.2458
275,275,1375000,-9162.8349609375,91.0955,5517.37,5922.58,86.2084
276,276,1380000,-9102.5615234375,85.445,5460.15,5866.07,85.2298
277,277,1385000,-9246.65234375,91.3216,4912.75,5546.68,86.1896
278,278,1390000,-9248.380859375,86.3009,5542.1,5781.04,85.8287
279,279,1395000,-8855.4453125,79.3968,5161.44,5579.49,77.719
280,280,1400000,-9233.994140625,86.5817,5139.12,5876.38,84.0869
281,281,1405000,-9409.6875,87.9155,5099.4,5686.19,86.3065
282,282,1410000,-8974.298828125,78.4962,5434.55,4793.19,77.61
283,283,1415000,-9461.5791015625,84.879,5127.41,5790.68,85.034
284,284,1420000,-9491.1357421875,84.6478,5369.04,5541.2,85.5485
285,285,1425000,-9587.4638671875,87.0859,5342.75,5896.47,86.375
286,286,1430000,-9598.6884765625,86.2696,5009.12,5898.29,82.2308
287,287,1435000,-9726.1923828125,85.7443,4933.37,5521.54,86.1966
288,288,1440000,-9797.1025390625,87.4214,4892.99,5728.65,86.9174
289,289,1445000,-9950.74609375,83.5869,4940.3,5760.75,84.7085
290,290,1450000,-9997.3212890625,86.6312,5342.96,5941.34,88.3335
291,291,1455000,-10070.0546875,83.021,5523.27,5987.81,85.2896
292,292,1460000,-10046.640625,86.4697,5309.05,5605.43,86.9656
293,293,1465000,-10187.7646484375,87.1853,5167.53,5317.5,87.2818
294,294,1470000,-10080.40234375,88.2742,5601.88,5965.35,85.3431
295,295,1475000,-10309.2255859375,88.1947,5136.22,5395.94,87.0739
296,296,1480000,-10270.005859375,87.999,4465.23,5834.23,86.984
297,297,1485000,-9616.9853515625,73.9367,4283.71,5852.2,75.745
298,298,1490000,-10408.71484375,87.3352,4533.65,5677.77,86.5985
299,299,1495000,-10467.70703125,86.1136,4942.67,5565.22,85.9645
300,300,1500000,-10707.6435546875,87.711,5023.51,5626.29,88.2868
301,301,1505000,-10641.9853515625,88.2889,4973.32,5923.24,85.6833
302,302,1510000,-10674.94140625,87.8468,4526.43,5491.88,85.762
