Running Reverse KL,Real Det Return,Running Env Steps,Real Sto Return,Itration,Running Update Time,Running Forward KL,Reward Loss
23.8244,4788.49,540000,4625.84,108,108,45.4462,-441.0943908691406
23.7223,4757.63,545000,4587.69,109,109,45.7445,-453.6277770996094
22.8661,4623.54,550000,4559.32,110,110,43.8604,-457.81622314453125
23.9612,4782.34,555000,4648.1,111,111,45.1828,-467.1434326171875
22.8764,4740.95,560000,4561.69,112,112,45.3248,-461.2972412109375
23.4779,4690.3,565000,4557.98,113,113,45.3282,-467.8362731933594
24.5086,4711.33,570000,4465.51,114,114,45.5069,-465.4502868652344
23.5717,4764.04,575000,4614.32,115,115,43.6133,-466.39154052734375
23.4343,4607.87,580000,4519.85,116,116,45.3173,-494.519287109375
24.3675,4750.78,585000,4600.11,117,117,46.0474,-500.92022705078125
23.4455,4704.32,590000,4612.09,118,118,45.6579,-492.71875
22.5637,4729.97,595000,4575.24,119,119,45.5477,-519.1860961914062
22.7416,4668.79,600000,4578.23,120,120,44.5519,-519.1024780273438
23.7029,4642.28,605000,4589.85,121,121,45.2154,-517.7535400390625
23.1676,4613.22,610000,4541.84,122,122,44.6069,-529.61376953125
22.8483,4593.94,615000,4522.87,123,123,44.922,-526.3663940429688
23.0229,4704.96,620000,4627.28,124,124,45.5435,-553.3464965820312
22.5495,4709.88,625000,4420.29,125,125,44.7863,-547.6256103515625
22.9855,4794.49,630000,4568.92,126,126,44.3952,-554.3186645507812
22.7766,4738.77,635000,4594.23,127,127,44.9001,-537.7030639648438
21.6727,4512.67,640000,4428.9,128,128,43.3308,-549.0906372070312
23.1439,4736.31,645000,4590.37,129,129,44.836,-560.6414184570312
22.5681,4686.27,650000,4545.71,130,130,44.4128,-567.6766357421875
23.6819,4643.5,655000,4607.59,131,131,45.8079,-580.3624877929688
22.5286,4663.61,660000,4574.68,132,132,43.4186,-566.5535888671875
22.6661,4809.65,665000,4617.9,133,133,42.9442,-568.7809448242188
23.706,4798.47,670000,4655.33,134,134,45.9126,-593.7095947265625
22.4297,4750.95,675000,4600.92,135,135,45.4558,-611.047119140625
23.1032,4592.93,680000,4570.56,136,136,45.076,-602.2115478515625
22.9428,4510.63,685000,4499.85,137,137,46.1195,-621.7783813476562
22.1938,4786.52,690000,4642.94,138,138,44.2326,-606.2376708984375
21.9068,4776.73,695000,4609.17,139,139,44.5268,-613.5218505859375
22.299,4675.5,700000,4629.3,140,140,45.1576,-649.5202026367188
23.9348,4825.99,705000,4686.38,141,141,45.7352,-640.1466674804688
23.0958,4706.86,710000,4602.92,142,142,44.7955,-650.5343017578125
23.0096,4783.8,715000,4675.89,143,143,45.1506,-645.8973999023438
21.8199,4659.24,720000,4551.81,144,144,44.3962,-650.7569580078125
22.2598,4530.54,725000,4541.2,145,145,44.9372,-663.2836303710938
22.0514,4752.72,730000,4396.09,146,146,44.7722,-661.236572265625
22.7501,4632.5,735000,4526.62,147,147,45.086,-683.1517333984375
23.0257,4839.83,740000,4643.8,148,148,45.3384,-688.2779541015625
23.0429,4841.26,745000,4654.37,149,149,45.5102,-664.6241455078125
23.0176,4832.67,750000,4638.14,150,150,44.46,-704.301025390625
22.3628,4885.25,755000,4699.78,151,151,43.6682,-681.8583374023438
21.2313,4831.6,760000,4583.67,152,152,43.3771,-677.7545776367188
22.6498,4811.75,765000,4625.42,153,153,44.7098,-720.9002075195312
22.7608,4765.04,770000,4617.47,154,154,44.6353,-720.58642578125
21.9889,4584.24,775000,4446.81,155,155,44.8143,-730.9640502929688
23.025,4845.15,780000,4688.99,156,156,45.5982,-740.2694091796875
21.5905,4816.18,785000,4631.36,157,157,44.9493,-731.9534912109375
21.4246,4628.67,790000,4587.59,158,158,44.6961,-757.2949829101562
23.0674,4821.84,795000,4635.02,159,159,46.1821,-777.6763916015625
21.6641,4790.22,800000,4685.5,160,160,44.5946,-762.4097290039062
22.7226,4841.84,805000,4701.76,161,161,45.1541,-771.504150390625
21.5718,4878.54,810000,4685.06,162,162,43.7056,-754.7472534179688
22.6346,4728.53,815000,4613.63,163,163,45.1828,-787.4395751953125
22.5876,4822.27,820000,4634.5,164,164,45.052,-769.3638305664062
21.9192,4843.68,825000,4644.57,165,165,44.6344,-800.3981323242188
21.9252,4849.33,830000,4711.69,166,166,43.8591,-806.18701171875
21.638,4443.36,835000,4546.1,167,167,45.1663,-818.9100952148438
21.6901,4780.98,840000,4659.65,168,168,44.5397,-812.64111328125
21.6726,4802.2,845000,4579.82,169,169,45.0356,-821.040771484375
22.5397,4867.76,850000,4668.08,170,170,45.5832,-834.6746215820312
22.0236,4849.82,855000,4646.65,171,171,44.8249,-837.2496948242188
21.8239,4873.21,860000,4728.53,172,172,44.9717,-842.1902465820312
21.6055,4767.98,865000,4583.44,173,173,44.8142,-846.6686401367188
21.5819,4774.81,870000,4619.44,174,174,43.502,-836.95703125
21.2545,4834.33,875000,4661.87,175,175,44.3016,-869.8157958984375
21.1465,4802.26,880000,4417.28,176,176,44.2689,-881.4987182617188
21.6471,4869.43,885000,4748.07,177,177,44.8604,-876.8760986328125
22.6134,4853.22,890000,4702.29,178,178,44.9649,-922.5304565429688
20.945,4875.55,895000,4616.37,179,179,44.8857,-886.7725219726562
21.7416,4906.35,900000,4744.58,180,180,44.3537,-906.90869140625
20.6052,4918.28,905000,4728.23,181,181,43.2792,-882.3515014648438
21.5241,4765.69,910000,4602.26,182,182,44.5154,-933.9379272460938
21.7534,4872.02,915000,4733.25,183,183,44.6127,-953.408935546875
21.2682,4855.98,920000,4719.46,184,184,44.2108,-943.6920776367188
20.6751,4657.46,925000,4569.41,185,185,43.7353,-923.5886840820312
22.2713,4813.15,930000,4655.79,186,186,45.112,-965.2531127929688
21.3835,4851.93,935000,4649.21,187,187,44.1783,-960.0015869140625
21.4334,4937.73,940000,4610.01,188,188,44.0545,-941.572265625
21.6266,4917.76,945000,4746.98,189,189,44.0537,-974.9199829101562
21.364,4761.04,950000,4459.98,190,190,44.6066,-1005.6135864257812
21.4929,4873.71,955000,4682.3,191,191,44.4579,-991.6100463867188
20.8127,4683.1,960000,4620.61,192,192,43.72,-993.2938842773438
21.3329,4481.01,965000,3793.42,193,193,44.0451,-1022.4617919921875
20.946,4901.46,970000,4708.93,194,194,44.4616,-1039.433349609375
21.0956,4843.59,975000,4651.75,195,195,43.3044,-1016.4818725585938
20.3785,4789.45,980000,4631.45,196,196,43.0592,-1030.0155029296875
21.0389,4849.81,985000,4718.9,197,197,44.4256,-1047.2386474609375
