Real Det Return,Running Forward KL,Running Env Steps,Reward Loss,Real Sto Return,Running Update Time,Running Reverse KL,Itration
2125.82,23.6033,405000,-1535.4178466796875,2600.36,81,15.361,81
2508.31,24.2269,410000,-863.71240234375,2492.4,82,13.7265,82
2964.5,23.7212,415000,-946.2240600585938,2330.67,83,14.9579,83
1308.69,23.8276,420000,-1269.2705078125,1726.06,84,13.3307,84
946.95,24.0624,425000,-2427.466064453125,1120.62,85,24.4665,85
885.41,24.9427,430000,-3222.8798828125,905.25,86,26.1731,86
1575.2,24.4022,435000,-2772.713134765625,1003.89,87,21.4173,87
947.1,25.0788,440000,-2743.233642578125,1034.12,88,20.7235,88
911.92,24.8871,445000,-2992.051025390625,1013.91,89,29.8236,89
933.92,23.9924,450000,-2673.81103515625,1354.76,90,20.0995,90
959.41,24.5522,455000,-2506.14990234375,1325.6,91,19.3118,91
3226.2,23.2574,460000,-1333.1158447265625,2355.48,92,15.4201,92
1539.47,25.2661,465000,-2716.12109375,1167.14,93,17.2576,93
2935.65,24.6477,470000,-2071.964111328125,1906.28,94,17.649,94
3221.02,24.3457,475000,-1993.3177490234375,1942.86,95,14.0011,95
1143.17,24.2894,480000,-3082.889404296875,1202.67,96,33.9745,96
3107.27,23.0666,485000,-820.3563842773438,2948.62,97,13.3699,97
3215.07,23.3462,490000,-1074.1202392578125,2634.32,98,14.294,98
3172.11,23.6997,495000,-1882.1978759765625,1713.23,99,15.4322,99
3231.11,21.8675,500000,-934.1488647460938,2308.92,100,16.9613,100
3248.53,22.9052,505000,-2035.191162109375,2117.02,101,18.8018,101
3228.94,22.9201,510000,-1877.8115234375,1625.03,102,16.4324,102
3234.82,22.4736,515000,-1000.0015869140625,2850.16,103,15.229,103
3237.94,22.5739,520000,-1673.5579833984375,2314.25,104,15.0785,104
3256.23,21.2326,525000,-1051.3140869140625,2593.63,105,15.9166,105
3255.99,22.8395,530000,-1925.49951171875,2383.99,106,20.3014,106
3291.78,22.0128,535000,-880.8766479492188,2723.11,107,17.0145,107
2286.04,22.7452,540000,-2239.6064453125,1599.54,108,17.5774,108
3313.33,21.7344,545000,-630.109130859375,2542.3,109,13.9276,109
3218.93,22.8646,550000,-1390.640625,2583.64,110,15.4227,110
3207.08,22.2822,555000,-669.5465087890625,3208.33,111,14.0874,111
3276.97,21.8068,560000,-608.1220092773438,3279.91,112,13.4375,112
3246.68,21.7939,565000,-608.9251098632812,3266.09,113,13.005,113
3255.88,22.0126,570000,-621.629638671875,3259.78,114,13.6864,114
3372.3,22.3446,575000,-1294.1361083984375,2237.37,115,14.6023,115
3317.08,21.9945,580000,-862.7223510742188,3102.59,116,15.4337,116
3298.35,22.2099,585000,-695.7853393554688,3084.67,117,13.6153,117
3269.56,21.8089,590000,-661.6929321289062,3170.14,118,13.9387,118
3315.59,22.228,595000,-665.4027709960938,3298.18,119,14.0243,119
3245.69,22.4288,600000,-745.9639892578125,3260.86,120,14.222,120
3262.3,22.616,605000,-745.5624389648438,3165.02,121,14.4559,121
3289.64,21.66,610000,-694.9449462890625,3313.51,122,13.7707,122
3281.48,21.7458,615000,-693.838623046875,3260.4,123,13.1645,123
3325.69,21.7118,620000,-911.5873413085938,3296.17,124,14.4883,124
3303.59,21.8361,625000,-760.3261108398438,3253.53,125,13.4553,125
3278.64,22.0895,630000,-801.7634887695312,3277.96,126,14.0783,126
3326.4,21.6779,635000,-771.7622680664062,3269.16,127,12.9446,127
3326.37,22.2534,640000,-812.8612670898438,3348.64,128,13.5247,128
3375.06,21.9152,645000,-763.251220703125,3379.13,129,14.6429,129
3341.66,22.3769,650000,-736.4899291992188,3347.58,130,13.6544,130
3403.29,22.2725,655000,-832.10009765625,3299.21,131,14.641,131
3339.88,22.4369,660000,-826.646484375,3274.52,132,14.2432,132
3389.4,22.8389,665000,-699.6936645507812,3384.3,133,14.9675,133
3472.79,22.3602,670000,-592.641845703125,3440.61,134,15.3051,134
3408.12,22.3617,675000,-707.8253173828125,3404.56,135,14.801,135
3400.57,22.8432,680000,-759.2435302734375,3416.93,136,15.12,136
3424.86,22.3372,685000,-716.3885498046875,3441.22,137,14.5056,137
3435.37,22.1123,690000,-717.8397827148438,3441.1,138,14.2397,138
3415.17,22.0209,695000,-640.5210571289062,3407.0,139,14.2666,139
3448.78,22.377,700000,-969.3333740234375,3441.3,140,14.2439,140
3392.6,23.0053,705000,-909.31591796875,3402.55,141,15.6894,141
3390.27,22.3682,710000,-793.261474609375,3377.4,142,14.8676,142
3425.31,21.478,715000,-1044.8375244140625,3067.19,143,13.5506,143
3470.86,23.0147,720000,-889.933837890625,3429.87,144,15.5878,144
3461.56,21.5987,725000,-750.3714599609375,3318.87,145,14.2272,145
3448.2,21.6315,730000,-835.9622802734375,3071.05,146,13.7248,146
3437.44,21.7026,735000,-780.1890258789062,3419.56,147,14.09,147
3432.02,22.8015,740000,-928.504150390625,3446.96,148,15.1231,148
3494.16,21.5512,745000,-741.7279663085938,3252.56,149,14.3827,149
3469.22,21.431,750000,-1445.49658203125,2616.68,150,14.9854,150
3498.44,21.8672,755000,-742.9506225585938,3483.75,151,14.1094,151
3438.35,21.5087,760000,-892.9671020507812,3099.41,152,14.5614,152
3440.75,21.287,765000,-885.608642578125,3340.28,153,13.2151,153
3413.33,21.7172,770000,-1104.1712646484375,3355.72,154,13.8594,154
3479.25,20.7531,775000,-1138.963623046875,3210.17,155,19.6492,155
3503.29,21.4674,780000,-1085.1087646484375,2531.57,156,13.4029,156
3387.38,21.5866,785000,-918.7225952148438,3306.8,157,14.1589,157
3489.05,21.546,790000,-858.2232666015625,3236.26,158,14.0266,158
3460.95,20.4753,795000,-1168.38818359375,3252.95,159,13.0986,159
3454.72,22.5317,800000,-1032.044677734375,3387.59,160,15.279,160
3447.75,22.1699,805000,-871.2767333984375,3464.16,161,15.1832,161
3483.86,21.8799,810000,-919.5817260742188,3484.67,162,14.6538,162
3418.55,22.007,815000,-980.7535400390625,3454.17,163,15.306,163
3466.54,22.2476,820000,-1048.84619140625,3479.2,164,15.1084,164
3471.98,22.4643,825000,-1050.8551025390625,3446.47,165,15.1559,165
3465.64,21.4206,830000,-1174.509521484375,3452.06,166,15.3848,166
3484.63,22.1735,835000,-1042.2958984375,3356.27,167,14.7821,167
3531.42,20.5994,840000,-1057.51611328125,3415.56,168,14.8001,168
3570.01,20.8395,845000,-1340.592529296875,3174.25,169,17.1453,169
3411.96,21.2743,850000,-1286.9791259765625,3430.8,170,15.232,170
3510.8,21.9221,855000,-907.7216186523438,3375.44,171,14.3253,171
3550.97,20.8575,860000,-2035.9722900390625,2550.94,172,17.4975,172
3505.04,21.6549,865000,-1398.8447265625,3310.73,173,16.7335,173
3525.96,21.7193,870000,-1330.237548828125,2989.72,174,15.0927,174
3542.7,21.3684,875000,-1792.4422607421875,3038.28,175,15.2614,175
3529.81,22.0301,880000,-1445.752197265625,3394.76,176,15.7262,176
3542.18,21.0231,885000,-1459.0518798828125,2826.79,177,13.2305,177
3547.6,21.9743,890000,-1132.510009765625,2972.03,178,14.4153,178
3548.84,21.2713,895000,-1242.4580078125,3099.63,179,14.8621,179
3557.96,20.352,900000,-1358.9288330078125,3487.69,180,14.0986,180
3520.05,21.7305,905000,-1437.3470458984375,3037.29,181,16.0282,181
3534.63,22.4947,910000,-1157.714599609375,3547.75,182,15.5109,182
3550.6,22.1273,915000,-1084.9290771484375,3514.32,183,14.9564,183
3528.19,21.1279,920000,-1348.9761962890625,3138.99,184,14.1927,184
3521.29,21.6096,925000,-952.4178466796875,3472.47,185,14.2793,185
3584.85,21.8509,930000,-1020.5960083007812,3318.31,186,15.1657,186
3549.06,20.976,935000,-1212.2882080078125,3391.24,187,14.0367,187
3486.04,22.0796,940000,-1162.404052734375,3497.79,188,15.3357,188
3529.43,21.2749,945000,-1029.9141845703125,3482.77,189,14.3757,189
3519.1,20.7645,950000,-834.3643798828125,3270.41,190,17.4375,190
3493.21,21.4777,955000,-1083.244140625,3390.67,191,14.4894,191
3552.32,21.0001,960000,-947.1868896484375,3507.78,192,14.0395,192
3503.97,20.8269,965000,-1020.22314453125,3475.13,193,14.029,193
3530.74,21.5673,970000,-1075.6619873046875,3257.4,194,14.9441,194
3572.97,21.1799,975000,-1121.7852783203125,3527.37,195,14.646,195
3490.16,21.7938,980000,-1253.0106201171875,3499.13,196,15.1327,196
3464.15,22.164,985000,-1306.4384765625,3473.59,197,15.3291,197
3541.23,21.458,990000,-1108.1416015625,3485.14,198,14.3437,198
3517.82,21.717,995000,-1248.35546875,3512.92,199,14.6216,199
