Itration,Running Reverse KL,Running Forward KL,Real Det Return,Real Sto Return
62,19.4307,50.3603,1825.51,1199.25
63,18.7049,48.5768,1627.45,1083.27
64,19.6787,51.3616,1115.69,807.98
65,19.8244,48.8475,1993.77,1616.45
66,18.5926,46.5189,2992.44,2252.98
67,19.2458,47.1411,2807.5,2011.87
68,22.3316,47.5623,2868.39,1852.98
69,23.4932,50.7574,2412.12,2365.3
70,18.7612,49.4812,1621.22,1286.95
71,20.2804,52.3115,1933.52,724.88
72,19.7378,48.8396,3137.87,1501.44
73,21.8878,49.9023,3081.05,1602.91
74,19.973,49.1033,3446.89,2128.38
75,21.8453,51.5559,1603.55,1549.92
76,21.2959,50.1745,2240.75,1170.83
77,22.1253,51.7818,3499.77,1731.13
78,21.0404,54.1345,2412.91,1442.86
79,22.5519,51.0555,3412.76,2424.26
80,25.1563,53.0521,3831.38,3019.04
81,28.7428,51.1032,4454.91,3459.15
82,27.627,53.9043,3653.05,2886.97
83,26.8682,51.5586,3472.38,3147.2
84,24.5229,52.7393,2913.75,2998.33
85,22.9029,53.0615,3178.97,1971.84
86,22.0533,52.9477,3538.7,2567.55
87,27.9532,55.0031,3863.11,2808.77
88,25.2668,53.5896,3424.09,1725.77
89,22.4637,54.126,2480.88,2483.7
90,29.1872,55.2426,3166.69,3206.5
91,26.5076,53.2308,3370.03,3042.57
92,28.9874,56.2924,3087.73,1984.88
93,32.4114,56.9863,3320.98,3325.98
94,29.1862,55.4431,4383.24,3549.96
95,31.1705,56.4317,4362.84,3397.38
96,32.7661,56.6881,4441.26,3677.69
97,32.7261,56.6794,3498.76,2575.18
98,37.0363,58.7966,3656.53,2465.3
99,34.3748,58.6417,4483.86,3538.78
100,35.2079,58.2889,4639.97,4072.79
101,41.9463,60.6484,4431.35,3455.61
102,35.5525,59.3233,3303.71,2936.61
103,39.8639,60.4612,5102.97,4136.49
104,48.8522,66.3685,4811.95,4513.21
105,35.9682,60.5666,3067.63,2990.44
106,52.385,67.4003,4960.72,3363.18
107,42.5444,62.629,4470.86,4326.99
108,49.4726,65.6839,4417.76,3676.34
109,45.8213,63.9174,5201.2,4127.05
110,43.2351,62.2462,4717.9,3853.54
111,49.3916,67.5302,5057.97,4288.09
112,34.0723,60.3408,3010.42,2763.15
113,34.3654,61.6026,2616.78,3359.74
114,50.3804,66.4292,5094.75,3468.48
115,50.2281,66.0524,5281.32,4487.59
116,38.528,61.6034,4633.72,4111.85
117,45.4864,62.2673,3442.88,2830.28
118,54.2128,68.2621,5398.65,4592.77
119,51.6403,67.6572,4505.55,4249.41
120,48.5412,64.6137,4615.15,3760.35
121,50.4782,64.4773,4914.96,4061.03
122,52.7763,67.0223,5092.94,4505.34
123,57.2374,69.6709,4487.52,4609.87
124,52.6984,65.7576,4926.85,4515.7
125,55.9141,70.2336,4380.67,3492.77
126,55.7995,67.6892,4453.93,3934.7
127,53.2083,65.6066,4953.23,3525.48
128,59.3858,68.6826,5302.77,4475.49
129,59.5094,70.4536,4993.07,4711.74
130,48.7759,65.8349,4496.61,3402.41
131,52.5093,66.3239,5063.72,4654.6
132,52.5234,65.257,5232.56,4678.36
133,63.7819,73.5896,5488.28,4327.62
134,48.2016,64.55,4197.44,3988.36
135,49.5824,64.248,4530.03,3747.66
136,59.2543,70.1773,5226.89,4737.39
137,61.7438,69.4875,4913.22,4670.48
138,54.1663,68.9,5239.4,3822.0
139,52.916,65.5466,5311.44,4015.22
140,59.8067,71.5531,4552.98,4369.46
141,59.291,68.7504,5034.18,3914.3
142,62.9314,73.2012,4584.31,3687.37
143,60.3727,68.9227,5198.07,4098.24
144,56.6249,69.3032,4913.26,4395.3
145,67.7372,74.1064,5502.02,4619.46
146,57.4275,68.2849,5045.15,4677.31
147,64.524,72.8172,5044.02,4263.22
148,65.9225,73.0249,4849.76,4736.46
149,66.6316,72.5786,5515.12,5021.04
150,56.4387,67.4699,5361.54,4038.72
151,49.1486,65.3612,4065.82,4298.08
152,59.1344,68.5264,4753.97,4409.11
153,57.8384,68.2142,5222.1,5008.95
154,62.293,71.7777,5068.07,4366.56
155,59.5918,71.1268,4918.63,4536.2
156,70.2181,77.1389,5646.17,5274.08
157,69.0421,76.1241,5369.68,4817.72
158,50.0871,65.2659,5574.0,5237.84
159,52.7822,65.2456,4930.31,5249.98
160,70.9809,75.8262,5604.77,5143.3
161,56.6483,69.2114,5415.66,5051.14
162,58.738,67.8866,5348.16,4297.34
163,58.8674,69.0923,5581.12,4981.31
164,60.4857,72.7698,5643.21,5277.37
165,62.113,68.9043,5579.15,4950.04
166,63.9308,75.6168,5256.26,4739.78
167,63.6782,75.4762,5416.12,5179.64
168,63.7401,74.609,5620.46,4958.7
169,61.4103,74.1862,5065.99,4957.17
170,59.3229,69.3707,5142.55,4873.28
171,75.9281,80.164,5522.23,5169.4
172,54.0123,67.5107,5103.95,4761.34
173,63.4069,74.4405,4912.46,5034.27
174,68.845,76.1929,5557.01,5248.53
175,70.2528,76.0697,5444.45,4905.97
176,66.7839,74.7956,5616.68,4843.94
177,67.5747,76.8848,5391.31,4789.23
178,67.5746,77.0789,5158.26,4831.01
179,63.3098,72.4841,5756.78,4988.94
180,66.8275,78.468,5532.66,5330.86
181,67.0381,76.778,5358.8,4828.87
182,66.2132,75.9799,5528.55,5159.83
183,67.414,77.3033,5752.14,5270.27
184,70.3666,77.4177,5626.25,5154.18
185,65.2072,71.5703,5451.98,5068.31
186,64.4569,70.3629,5510.72,3761.34
187,63.8008,70.3856,5493.91,5185.96
188,61.7625,70.0289,5692.01,4689.82
189,69.5774,77.5877,5164.83,4877.53
190,70.3092,77.0251,5840.18,5361.97
191,67.3709,75.3136,5739.88,5216.74
192,79.0508,78.0038,5642.8,5335.89
193,70.9609,77.2186,5387.93,5345.14
194,66.3033,73.3123,5171.62,5164.61
195,71.9993,80.6564,5414.89,5334.2
196,71.6186,78.9003,5163.38,5070.5
197,73.2778,77.9872,5367.49,4953.56
198,68.7455,76.6247,5775.49,5256.96
199,67.2536,72.9863,5187.0,4700.26
200,71.5928,80.0063,5735.13,5332.18
201,74.3226,80.6018,5508.2,5184.25
202,68.2158,72.5726,5599.02,4638.52
203,70.0745,78.5691,5469.31,4342.33
204,72.0475,80.484,5872.16,5591.0
205,75.3503,80.7633,5575.82,5292.31
206,69.7694,74.6516,5616.93,5511.78
207,74.6528,78.317,5823.44,5022.29
208,75.8599,78.7295,5744.33,5244.07
209,64.8935,71.6026,5546.59,5164.44
210,76.455,80.4132,4780.16,5284.58
211,74.3161,79.9079,5771.9,5207.07
212,77.7585,80.6994,5638.7,5218.66
213,75.6809,80.4645,5534.06,4916.86
214,74.532,78.4687,5667.38,5145.08
215,74.2589,79.8855,5819.0,5563.72
216,66.0506,73.1148,5473.41,5358.55
217,75.2444,80.1754,5601.55,5605.05
218,70.4638,72.7898,5588.43,4762.59
219,75.4015,79.6126,5644.83,5369.55
220,72.7609,79.6359,5275.1,5272.75
221,74.8069,80.9609,5766.62,5533.32
222,73.1656,79.333,5812.23,5200.11
223,76.7456,79.7513,5320.47,5288.94
224,73.9651,80.7639,5577.8,5715.42
225,79.1264,82.2405,5560.89,5043.92
226,73.2417,79.4987,5456.7,5126.38
227,74.9986,79.6205,5675.16,5338.14
228,75.1433,81.4028,5836.34,5307.74
229,74.2926,80.5807,5711.89,5567.74
230,71.7541,77.1428,5825.01,4888.76
231,72.6012,80.767,5833.59,5684.21
232,73.229,80.3901,5897.17,5375.52
233,77.4086,79.5104,5918.35,5659.41
234,75.5585,81.2825,5882.85,5382.97
235,71.7849,79.8984,5919.71,5646.03
236,80.5544,81.9477,5861.9,5585.36
237,75.6559,79.8155,5833.68,5705.42
238,70.1268,79.4175,5032.48,5648.79
239,71.5046,80.0868,5973.75,5246.47
240,75.5669,80.539,5658.8,5025.95
241,73.8163,80.8644,5439.12,5419.17
242,73.5704,79.9896,6029.01,5379.41
243,74.7171,80.1741,5554.06,5244.25
244,76.782,79.2255,5577.2,5740.69
245,76.2044,81.7772,5943.84,5609.9
246,66.5256,71.3953,5966.62,5734.52
247,76.4426,78.7871,5937.7,5468.56
248,75.6371,81.1117,5680.53,5721.88
249,77.0438,80.5354,5654.4,5685.95
250,75.6445,80.0452,5774.42,5724.69
251,75.6782,79.6644,5792.52,5565.3
252,73.4577,79.8294,5476.83,5736.09
253,77.1299,82.6106,6003.57,5706.3
254,71.8013,75.9448,5989.37,5719.35
255,74.4155,78.7728,5468.89,5371.17
256,71.2284,78.2062,6056.78,5775.21
257,73.4601,80.7725,5973.32,5615.25
258,73.9206,79.4014,5775.84,5474.54
259,72.0939,79.9053,5847.34,5648.36
260,74.6066,80.1404,6011.97,5001.53
261,73.1457,76.4388,5439.51,5332.66
262,67.7671,71.4061,5955.1,5800.1
263,71.6528,80.551,5600.1,5371.15
264,71.8722,80.0606,5593.59,5344.06
265,67.6136,72.0022,5862.08,5045.08
266,73.0318,81.1064,5763.42,4807.93
267,62.6069,69.7003,5690.09,5814.75
268,72.4498,81.3379,5813.58,5504.6
269,74.3086,80.1374,6054.12,5715.52
270,72.0272,79.449,5664.15,4964.9
271,72.3211,80.4283,6033.62,5314.77
272,72.8861,79.3308,6026.05,5493.86
273,72.2754,79.7795,5898.21,5336.39
274,67.708,74.3611,5955.47,5716.19
275,71.9682,79.0963,6033.78,4926.16
276,64.4208,72.2861,5763.81,5685.42
277,71.5688,78.2223,5978.16,5781.66
278,71.0602,79.6788,5704.83,5093.34
279,69.7508,78.3839,6006.53,5749.15
280,70.2229,78.1314,5989.94,5583.69
281,70.5769,75.8853,6063.17,5406.96
282,76.4206,81.5693,5994.18,5667.79
283,72.7958,79.5858,5743.94,5621.9
284,72.0926,79.0871,5941.28,5558.65
285,68.3447,73.7277,5755.58,5636.29
286,72.2426,78.8264,5834.76,5574.25
287,68.4363,78.6064,5915.2,5722.69
288,71.0947,78.0645,5540.03,5560.62
289,66.5675,75.8613,6102.12,5458.69
290,71.1956,79.0128,5686.47,5473.67
291,71.3764,78.6923,5722.51,5340.25
292,73.2302,79.4949,5777.5,5225.86
293,70.3391,79.0449,6065.3,5626.15
294,70.2588,79.1168,6080.21,5217.37
295,68.4927,79.4958,5729.72,5450.02
296,69.8596,77.4258,5916.19,5268.27
297,70.0879,77.7156,6109.04,5266.82
298,59.8383,68.7129,5380.06,5169.3
299,69.1855,77.4425,5879.78,5159.88
300,68.2951,78.0869,5989.06,5555.71
301,69.1148,76.2229,6073.8,5224.37
302,67.9064,78.2202,5457.76,5408.25
303,66.7316,76.9513,6063.69,5703.17
304,59.0751,70.1553,6043.33,5364.95
305,62.258,71.1459,6004.83,5043.62
306,67.2732,78.5206,6178.19,5633.77
307,65.8238,74.8198,6022.68,5358.59
308,66.3085,77.3446,6129.55,5552.52
309,65.3627,76.5555,6036.06,5642.45
310,66.6108,74.1225,6183.84,5804.33
311,56.7938,69.4098,6005.79,4992.01
312,67.7234,77.3499,6158.7,5728.73
313,68.3962,78.0543,6178.44,5656.65
314,62.1977,70.759,5926.86,4784.07
315,67.6953,76.5398,6096.09,5822.25
316,66.8808,77.0913,6052.07,4849.19
317,58.3116,69.9506,5916.45,5144.35
318,62.955,73.9108,5557.56,5345.39
319,66.9875,77.0073,5922.4,5794.93
320,67.72,76.604,5969.75,5463.97
321,65.0477,72.8288,6086.97,5566.45
322,66.6082,77.2922,5660.73,5805.71
323,65.3904,75.8981,6001.93,4237.34
324,63.8207,72.8932,6106.27,5414.75
325,56.4651,68.5076,6194.73,5349.44
326,67.082,77.0298,6179.52,5562.08
327,65.8291,77.9145,6152.3,4751.84
328,59.7232,70.7797,5298.14,5226.83
329,70.6356,77.6691,6253.92,5484.72
330,60.4621,71.7099,5845.69,5228.47
331,62.6073,71.3159,5606.0,5258.96
