Running Forward KL,Itration,Reward Loss,Running Update Time,Running Reverse KL,Running Env Steps,Real Det Return,Real Sto Return
39.3542,31,-1014.3074340820312,31,44.5826,155000,999.16,998.63
28.5907,32,-860.8242797851562,32,22.1852,160000,709.99,668.87
32.3987,33,-1004.4614868164062,33,29.3594,165000,1099.62,973.65
38.3337,34,-1193.1397705078125,34,51.697,170000,984.97,984.86
30.2003,35,-762.23193359375,35,18.1703,175000,1576.81,1096.3
26.5259,36,-533.4999389648438,36,14.9178,180000,864.98,845.18
28.6568,37,-725.4352416992188,37,43.1774,185000,542.46,451.14
29.7826,38,-915.9942626953125,38,67.2531,190000,304.48,340.17
32.7702,39,-1319.652587890625,39,34.9481,195000,1002.72,994.5
33.3965,40,-1396.4989013671875,40,25.0658,200000,1014.78,1044.28
27.9643,41,-1153.672119140625,41,32.9955,205000,414.45,466.08
35.9349,42,-1515.4815673828125,42,22.7048,210000,1004.51,1003.77
35.24,43,-1551.0606689453125,43,23.9605,215000,994.83,992.31
34.9164,44,-1569.4984130859375,44,22.451,220000,1012.16,1015.24
32.7571,45,-1620.1123046875,45,24.0348,225000,1019.74,809.58
31.0754,46,-1148.3795166015625,46,20.866,230000,315.34,592.44
30.6868,47,-1602.31298828125,47,31.6747,235000,676.27,601.9
32.0248,48,-1863.413818359375,48,38.5099,240000,392.95,383.8
30.4722,49,-1730.959716796875,49,31.4709,245000,255.37,243.5
28.5225,50,-524.51123046875,50,17.8765,250000,1831.86,1382.04
28.1295,51,-1247.977783203125,51,57.1183,255000,310.34,310.16
32.0948,52,-1337.738525390625,52,108.6232,260000,129.71,128.02
28.3106,53,-1424.7828369140625,53,64.788,265000,335.79,329.39
38.0166,54,-2153.585693359375,54,31.298,270000,1024.29,1031.3
33.0525,55,-2058.3125,55,31.8196,275000,655.05,651.6
36.2921,56,-2264.52392578125,56,33.8591,280000,1030.41,1029.82
37.9272,57,-2339.667236328125,57,42.3753,285000,985.42,983.74
36.6181,58,-2174.396484375,58,28.9741,290000,1010.03,1009.31
32.0843,59,-2013.6939697265625,59,128.1121,295000,143.39,161.9
36.8679,60,-2486.2861328125,60,28.7326,300000,1032.55,999.62
37.4289,61,-2553.01025390625,61,29.0304,305000,1030.98,1030.2
35.8005,62,-2563.5419921875,62,27.2891,310000,1028.09,1028.69
34.8412,63,-2590.26904296875,63,23.9027,315000,909.01,874.29
34.475,64,-2702.07177734375,64,29.6197,320000,1009.52,1006.66
29.9408,65,-2551.751708984375,65,22.4881,325000,427.79,624.46
33.868,66,-2780.95703125,66,22.2683,330000,1028.2,1032.71
37.0952,67,-2795.178466796875,67,24.4813,335000,1058.24,1059.01
37.7882,68,-2872.168701171875,68,32.2025,340000,1043.13,1044.0
37.7138,69,-2974.361328125,69,40.4586,345000,1047.48,1027.44
33.665,70,-2735.916015625,70,24.4256,350000,1011.11,627.55
38.8653,71,-3150.894287109375,71,40.6464,355000,1003.53,998.8
38.9659,72,-3194.230224609375,72,38.9265,360000,988.15,989.63
31.8965,73,-2437.546630859375,73,29.6919,365000,15.86,15.96
34.5189,74,-2945.14501953125,74,25.7414,370000,1054.54,910.16
35.1639,75,-3076.0595703125,75,29.4528,375000,390.62,395.14
36.6719,76,-3371.423828125,76,34.3051,380000,1060.11,1060.6
32.0346,77,-3182.422607421875,77,34.3016,385000,483.5,478.45
34.2086,78,-3257.61474609375,78,32.7592,390000,125.41,127.24
38.4859,79,-3622.471923828125,79,45.984,395000,220.26,218.0
35.8932,80,-3655.353271484375,80,35.4584,400000,104.78,247.51
33.7722,81,-3270.148681640625,81,20.4264,405000,343.3,361.64
31.4965,82,-2667.67529296875,82,19.1325,410000,289.13,296.32
37.2858,83,-3893.878662109375,83,36.7025,415000,1020.79,806.06
38.0698,84,-3976.357177734375,84,38.3983,420000,1021.02,1021.13
38.3035,85,-4021.818359375,85,40.6401,425000,1023.63,1024.14
33.7354,86,-3803.110107421875,86,33.7041,430000,787.01,737.35
36.7974,87,-4076.1025390625,87,39.9331,435000,1011.81,1011.71
39.2027,88,-4163.47314453125,88,48.099,440000,993.83,993.38
34.772,89,-4208.23583984375,89,38.1715,445000,24.9,25.65
33.9991,90,-4193.3623046875,90,28.1745,450000,20.01,20.27
33.4516,91,-3779.97119140625,91,27.0678,455000,64.67,60.93
37.6086,92,-4406.625,92,33.6095,460000,1032.94,1033.22
38.3653,93,-4452.5283203125,93,55.6653,465000,980.16,979.9
33.7118,94,-4286.25244140625,94,24.7277,470000,1025.35,1031.79
28.5145,95,-2875.878173828125,95,48.9957,475000,202.8,258.08
33.7655,96,-4096.041015625,96,24.355,480000,75.8,70.78
39.3266,97,-4872.68408203125,97,59.0774,485000,990.44,990.5
37.238,98,-4839.986328125,98,49.9661,490000,993.9,993.71
35.7283,99,-4720.67333984375,99,38.524,495000,992.28,991.09
35.4709,100,-4317.6826171875,100,44.3623,500000,17.59,17.43
32.4552,101,-3732.537841796875,101,33.3797,505000,88.75,88.44
37.7522,102,-5141.9140625,102,48.5661,510000,1015.37,1015.6
37.0651,103,-5209.25341796875,103,52.6536,515000,989.45,987.01
37.5359,104,-5005.6953125,104,36.539,520000,278.38,279.85
38.5268,105,-5275.84814453125,105,47.2673,525000,110.14,105.53
37.1336,106,-5321.23876953125,106,36.3559,530000,1014.18,1013.75
36.3347,107,-5357.3798828125,107,42.1541,535000,1012.19,1010.94
34.7108,108,-5474.4482421875,108,40.6399,540000,1012.73,1012.48
36.4856,109,-5434.302734375,109,33.2833,545000,1012.48,1012.08
37.6359,110,-5640.3115234375,110,52.6359,550000,1013.31,1013.52
35.7132,111,-5184.3662109375,111,21.569,555000,307.89,306.89
35.3786,112,-5289.38671875,112,32.7977,560000,719.38,696.77
34.9468,113,-5271.830078125,113,29.9631,565000,849.24,830.24
37.0583,114,-5850.5556640625,114,37.3161,570000,1006.28,999.47
34.5941,115,-5818.08935546875,115,36.4912,575000,1027.46,922.84
36.9422,116,-5961.2451171875,116,37.6609,580000,1004.5,1004.15
35.5934,117,-5929.404296875,117,27.6211,585000,1004.73,1015.38
35.5473,118,-6034.29736328125,118,33.9906,590000,1050.71,1050.89
36.3545,119,-6121.083984375,119,24.7605,595000,1037.46,1038.11
36.2486,120,-6126.0830078125,120,27.5776,600000,1038.85,1039.64
39.1289,121,-6269.41552734375,121,38.963,605000,981.36,979.72
40.6332,122,-6388.64990234375,122,42.9447,610000,980.51,981.08
39.5165,123,-6471.390625,123,39.5592,615000,981.09,981.43
39.182,124,-6430.18505859375,124,33.0595,620000,973.34,973.37
39.2953,125,-6582.43701171875,125,36.6614,625000,980.53,981.88
37.9786,126,-6538.5341796875,126,30.4527,630000,981.37,981.36
34.1488,127,-5599.13818359375,127,21.2771,635000,1037.16,991.26
35.6402,128,-6378.30908203125,128,28.9819,640000,505.84,356.09
39.092,129,-6951.013671875,129,56.5314,645000,972.54,972.33
33.2127,130,-6256.72021484375,130,45.0305,650000,320.61,307.93
40.1982,131,-7041.7265625,131,57.4195,655000,1000.21,999.5
39.8526,132,-7113.255859375,132,36.554,660000,1005.41,1005.33
37.9199,133,-7226.0751953125,133,33.4386,665000,995.24,996.26
36.9295,134,-7277.42431640625,134,32.9582,670000,991.33,991.6
37.001,135,-7293.9248046875,135,32.3572,675000,1060.06,1062.55
36.5478,136,-7366.173828125,136,38.2616,680000,1015.63,1015.62
38.3408,137,-7397.44921875,137,29.8491,685000,996.68,994.88
36.1437,138,-6919.36376953125,138,21.9155,690000,994.6,998.82
34.3207,139,-6782.26806640625,139,24.1573,695000,674.03,885.63
31.6639,140,-6210.34814453125,140,78.356,700000,334.39,324.75
35.5723,141,-7700.2802734375,141,39.3829,705000,1038.03,1038.98
38.2958,142,-7818.09716796875,142,46.2146,710000,975.59,976.05
34.5368,143,-7398.181640625,143,62.9056,715000,140.01,138.84
32.8271,144,-7223.1806640625,144,87.9986,720000,114.52,113.29
32.795,145,-7147.38623046875,145,30.0163,725000,62.4,63.36
33.4694,146,-7685.73828125,146,33.4196,730000,774.91,736.81
37.6955,147,-8176.17138671875,147,33.4314,735000,1035.94,1035.88
39.0743,148,-8230.515625,148,39.4395,740000,1013.97,1012.35
39.0972,149,-8039.091796875,149,33.6429,745000,977.44,978.19
39.1105,150,-8390.0224609375,150,36.4775,750000,980.62,689.65
37.4118,151,-8204.4677734375,151,27.7181,755000,1088.19,1066.65
35.4462,152,-8466.3779296875,152,33.6955,760000,1037.83,1033.65
36.0595,153,-8478.4580078125,153,25.7246,765000,1037.79,1037.91
36.252,154,-7884.49951171875,154,22.6534,770000,992.79,988.6
39.4039,155,-8944.59375,155,45.7357,775000,974.53,974.8
38.7701,156,-8842.384765625,156,36.0876,780000,978.57,979.89
32.1297,157,-7262.30419921875,157,20.3212,785000,485.19,656.95
29.7046,158,-6210.83447265625,158,13.1858,790000,412.72,389.42
30.2689,159,-7632.970703125,159,30.1059,795000,352.98,351.52
33.7186,160,-8680.705078125,160,26.1055,800000,1033.02,964.47
35.4866,161,-9058.8408203125,161,30.1646,805000,1035.33,1035.98
32.2647,162,-7725.61572265625,162,24.6445,810000,557.53,571.0
31.8993,163,-7414.31494140625,163,20.7664,815000,570.85,616.84
35.6032,164,-9296.5947265625,164,38.2407,820000,1037.05,1037.55
35.4541,165,-9353.16796875,165,28.0335,825000,1041.39,1040.89
37.6299,166,-9447.2529296875,166,27.2779,830000,1033.13,1031.81
36.9165,167,-9529.7626953125,167,31.4681,835000,1036.06,1039.04
33.04,168,-9215.03125,168,28.6547,840000,1036.07,1037.05
36.4501,169,-9519.298828125,169,25.4335,845000,985.79,983.8
35.3906,170,-8140.7373046875,170,134.6723,850000,480.11,438.46
33.0275,171,-8554.1171875,171,114.6913,855000,39.94,45.48
30.6051,172,-6478.9931640625,172,57.1769,860000,223.13,230.67
31.1714,173,-7212.20166015625,173,22.3655,865000,243.77,242.62
32.2509,174,-7339.0419921875,174,22.0807,870000,564.97,591.86
40.4162,175,-10470.8896484375,175,40.603,875000,998.62,998.54
39.8526,176,-10376.1884765625,176,32.9503,880000,1002.57,1002.74
38.4087,177,-10463.3583984375,177,28.1725,885000,1044.63,1044.95
37.5533,178,-10124.443359375,178,22.9663,890000,1017.19,1015.26
36.3019,179,-10474.6767578125,179,21.9012,895000,1030.92,1052.64
36.6453,180,-10443.4619140625,180,25.547,900000,1036.44,1038.27
37.259,181,-10444.7919921875,181,25.1969,905000,1036.27,1021.45
32.4143,182,-9848.4248046875,182,28.7946,910000,1043.05,788.51
37.6076,183,-10841.1533203125,183,35.0895,915000,981.51,981.33
38.0011,184,-10950.9541015625,184,34.8959,920000,980.62,980.62
37.9168,185,-10981.375,185,25.3063,925000,1015.42,1018.75
35.3365,186,-10901.1728515625,186,46.8003,930000,255.78,209.26
34.036,187,-10086.619140625,187,55.2415,935000,51.76,49.82
39.325,188,-11320.6748046875,188,59.4599,940000,979.41,979.24
38.6449,189,-11512.1591796875,189,42.6475,945000,111.54,112.07
39.1643,190,-11612.861328125,190,59.2666,950000,991.4,991.08
36.5821,191,-10512.611328125,191,28.4967,955000,357.77,672.76
38.7736,192,-11908.3349609375,192,56.3529,960000,972.4,972.2
36.8649,193,-11223.2041015625,193,53.0876,965000,1010.47,1010.99
39.4907,194,-12051.8759765625,194,49.4733,970000,1007.05,1007.17
34.9673,195,-11823.3330078125,195,36.0318,975000,1038.85,1030.45
37.0337,196,-11884.9521484375,196,34.3227,980000,982.41,1000.15
34.1734,197,-10272.369140625,197,29.7445,985000,239.05,230.59
38.2284,198,-12230.5341796875,198,48.0223,990000,1012.71,1012.68
38.5482,199,-12336.4072265625,199,38.1798,995000,77.65,75.22
