Itration,Running Env Steps,Real Det Return,Running Forward KL,Running Update Time,Reward Loss,Running Reverse KL,Real Sto Return
79,395000,4277.04,279.1348,79,-4748.8037109375,98.4911,5089.56
80,400000,5079.12,298.0475,80,-6168.130859375,120.0379,4610.4
81,405000,5274.73,289.0892,81,-5733.38818359375,105.8045,4921.2
82,410000,3211.94,286.1541,82,-5379.81884765625,97.487,4506.02
83,415000,5158.88,272.0648,83,-5298.71240234375,79.5617,4787.76
84,420000,4624.68,284.3988,84,-6831.2158203125,104.0002,4230.1
85,425000,5044.46,276.1666,85,-6211.45947265625,93.2454,5025.15
86,430000,5306.5,267.7127,86,-5795.35009765625,89.0001,4977.63
87,435000,5279.08,267.3757,87,-5166.09814453125,82.0081,5053.99
88,440000,4727.71,271.9896,88,-6973.60400390625,98.1364,3840.13
89,445000,5146.73,252.7127,89,-4855.4541015625,54.9966,4814.77
90,450000,5292.85,261.1407,90,-5301.94580078125,66.2379,4949.32
91,455000,5278.59,267.5197,91,-5992.4638671875,80.5325,5000.86
92,460000,5279.55,260.2957,92,-5545.6513671875,69.7053,5102.36
93,465000,5272.82,273.2078,93,-6487.96826171875,81.532,4828.86
94,470000,5096.43,272.3392,94,-6520.6044921875,75.1325,4105.81
95,475000,5243.01,271.6945,95,-6867.81103515625,73.8204,4030.96
96,480000,5221.54,278.5435,96,-7320.4609375,82.3899,4637.65
97,485000,4217.37,274.6535,97,-7482.8974609375,93.0245,4286.18
98,490000,5314.9,283.3995,98,-7785.8857421875,88.3165,4170.91
99,495000,5307.86,282.3684,99,-7965.92138671875,92.8005,4766.93
100,500000,5297.21,272.207,100,-7518.0234375,77.3802,5015.28
101,505000,5064.95,281.3524,101,-7976.3251953125,79.502,3745.35
102,510000,5041.66,279.0247,102,-8296.4462890625,87.8429,4795.0
103,515000,3048.11,298.3628,103,-10489.9619140625,161.9917,3240.22
104,520000,1850.66,325.835,104,-11617.1875,184.6797,2025.59
105,525000,2166.77,289.4855,105,-9479.9208984375,99.7436,3842.55
106,530000,1362.99,321.084,106,-11343.34765625,175.608,1798.84
107,535000,1575.13,288.9321,107,-7767.4892578125,96.2178,2340.17
108,540000,4364.19,285.0425,108,-8499.609375,96.0932,4164.03
109,545000,4391.87,304.9267,109,-10732.7392578125,153.6687,3171.25
110,550000,3933.59,325.7589,110,-12072.2294921875,207.7514,1871.24
111,555000,4173.69,308.1955,111,-11374.1513671875,173.6167,3336.35
112,560000,4720.97,277.2325,112,-9383.0361328125,79.5752,4147.2
113,565000,5043.46,270.3526,113,-9181.7626953125,73.8058,4990.41
114,570000,4576.12,278.3816,114,-9825.5595703125,94.6841,5125.31
115,575000,5330.63,280.2478,115,-9957.6611328125,92.9226,4026.3
116,580000,5337.54,277.574,116,-9592.072265625,83.451,4992.93
117,585000,5235.14,277.435,117,-9840.560546875,88.4384,3675.17
118,590000,5365.42,278.5434,118,-9356.3037109375,83.6556,4587.13
119,595000,5178.61,282.3932,119,-10372.9326171875,94.3454,5207.35
120,600000,5245.3,261.085,120,-8867.6474609375,62.5032,4937.97
121,605000,3716.57,285.0301,121,-10716.052734375,120.3382,4323.29
122,610000,4870.88,273.3441,122,-10214.9677734375,97.0417,4787.08
123,615000,2603.28,275.9342,123,-10362.9560546875,92.5802,4003.27
124,620000,5257.54,264.4177,124,-9200.0439453125,58.5505,4987.34
125,625000,4873.92,271.7363,125,-10190.2431640625,71.4191,5164.91
126,630000,4741.61,276.6697,126,-10557.353515625,90.3183,5096.95
127,635000,5282.19,278.0296,127,-10865.3876953125,86.6707,4476.75
128,640000,5401.92,279.3486,128,-11015.57421875,97.0328,4811.97
129,645000,5479.62,285.2003,129,-11266.650390625,96.5133,4998.74
130,650000,5370.23,274.674,130,-10735.443359375,77.118,5166.83
131,655000,5284.86,272.47,131,-11007.95703125,76.2385,5094.0
132,660000,5268.57,276.3962,132,-11118.052734375,77.8767,5158.92
133,665000,5328.62,276.1771,133,-11704.603515625,83.8396,4454.13
134,670000,5369.88,283.8505,134,-11653.6669921875,95.8205,4896.04
135,675000,5239.7,279.5619,135,-11589.7099609375,82.4723,4520.45
136,680000,5296.32,283.0958,136,-12012.693359375,82.673,5117.68
137,685000,5445.34,277.2198,137,-11638.490234375,98.8799,4800.32
138,690000,5432.2,282.1743,138,-12090.6728515625,92.0927,5185.15
139,695000,5319.76,276.8992,139,-11995.0810546875,82.6632,5146.73
140,700000,5300.54,270.8092,140,-11201.236328125,71.6624,5095.16
141,705000,5234.42,265.8119,141,-11570.9609375,62.3266,5017.48
142,710000,5239.14,274.8205,142,-12530.697265625,90.2036,4769.32
143,715000,5323.6,272.6698,143,-11451.95703125,68.6491,5076.44
144,720000,5076.42,269.7938,144,-11903.896484375,63.0905,4835.62
145,725000,5269.17,275.2386,145,-12350.310546875,102.5802,3351.67
146,730000,5346.06,275.8971,146,-12710.3271484375,80.4295,4958.96
147,735000,5340.17,274.0309,147,-12649.787109375,72.3076,5107.98
148,740000,5390.09,269.536,148,-12454.900390625,79.9762,4694.56
149,745000,5295.06,271.219,149,-12575.2490234375,71.0268,4751.13
150,750000,5410.94,272.9731,150,-12508.56640625,72.7441,5139.83
151,755000,5327.62,266.0266,151,-12641.34375,71.7657,5089.44
152,760000,5275.51,269.8974,152,-13013.6201171875,86.8105,4213.97
153,765000,5297.87,269.4114,153,-12751.25,75.6314,4890.79
154,770000,5291.15,275.691,154,-13201.697265625,87.7578,5125.58
155,775000,520.87,478.637,155,-15813.0966796875,268.1516,704.19
156,780000,2932.2,284.533,156,-14027.763671875,136.6351,3070.45
157,785000,4504.54,283.7967,157,-14092.80859375,102.2639,4791.34
158,790000,1538.92,366.7737,158,-15825.123046875,264.8227,1402.24
159,795000,5222.94,278.4116,159,-13310.1787109375,83.4783,4403.93
160,800000,5273.04,270.524,160,-12573.1962890625,61.5147,4833.13
161,805000,5190.89,273.5137,161,-12872.966796875,71.1028,5134.33
162,810000,5416.1,279.6876,162,-13600.4013671875,89.2258,5222.64
163,815000,5386.92,275.1246,163,-13339.1025390625,74.3224,5182.41
164,820000,5350.48,278.7222,164,-14009.6884765625,77.6317,5155.94
165,825000,5389.89,274.7896,165,-13660.08203125,66.1812,4905.72
166,830000,5357.4,276.3699,166,-14041.767578125,72.3818,4935.02
167,835000,5341.72,274.7665,167,-14269.1025390625,65.5566,4893.19
168,840000,5304.46,274.5956,168,-14482.34375,73.7774,4965.44
169,845000,3443.84,275.8877,169,-13839.9326171875,64.4891,4193.13
170,850000,5054.87,276.737,170,-14244.7275390625,66.9637,5064.62
171,855000,3440.91,280.5225,171,-14352.3427734375,89.1649,3894.53
172,860000,2992.14,281.7771,172,-14297.296875,87.8492,4462.0
173,865000,1187.46,284.0351,173,-14224.4072265625,115.4564,2855.6
174,870000,3839.55,296.708,174,-14632.1943359375,151.1448,2464.32
175,875000,3643.46,286.7617,175,-14160.474609375,123.5688,3014.55
176,880000,4815.85,293.1139,176,-14505.5029296875,119.2258,3533.86
177,885000,5463.37,269.9773,177,-14642.623046875,74.8032,5190.71
178,890000,5112.54,272.8878,178,-14407.0703125,68.2428,4740.62
179,895000,5189.25,276.3612,179,-15073.9658203125,75.9886,5090.56
180,900000,5428.98,278.2421,180,-15043.78515625,83.7629,5246.96
181,905000,1106.32,341.7977,181,-16120.34765625,238.4081,1177.36
182,910000,5083.65,292.86,182,-16118.7548828125,101.8671,5022.88
183,915000,5157.77,276.3702,183,-14999.193359375,78.3665,5045.91
184,920000,5236.75,274.2146,184,-14614.224609375,65.5101,4819.75
185,925000,5222.48,285.9579,185,-14977.037109375,79.168,5057.51
186,930000,960.07,310.5587,186,-16349.439453125,152.8787,3920.07
187,935000,5258.68,270.7173,187,-15580.708984375,79.1256,5147.96
188,940000,5297.04,274.9445,188,-15094.9951171875,87.4569,5221.79
189,945000,5346.54,279.6542,189,-15400.8310546875,95.0403,4966.91
190,950000,2991.22,276.6969,190,-15644.958984375,89.7788,5131.91
191,955000,1865.56,277.8735,191,-15421.7578125,83.2213,5039.1
192,960000,4185.15,271.3905,192,-14715.5185546875,69.6499,4428.07
193,965000,4751.47,270.9224,193,-14783.8203125,62.0154,5077.96
194,970000,4900.74,272.8993,194,-14095.46484375,57.1275,4754.39
195,975000,4986.08,277.2748,195,-13909.2236328125,65.5574,4916.19
196,980000,3119.09,275.351,196,-14667.474609375,67.8484,3931.92
197,985000,4310.23,280.106,197,-14493.416015625,66.4968,4922.14
198,990000,5198.12,264.8298,198,-14612.470703125,57.7263,4800.96
199,995000,5393.29,270.9736,199,-15368.6865234375,66.4706,5193.3
200,1000000,5374.69,269.1981,200,-15390.876953125,69.9155,5188.83
