Running Forward KL,Running Update Time,Real Sto Return,Itration,Reward Loss,Running Reverse KL,Running Env Steps,Real Det Return
34.1791,73,100.77,73,-3316.888427734375,26.2426,365000,126.05
34.9312,74,181.09,74,-3470.59130859375,22.048,370000,182.09
34.4839,75,1028.97,75,-3830.6064453125,24.5991,375000,944.17
33.0713,76,660.05,76,-3577.810546875,53.4712,380000,888.93
35.0071,77,678.57,77,-3563.018310546875,26.4872,385000,672.74
33.8051,78,196.03,78,-3931.4453125,61.6042,390000,199.62
32.1031,79,161.03,79,-3855.653076171875,25.9548,395000,157.04
32.8441,80,961.99,80,-3988.875244140625,26.2083,400000,941.42
36.6412,81,650.39,81,-3976.78271484375,52.3228,405000,665.37
37.7351,82,1015.1,82,-4310.8330078125,34.7431,410000,1015.19
35.9471,83,1011.58,83,-3981.26953125,21.563,415000,1011.48
38.2356,84,988.81,84,-4462.5556640625,53.4197,420000,988.87
37.2793,85,995.69,85,-4546.92431640625,51.6924,425000,995.52
32.2791,86,924.13,86,-3897.4326171875,23.4759,430000,964.96
33.9259,87,908.09,87,-4241.609375,24.5514,435000,909.39
34.0368,88,1026.66,88,-4282.66552734375,21.6729,440000,1019.46
34.4929,89,1043.41,89,-4592.3759765625,33.2382,445000,1036.61
34.4347,90,971.48,90,-4260.1396484375,24.6039,450000,938.74
33.8765,91,1000.33,91,-4615.82421875,34.9139,455000,995.3
31.315,92,50.29,92,-2714.826171875,19.4806,460000,44.27
32.9374,93,269.65,93,-4416.3359375,26.2984,465000,278.2
31.0917,94,284.83,94,-4583.93603515625,48.5904,470000,284.64
32.8267,95,422.46,95,-3736.147216796875,20.2327,475000,422.39
33.5303,96,466.67,96,-4825.10986328125,34.3583,480000,468.95
33.3863,97,401.68,97,-5053.5400390625,54.0375,485000,402.35
33.4142,98,384.25,98,-4993.97314453125,54.1988,490000,381.58
37.8697,99,115.25,99,-4155.60205078125,40.4075,495000,118.06
37.7328,100,977.81,100,-5308.4560546875,52.7547,500000,978.46
39.1869,101,981.1,101,-5345.34765625,45.6589,505000,981.91
37.7671,102,979.53,102,-5339.32080078125,39.7996,510000,981.29
34.8166,103,963.96,103,-5404.05322265625,31.4087,515000,975.56
39.2778,104,971.48,104,-5455.912109375,33.4447,520000,972.55
34.87,105,1043.34,105,-5156.8525390625,30.7167,525000,1047.58
34.6141,106,1041.16,106,-5117.22900390625,36.5058,530000,1041.48
34.3558,107,1005.64,107,-5287.0322265625,21.1875,535000,923.96
36.1568,108,982.7,108,-5809.4658203125,49.6249,540000,974.16
40.1578,109,972.73,109,-5848.81396484375,53.9358,545000,972.77
39.4051,110,1046.31,110,-5839.625,37.8463,550000,1046.04
37.9762,111,1051.31,111,-5927.92919921875,43.303,555000,1051.61
34.7338,112,981.16,112,-5821.3740234375,24.6038,560000,980.26
34.5625,113,276.97,113,-4424.0673828125,21.1763,565000,281.91
33.2428,114,507.45,114,-5527.72607421875,35.7778,570000,555.56
33.914,115,967.03,115,-5429.1328125,24.6311,575000,979.29
33.7344,116,456.79,116,-5422.79736328125,22.8047,580000,517.95
34.9302,117,1013.34,117,-5893.3740234375,27.3428,585000,1012.21
34.4272,118,1033.95,118,-6168.259765625,29.2016,590000,1033.16
33.3272,119,64.23,119,-6357.97802734375,50.0185,595000,64.73
34.317,120,76.68,120,-6443.306640625,33.7116,600000,76.53
36.5984,121,1046.95,121,-6425.10107421875,31.6236,605000,1047.23
34.9265,122,975.55,122,-6555.79833984375,41.7637,610000,936.35
33.7617,123,191.97,123,-5340.81494140625,39.405,615000,193.71
32.1791,124,228.75,124,-5817.06201171875,73.2813,620000,231.41
33.6041,125,344.32,125,-6013.74267578125,65.9034,625000,342.83
33.4782,126,429.46,126,-6171.37060546875,58.9806,630000,429.51
35.04,127,964.58,127,-6237.59765625,30.2422,635000,979.68
35.7825,128,982.04,128,-7187.04638671875,66.0358,640000,981.98
40.5165,129,993.59,129,-7104.3623046875,48.2686,645000,993.24
38.5443,130,994.81,130,-7161.46142578125,42.9671,650000,996.1
31.2287,131,236.44,131,-5780.04296875,48.3574,655000,236.67
32.5624,132,220.77,132,-5960.38623046875,25.6346,660000,219.78
35.4183,133,1050.56,133,-7353.79931640625,34.5544,665000,1045.9
31.0948,134,373.12,134,-5384.98779296875,35.1526,670000,378.91
32.633,135,38.35,135,-3858.451904296875,27.2428,675000,38.38
32.7474,136,111.84,136,-5235.0771484375,86.2464,680000,111.99
38.5448,137,1044.8,137,-7685.6572265625,60.0556,685000,1044.83
37.476,138,1037.55,138,-7725.77734375,36.3892,690000,1037.18
36.1436,139,1051.13,139,-7426.21435546875,28.21,695000,1051.23
33.8042,140,1041.05,140,-7512.6953125,27.5609,700000,1042.49
31.9199,141,728.27,141,-7305.86962890625,46.0509,705000,766.92
30.7431,142,316.58,142,-5273.5576171875,67.3048,710000,319.08
29.6033,143,316.86,143,-5457.79150390625,39.7128,715000,314.48
29.4716,144,312.53,144,-6191.4609375,49.7403,720000,299.58
32.7714,145,285.98,145,-7784.26171875,51.0858,725000,284.98
32.6212,146,440.02,146,-7431.9423828125,39.2274,730000,442.2
32.485,147,370.89,147,-7711.669921875,48.5865,735000,370.0
32.3469,148,539.47,148,-7409.9384765625,27.0915,740000,540.05
31.6748,149,397.26,149,-6001.29345703125,20.6783,745000,390.39
33.1565,150,478.95,150,-6884.2509765625,23.6184,750000,478.69
33.9698,151,1058.54,151,-8449.97265625,32.5451,755000,1059.37
31.9725,152,238.27,152,-6980.96435546875,68.1708,760000,239.79
34.2157,153,717.22,153,-7992.13427734375,83.655,765000,711.48
35.8245,154,273.81,154,-8533.189453125,45.9799,770000,273.06
35.0124,155,131.41,155,-8783.6083984375,64.5416,775000,131.05
33.6019,156,137.41,156,-6492.7392578125,32.4618,780000,124.6
34.2331,157,230.94,157,-8878.876953125,46.5591,785000,230.05
35.1726,158,660.44,158,-7969.318359375,136.851,790000,530.75
40.2241,159,1009.09,159,-9266.6923828125,60.1999,795000,1008.87
34.0629,160,949.55,160,-8905.009765625,69.5708,800000,995.56
36.8442,161,30.74,161,-7750.14892578125,212.1326,805000,32.8
37.8355,162,130.76,162,-7923.75927734375,178.6641,810000,128.45
39.4473,163,-2.43,163,-7664.62939453125,238.3712,815000,-2.44
31.4771,164,74.56,164,-5704.02783203125,149.2973,820000,83.64
29.4496,165,153.98,165,-4871.3798828125,50.8882,825000,156.1
35.904,166,36.93,166,-8151.400390625,144.0115,830000,35.88
36.7756,167,33.32,167,-8356.8037109375,36.6878,835000,33.34
36.2847,168,33.55,168,-8497.98828125,38.2686,840000,33.31
37.0895,169,980.51,169,-8934.525390625,45.4745,845000,980.78
37.2554,170,992.87,170,-9940.46875,94.029,850000,992.66
36.7096,171,987.76,171,-8865.6201171875,36.3391,855000,987.91
36.1085,172,945.9,172,-8018.24658203125,37.8066,860000,946.1
35.671,173,934.8,173,-8183.224609375,43.6817,865000,935.23
35.0505,174,880.01,174,-8281.0927734375,39.5172,870000,882.69
34.2967,175,794.25,175,-8225.8125,28.5473,875000,794.26
35.2665,176,20.32,176,-7256.9462890625,109.813,880000,20.09
37.4656,177,1029.04,177,-10435.5419921875,65.7739,885000,1029.02
38.2397,178,1032.62,178,-10347.7255859375,58.4118,890000,1038.38
38.5895,179,261.21,179,-10105.9814453125,33.4109,895000,256.92
34.7151,180,10.93,180,-7648.31884765625,103.9643,900000,10.97
33.7769,181,6.26,181,-8261.033203125,21.3337,905000,6.35
41.4827,182,41.22,182,-10842.5341796875,98.9838,910000,41.25
41.476,183,55.99,183,-10778.18359375,97.0857,915000,55.71
37.6753,184,356.18,184,-10509.6279296875,54.0938,920000,357.79
33.5333,185,16.73,185,-8423.603515625,35.9244,925000,16.62
33.9708,186,27.01,186,-7041.7109375,77.8182,930000,26.73
34.0062,187,97.33,187,-8979.9365234375,42.6991,935000,97.2
38.0431,188,312.36,188,-11313.224609375,70.2811,940000,312.0
37.8068,189,980.15,189,-10989.896484375,66.96,945000,979.92
36.7893,190,88.31,190,-11463.6337890625,49.7599,950000,88.07
36.0066,191,684.36,191,-10708.9072265625,31.3959,955000,714.33
35.3333,192,215.02,192,-9539.0810546875,108.054,960000,206.93
34.888,193,35.11,193,-8966.115234375,45.0024,965000,35.45
34.1173,194,2.19,194,-10059.3798828125,25.3587,970000,2.29
37.4581,195,88.69,195,-10603.548828125,43.8742,975000,87.43
41.3996,196,1008.28,196,-11942.9521484375,122.737,980000,1008.14
39.2087,197,226.31,197,-11930.3564453125,89.727,985000,225.76
40.3066,198,481.01,198,-12125.7470703125,100.8069,990000,477.31
38.8119,199,989.84,199,-12225.865234375,121.962,995000,990.12
