Real Det Return,Reward Loss,Running Env Steps,Running Forward KL,Running Reverse KL,Real Sto Return,Running Update Time,Itration
3358.84,-1374.662841796875,580000,21.3588,13.3033,2733.84,116,116
3310.45,-1559.0516357421875,585000,22.2495,13.9194,3223.82,117,117
3268.02,-1482.4217529296875,590000,22.227,13.601,3231.81,118,118
3302.78,-1513.727294921875,595000,22.3989,14.5367,3257.99,119,119
3338.61,-1527.9898681640625,600000,22.4197,14.2024,3298.7,120,120
3353.48,-1541.232666015625,605000,22.6701,14.1934,3341.77,121,121
3359.95,-1597.992919921875,610000,22.5977,14.1001,3322.26,122,122
3316.5,-1596.4046630859375,615000,22.2703,13.6702,3271.66,123,123
3354.29,-1628.168701171875,620000,23.0145,14.5333,3320.86,124,124
3359.58,-1612.725341796875,625000,21.6161,13.2668,3308.32,125,125
3307.04,-1553.0799560546875,630000,21.825,13.779,3208.59,126,126
3315.53,-1716.1114501953125,635000,22.3997,14.1006,3274.23,127,127
3384.51,-1711.2769775390625,640000,22.7806,14.3569,3239.52,128,128
3379.88,-1677.8790283203125,645000,22.5976,14.458,3236.47,129,129
3336.38,-1619.0032958984375,650000,22.1171,13.5825,3298.56,130,130
3321.19,-1786.222900390625,655000,22.4058,14.0423,3017.74,131,131
3354.89,-1533.4658203125,660000,21.847,13.5291,3247.98,132,132
3429.9,-1786.3348388671875,665000,22.8684,14.7968,3386.01,133,133
3344.23,-1737.3504638671875,670000,22.5084,14.074,3299.36,134,134
3326.44,-1750.3792724609375,675000,22.2209,13.7995,3314.88,135,135
3248.29,-1809.701171875,680000,22.1844,12.8511,3316.71,136,136
3337.82,-1810.8304443359375,685000,22.2143,13.7888,3317.14,137,137
3403.88,-1843.304443359375,690000,21.7654,13.2705,3031.1,138,138
3310.85,-1796.5794677734375,695000,21.1805,12.8513,3226.48,139,139
3350.94,-1750.6220703125,700000,21.5705,13.7386,3288.13,140,140
3399.37,-1795.45849609375,705000,22.1993,14.26,3339.64,141,141
3386.25,-1766.8106689453125,710000,21.7768,13.7417,3347.77,142,142
3372.14,-1907.99951171875,715000,22.277,13.9263,3321.08,143,143
3364.55,-1929.9947509765625,720000,22.0336,14.2602,3288.49,144,144
3396.84,-1975.932373046875,725000,21.89,13.686,3348.26,145,145
3371.86,-1920.5089111328125,730000,21.7906,13.4398,3147.7,146,146
3416.63,-2076.164306640625,735000,22.7871,14.6844,3361.48,147,147
3365.78,-1956.1710205078125,740000,21.5421,13.3175,3258.06,148,148
3372.94,-1918.8836669921875,745000,21.6703,13.5389,3335.45,149,149
3349.33,-2002.256103515625,750000,22.5185,14.522,3331.06,150,150
3401.5,-1892.371337890625,755000,21.6337,14.0768,3365.51,151,151
3442.15,-2054.98291015625,760000,21.3805,13.5259,3389.79,152,152
3413.33,-2100.900390625,765000,21.9347,13.5501,3283.61,153,153
3432.18,-1957.0262451171875,770000,22.0942,14.2971,3385.74,154,154
3356.8,-2201.14794921875,775000,21.7166,14.4245,2750.67,155,155
3349.89,-2280.254150390625,780000,21.0925,13.072,3286.18,156,156
3384.4,-2126.097412109375,785000,20.9744,12.9767,3332.34,157,157
3418.54,-2219.72265625,790000,21.5445,13.7027,3360.97,158,158
3384.2,-2026.4232177734375,795000,21.4603,13.2655,3352.48,159,159
3396.7,-2082.1865234375,800000,21.9825,14.0026,3383.0,160,160
3384.04,-2180.167724609375,805000,21.1249,12.7043,3329.05,161,161
3430.8,-2274.294189453125,810000,22.1688,13.6937,3281.99,162,162
3394.92,-2089.440673828125,815000,21.3725,13.2999,3378.34,163,163
3380.95,-2140.86572265625,820000,21.092,13.1173,3131.8,164,164
3416.56,-2153.936279296875,825000,21.5675,13.196,3371.53,165,165
3453.51,-2257.241943359375,830000,21.4748,13.5153,3390.69,166,166
3461.28,-2287.770263671875,835000,21.7007,13.0552,3401.25,167,167
3471.17,-2185.848388671875,840000,21.3621,13.1906,3396.52,168,168
3480.65,-2294.494384765625,845000,20.939,12.8041,3445.17,169,169
3418.39,-2362.924560546875,850000,21.6034,13.4893,3384.27,170,170
3491.71,-2503.357666015625,855000,22.3938,14.9954,3220.63,171,171
3389.77,-2363.4111328125,860000,20.8943,12.7044,3353.0,172,172
3432.08,-2535.1689453125,865000,21.6606,13.8302,3401.11,173,173
3466.82,-2582.6357421875,870000,21.6732,13.4711,3226.44,174,174
3415.19,-2359.25244140625,875000,21.2652,13.3954,3404.8,175,175
3456.64,-2205.864013671875,880000,21.391,12.9867,3396.44,176,176
3481.27,-2287.0712890625,885000,20.7591,13.0327,3411.4,177,177
3452.09,-2374.48974609375,890000,21.327,13.3922,3397.11,178,178
3465.63,-2462.961181640625,895000,21.4743,13.3064,3436.15,179,179
3415.84,-2391.11669921875,900000,20.9273,13.0483,3300.66,180,180
3500.06,-2508.145263671875,905000,21.2187,13.1154,3443.87,181,181
3464.17,-2706.423095703125,910000,21.992,14.9501,2238.98,182,182
3469.57,-2535.4443359375,915000,21.221,13.109,3379.14,183,183
3449.6,-2614.611083984375,920000,21.8039,13.3741,3435.49,184,184
3477.71,-2713.738525390625,925000,21.4986,13.6191,3363.28,185,185
3499.52,-2581.7421875,930000,21.5907,13.415,3430.67,186,186
3472.05,-2737.306884765625,935000,21.4606,13.3936,3426.97,187,187
3462.87,-2775.877685546875,940000,21.3016,13.2329,3432.56,188,188
3503.08,-2639.011474609375,945000,21.6536,13.3957,3454.53,189,189
3464.36,-2523.391845703125,950000,20.7095,12.5754,3437.45,190,190
3434.08,-2786.1005859375,955000,22.2072,14.2212,3401.2,191,191
3491.98,-2701.966064453125,960000,21.5964,13.4298,3181.91,192,192
3511.14,-2834.898681640625,965000,21.3974,13.6883,3465.31,193,193
3469.17,-2742.3740234375,970000,21.7573,13.5737,3422.54,194,194
3477.4,-2737.37646484375,975000,21.9019,14.1959,3436.08,195,195
3470.95,-2676.924560546875,980000,21.9885,13.936,3438.06,196,196
3505.3,-2744.077880859375,985000,21.2628,13.1551,3461.95,197,197
3443.74,-2925.142578125,990000,21.8076,13.4766,3408.47,198,198
3481.06,-2617.103271484375,995000,21.3169,13.1293,3187.33,199,199
