Running Update Time,Reward Loss,Itration,Real Sto Return,Running Forward KL,Running Reverse KL,Running Env Steps,Real Det Return
100,-13107.9423828125,100,1238.69,328.0153,202.6903,500000,971.8
101,-10602.697265625,101,2450.29,294.6633,179.1844,505000,1534.92
102,-6824.7265625,102,3867.23,269.7564,100.7059,510000,1953.29
103,-11157.18359375,103,1581.45,290.2865,185.0522,515000,1490.06
104,-7527.66259765625,104,2811.92,281.318,103.8361,520000,3490.83
105,-11375.1171875,105,2512.37,295.7294,186.5702,525000,2893.16
106,-3509.287353515625,106,3955.56,262.6436,70.8875,530000,4997.93
107,-5867.7548828125,107,4084.42,281.0432,103.9904,535000,4703.08
108,-3879.53662109375,108,3821.92,272.6333,80.0972,540000,4531.72
109,-4314.3623046875,109,4552.87,271.4905,76.6631,545000,4497.17
110,-4136.91845703125,110,4702.52,278.4374,83.2268,550000,5036.55
111,-3674.814697265625,111,4254.73,281.0011,80.9847,555000,3339.83
112,-3740.973388671875,112,4536.62,277.7947,82.4193,560000,5055.38
113,-3555.231201171875,113,4973.42,277.5445,83.4197,565000,5028.19
114,-3780.651123046875,114,4942.73,291.0024,91.1914,570000,4799.6
115,-4333.93603515625,115,4841.83,284.5413,83.2504,575000,4555.31
116,-4156.0107421875,116,4506.99,264.1889,70.263,580000,4648.91
117,-9714.2275390625,117,3905.24,294.8635,132.1678,585000,1990.31
118,-7287.216796875,118,3966.72,287.505,107.234,590000,2580.99
119,-5481.69189453125,119,4690.45,275.6996,78.3675,595000,3122.38
120,-5029.04248046875,120,4241.05,269.6348,80.1622,600000,4624.58
121,-4741.4541015625,121,4982.05,272.6849,79.8382,605000,5038.9
122,-6164.0263671875,122,4515.81,272.4479,82.9002,610000,2262.76
123,-8040.61962890625,123,3704.81,293.7023,114.8455,615000,3427.59
124,-9281.44921875,124,2861.79,277.365,129.9233,620000,2325.72
125,-7508.98779296875,125,3791.69,283.5435,111.1858,625000,4870.76
126,-6613.794921875,126,4466.47,277.3573,85.7041,630000,4329.66
127,-5970.44677734375,127,4673.29,277.8492,82.1464,635000,4925.71
128,-5681.69384765625,128,4764.23,276.4542,78.7324,640000,4424.96
129,-7240.2412109375,129,3212.67,277.033,84.0305,645000,1835.4
130,-6821.04443359375,130,4951.75,283.032,84.1526,650000,3446.8
131,-7124.99853515625,131,4608.37,286.6332,89.0422,655000,3997.32
132,-6764.3076171875,132,4468.63,272.9852,77.8252,660000,4456.69
133,-6336.166015625,133,4340.25,280.4532,79.197,665000,4213.49
134,-6908.2861328125,134,4767.07,273.9463,77.8783,670000,4348.14
135,-7369.08447265625,135,4745.45,277.9015,80.7556,675000,3441.67
136,-6758.60546875,136,3714.59,268.3867,75.044,680000,3795.88
137,-7458.3017578125,137,4665.13,269.6982,84.4423,685000,5071.39
138,-8150.09130859375,138,4305.98,269.3336,87.9517,690000,4184.86
139,-8752.4658203125,139,4035.53,276.3517,89.263,695000,3349.92
140,-7245.07421875,140,4431.2,271.2393,70.4374,700000,3637.17
141,-7298.85595703125,141,4920.92,271.272,75.56,705000,4805.07
142,-7681.29736328125,142,4074.72,280.1915,77.5912,710000,2788.29
143,-8410.8310546875,143,4692.68,279.3026,85.8684,715000,3852.68
144,-7879.4365234375,144,3779.11,278.9786,78.4427,720000,3929.33
145,-7449.32275390625,145,4765.42,262.8208,68.0325,725000,3825.43
146,-7828.16259765625,146,4688.58,272.6794,74.0181,730000,3998.48
147,-8110.5625,147,4721.96,274.213,77.0758,735000,3697.25
148,-6999.1884765625,148,4885.13,261.632,68.3824,740000,5019.56
149,-8002.8046875,149,4384.77,269.9113,69.2308,745000,4183.74
150,-8495.3447265625,150,4582.4,281.2507,78.1048,750000,2192.28
151,-7889.39794921875,151,4656.28,269.9124,75.5378,755000,4013.39
152,-7453.5224609375,152,4852.52,256.8033,62.2908,760000,4948.24
153,-7682.10400390625,153,4622.02,268.3945,65.7051,765000,2578.2
154,-7740.3388671875,154,4942.46,262.176,62.288,770000,4945.77
155,-8832.380859375,155,4305.54,268.2616,81.2357,775000,3933.51
156,-9012.5,156,5055.5,280.8488,80.5042,780000,4768.7
157,-10212.9951171875,157,4278.47,281.5474,100.492,785000,1584.5
158,-9141.1240234375,158,4987.32,279.1148,78.9166,790000,4535.24
159,-9232.7890625,159,4857.85,266.6321,78.0197,795000,2835.62
160,-8996.18359375,160,4688.74,267.8715,70.49,800000,4367.36
161,-10291.765625,161,4089.13,275.0325,83.4739,805000,3654.92
162,-9857.5478515625,162,4900.14,277.9459,77.644,810000,4409.4
163,-12310.5771484375,163,2397.38,297.7448,146.1048,815000,3798.28
164,-10182.607421875,164,4618.03,271.1345,74.5816,820000,3969.39
165,-9640.5126953125,165,4389.8,273.1059,77.7825,825000,4903.21
166,-9858.1962890625,166,4619.87,275.0451,71.503,830000,4358.11
167,-10400.732421875,167,5050.6,273.8084,80.1423,835000,5106.4
168,-10103.4453125,168,4778.78,270.8998,74.8613,840000,5076.94
169,-11912.8623046875,169,3587.8,281.2605,110.5175,845000,2177.4
170,-10430.4619140625,170,4778.29,267.0362,73.7994,850000,3810.0
171,-10573.0087890625,171,4575.25,263.4628,72.536,855000,4704.82
172,-10055.7958984375,172,4776.57,267.0927,68.3372,860000,3268.16
173,-10153.2197265625,173,5052.72,270.9523,80.6712,865000,5142.18
174,-10847.3203125,174,4553.01,267.1867,82.4713,870000,4607.86
175,-11066.978515625,175,4964.76,269.047,72.7948,875000,5090.44
176,-11024.423828125,176,5006.9,269.8966,70.897,880000,4857.01
177,-10745.126953125,177,4713.13,271.2762,71.4264,885000,5101.92
178,-10772.5927734375,178,4856.94,266.762,70.5779,890000,5196.36
179,-11548.1328125,179,4642.55,263.6995,79.4838,895000,4593.52
180,-10876.0126953125,180,4384.69,260.2895,70.1625,900000,5077.06
181,-14269.0849609375,181,2711.56,311.2874,175.2362,905000,3239.58
182,-11315.2294921875,182,4810.89,259.8902,66.5721,910000,5116.28
183,-11850.8935546875,183,4456.23,268.8881,86.7802,915000,2533.07
184,-13249.6015625,184,4326.23,290.1947,116.6065,920000,4032.4
185,-12057.3134765625,185,4145.59,269.8969,77.4997,925000,5064.97
186,-12148.1552734375,186,4691.23,271.3585,83.0803,930000,4829.69
187,-15308.359375,187,1604.95,322.5858,202.9402,935000,3220.45
188,-12776.1171875,188,4937.65,275.6468,80.6115,940000,4873.16
189,-12130.5546875,189,5040.41,267.5315,74.1809,945000,5153.61
190,-12531.2451171875,190,4981.5,264.58,73.3221,950000,4369.79
191,-12578.3388671875,191,4701.72,264.6716,79.035,955000,5208.57
192,-11734.8388671875,192,4976.7,262.4374,67.1101,960000,4248.75
193,-12987.2236328125,193,4788.93,265.2429,69.4224,965000,4683.32
194,-12496.265625,194,4570.37,263.7068,108.7245,970000,4590.89
195,-12840.6826171875,195,3456.13,265.5314,106.4008,975000,4730.81
196,-12247.0146484375,196,4893.9,261.3017,77.667,980000,5011.39
197,-12959.71484375,197,5060.16,262.9877,67.1771,985000,4499.66
198,-13237.869140625,198,4800.88,264.5751,83.1989,990000,5178.97
199,-13258.9052734375,199,4493.12,271.1166,73.7339,995000,5160.45
200,-13015.30859375,200,4653.53,270.0824,67.9088,1000000,5223.06
201,-13580.7509765625,201,4632.02,268.0169,70.9541,1005000,5154.0
202,-13971.763671875,202,5029.24,273.0709,70.6875,1010000,4823.36
203,-13834.3818359375,203,4698.19,266.5729,77.176,1015000,4549.6
204,-14036.52734375,204,3847.41,269.9197,185.9815,1020000,2262.49
205,-14783.220703125,205,1935.73,295.1151,366.1675,1025000,1351.98
206,-15170.4521484375,206,3809.9,302.1713,122.994,1030000,2910.36
207,-14013.9931640625,207,4825.37,274.0821,78.0325,1035000,4968.0
208,-14048.0615234375,208,4338.16,270.8475,84.3678,1040000,4371.43
209,-13862.845703125,209,4291.82,274.9085,93.5319,1045000,3914.96
210,-14612.5283203125,210,3656.89,275.5963,81.7002,1050000,2891.98
211,-14827.6865234375,211,2372.15,291.0738,141.8107,1055000,3117.48
212,-13711.705078125,212,4781.66,284.4778,93.2321,1060000,4624.36
213,-16068.8154296875,213,3507.33,302.3652,138.4257,1065000,4813.5
214,-14983.8330078125,214,5001.8,276.739,85.0675,1070000,4786.12
215,-14654.802734375,215,4668.62,271.3968,90.2003,1075000,5009.24
216,-14282.224609375,216,5120.52,266.1317,75.1763,1080000,5239.59
217,-14740.07421875,217,4947.15,270.0959,78.753,1085000,5022.07
218,-13934.642578125,218,4905.53,264.3932,70.8042,1090000,4719.02
219,-14162.90625,219,3893.57,264.3658,76.5351,1095000,4102.0
220,-14352.4462890625,220,4151.66,274.2162,105.4448,1100000,5132.04
221,-16775.986328125,221,562.06,409.3618,767.1981,1105000,427.74
222,-17167.76953125,222,408.43,451.3818,319.2947,1110000,375.93
223,-16458.203125,223,215.85,497.5675,374.0837,1115000,226.27
224,-16966.548828125,224,191.63,535.8636,333.2362,1120000,185.2
225,-16470.587890625,225,425.79,486.9201,585.413,1125000,462.22
