Running Update Time,Running Env Steps,Reward Loss,Real Det Return,Itration,Running Reverse KL,Real Sto Return,Running Forward KL
41,205000,-347.1904296875,3052.86,41,15.5571,1845.06,23.7828
42,210000,-190.62355041503906,2870.29,42,15.1995,2814.43,23.9671
43,215000,-157.00149536132812,3066.15,43,16.0357,2834.18,23.9127
44,220000,-256.3492126464844,3122.59,44,19.4787,2528.3,23.6609
45,225000,-138.02796936035156,3052.98,45,16.9321,2619.69,24.1123
46,230000,-138.9710235595703,3109.95,46,17.0268,3000.1,24.6993
47,235000,-128.36021423339844,3102.36,47,16.8357,2814.23,24.4532
48,240000,-327.7572937011719,3154.71,48,15.8993,2428.9,23.2314
49,245000,-399.8941345214844,3142.01,49,18.2539,2103.02,23.9663
50,250000,-547.3770141601562,1167.86,50,15.9836,1445.57,23.772
51,255000,-437.1725769042969,2599.17,51,14.946,1986.32,24.3345
52,260000,-415.7060852050781,1611.52,52,14.8708,1742.86,23.0964
53,265000,-472.64453125,1231.67,53,13.5843,1556.11,23.2967
54,270000,-440.8694152832031,1219.47,54,14.8666,1543.54,23.0773
55,275000,-134.37557983398438,3150.28,55,15.8345,2724.5,23.3762
56,280000,-260.78228759765625,3068.14,56,13.9421,2195.02,23.1719
57,285000,-167.96559143066406,3045.17,57,16.2312,2955.19,24.1285
58,290000,-350.0627136230469,3192.4,58,18.9447,1618.55,22.7896
59,295000,-278.2577819824219,3147.89,59,20.049,2516.9,23.5539
60,300000,-447.7859802246094,1653.67,60,19.7495,2044.14,22.6571
61,305000,-524.5125732421875,1292.2,61,17.4275,1518.76,23.422
62,310000,-569.3662719726562,1173.2,62,22.3693,1401.68,23.4208
63,315000,-254.60475158691406,3175.44,63,14.177,2274.68,22.1992
64,320000,-284.9465637207031,3133.37,64,16.0164,2674.12,22.9364
65,325000,-247.38668823242188,3150.61,65,15.0812,2800.12,23.3979
66,330000,-602.4385986328125,1175.86,66,14.6338,1333.83,23.3356
67,335000,-164.3722686767578,3156.38,67,16.0728,3156.19,23.2788
68,340000,-410.6438293457031,2693.6,68,17.037,1663.23,22.3749
69,345000,-445.06884765625,3229.43,69,16.1627,2055.39,21.9679
70,350000,-291.3341064453125,3253.62,70,13.4291,2729.14,21.6435
71,355000,-265.4157409667969,3178.46,71,14.6437,2473.09,22.031
72,360000,-207.25709533691406,3135.82,72,15.1825,2750.07,22.1933
73,365000,-224.2477569580078,3153.26,73,15.6898,2804.28,22.3796
74,370000,-169.11953735351562,3182.53,74,15.0794,3020.41,22.5572
75,375000,-468.3772277832031,3248.55,75,14.5918,2043.76,22.0765
76,380000,-374.2439880371094,3214.49,76,14.4081,2473.96,22.1242
77,385000,-314.08966064453125,3175.88,77,15.9652,2416.67,22.605
78,390000,-391.5217590332031,3183.23,78,14.0672,2733.73,22.7339
79,395000,-203.29141235351562,3113.15,79,15.4203,3016.83,23.3093
80,400000,-255.31744384765625,3215.52,80,13.7728,2887.47,22.0689
81,405000,-469.8775939941406,3214.71,81,19.6975,2193.99,22.4409
82,410000,-432.6387023925781,3181.08,82,16.8325,1834.03,22.2274
83,415000,-317.5169372558594,3193.67,83,14.9821,2708.54,21.8029
84,420000,-179.62246704101562,3205.94,84,14.7111,3124.76,21.9093
85,425000,-392.8356628417969,3199.99,85,18.8598,1728.3,22.1239
86,430000,-201.52914428710938,3193.62,86,15.9751,3191.44,22.4252
87,435000,-208.72622680664062,3110.62,87,15.0794,3035.23,22.5386
88,440000,-220.16184997558594,3169.89,88,15.8412,3151.11,23.1694
89,445000,-210.8841552734375,3184.71,89,14.8749,3161.94,23.1025
90,450000,-259.94329833984375,3167.71,90,13.8992,3001.11,22.1676
91,455000,-195.57249450683594,3210.39,91,14.695,3190.87,22.2673
92,460000,-216.04591369628906,3228.76,92,14.5644,3124.46,21.7776
93,465000,-215.86293029785156,3234.3,93,13.2772,3106.0,21.5275
94,470000,-209.60504150390625,3199.76,94,15.2254,3185.24,22.0493
95,475000,-199.11956787109375,3192.07,95,14.6398,3180.66,22.1599
96,480000,-237.79391479492188,3241.42,96,13.4144,3110.81,21.1638
97,485000,-200.00582885742188,3229.25,97,15.2818,3151.88,22.3731
98,490000,-449.34942626953125,3247.47,98,12.5004,2462.64,21.9163
99,495000,-212.4412078857422,3218.81,99,14.2695,3117.08,22.3756
100,500000,-209.30462646484375,3233.26,100,14.1556,3137.7,21.4412
101,505000,-206.92115783691406,3266.19,101,13.8094,3235.15,21.5686
102,510000,-206.0121307373047,3266.26,102,14.0441,3224.89,21.5988
103,515000,-212.34988403320312,3223.82,103,14.9236,3210.86,22.1441
104,520000,-190.20855712890625,3253.39,104,14.535,3203.81,21.9818
105,525000,-197.17132568359375,3257.55,105,14.8446,3239.28,22.046
106,530000,-223.4643096923828,3267.63,106,14.1437,3169.37,21.8228
107,535000,-201.07716369628906,3258.72,107,14.6839,3271.21,21.813
108,540000,-217.47100830078125,3244.0,108,14.4162,2952.15,22.0371
109,545000,-201.4474334716797,3278.88,109,14.6257,3180.36,21.6933
110,550000,-233.40512084960938,3278.22,110,13.1897,3165.73,21.3111
111,555000,-212.89056396484375,3249.45,111,14.098,3238.36,21.793
112,560000,-222.65553283691406,3265.96,112,13.6257,2992.32,21.2496
113,565000,-216.1617889404297,3245.83,113,14.7558,3241.42,22.2848
114,570000,-215.6212921142578,3238.5,114,14.6316,3199.54,22.0333
115,575000,-245.3355255126953,3213.4,115,14.5233,3196.11,22.3103
116,580000,-220.0961151123047,3271.71,116,14.8074,3264.92,22.4122
117,585000,-218.23895263671875,3271.96,117,15.2936,3274.82,22.4157
118,590000,-230.58676147460938,3265.65,118,14.32,3263.17,21.668
119,595000,-233.3472442626953,3243.6,119,14.2595,3163.56,22.1459
120,600000,-235.21774291992188,3219.95,120,14.0382,3111.78,21.8865
121,605000,-231.42742919921875,3242.1,121,14.6308,3239.96,21.5937
122,610000,-231.54991149902344,3232.83,122,13.9393,3213.99,21.5945
123,615000,-238.0758514404297,3221.3,123,13.7861,3124.5,21.8079
124,620000,-249.84759521484375,3282.23,124,12.938,3278.89,20.9926
125,625000,-240.58151245117188,3305.17,125,13.4448,3279.1,21.2276
126,630000,-271.233154296875,3284.27,126,12.8546,3143.56,21.4823
127,635000,-257.52227783203125,3262.19,127,14.3804,3244.85,22.2074
128,640000,-255.3336639404297,3256.17,128,13.8091,3238.26,21.578
129,645000,-247.07275390625,3283.72,129,14.1212,3225.99,22.0291
130,650000,-219.97695922851562,3286.06,130,13.9647,3270.57,21.4248
131,655000,-254.70948791503906,3240.53,131,14.4848,3234.17,22.2462
132,660000,-246.31637573242188,3297.42,132,13.1338,3282.92,20.7489
133,665000,-233.36398315429688,3268.33,133,13.5765,3271.21,20.8862
134,670000,-256.02752685546875,3291.57,134,12.6196,3131.18,20.3762
135,675000,-224.1410675048828,3330.67,135,12.8448,3318.28,20.055
136,680000,-222.7700958251953,3311.71,136,13.2906,3291.62,20.5645
137,685000,-207.6131134033203,3327.35,137,13.7669,3317.35,20.1109
138,690000,-236.0302734375,3299.19,138,13.6982,3280.72,20.4184
139,695000,-230.22120666503906,3310.07,139,12.6903,3290.01,20.0639
140,700000,-277.0946044921875,3275.01,140,13.8402,3258.2,21.4085
141,705000,-226.443115234375,3316.93,141,12.7181,3297.63,19.6133
142,710000,-279.136474609375,3306.07,142,12.4,3265.47,20.4912
143,715000,-238.44784545898438,3315.07,143,13.5993,3301.35,20.6027
144,720000,-240.67062377929688,3325.95,144,13.4269,3301.87,20.2917
145,725000,-236.26368713378906,3298.59,145,13.2074,3281.79,20.0857
146,730000,-267.1897277832031,3308.81,146,14.1165,3296.93,21.4769
147,735000,-258.15118408203125,3292.9,147,13.3979,3119.12,20.8479
148,740000,-241.29689025878906,3328.13,148,13.2566,3306.14,20.8185
149,745000,-269.9254150390625,3278.73,149,13.7953,3260.66,21.2651
150,750000,-234.46173095703125,3337.2,150,13.2504,3312.11,19.843
151,755000,-234.85720825195312,3320.02,151,13.2768,3144.87,19.9376
152,760000,-259.5052795410156,3308.39,152,13.3442,3100.0,20.66
153,765000,-237.61380004882812,3328.98,153,13.3892,3322.6,20.2261
154,770000,-269.0411682128906,3293.93,154,12.9139,3275.45,20.2394
155,775000,-239.56126403808594,3348.57,155,12.8045,3298.32,19.7641
156,780000,-257.1409912109375,3354.04,156,12.8946,3333.5,20.3203
157,785000,-267.35174560546875,3316.74,157,13.3019,3287.96,21.0626
158,790000,-283.1769714355469,3306.6,158,13.4222,3286.24,21.2245
159,795000,-290.39276123046875,3276.91,159,13.0508,3254.79,20.7619
160,800000,-289.1497497558594,3313.24,160,12.3278,3293.54,19.9993
161,805000,-272.7444763183594,3337.37,161,12.6031,3312.88,19.7057
162,810000,-261.3475341796875,3351.6,162,13.112,3284.61,19.9571
163,815000,-284.0748291015625,3319.51,163,13.5474,3306.6,20.8118
164,820000,-282.2249450683594,3325.31,164,13.1023,3206.82,19.7964
165,825000,-234.4394989013672,3363.52,165,12.1577,3343.75,19.1494
166,830000,-315.4267578125,3352.24,166,12.5992,2851.86,19.9677
167,835000,-371.2342529296875,3340.0,167,13.9152,3159.71,19.616
168,840000,-287.2500915527344,3328.03,168,12.7673,3305.91,19.6868
169,845000,-262.80218505859375,3356.67,169,12.4167,3330.67,19.2503
170,850000,-268.9753723144531,3311.13,170,11.6454,3286.32,18.9221
171,855000,-296.17034912109375,3349.31,171,13.1772,2876.79,19.5641
172,860000,-274.2655334472656,3353.62,172,12.6291,3338.14,19.2256
173,865000,-291.984619140625,3311.63,173,12.7107,3129.56,20.1292
174,870000,-293.84130859375,3324.18,174,12.9277,3078.23,19.6239
175,875000,-287.4894714355469,3373.53,175,13.8906,3365.08,20.6964
176,880000,-296.2505798339844,3332.87,176,13.0261,3122.26,19.564
177,885000,-298.3680419921875,3314.8,177,12.5652,3297.43,19.6167
178,890000,-284.7585754394531,3306.38,178,12.4277,3289.54,19.1857
179,895000,-297.455078125,3334.11,179,11.9331,3207.66,19.1336
180,900000,-345.61138916015625,3296.13,180,12.5701,3270.16,20.1086
181,905000,-317.6280822753906,3319.69,181,12.8277,3223.88,19.8307
182,910000,-322.9484558105469,3313.02,182,13.0994,3291.71,19.5952
183,915000,-292.0014953613281,3390.72,183,12.723,3350.56,19.6723
184,920000,-316.23797607421875,3316.19,184,12.7497,3300.27,20.1097
185,925000,-296.6800231933594,3358.25,185,12.2193,3346.19,18.9247
186,930000,-346.6808166503906,3333.5,186,16.3979,3237.91,19.4314
187,935000,-342.6424865722656,3303.94,187,12.1683,3285.62,19.2496
188,940000,-305.50604248046875,3369.33,188,13.0082,3367.06,19.4897
189,945000,-312.6966247558594,3339.77,189,12.4785,3323.77,19.2735
190,950000,-306.97064208984375,3335.38,190,11.4212,3333.83,18.6165
191,955000,-319.27777099609375,3346.04,191,12.4343,3335.25,19.0794
192,960000,-367.0703125,3324.33,192,13.6225,3229.07,19.504
193,965000,-350.48480224609375,3353.98,193,12.7073,3175.92,18.3611
194,970000,-356.8487854003906,3314.77,194,12.7177,3304.07,19.8725
195,975000,-335.2695617675781,3357.76,195,11.6198,3214.77,19.2574
196,980000,-342.80902099609375,3326.53,196,12.1663,3301.95,19.4583
197,985000,-338.48870849609375,3359.64,197,12.2502,3226.55,19.3292
198,990000,-391.3002014160156,3356.61,198,15.2049,3345.87,19.2476
199,995000,-455.7789611816406,3331.22,199,12.1298,3240.9,19.5978
