Running Forward KL,Itration,Running Update Time,Real Det Return,Reward Loss,Running Reverse KL,Running Env Steps,Real Sto Return
36.8872,74,74,1021.44,-5823.30517578125,38.1909,370000,1021.48
35.8586,75,75,1038.25,-5591.8134765625,22.1035,375000,1033.48
37.1744,76,76,1023.85,-5735.22509765625,33.9088,380000,1025.96
37.7445,77,77,1034.41,-6057.52783203125,40.3495,385000,1034.53
37.5678,78,78,1030.95,-6134.75341796875,37.0672,390000,1031.72
31.7409,79,79,108.75,-4637.169921875,45.3363,395000,112.29
31.6933,80,80,158.72,-5915.697265625,33.2674,400000,145.82
32.0289,81,81,7.7,-6271.36572265625,78.9444,405000,7.91
37.2036,82,82,1023.67,-6203.46337890625,39.469,410000,1023.89
36.8595,83,83,75.12,-6691.7626953125,33.91,415000,73.73
36.1719,84,84,991.0,-6297.306640625,29.9196,420000,990.15
38.844,85,85,989.87,-6343.46630859375,38.5688,425000,990.33
38.7731,86,86,987.17,-6636.64306640625,43.4462,430000,986.28
39.1086,87,87,990.08,-6731.2666015625,39.2918,435000,992.91
32.0318,88,88,514.84,-6175.36767578125,31.6679,440000,582.74
37.178,89,89,80.96,-7329.3408203125,30.9287,445000,78.55
31.6614,90,90,49.12,-6506.4755859375,37.3969,450000,48.66
40.1328,91,91,1059.52,-6915.46728515625,43.9006,455000,1060.21
35.8902,92,92,1059.68,-6939.48486328125,37.2121,460000,1060.34
36.8685,93,93,1057.12,-7089.623046875,27.3162,465000,998.05
36.201,94,94,1031.71,-7025.9482421875,38.9863,470000,1030.96
37.956,95,95,1014.88,-7087.8095703125,30.6216,475000,1014.87
33.522,96,96,397.27,-6369.18701171875,28.3071,480000,405.31
33.1954,97,97,498.12,-5959.990234375,36.7144,485000,492.47
33.8236,98,98,251.56,-7036.99951171875,29.4359,490000,279.73
35.6091,99,99,355.43,-7247.099609375,25.3986,495000,352.11
34.8017,100,100,1044.83,-7031.2197265625,26.6641,500000,413.97
36.6841,101,101,1032.29,-7761.23291015625,41.487,505000,1031.89
38.9245,102,102,989.2,-7647.62353515625,52.0101,510000,989.26
39.0092,103,103,985.59,-7696.1591796875,48.5895,515000,985.9
39.2728,104,104,415.5,-7628.6416015625,36.3871,520000,438.59
39.9799,105,105,994.56,-7759.384765625,62.0162,525000,994.53
39.5384,106,106,1009.28,-7714.2412109375,45.6447,530000,1008.89
37.5787,107,107,1022.64,-7856.73291015625,43.6181,535000,1027.18
34.0482,108,108,298.82,-8456.548828125,52.8407,540000,244.55
32.7001,109,109,781.63,-7949.70263671875,25.9008,545000,774.05
36.7768,110,110,1022.37,-7821.642578125,33.6064,550000,1022.04
37.8101,111,111,984.08,-8339.8271484375,36.5066,555000,984.06
32.5555,112,112,151.6,-7364.2880859375,83.389,560000,151.82
27.7247,113,113,603.25,-5546.1220703125,43.0578,565000,1126.37
32.71,114,114,590.9,-7740.6748046875,58.5863,570000,581.3
32.3076,115,115,580.33,-7869.80810546875,38.7599,575000,624.9
33.144,116,116,341.35,-5122.3515625,24.1598,580000,346.13
33.3825,117,117,353.13,-8052.04150390625,63.1995,585000,350.1
32.9327,118,118,395.69,-7727.1943359375,35.45,590000,392.33
40.4008,119,119,973.39,-8532.8603515625,45.5379,595000,993.79
34.4993,120,120,994.47,-8523.9267578125,34.8695,600000,965.56
37.6226,121,121,989.97,-8820.3623046875,47.9329,605000,989.0
37.1078,122,122,995.67,-8961.890625,37.8817,610000,996.35
36.0374,123,123,1032.7,-8995.5498046875,30.3737,615000,1033.68
35.4493,124,124,1042.64,-9376.431640625,30.918,620000,1046.45
36.5258,125,125,992.29,-9188.5966796875,24.7961,625000,1016.06
38.1961,126,126,977.07,-9335.654296875,50.866,630000,973.92
37.7079,127,127,1008.01,-8862.53125,25.638,635000,1007.65
37.89,128,128,1001.18,-9534.1474609375,51.4066,640000,1001.54
36.0794,129,129,1017.01,-9422.0927734375,24.7203,645000,1015.95
31.536,130,130,334.46,-8882.5341796875,23.8175,650000,913.97
38.9129,131,131,973.81,-9961.294921875,45.8217,655000,973.74
34.055,132,132,85.62,-8555.0810546875,36.5863,660000,85.16
33.1328,133,133,70.68,-6597.5439453125,30.4391,665000,71.03
39.9212,134,134,1007.93,-10112.052734375,46.9086,670000,1008.07
26.5711,135,135,751.2,-6901.65869140625,26.547,675000,663.04
38.5882,136,136,998.85,-10162.9091796875,54.2076,680000,998.32
38.3059,137,137,986.47,-10354.01171875,55.4149,685000,986.42
40.193,138,138,982.57,-10272.279296875,47.6538,690000,983.17
34.3763,139,139,410.67,-9428.6201171875,18.9632,695000,434.33
33.1814,140,140,386.54,-10423.857421875,58.4224,700000,378.88
33.3838,141,141,329.33,-9469.4873046875,29.6348,705000,333.53
32.6477,142,142,343.02,-8487.685546875,21.4098,710000,368.9
32.3991,143,143,320.15,-9367.0009765625,21.3616,715000,320.33
35.4182,144,144,359.81,-9986.890625,31.105,720000,300.38
32.84,145,145,250.05,-8742.3408203125,58.5747,725000,263.22
32.7161,146,146,368.91,-7338.0068359375,26.9853,730000,317.26
31.8814,147,147,126.19,-8547.6357421875,24.3672,735000,140.45
32.7659,148,148,52.76,-11124.28515625,65.4918,740000,57.92
33.763,149,149,959.35,-10688.42578125,24.3272,745000,570.53
33.0588,150,150,76.06,-10863.8662109375,31.7274,750000,77.87
32.1607,151,151,128.83,-11234.5439453125,25.3849,755000,144.69
38.7399,152,152,1004.99,-11317.9853515625,37.3049,760000,1003.94
34.6925,153,153,406.9,-11464.0009765625,25.141,765000,403.36
34.084,154,154,1055.11,-11748.845703125,34.4068,770000,1055.62
40.802,155,155,1013.05,-11879.8583984375,38.0162,775000,1012.32
36.5693,156,156,1054.68,-12022.80859375,26.4162,780000,1055.14
35.8321,157,157,1025.75,-11865.4658203125,22.3512,785000,1052.59
36.1872,158,158,1003.12,-11481.5439453125,31.278,790000,1004.27
36.391,159,159,997.57,-10808.4541015625,24.269,795000,999.07
37.2422,160,160,998.35,-11322.888671875,27.6852,800000,998.69
38.3953,161,161,1056.0,-12477.4990234375,26.8996,805000,1057.03
38.196,162,162,1050.24,-12433.1279296875,30.9528,810000,1051.15
38.1207,163,163,1058.44,-12411.015625,30.1867,815000,1059.27
37.3301,164,164,976.99,-12360.3603515625,36.2534,820000,977.8
37.678,165,165,979.69,-12529.7353515625,43.1782,825000,978.14
37.7206,166,166,975.18,-12433.6396484375,35.7638,830000,977.34
37.4143,167,167,974.36,-12788.41796875,41.5325,835000,974.5
37.1052,168,168,975.0,-12911.92578125,31.9476,840000,980.51
36.799,169,169,987.11,-12668.76171875,28.2306,845000,989.7
32.3034,170,170,990.37,-11916.6845703125,21.0004,850000,819.03
31.2218,171,171,600.05,-12597.0068359375,26.1227,855000,583.91
34.8915,172,172,1038.21,-13087.2978515625,25.4135,860000,1040.39
37.1784,173,173,1038.18,-13455.326171875,27.9391,865000,1038.94
28.2528,174,174,874.82,-10847.3837890625,22.768,870000,912.3
27.8152,175,175,930.5,-10543.4384765625,17.1619,875000,835.35
34.8232,176,176,418.06,-13309.041015625,24.1413,880000,417.65
39.2658,177,177,1012.58,-13448.8564453125,41.4974,885000,1011.88
33.2962,178,178,642.86,-13585.9833984375,41.4794,890000,635.94
37.3617,179,179,982.07,-13527.623046875,31.4293,895000,978.96
37.2561,180,180,1041.95,-13942.87890625,33.3117,900000,1044.51
32.9255,181,181,429.31,-11987.1103515625,50.8115,905000,429.65
35.5309,182,182,439.31,-14395.9921875,51.288,910000,438.41
34.4653,183,183,445.1,-13568.998046875,37.2067,915000,471.94
33.7603,184,184,407.19,-13365.5087890625,23.2361,920000,397.44
32.9035,185,185,120.11,-13936.5478515625,61.5198,925000,119.21
36.9761,186,186,1034.82,-14236.08203125,37.6575,930000,1034.78
38.8424,187,187,994.9,-14446.201171875,39.2131,935000,995.09
40.0958,188,188,1014.97,-14413.361328125,36.1127,940000,1014.58
37.2602,189,189,993.92,-14636.6640625,52.3106,945000,993.96
36.2707,190,190,1003.3,-15124.46875,41.6374,950000,1003.16
34.7375,191,191,144.48,-14777.2099609375,37.0004,955000,144.83
35.3708,192,192,1024.41,-14630.283203125,27.3762,960000,1032.37
32.7121,193,193,237.73,-14007.310546875,27.6267,965000,223.64
32.4346,194,194,836.31,-13545.517578125,23.5779,970000,954.12
32.7006,195,195,10.18,-13414.3681640625,40.305,975000,10.28
39.3245,196,196,983.06,-14983.0478515625,31.728,980000,986.1
31.4258,197,197,191.72,-10135.41796875,17.9545,985000,199.1
35.8722,198,198,1049.15,-15658.009765625,25.4165,990000,1049.89
31.8415,199,199,685.15,-12535.705078125,22.8678,995000,477.42
