Running Reverse KL,Real Sto Return,Running Forward KL,Running Env Steps,Reward Loss,Real Det Return,Itration,Running Update Time
14.5273,3171.24,22.7903,535000,-1968.8465576171875,3176.45,107,107
14.7327,3157.58,23.0685,540000,-2108.48095703125,3182.52,108,108
15.1989,3188.54,22.9077,545000,-1964.8388671875,3185.31,109,109
14.4375,3182.58,22.7721,550000,-1764.546875,3199.99,110,110
14.7112,3172.66,22.7427,555000,-1985.408935546875,3183.43,111,111
13.8194,3037.93,22.4611,560000,-2018.39794921875,3178.71,112,112
14.583,3166.45,22.4776,565000,-2114.376220703125,3177.75,113,113
12.9853,3170.26,21.9947,570000,-1961.0179443359375,3186.87,114,114
14.3448,3183.37,22.3762,575000,-1961.83203125,3210.97,115,115
13.4591,3164.32,21.8957,580000,-1922.668212890625,3186.07,116,116
13.8837,3178.22,22.3413,585000,-2044.640869140625,3181.84,117,117
14.4944,3174.4,22.4888,590000,-2122.279296875,3197.5,118,118
14.8344,3177.97,22.9763,595000,-2133.41162109375,3179.81,119,119
14.5079,3134.0,22.6606,600000,-2243.6640625,3134.44,120,120
14.6507,3200.57,22.817,605000,-2187.671630859375,3198.2,121,121
13.6278,3188.56,21.4479,610000,-2059.10546875,3208.26,122,122
12.3048,3177.86,21.2844,615000,-2026.258544921875,3230.01,123,123
13.9044,3154.57,22.3679,620000,-2192.690185546875,3195.81,124,124
14.4612,3195.77,22.3616,625000,-2195.1318359375,3198.1,125,125
14.7011,3150.2,22.4558,630000,-2392.82666015625,3152.01,126,126
13.0364,3200.94,21.7436,635000,-2247.977783203125,3222.72,127,127
13.4145,3146.99,21.8439,640000,-2220.17333984375,3217.58,128,128
13.1591,3114.12,21.9393,645000,-2251.44140625,3221.84,129,129
14.0808,3189.0,21.997,650000,-2207.75537109375,3185.73,130,130
13.5752,2996.78,22.1642,655000,-2359.175048828125,3194.52,131,131
13.946,3189.78,22.0933,660000,-2447.65673828125,3209.1,132,132
14.0042,3168.47,22.2316,665000,-2466.66259765625,3193.93,133,133
13.4842,3090.85,22.1904,670000,-2499.083251953125,3250.16,134,134
14.0329,3140.77,22.0776,675000,-2468.212646484375,3163.28,135,135
