Running Env Steps,Itration,Real Sto Return,Running Reverse KL,Running Update Time,Real Det Return,Running Forward KL,Reward Loss
355000,71,2282.31,15.2466,71,3154.25,24.5257,-726.9468994140625
360000,72,1969.17,14.7435,72,3131.3,24.4688,-795.5577392578125
365000,73,2328.31,14.9329,73,3129.39,25.1246,-881.6468505859375
370000,74,3140.88,16.9658,74,3144.16,24.9196,-479.4100036621094
375000,75,3026.04,15.0956,75,3151.75,24.3387,-545.4771728515625
380000,76,2532.12,14.6207,76,3117.06,24.7669,-658.1734619140625
385000,77,2550.96,13.907,77,3157.37,24.7104,-762.42333984375
390000,78,2477.92,14.2747,78,3160.51,24.8524,-846.4761962890625
395000,79,2140.37,15.5701,79,3127.23,25.1067,-891.567626953125
400000,80,2003.32,15.6808,80,3097.13,24.2893,-847.0486450195312
405000,81,2719.76,16.4034,81,3148.09,24.6307,-893.9295654296875
410000,82,1938.07,16.6222,82,3182.78,24.4535,-967.1525268554688
415000,83,3001.07,16.9205,83,3143.37,25.4394,-529.4000244140625
420000,84,2324.14,15.3941,84,3182.52,24.7159,-825.6465454101562
425000,85,2616.76,16.0063,85,3156.72,24.6955,-677.881103515625
430000,86,2574.52,14.8191,86,3146.58,23.8052,-676.467529296875
435000,87,2498.76,14.3441,87,3175.6,23.9672,-890.7572021484375
440000,88,2625.31,16.0986,88,3182.2,24.3842,-632.9144287109375
445000,89,2933.5,14.3217,89,3143.41,23.8799,-813.5238647460938
450000,90,1943.96,14.9193,90,3181.88,24.0065,-902.9295043945312
455000,91,2433.7,14.457,91,3170.85,24.5231,-991.3925170898438
460000,92,2068.12,16.1181,92,3208.45,24.2383,-852.0720825195312
465000,93,2260.91,16.0517,93,3188.82,24.5559,-934.8886108398438
470000,94,2428.55,16.4482,94,3199.1,23.7558,-988.8414306640625
475000,95,2960.01,15.8281,95,3182.08,24.3993,-576.0905151367188
480000,96,2485.84,15.0572,96,3196.3,23.7516,-1128.8302001953125
485000,97,2391.08,14.4982,97,3199.33,23.9819,-896.0328979492188
490000,98,1871.41,16.1319,98,3190.07,24.2497,-1227.3355712890625
495000,99,2123.75,15.939,99,3206.52,23.8972,-1124.7093505859375
500000,100,2434.98,15.2132,100,3227.05,23.4889,-959.7967529296875
505000,101,2947.55,15.4424,101,3179.14,23.5961,-699.2498779296875
510000,102,1828.58,16.2862,102,3204.63,24.4248,-1363.6595458984375
515000,103,2925.81,14.6579,103,3256.75,22.888,-790.462158203125
520000,104,2478.79,14.2126,104,3209.53,23.4496,-1077.8126220703125
525000,105,2218.95,16.5095,105,3143.38,24.7287,-1318.6336669921875
530000,106,1866.32,15.9132,106,2566.12,23.5258,-1398.1903076171875
535000,107,1887.94,17.978,107,1797.77,24.5074,-1675.7415771484375
540000,108,2311.57,15.3226,108,3222.64,23.198,-1087.20263671875
545000,109,2757.04,15.2208,109,3223.36,22.9259,-1150.45166015625
550000,110,2204.43,13.9373,110,3262.33,23.4305,-1327.947021484375
555000,111,2359.63,14.3108,111,2909.33,23.4886,-1278.5771484375
560000,112,2229.36,12.523,112,3193.63,22.7486,-1001.1904907226562
565000,113,2475.28,13.0349,113,3296.29,22.3198,-1109.324951171875
570000,114,2399.74,14.7778,114,3251.2,23.2744,-1444.1805419921875
575000,115,2145.69,15.5598,115,3169.55,22.3218,-1206.0521240234375
580000,116,2246.78,15.6011,116,3237.77,24.2155,-1500.8433837890625
585000,117,2191.22,13.6986,117,3146.69,22.3688,-1290.0604248046875
590000,118,2503.09,15.5254,118,3114.66,22.6677,-1327.8916015625
595000,119,2471.25,14.6685,119,3326.08,22.061,-1099.87646484375
600000,120,2829.43,15.9444,120,3393.01,22.499,-1201.413330078125
605000,121,2663.84,15.7577,121,2881.02,23.0545,-1459.748046875
610000,122,2327.69,16.5395,122,2933.78,22.7996,-1548.5931396484375
615000,123,2030.95,18.6719,123,2826.65,23.6201,-1613.9366455078125
620000,124,1833.5,20.0517,124,3416.39,23.456,-1772.425537109375
625000,125,2256.75,16.1946,125,1969.26,22.4489,-1275.14111328125
630000,126,1791.22,20.9782,126,1731.47,23.1001,-1746.8016357421875
635000,127,2622.2,16.9837,127,3280.16,21.6281,-1333.8475341796875
640000,128,2503.19,18.1059,128,1745.27,23.0897,-1426.9449462890625
645000,129,2367.57,16.3653,129,1789.07,22.7985,-1339.676513671875
650000,130,3071.44,15.1503,130,3285.39,22.1797,-1031.3128662109375
655000,131,2123.61,18.3441,131,2395.41,23.1221,-1530.5860595703125
660000,132,2146.3,17.2661,132,2075.46,22.3665,-1513.4156494140625
665000,133,2764.56,20.2777,133,3359.42,22.8259,-1760.7750244140625
670000,134,2385.28,23.1888,134,3160.56,23.134,-1916.575439453125
675000,135,2273.86,19.2968,135,1556.09,23.8164,-2240.56689453125
680000,136,2068.33,22.2432,136,1136.46,23.0246,-2220.362548828125
685000,137,2517.84,15.374,137,3326.24,22.3342,-1261.3006591796875
690000,138,2080.04,20.9119,138,1736.45,23.0926,-2029.2764892578125
695000,139,2247.98,14.9569,139,3345.76,21.7992,-1448.6856689453125
700000,140,2298.8,17.9662,140,1792.78,22.396,-1604.88671875
705000,141,2923.46,15.7024,141,3345.88,22.0576,-1429.19482421875
710000,142,2768.55,16.8461,142,2545.75,21.8554,-1705.169189453125
715000,143,2652.79,17.2104,143,2839.72,21.832,-1494.8897705078125
720000,144,2066.18,21.677,144,1969.59,23.4715,-2091.885009765625
725000,145,2473.93,17.9954,145,2745.09,22.8262,-1820.232421875
730000,146,3029.93,16.3168,146,3348.73,21.4094,-1559.801025390625
735000,147,2743.86,14.0557,147,3283.26,20.8703,-1207.157470703125
740000,148,2896.57,13.2331,148,3345.55,20.0359,-828.4439697265625
745000,149,2249.49,16.9734,149,2024.78,21.7778,-2000.394287109375
750000,150,2332.72,17.9993,150,2631.86,21.9474,-2082.932861328125
755000,151,1903.42,16.4327,151,3207.98,23.1212,-1923.779296875
760000,152,2205.46,18.7198,152,2979.13,22.622,-2177.19873046875
765000,153,2348.82,20.6238,153,1681.16,22.2575,-2216.16455078125
770000,154,2441.77,19.0366,154,3174.88,22.0659,-2171.04150390625
775000,155,2610.47,15.8394,155,3321.52,21.3687,-1295.038818359375
780000,156,2195.62,24.0105,156,2593.68,22.8708,-2610.878173828125
785000,157,2436.06,19.1245,157,2995.61,23.1679,-2623.970458984375
790000,158,3017.67,13.3702,158,3282.7,20.9218,-1174.5355224609375
795000,159,2430.06,15.6116,159,2310.18,22.062,-1891.21728515625
800000,160,2559.47,17.3689,160,3448.64,22.4556,-2466.085205078125
805000,161,2507.26,16.4275,161,2245.02,22.1502,-1740.304931640625
810000,162,2003.38,18.328,162,1795.93,22.4997,-2713.015380859375
815000,163,2243.01,17.896,163,2712.43,23.0019,-2783.785400390625
820000,164,1931.13,17.3427,164,2415.96,23.2988,-2776.23876953125
825000,165,2426.03,15.1688,165,2857.68,21.8919,-2228.890869140625
830000,166,2067.21,19.3101,166,2998.54,20.6796,-1636.864501953125
835000,167,2504.88,14.7395,167,2233.21,22.0179,-2361.958251953125
840000,168,2275.74,17.6989,168,2678.9,22.1073,-2190.06298828125
845000,169,1869.37,14.1838,169,3384.05,21.9478,-2198.00439453125
850000,170,1784.53,16.7934,170,1292.49,22.3705,-2645.3740234375
855000,171,2547.82,14.1546,171,3434.44,22.1073,-2533.22119140625
860000,172,2499.12,14.1752,172,3426.69,21.7325,-2302.762939453125
865000,173,2558.07,13.3664,173,3382.41,21.5411,-1842.4932861328125
870000,174,2530.98,12.902,174,3243.26,20.7633,-1489.2857666015625
875000,175,2310.75,13.8175,175,2248.62,21.572,-2373.43994140625
880000,176,2428.11,12.4471,176,2859.13,20.7912,-1872.67529296875
885000,177,2228.2,12.8031,177,2123.65,21.2333,-2097.93701171875
890000,178,3377.52,13.2362,178,3435.21,19.5064,-956.0296020507812
895000,179,2854.66,13.7882,179,3066.77,20.7985,-2058.019287109375
900000,180,2198.4,16.7887,180,1737.82,22.3424,-2926.73193359375
905000,181,2104.96,18.5533,181,2665.46,21.6987,-2695.28955078125
910000,182,2268.55,12.5027,182,1731.66,21.4267,-2488.6455078125
915000,183,2520.15,12.7798,183,3409.6,21.5966,-2076.623291015625
920000,184,2266.86,13.37,184,2339.18,21.74,-2686.322265625
925000,185,2672.15,13.8783,185,3130.65,21.3977,-2239.529052734375
930000,186,1837.14,14.9445,186,1595.0,22.0235,-3237.398193359375
935000,187,2405.57,13.0686,187,2191.59,22.4184,-2790.8486328125
940000,188,2007.68,15.9694,188,2241.37,23.2368,-3999.76171875
945000,189,2236.03,15.303,189,2910.34,22.6871,-3260.977294921875
950000,190,2479.02,14.4311,190,3001.31,20.958,-2192.6298828125
955000,191,3111.49,13.5691,191,3414.32,20.8613,-2289.489501953125
960000,192,2089.89,13.3436,192,2167.4,21.5004,-3002.735595703125
965000,193,2662.61,13.0783,193,3421.59,20.8911,-2396.72119140625
970000,194,3018.69,12.9174,194,3263.47,20.5597,-1622.2593994140625
975000,195,2309.49,17.2653,195,2256.56,22.0246,-3309.243896484375
980000,196,2728.65,13.0914,196,3431.05,20.6821,-2212.90625
985000,197,2720.29,13.9954,197,3405.79,21.0631,-2097.10205078125
990000,198,2303.14,13.5656,198,3071.22,21.6131,-2626.8046875
995000,199,2922.0,12.8188,199,3466.74,20.8005,-2114.142578125
