Running Reverse KL,Reward Loss,Running Update Time,Real Det Return,Real Sto Return,Running Forward KL,Running Env Steps,Itration
13.3321,-135.11099243164062,52,3099.15,3053.58,21.1033,260000,52
14.9389,-142.3380126953125,53,3085.72,3066.47,22.1969,265000,53
13.9605,-180.505859375,54,3055.41,3064.85,21.163,270000,54
14.0438,-171.38424682617188,55,3106.05,3054.5,21.7046,275000,55
14.2079,-180.7572021484375,56,3081.48,3058.98,21.714,280000,56
14.0291,-168.789794921875,57,3070.2,3059.31,21.3904,285000,57
13.5561,-155.53993225097656,58,3123.85,3102.77,20.8728,290000,58
13.8304,-172.25193786621094,59,3082.55,3061.48,21.0544,295000,59
14.2613,-186.23934936523438,60,3090.51,3082.35,21.1611,300000,60
13.18,-206.1000518798828,61,3100.19,3067.5,20.8059,305000,61
13.6443,-187.98678588867188,62,3105.41,3088.35,20.9149,310000,62
13.99,-223.01702880859375,63,3090.86,3073.71,21.3011,315000,63
13.5111,-224.94564819335938,64,3113.96,3091.05,20.7688,320000,64
13.3936,-212.5084228515625,65,3109.49,3080.27,20.906,325000,65
13.2866,-207.06884765625,66,3138.66,3014.53,20.5251,330000,66
13.6188,-228.69052124023438,67,3132.13,3130.63,20.4525,335000,67
13.4839,-237.6444091796875,68,3145.77,3128.37,20.2534,340000,68
14.1568,-243.4058837890625,69,3143.98,3140.07,20.9876,345000,69
13.9865,-239.28775024414062,70,3161.73,3161.72,20.7101,350000,70
13.7823,-253.5840301513672,71,3121.95,3117.38,20.946,355000,71
13.2405,-305.7117614746094,72,3071.79,3071.25,20.7788,360000,72
13.0323,-259.2666931152344,73,3147.58,3142.32,19.5693,365000,73
12.9319,-224.04270935058594,74,3181.32,3104.91,19.7493,370000,74
12.2444,-194.93109130859375,75,3210.47,2985.88,18.6727,375000,75
12.4934,-259.53448486328125,76,3200.0,3148.54,19.8291,380000,76
13.5417,-283.960693359375,77,3190.84,3185.61,20.2786,385000,77
13.3694,-297.2367858886719,78,3171.97,3187.46,19.7587,390000,78
12.8947,-278.60443115234375,79,3164.68,3152.73,19.941,395000,79
13.419,-300.26837158203125,80,3233.5,3194.85,20.23,400000,80
12.9985,-294.79632568359375,81,3189.71,3197.52,19.2388,405000,81
12.8943,-287.1302185058594,82,3222.91,3220.04,19.453,410000,82
13.2616,-360.09002685546875,83,3137.47,3151.58,19.9743,415000,83
13.0885,-358.26123046875,84,3185.58,3170.22,19.6366,420000,84
12.9694,-333.6276550292969,85,3175.91,3182.31,19.5373,425000,85
12.5004,-326.02288818359375,86,3242.01,3243.37,18.3906,430000,86
13.9211,-360.78021240234375,87,3218.1,3227.61,19.6728,435000,87
12.982,-378.7868957519531,88,3223.21,3230.71,19.0471,440000,88
13.2297,-438.5148620605469,89,3192.34,3190.39,19.9193,445000,89
13.4919,-412.07501220703125,90,3180.25,3183.05,19.9357,450000,90
12.9048,-382.5918273925781,91,3223.48,3226.12,18.8612,455000,91
13.8188,-448.97216796875,92,3243.44,3252.91,19.7273,460000,92
12.6305,-369.4082336425781,93,3266.36,3269.84,18.2454,465000,93
12.8961,-409.36968994140625,94,3271.29,3141.65,18.991,470000,94
13.3499,-446.190185546875,95,3241.7,3225.06,19.3537,475000,95
12.9318,-459.29742431640625,96,3225.63,3215.09,19.1339,480000,96
13.6758,-462.6222839355469,97,3214.33,3154.4,19.7833,485000,97
12.3188,-445.61602783203125,98,3245.82,3236.36,19.0321,490000,98
12.7918,-466.9393615722656,99,3264.86,3258.67,18.7457,495000,99
12.5827,-451.944091796875,100,3290.68,3284.65,18.6553,500000,100
12.2912,-449.70574951171875,101,3245.16,3235.47,18.4846,505000,101
12.0093,-450.4558410644531,102,3220.62,3218.54,18.6276,510000,102
11.8715,-450.986572265625,103,3264.37,3265.41,18.1163,515000,103
13.0543,-519.3005981445312,104,3256.0,3260.49,18.8588,520000,104
11.7358,-460.688720703125,105,3292.8,3277.23,17.9998,525000,105
12.6318,-492.2910461425781,106,3264.94,3259.75,19.0515,530000,106
12.5637,-488.1064453125,107,3266.42,3236.3,18.8466,535000,107
12.0386,-529.1949462890625,108,3315.61,3300.1,18.1624,540000,108
12.1977,-521.1007690429688,109,3263.36,3259.76,18.1559,545000,109
12.4775,-560.8688354492188,110,3248.48,3245.97,18.7666,550000,110
12.3374,-561.95166015625,111,3249.65,3240.71,18.6606,555000,111
12.7066,-547.2784423828125,112,3272.02,3189.06,18.8156,560000,112
12.283,-512.8685302734375,113,3262.27,3259.86,18.0648,565000,113
11.7067,-535.2783203125,114,3274.82,3264.93,17.994,570000,114
12.4693,-534.4033203125,115,3349.99,3336.85,18.1535,575000,115
12.3925,-581.0494995117188,116,3325.58,3308.61,18.0576,580000,116
11.0299,-518.8369750976562,117,3323.11,3310.33,17.2067,585000,117
12.245,-533.206787109375,118,3303.71,3290.83,17.953,590000,118
12.5352,-588.3898315429688,119,3286.72,3265.32,18.4124,595000,119
12.5568,-643.3850708007812,120,3304.53,3295.95,18.9795,600000,120
11.2513,-545.465087890625,121,3355.13,3315.78,17.2864,605000,121
11.8839,-590.7637329101562,122,3269.45,3259.26,18.1483,610000,122
12.4553,-632.026611328125,123,3276.86,3265.38,18.5982,615000,123
11.0018,-555.6665649414062,124,3280.26,3272.68,16.8101,620000,124
11.9613,-584.752685546875,125,3300.51,3279.9,17.3098,625000,125
12.2024,-614.2947387695312,126,3305.78,3294.54,17.5932,630000,126
11.3877,-575.9163818359375,127,3290.25,3280.73,17.2884,635000,127
12.5228,-636.0234375,128,3252.54,3158.82,18.4944,640000,128
11.7289,-632.3057250976562,129,3335.96,3309.69,17.6008,645000,129
11.8434,-676.1929931640625,130,3309.72,3303.35,17.5378,650000,130
11.4636,-584.0779418945312,131,3383.88,3341.16,16.7897,655000,131
11.9351,-623.308349609375,132,3362.85,3338.64,17.0262,660000,132
11.9124,-590.5811157226562,133,3329.02,3298.87,17.2172,665000,133
12.1627,-644.7941284179688,134,3355.94,3333.39,17.5284,670000,134
11.4708,-674.1243896484375,135,3341.7,3328.28,17.3899,675000,135
11.9842,-625.1146850585938,136,3348.33,3325.99,17.9899,680000,136
11.5941,-657.1320190429688,137,3298.31,3283.65,17.8305,685000,137
11.7512,-668.58935546875,138,3338.49,3302.03,17.4786,690000,138
11.2164,-581.6793823242188,139,3377.41,3339.98,16.6121,695000,139
11.9818,-715.3828735351562,140,3336.28,3303.72,17.6714,700000,140
11.9565,-692.8172607421875,141,3364.83,3349.02,17.7226,705000,141
12.4992,-834.1068725585938,142,3368.55,3353.78,18.6906,710000,142
10.9829,-607.4025268554688,143,3304.57,3302.63,16.9375,715000,143
11.7416,-667.2816162109375,144,3341.74,3239.14,17.3011,720000,144
12.1911,-708.2081298828125,145,3370.76,3341.78,17.4711,725000,145
11.8392,-653.0642700195312,146,3400.39,3388.66,17.0294,730000,146
12.3486,-696.2437133789062,147,3445.2,3375.43,17.3151,735000,147
11.59,-697.545166015625,148,3374.6,3352.57,16.5258,740000,148
11.5714,-753.2734375,149,3318.57,3303.69,17.3603,745000,149
12.0057,-750.3536987304688,150,3390.41,3362.1,17.8024,750000,150
10.8972,-813.9447631835938,151,3350.18,3313.4,17.5155,755000,151
12.2436,-732.5748901367188,152,3337.55,3300.08,18.0344,760000,152
11.9842,-784.506103515625,153,3416.96,3372.52,17.0846,765000,153
12.0858,-796.0353393554688,154,3393.24,3371.2,16.8854,770000,154
12.7517,-873.9425659179688,155,3300.43,3283.16,18.652,775000,155
12.5905,-819.8662109375,156,3423.42,3382.01,17.3855,780000,156
12.5543,-871.1779174804688,157,3373.6,3341.41,17.6337,785000,157
11.8323,-784.283447265625,158,3405.07,3360.31,17.5929,790000,158
12.4696,-915.631103515625,159,3288.94,3266.24,18.8191,795000,159
11.6494,-850.6871337890625,160,3415.17,3375.84,17.4339,800000,160
11.9911,-899.6464233398438,161,3384.01,3341.11,17.7097,805000,161
12.08,-796.2606201171875,162,3425.39,3395.04,17.215,810000,162
12.1202,-845.022705078125,163,3402.65,3391.38,17.3911,815000,163
11.618,-834.9998779296875,164,3362.04,3378.78,17.4746,820000,164
11.868,-875.8133544921875,165,3392.91,3359.41,17.2236,825000,165
11.8641,-763.7611083984375,166,3419.03,3395.37,17.0386,830000,166
11.4087,-758.1800537109375,167,3398.61,3360.88,17.0004,835000,167
12.6625,-917.5660400390625,168,3299.68,3293.57,18.4932,840000,168
34.2867,-1190.2781982421875,169,730.06,603.65,24.7544,845000,169
20.7963,-1098.14501953125,170,1422.66,1051.87,21.9196,850000,170
21.5479,-717.196533203125,171,2981.88,2313.39,18.9009,855000,171
13.6594,-803.454833984375,172,3230.29,3268.44,19.6582,860000,172
13.0158,-761.0303955078125,173,930.34,2324.66,18.4058,865000,173
13.4627,-1037.52587890625,174,3097.5,2214.71,20.668,870000,174
13.6285,-953.07177734375,175,3408.34,3388.39,19.4053,875000,175
12.9323,-962.16357421875,176,3422.54,3364.11,18.9654,880000,176
12.5694,-999.3008422851562,177,3373.54,3369.66,18.2209,885000,177
13.1701,-899.7689819335938,178,3454.41,3409.9,18.9578,890000,178
13.2164,-1045.0010986328125,179,3413.22,3381.58,18.763,895000,179
12.18,-968.5086669921875,180,3394.85,3348.78,18.7429,900000,180
12.7737,-1036.0604248046875,181,3399.38,3342.36,18.8216,905000,181
11.7144,-967.9700927734375,182,3394.02,3077.51,17.7563,910000,182
12.721,-1040.8973388671875,183,3434.16,3388.72,18.1449,915000,183
12.0242,-1112.275390625,184,3428.04,3336.24,17.5613,920000,184
12.2015,-962.307861328125,185,3416.87,3306.34,18.1023,925000,185
12.6624,-1025.9219970703125,186,3455.98,3403.09,17.7105,930000,186
11.7662,-1034.641357421875,187,3430.93,3325.95,17.2591,935000,187
11.8651,-1024.3038330078125,188,3436.0,3393.07,17.6161,940000,188
11.9758,-1077.8292236328125,189,3405.86,3363.33,17.5307,945000,189
11.9657,-1020.8807373046875,190,3417.44,3251.71,18.7822,950000,190
11.3377,-1032.6922607421875,191,3388.9,3357.2,16.6328,955000,191
12.098,-1015.80517578125,192,3442.29,3406.56,17.5592,960000,192
11.8214,-1059.681884765625,193,3427.08,3390.15,17.4917,965000,193
11.4053,-1058.0191650390625,194,3419.04,3388.67,17.0025,970000,194
11.3277,-985.731689453125,195,3449.11,3388.98,17.5223,975000,195
12.1429,-1046.221435546875,196,3412.74,3393.87,17.3761,980000,196
13.0187,-1137.5526123046875,197,3443.28,3419.53,18.2142,985000,197
12.4904,-1050.4830322265625,198,3449.26,3423.15,18.2337,990000,198
11.5006,-982.1425170898438,199,3422.24,3373.6,17.1609,995000,199
