Real Det Return,Real Sto Return,Running Reverse KL,Running Forward KL,Running Env Steps,Reward Loss,Itration,Running Update Time
717.97,717.0,60.875,39.205,275000,-4261.4013671875,55,55
1164.57,1168.28,50.0261,37.2124,280000,-4154.40380859375,56,56
1006.97,1007.08,71.6454,39.679,285000,-4406.2431640625,57,57
299.14,300.57,87.0002,30.6889,290000,-4063.947509765625,58,58
247.02,239.63,88.4894,30.292,295000,-4177.31005859375,59,59
434.29,431.68,23.4126,29.2845,300000,-3441.72900390625,60,60
982.17,982.02,34.3824,37.7495,305000,-4513.931640625,61,61
965.05,962.57,29.908,34.8546,310000,-3977.5302734375,62,62
987.09,987.54,36.6844,36.9537,315000,-4210.5087890625,63,63
992.15,992.19,41.4453,37.0437,320000,-4262.2421875,64,64
992.82,992.98,45.7524,37.4286,325000,-4322.51318359375,65,65
985.98,985.59,34.6655,37.041,330000,-4386.69921875,66,66
742.18,765.59,24.1489,33.5056,335000,-4132.123046875,67,67
1002.68,1000.43,39.1287,35.235,340000,-4381.9404296875,68,68
790.63,710.64,36.0675,33.8937,345000,-4574.85693359375,69,69
280.99,284.58,150.633,31.6927,350000,-5603.294921875,70,70
194.31,180.9,222.6631,31.9378,355000,-5845.79150390625,71,71
212.26,207.2,222.9487,32.9141,360000,-5939.447265625,72,72
186.37,188.17,222.9898,32.8596,365000,-6033.80517578125,73,73
102.87,102.1,53.6855,34.3637,370000,-6196.7763671875,74,74
959.89,956.88,26.4886,33.6695,375000,-4692.966796875,75,75
980.88,980.81,53.1721,38.768,380000,-5238.880859375,76,76
990.3,990.25,88.7368,39.1027,385000,-5399.72900390625,77,77
1021.22,1021.73,93.6217,39.0431,390000,-5375.0810546875,78,78
338.33,336.95,69.0266,37.8873,395000,-5224.947265625,79,79
1025.5,1025.3,53.5355,37.8163,400000,-5441.38427734375,80,80
1036.34,1036.32,46.3535,38.1338,405000,-5592.19140625,81,81
1019.4,1019.69,35.0306,38.5503,410000,-5582.73388671875,82,82
195.69,193.52,87.6971,36.4248,415000,-6169.71142578125,83,83
243.91,249.58,85.6993,34.9352,420000,-5816.1875,84,84
1022.1,967.08,37.1969,37.8339,425000,-5564.658203125,85,85
258.11,256.63,87.3099,36.761,430000,-6154.828125,86,86
347.62,350.46,32.7957,37.0289,435000,-5880.21630859375,87,87
279.06,277.45,41.2931,36.0216,440000,-6003.56005859375,88,88
150.53,157.22,117.9434,37.2768,445000,-6583.49365234375,89,89
818.37,816.19,34.5732,37.7142,450000,-5983.15673828125,90,90
252.15,255.56,87.951,37.2043,455000,-6559.41845703125,91,91
348.94,354.61,56.876,35.6906,460000,-6395.26416015625,92,92
168.68,168.43,124.7853,36.2585,465000,-6881.6015625,93,93
167.79,167.54,84.2996,31.7307,470000,-5866.0703125,94,94
1013.61,1013.58,81.0542,38.3901,475000,-6406.45849609375,95,95
632.8,737.79,46.1577,34.5017,480000,-6141.9423828125,96,96
987.79,988.24,33.6655,38.165,485000,-6503.6689453125,97,97
995.89,995.69,34.5362,38.4467,490000,-6498.42236328125,98,98
71.42,71.35,147.5709,35.8915,495000,-7483.14697265625,99,99
98.43,97.27,140.0136,36.4047,500000,-7522.2958984375,100,100
59.1,62.52,182.2297,37.6347,505000,-7859.17529296875,101,101
130.26,139.43,151.4102,37.2426,510000,-7730.2333984375,102,102
69.18,68.46,186.9669,38.1658,515000,-8074.49609375,103,103
82.11,83.02,52.2537,34.5032,520000,-7733.931640625,104,104
130.62,132.16,49.5782,34.8626,525000,-7865.72265625,105,105
80.89,80.34,43.5595,34.1601,530000,-7864.22509765625,106,106
79.71,70.97,41.8724,36.4385,535000,-8062.14111328125,107,107
196.69,194.46,119.0048,34.1593,540000,-7522.83935546875,108,108
70.82,71.1,164.2676,37.6897,545000,-9953.3134765625,109,109
162.23,163.18,141.2189,37.621,550000,-9811.7529296875,110,110
128.86,131.84,60.2071,32.812,555000,-6914.21533203125,111,111
225.11,221.65,95.1365,32.5169,560000,-7125.60986328125,112,112
150.52,150.28,118.702,35.3811,565000,-8514.64453125,113,113
63.21,62.05,196.6595,38.4896,570000,-8930.263671875,114,114
137.21,137.84,87.3706,32.0584,575000,-7098.35205078125,115,115
46.33,45.87,183.4971,38.6151,580000,-9159.8505859375,116,116
106.95,107.44,84.7035,35.865,585000,-9228.341796875,117,117
136.44,140.3,67.4016,32.7338,590000,-7594.546875,118,118
251.65,253.7,131.894,35.2986,595000,-8591.498046875,119,119
75.11,74.61,182.1762,38.2378,600000,-12762.10546875,120,120
231.62,234.54,111.4214,29.938,605000,-5397.24462890625,121,121
176.43,177.6,154.9643,33.7832,610000,-9486.228515625,122,122
60.32,63.08,174.5858,33.6438,615000,-10153.7119140625,123,123
23.49,24.12,195.9676,36.58,620000,-10862.8271484375,124,124
58.82,63.27,133.9105,32.8587,625000,-9357.8896484375,125,125
127.46,130.75,178.4444,38.5059,630000,-11212.5009765625,126,126
25.26,25.33,39.2073,32.3092,635000,-6748.50244140625,127,127
24.5,25.58,185.1818,33.7147,640000,-11095.6669921875,128,128
3.98,3.98,212.3228,37.0047,645000,-12473.4189453125,129,129
15.41,14.95,95.4138,33.3638,650000,-10335.0283203125,130,130
359.23,365.45,103.1787,36.8731,655000,-10635.4697265625,131,131
41.85,42.17,46.1206,39.0387,660000,-11705.759765625,132,132
18.79,18.79,45.1883,36.3143,665000,-11292.9697265625,133,133
31.21,31.29,51.2144,38.9702,670000,-10831.642578125,134,134
30.57,30.32,48.7038,35.4905,675000,-10902.7216796875,135,135
35.28,35.0,40.997,36.4877,680000,-11451.0400390625,136,136
166.56,167.04,80.7499,33.2383,685000,-8263.712890625,137,137
988.17,1006.88,110.7584,38.3681,690000,-9107.2529296875,138,138
368.51,372.83,92.5608,39.5867,695000,-9905.0146484375,139,139
1020.69,1020.67,123.0886,39.5516,700000,-9247.0712890625,140,140
73.5,73.6,47.2522,36.2524,705000,-11214.0869140625,141,141
1023.18,1022.63,139.1922,38.6208,710000,-9073.5908203125,142,142
1024.23,1024.38,120.9515,38.8114,715000,-9504.7939453125,143,143
1023.91,1023.94,72.6596,39.6793,720000,-9381.138671875,144,144
1025.05,1025.14,79.8187,39.2605,725000,-9469.744140625,145,145
1028.27,1028.18,74.1796,40.0777,730000,-9790.1591796875,146,146
316.46,315.62,81.5304,39.9821,735000,-9764.9326171875,147,147
467.84,360.76,102.3398,39.1661,740000,-9845.650390625,148,148
979.1,1029.97,80.6649,39.0368,745000,-9934.9951171875,149,149
337.89,338.06,76.6501,39.1218,750000,-10000.6640625,150,150
563.65,561.09,72.9551,39.4639,755000,-10144.078125,151,151
17.17,17.08,134.0271,35.8147,760000,-12208.3974609375,152,152
16.63,16.47,217.0565,34.5018,765000,-12276.2197265625,153,153
16.7,15.92,94.6396,34.4084,770000,-10195.556640625,154,154
-2.25,-2.41,52.7417,35.6686,775000,-9859.591796875,155,155
-2.32,-2.42,139.6987,35.6841,780000,-10962.744140625,156,156
-2.3,-2.44,234.4254,37.8406,785000,-12901.3427734375,157,157
-2.4,-2.39,240.1221,38.0657,790000,-12927.787109375,158,158
-2.41,-2.3,228.7316,38.1696,795000,-13113.626953125,159,159
-2.32,-2.29,217.525,37.984,800000,-13321.69140625,160,160
-2.41,-2.31,227.8848,38.7116,805000,-16366.56640625,161,161
-2.33,-2.3,223.4325,37.1434,810000,-16204.12109375,162,162
-2.27,-2.43,126.3407,33.759,815000,-13886.623046875,163,163
-2.39,-2.37,28.0496,32.4468,820000,-10762.7734375,164,164
-2.38,-2.35,215.9879,37.8582,825000,-15249.236328125,165,165
-2.35,-2.41,198.4455,38.8754,830000,-19337.638671875,166,166
-2.37,-2.46,161.1925,34.0053,835000,-16074.083984375,167,167
-2.37,-2.43,187.0285,36.5479,840000,-17596.669921875,168,168
-2.27,-2.27,201.3738,38.2539,845000,-17821.08984375,169,169
198.25,188.58,97.825,36.2702,850000,-17377.224609375,170,170
101.05,122.9,107.3587,32.9628,855000,-14513.88671875,171,171
46.8,46.48,115.535,32.3947,860000,-12372.0166015625,172,172
37.85,38.2,89.4242,31.5345,865000,-9983.4521484375,173,173
37.52,37.69,105.9319,33.2942,870000,-12706.5478515625,174,174
37.9,37.78,181.223,35.7897,875000,-7880.39208984375,175,175
37.68,37.89,142.9251,35.6661,880000,-11776.908203125,176,176
37.93,38.18,183.0007,35.7651,885000,-7661.49609375,177,177
38.24,38.24,175.4953,35.7508,890000,-8391.001953125,178,178
38.11,37.72,179.6384,35.8311,895000,-7487.7041015625,179,179
37.81,37.86,168.526,35.8544,900000,-8261.640625,180,180
37.91,37.9,184.7312,35.7323,905000,-8076.8779296875,181,181
38.19,37.75,208.2293,33.6474,910000,-11956.9755859375,182,182
38.38,37.57,190.3223,33.2905,915000,-11913.037109375,183,183
38.07,37.55,194.0024,33.2397,920000,-10787.9873046875,184,184
38.29,37.96,150.4752,32.9321,925000,-10029.8447265625,185,185
37.81,37.63,104.7839,33.1739,930000,-9663.9580078125,186,186
37.92,37.92,29.3361,33.2146,935000,-12131.8427734375,187,187
37.69,37.56,35.6712,33.2834,940000,-12926.48828125,188,188
37.63,37.71,59.8881,32.5677,945000,-13172.412109375,189,189
37.29,37.47,64.178,33.1041,950000,-14738.84765625,190,190
38.02,38.26,114.9554,32.9204,955000,-14963.328125,191,191
37.85,37.91,80.524,32.645,960000,-13669.123046875,192,192
37.73,37.98,168.4684,33.1323,965000,-20971.796875,193,193
37.86,38.04,49.7446,32.6702,970000,-11641.505859375,194,194
37.92,37.86,202.1632,34.0796,975000,-11228.8076171875,195,195
37.85,38.08,182.3676,33.9274,980000,-11508.7880859375,196,196
37.74,37.79,188.1349,34.1314,985000,-12032.931640625,197,197
37.76,37.96,107.5824,32.7932,990000,-12913.4130859375,198,198
37.53,37.97,110.3173,32.927,995000,-12483.18359375,199,199
