Running Env Steps,Real Det Return,Running Forward KL,Real Sto Return,Running Reverse KL,Reward Loss,Itration,Running Update Time
150000,984.57,69.0842,285.71,30.5315,-328.7966003417969,30,30
155000,879.18,71.3145,279.95,31.5418,-348.2715148925781,31,31
160000,1089.73,68.0958,347.57,29.9255,-352.01007080078125,32,32
165000,913.59,70.3782,340.25,31.2154,-369.8797912597656,33,33
170000,1106.39,68.6664,340.66,29.8369,-375.97430419921875,34,34
175000,1122.47,67.134,381.99,29.1636,-383.3281555175781,35,35
180000,1349.88,65.572,495.93,28.8038,-390.5693054199219,36,36
185000,978.63,69.2138,317.0,29.7296,-422.5102233886719,37,37
190000,1163.95,69.7475,317.42,30.2656,-431.586669921875,38,38
195000,1007.48,68.2357,299.17,29.6387,-444.04095458984375,39,39
200000,1163.2,68.0488,379.63,29.3106,-455.4880676269531,40,40
205000,998.35,66.7782,439.92,29.0915,-455.54998779296875,41,41
210000,1095.24,68.6796,367.02,29.9019,-483.83673095703125,42,42
215000,1147.17,68.1419,410.06,29.0721,-479.08349609375,43,43
220000,1113.17,67.9574,390.15,29.3,-501.69610595703125,44,44
225000,1225.25,66.7612,418.48,28.1424,-506.930419921875,45,45
230000,1268.23,65.8912,474.08,27.5457,-516.3111572265625,46,46
235000,1288.8,67.9303,464.47,29.4176,-543.5895385742188,47,47
240000,1079.36,69.2194,421.34,29.4862,-563.6451416015625,48,48
245000,1173.85,68.1001,651.78,28.7619,-572.8388671875,49,49
250000,1316.69,69.5226,433.57,30.1063,-590.37890625,50,50
255000,1543.53,65.0267,579.77,28.2719,-545.3139038085938,51,51
260000,1172.26,67.5,470.26,28.2644,-607.1806030273438,52,52
265000,1790.11,66.557,829.94,28.6919,-606.0206909179688,53,53
270000,1418.8,67.583,471.73,27.8456,-628.699462890625,54,54
275000,1525.16,67.1253,688.53,28.489,-632.1939697265625,55,55
280000,1691.87,64.5604,903.12,26.8697,-583.4857177734375,56,56
285000,1704.35,66.9844,541.55,28.2986,-677.3566284179688,57,57
290000,1929.58,66.2486,623.88,27.0623,-669.2671508789062,58,58
295000,1778.29,66.9883,1038.8,27.5603,-696.1773681640625,59,59
300000,1208.69,66.6141,906.4,27.6438,-701.1372680664062,60,60
305000,1047.0,68.6397,581.17,27.3705,-723.21044921875,61,61
310000,934.29,69.469,554.78,28.58,-770.3562622070312,62,62
315000,977.92,67.0401,554.21,27.2808,-757.7725219726562,63,63
320000,943.11,67.173,563.57,26.8385,-749.5170288085938,64,64
325000,2193.45,65.032,1008.53,27.0135,-699.30078125,65,65
330000,727.32,68.9347,468.58,28.177,-832.2308349609375,66,66
335000,887.74,67.2029,554.71,27.1172,-784.3143310546875,67,67
340000,938.88,66.8434,550.29,27.0113,-816.3109741210938,68,68
345000,1895.08,67.8962,1333.96,28.2102,-858.48779296875,69,69
350000,1685.44,66.0658,1305.12,27.0496,-825.1023559570312,70,70
355000,1900.84,64.9968,1263.62,28.2028,-710.130615234375,71,71
360000,1466.72,66.5898,832.12,27.2596,-848.8377075195312,72,72
365000,2243.69,64.7495,905.97,28.7185,-762.9896850585938,73,73
370000,1679.11,65.036,1226.52,28.1783,-798.35400390625,74,74
375000,2568.01,66.9082,1540.82,34.78,-706.8306274414062,75,75
380000,1467.6,67.775,1141.95,27.7885,-938.8164672851562,76,76
385000,2651.45,66.6162,1631.03,35.0176,-758.7344360351562,77,77
390000,1653.8,66.6731,1466.03,28.5876,-911.0724487304688,78,78
395000,1747.02,67.5205,1575.97,32.3761,-822.6283569335938,79,79
400000,1656.67,66.0624,1327.39,30.263,-865.646484375,80,80
405000,2016.15,65.212,1288.66,29.8111,-868.0746459960938,81,81
410000,2210.26,67.031,1405.06,30.6306,-967.201416015625,82,82
415000,2527.33,66.9043,2020.83,31.9307,-898.7275390625,83,83
420000,2690.64,66.7107,1817.84,32.1879,-841.37158203125,84,84
425000,2810.63,68.8242,1642.73,38.8475,-826.8287353515625,85,85
430000,1335.32,67.9068,1776.48,37.6473,-847.5874633789062,86,86
435000,3291.87,67.9362,2000.51,35.3653,-848.207275390625,87,87
440000,2187.77,66.4434,1950.0,32.5607,-951.990234375,88,88
445000,2009.43,66.4955,1767.56,32.2257,-875.9996948242188,89,89
450000,2685.88,70.2309,2473.79,43.0576,-789.546142578125,90,90
455000,2499.25,66.8557,1672.15,35.0004,-911.072998046875,91,91
460000,2356.18,67.5579,1570.94,29.5076,-1124.6689453125,92,92
465000,3579.7,69.3952,2816.42,39.7966,-882.0045166015625,93,93
470000,3103.25,67.8776,2071.88,31.3901,-1075.010498046875,94,94
475000,2922.96,69.6458,1958.72,42.2933,-840.6504516601562,95,95
480000,3231.9,75.0379,2811.41,49.1045,-811.8357543945312,96,96
485000,3213.92,69.1286,2403.37,39.1117,-928.6187133789062,97,97
490000,3574.87,68.5015,2865.73,37.2022,-1055.1619873046875,98,98
495000,3944.62,68.4878,2364.77,38.9387,-990.0289916992188,99,99
500000,3786.73,71.8647,2990.55,49.097,-873.1588134765625,100,100
505000,3611.25,66.5681,2185.86,37.5376,-991.086181640625,101,101
510000,3709.35,71.5672,2242.21,47.8789,-895.1546020507812,102,102
515000,4007.06,68.0036,3595.23,39.1777,-1049.4473876953125,103,103
520000,3803.79,67.7688,3140.62,38.4946,-1045.335693359375,104,104
525000,2996.09,68.7865,2404.51,45.3043,-933.2042236328125,105,105
530000,4285.17,73.7405,3907.45,54.3247,-885.4207153320312,106,106
535000,3931.93,68.5582,2763.81,44.2332,-1003.33203125,107,107
540000,4439.11,68.0587,3131.63,41.7696,-1039.01318359375,108,108
545000,3953.98,69.8684,3427.58,48.8512,-965.13818359375,109,109
550000,3977.51,71.063,3216.08,51.8074,-985.2247314453125,110,110
555000,4043.67,71.1056,3053.58,50.1081,-963.8516845703125,111,111
560000,4363.22,68.5732,3481.42,46.8801,-1061.2431640625,112,112
565000,4299.29,71.0202,3833.48,51.6744,-1024.9052734375,113,113
570000,3788.0,70.487,3674.84,52.0074,-1044.9742431640625,114,114
575000,3240.84,69.7695,2613.64,45.3744,-1109.9317626953125,115,115
580000,3950.96,68.8308,2788.17,44.0646,-1151.6375732421875,116,116
585000,4389.97,70.2591,3673.49,50.879,-1137.4991455078125,117,117
590000,4700.4,77.4393,3680.33,61.1797,-1017.4522705078125,118,118
595000,4471.49,76.0403,3743.83,58.8182,-1028.62744140625,119,119
600000,4421.26,72.7404,3298.28,52.4429,-1091.3489990234375,120,120
605000,4348.06,69.706,3032.36,45.676,-1188.7099609375,121,121
610000,4233.06,74.4281,3712.93,54.776,-1072.660888671875,122,122
615000,4444.6,69.8946,3632.53,50.6626,-1160.80224609375,123,123
620000,4626.37,67.4524,3144.96,40.9601,-1316.00439453125,124,124
625000,4443.12,73.5564,3398.82,58.0564,-1141.17578125,125,125
630000,3600.95,69.9137,2886.99,50.7413,-1187.9407958984375,126,126
635000,3757.32,71.2877,2919.54,49.918,-1271.4508056640625,127,127
640000,4081.12,71.8842,3421.62,50.0479,-1226.4696044921875,128,128
645000,3543.63,68.5597,2853.48,40.4965,-1325.38916015625,129,129
650000,4679.92,73.4836,3065.83,58.2969,-1243.3692626953125,130,130
655000,3844.64,74.8808,4102.92,57.5099,-1248.3594970703125,131,131
660000,4784.34,71.2226,3597.96,50.0319,-1352.0616455078125,132,132
665000,4204.35,71.8945,3642.21,53.634,-1364.0787353515625,133,133
670000,4073.8,79.4951,3757.07,60.8186,-1360.0946044921875,134,134
675000,3945.28,69.9168,3761.36,51.2004,-1392.529296875,135,135
680000,4125.21,73.0892,3630.43,55.8709,-1429.0513916015625,136,136
685000,4997.62,79.7276,4297.28,64.6944,-1376.4271240234375,137,137
690000,4701.51,71.4627,3977.48,52.481,-1490.336669921875,138,138
695000,3803.46,74.8533,2052.98,59.8551,-1440.9627685546875,139,139
700000,4133.07,69.1535,3331.77,40.8962,-1641.3604736328125,140,140
705000,3621.34,71.9218,2914.54,54.3381,-1500.0013427734375,141,141
710000,5082.23,78.0404,3668.03,66.6444,-1511.6099853515625,142,142
715000,4682.48,79.0092,4432.52,65.85,-1535.066162109375,143,143
720000,4283.89,72.6408,3689.75,55.8547,-1588.2109375,144,144
725000,4689.62,70.4641,3963.32,50.7045,-1664.5670166015625,145,145
730000,4645.74,74.0465,3997.07,61.1246,-1693.97119140625,146,146
735000,3666.43,75.2068,3403.68,60.8516,-1687.721435546875,147,147
740000,4380.03,72.3824,4413.48,57.3322,-1763.019287109375,148,148
745000,5062.64,75.823,4100.57,63.7379,-1739.7750244140625,149,149
750000,4415.77,78.2809,3936.97,67.0953,-1771.422607421875,150,150
755000,4141.4,76.6697,2942.82,64.5377,-1735.9879150390625,151,151
760000,5171.7,79.2117,4333.23,65.5642,-1834.9307861328125,152,152
765000,4934.23,74.2945,3951.11,60.6723,-1837.1436767578125,153,153
770000,4910.3,75.4942,4168.37,65.1562,-1953.004638671875,154,154
775000,4951.53,72.0505,4075.14,56.5994,-1908.1741943359375,155,155
780000,5021.18,81.5256,4373.51,71.7319,-1926.8663330078125,156,156
785000,4841.25,80.5628,4406.59,69.0331,-1931.902587890625,157,157
790000,3906.47,81.9366,3369.34,71.6551,-1959.2467041015625,158,158
795000,5180.43,78.6603,4495.81,70.3479,-2025.04248046875,159,159
800000,5106.8,74.5618,4290.43,61.6265,-2018.0213623046875,160,160
805000,4979.45,71.568,3252.69,58.996,-2098.33349609375,161,161
810000,5092.57,80.6407,4218.42,69.1733,-2149.3046875,162,162
815000,5258.96,74.7325,4712.28,66.8302,-2161.751708984375,163,163
820000,5077.45,74.0754,3713.49,64.5375,-2151.954833984375,164,164
825000,5189.62,82.4001,4742.29,71.8616,-2254.185546875,165,165
830000,5204.4,80.3822,4367.22,70.4667,-2250.130126953125,166,166
835000,5222.15,73.0745,4772.55,62.9696,-2326.026611328125,167,167
840000,5255.56,74.6238,4512.33,66.335,-2321.677978515625,168,168
845000,5262.7,75.2058,4862.01,65.8361,-2373.719970703125,169,169
850000,5337.91,77.8267,4775.79,67.6164,-2467.611572265625,170,170
855000,4865.8,71.9345,4203.29,57.8244,-2443.230712890625,171,171
860000,4660.93,75.5923,4201.79,63.5568,-2447.275390625,172,172
865000,4948.72,81.6111,4415.97,71.4655,-2558.976318359375,173,173
870000,5342.6,74.2782,4605.34,62.8402,-2542.679443359375,174,174
875000,5391.41,75.6728,4899.38,64.4868,-2632.261474609375,175,175
880000,5075.07,78.2934,4401.88,72.7978,-2636.208740234375,176,176
885000,5432.74,76.5287,4474.15,65.552,-2652.24755859375,177,177
890000,5167.29,73.5116,4703.17,62.6506,-2734.09423828125,178,178
895000,5227.63,84.534,4614.92,76.297,-2700.898193359375,179,179
900000,5138.7,83.2887,4803.95,79.8672,-2804.813232421875,180,180
905000,4750.3,82.2556,4315.2,75.8415,-2737.05712890625,181,181
910000,3089.53,72.5181,2162.45,58.1639,-2797.2568359375,182,182
915000,4391.3,71.6255,3400.09,55.6348,-2799.85693359375,183,183
920000,4538.3,82.6778,4200.88,71.9801,-2935.89306640625,184,184
925000,5371.33,80.8026,4539.88,68.5164,-2956.284423828125,185,185
930000,5356.21,75.0706,4868.75,65.0848,-2983.58935546875,186,186
935000,5117.16,80.4126,4850.43,73.4054,-3085.695556640625,187,187
940000,5161.64,81.3386,4761.48,75.0533,-3150.587158203125,188,188
945000,5605.03,80.3105,5099.19,73.351,-3168.52880859375,189,189
950000,5277.7,76.0418,5169.86,71.5673,-3219.113037109375,190,190
955000,5174.85,79.0487,4814.65,75.1589,-3194.21923828125,191,191
960000,4905.6,73.6983,3986.95,64.8878,-3242.25244140625,192,192
965000,5468.22,82.6697,4909.71,75.3701,-3358.142333984375,193,193
970000,5581.44,72.8926,5040.68,60.9276,-3337.498291015625,194,194
975000,5320.68,75.2691,4826.96,68.1752,-3321.3388671875,195,195
980000,5659.32,82.4568,4596.89,74.3288,-3543.48974609375,196,196
985000,5693.46,77.496,5220.61,71.1868,-3518.537841796875,197,197
990000,5576.38,75.3866,4986.79,66.8196,-3525.10107421875,198,198
995000,5220.27,81.5578,4275.67,72.6168,-3562.574951171875,199,199
1000000,5112.06,75.4268,4810.91,66.5522,-3543.46142578125,200,200
1005000,4739.13,77.1578,4578.07,70.2068,-3595.589599609375,201,201
1010000,5152.04,77.9877,4131.28,72.6075,-3668.2548828125,202,202
1015000,5479.7,81.4863,4444.86,75.7124,-3675.867919921875,203,203
1020000,4540.99,83.7425,4630.27,79.8164,-3770.13916015625,204,204
1025000,5342.21,76.0339,4859.3,70.24,-3818.766357421875,205,205
1030000,4910.93,75.6016,4632.97,71.5865,-3814.673828125,206,206
1035000,5517.36,75.8422,4967.48,69.4409,-3976.609619140625,207,207
1040000,5191.26,80.1751,4929.12,78.2127,-3997.034912109375,208,208
1045000,4845.72,83.5447,4432.9,82.5065,-4075.957275390625,209,209
1050000,5539.53,88.1443,4837.59,85.2191,-4172.533203125,210,210
1055000,4532.18,72.9238,4105.82,68.8329,-3965.531005859375,211,211
1060000,5350.67,86.6523,5187.74,83.5316,-4338.9267578125,212,212
1065000,5497.61,88.4436,5244.41,87.4424,-4292.73193359375,213,213
1070000,5211.39,82.0209,4695.56,82.9452,-4401.865234375,214,214
1075000,5168.16,82.4292,4469.38,81.1262,-4407.86572265625,215,215
1080000,5651.57,87.8056,4978.06,84.4347,-4562.36962890625,216,216
1085000,5676.46,84.4916,5102.93,83.3604,-4606.76806640625,217,217
1090000,5159.17,76.106,5162.03,72.4114,-4527.87548828125,218,218
1095000,5609.54,85.8587,4785.16,86.0718,-4672.529296875,219,219
1100000,4832.22,77.1956,5256.36,73.2734,-4628.265625,220,220
1105000,5368.8,87.2219,5104.48,85.2604,-4803.81787109375,221,221
1110000,5402.52,85.7765,4541.39,82.8998,-4952.34228515625,222,222
1115000,5405.58,77.3556,4675.58,73.2814,-4929.06982421875,223,223
1120000,5517.51,85.1582,4516.13,83.3349,-5066.26611328125,224,224
1125000,5550.18,87.074,5432.31,85.8321,-5072.0361328125,225,225
1130000,5691.41,87.507,5447.74,83.5816,-5192.21484375,226,226
1135000,5599.93,82.5526,4611.48,77.0654,-5218.44677734375,227,227
1140000,5775.84,85.3958,5452.98,78.1974,-5230.8759765625,228,228
1145000,5335.34,77.8001,4712.16,79.0583,-5143.68505859375,229,229
1150000,5588.81,85.8997,5065.22,84.5672,-5437.7880859375,230,230
1155000,5892.68,84.3142,5288.0,79.4939,-5527.49462890625,231,231
1160000,4799.13,83.5507,5359.09,83.9083,-5522.6796875,232,232
1165000,5831.02,85.7752,5335.46,82.0395,-5660.02294921875,233,233
1170000,5236.67,81.1586,5288.73,82.4968,-5631.7548828125,234,234
1175000,5761.2,86.2498,5368.33,85.1327,-5715.54443359375,235,235
1180000,5573.58,77.615,5128.49,82.2455,-5641.693359375,236,236
1185000,5815.51,86.133,5050.8,83.7188,-5893.84765625,237,237
1190000,5660.75,86.6107,5337.03,83.8349,-6067.88818359375,238,238
1195000,5817.29,78.6555,5478.39,78.0613,-5994.392578125,239,239
1200000,5881.16,84.3312,5524.5,81.3949,-6083.11669921875,240,240
1205000,5870.96,86.589,5401.19,84.8678,-6156.31494140625,241,241
1210000,5771.52,87.1975,5376.01,89.2209,-6315.6689453125,242,242
1215000,5766.01,86.4313,5217.83,84.9793,-6325.24951171875,243,243
1220000,5961.33,85.2889,4608.77,82.6907,-6480.37353515625,244,244
1225000,5601.3,86.2168,4721.27,84.2522,-6488.97216796875,245,245
1230000,5553.87,76.7688,5513.56,79.3334,-6302.775390625,246,246
1235000,5676.78,85.0111,5404.55,82.958,-6582.2685546875,247,247
1240000,5607.75,77.77,5396.29,81.3189,-6505.150390625,248,248
1245000,5735.84,78.3295,5379.22,76.8454,-6556.22314453125,249,249
1250000,5736.76,85.3284,5184.03,83.4507,-6801.64306640625,250,250
1255000,5887.37,78.3948,4850.23,77.6503,-6692.3837890625,251,251
1260000,5537.77,86.2603,5544.26,83.6502,-6889.94921875,252,252
1265000,5695.32,85.7242,5633.41,81.8381,-7061.63525390625,253,253
1270000,5426.4,86.8524,5576.15,86.0651,-7123.06201171875,254,254
1275000,5919.86,86.2872,5233.55,84.2217,-7184.86767578125,255,255
1280000,5912.36,85.473,5530.03,83.1739,-7204.15283203125,256,256
1285000,5385.03,85.9879,4327.85,82.2431,-7190.6435546875,257,257
1290000,5137.49,75.3381,4458.11,74.4767,-6954.060546875,258,258
1295000,5556.26,87.6391,4795.56,85.1414,-7330.3037109375,259,259
1300000,5923.28,79.954,5066.41,77.6261,-7244.9150390625,260,260
1305000,5711.57,88.4706,5498.14,86.0003,-7515.97119140625,261,261
1310000,4961.91,86.149,5383.06,82.6999,-7467.86181640625,262,262
1315000,5196.6,77.0212,4775.37,73.5416,-7398.4072265625,263,263
1320000,5568.34,86.9655,5041.04,85.5509,-7684.3994140625,264,264
1325000,5357.05,85.0681,5158.06,83.1877,-7864.27392578125,265,265
1330000,5571.5,79.2677,4883.62,77.8803,-7703.9775390625,266,266
1335000,5468.98,87.4613,5190.07,84.4365,-7897.27587890625,267,267
1340000,5394.62,78.5159,4858.39,75.1288,-7719.9677734375,268,268
1345000,5400.24,86.0363,4999.31,82.8071,-7957.16064453125,269,269
1350000,5887.16,75.716,4683.06,71.841,-7743.2275390625,270,270
1355000,5514.12,83.7119,5518.01,76.2232,-8128.44482421875,271,271
1360000,5593.39,86.3345,4760.02,81.8896,-8291.369140625,272,272
1365000,5457.65,78.1775,5360.64,75.514,-7995.27001953125,273,273
1370000,5672.69,79.7082,5291.22,78.2853,-8086.0625,274,274
1375000,5058.13,75.6445,5200.38,68.4123,-7820.86083984375,275,275
1380000,5649.24,78.7791,5461.82,76.1059,-8329.6240234375,276,276
1385000,5628.2,84.8244,5318.56,83.6993,-8566.23828125,277,277
1390000,5829.18,76.0244,5252.13,70.9744,-8244.2265625,278,278
1395000,5546.09,79.6734,5286.79,79.1428,-8446.373046875,279,279
1400000,5384.21,82.7039,5151.51,79.3295,-8689.2158203125,280,280
1405000,5705.32,85.7218,5099.77,80.8032,-8819.365234375,281,281
1410000,5895.92,76.3023,5622.18,72.335,-8452.1806640625,282,282
1415000,5207.16,77.9304,4591.79,75.9236,-8667.96484375,283,283
1420000,5904.51,85.0348,5017.25,77.5758,-9069.75390625,284,284
1425000,5862.41,78.2972,5193.3,74.139,-8800.8291015625,285,285
1430000,5983.46,76.8508,5703.44,72.4362,-8636.88671875,286,286
1435000,5800.1,86.5755,5018.78,84.535,-9213.931640625,287,287
1440000,5757.97,76.2922,5540.34,74.8025,-8841.943359375,288,288
1445000,5131.76,74.2604,4986.52,66.3928,-8394.8359375,289,289
1450000,5947.55,75.8416,5003.28,72.6481,-8948.03125,290,290
1455000,5581.01,82.0619,5306.81,79.3731,-9290.3974609375,291,291
1460000,5806.34,85.1596,4788.81,80.7777,-9422.43359375,292,292
1465000,5977.26,76.2684,5027.13,72.0729,-9005.6376953125,293,293
1470000,5994.22,85.8015,5392.69,81.8531,-9517.26953125,294,294
1475000,5848.87,84.1616,5142.04,78.2946,-9477.13671875,295,295
1480000,5699.6,80.9789,4755.13,78.3561,-9592.9150390625,296,296
1485000,6021.52,83.0874,5126.67,81.554,-9765.3701171875,297,297
1490000,5946.69,74.0005,5115.28,67.8248,-9063.4970703125,298,298
1495000,5968.97,86.5789,5454.0,84.3466,-9809.23828125,299,299
1500000,5884.48,84.5299,5535.17,80.1675,-9900.5322265625,300,300
1505000,6105.98,84.982,5666.0,79.6466,-9986.88671875,301,301
1510000,6099.84,73.4519,5024.06,66.2335,-9179.5712890625,302,302
1515000,5981.56,85.4997,5602.35,82.6374,-10091.2744140625,303,303
1520000,6025.83,79.1164,5641.09,75.8901,-9900.173828125,304,304
1525000,6097.9,84.3524,5728.99,76.5498,-10139.8525390625,305,305
1530000,6115.3,84.5553,5767.65,80.7091,-10267.4560546875,306,306
1535000,6105.78,84.5938,5170.95,79.2091,-10241.716796875,307,307
1540000,6084.4,76.3124,5541.06,70.973,-9728.34765625,308,308
1545000,5739.21,85.8768,5249.5,79.8619,-10306.9833984375,309,309
1550000,5817.47,85.1822,5643.96,78.9365,-10369.86328125,310,310
1555000,5831.33,75.1561,5616.24,67.8354,-9786.609375,311,311
1560000,5581.07,87.4408,5678.08,84.3982,-10575.8193359375,312,312
1565000,5798.35,85.843,5316.77,82.2375,-10739.5244140625,313,313
1570000,5565.42,77.3524,5114.5,72.7069,-10049.5810546875,314,314
1575000,6158.74,85.2132,5344.66,76.5952,-10689.044921875,315,315
1580000,5944.59,85.7858,5409.74,82.5319,-10661.0751953125,316,316
1585000,5963.13,82.5427,5678.26,77.9118,-10478.435546875,317,317
1590000,5805.97,83.9317,5637.43,77.4801,-10757.7353515625,318,318
1595000,5977.49,84.6692,5659.8,82.7408,-10787.8544921875,319,319
1600000,5580.96,87.4077,5311.33,83.6319,-10934.4521484375,320,320
1605000,5865.52,76.3905,5631.23,69.5936,-10352.57421875,321,321
1610000,5432.53,86.8627,4766.22,82.2188,-10982.955078125,322,322
1615000,6185.35,84.5725,5615.83,78.7962,-11004.3408203125,323,323
1620000,5872.25,84.3041,5436.03,78.7788,-10982.9970703125,324,324
1625000,5834.2,84.5672,5701.26,81.2595,-10938.30859375,325,325
1630000,5781.5,84.5327,5462.99,81.195,-10917.0947265625,326,326
1635000,5930.94,73.2619,5774.2,64.9038,-10116.685546875,327,327
1640000,5733.05,82.9927,4992.22,75.2632,-11038.2197265625,328,328
1645000,5853.38,83.4922,5399.24,79.8625,-11071.990234375,329,329
1650000,5259.93,85.8727,5706.74,82.5991,-11111.3642578125,330,330
1655000,5851.63,85.6295,5002.05,82.6441,-11328.46484375,331,331
1660000,5916.74,84.9316,5236.19,79.1436,-11213.3984375,332,332
1665000,5535.59,76.2561,5539.52,72.6774,-10899.091796875,333,333
1670000,6158.88,83.3321,5455.92,78.2206,-11351.2216796875,334,334
1675000,6158.65,82.1825,5588.19,79.0004,-11379.0146484375,335,335
1680000,6160.61,84.2438,5752.47,75.3904,-11335.55859375,336,336
1685000,6181.41,82.975,4868.2,75.3193,-11319.544921875,337,337
1690000,6133.03,82.5121,4853.64,77.8705,-11511.431640625,338,338
1695000,6105.33,83.4235,5735.68,77.7314,-11498.37109375,339,339
1700000,6178.32,76.8089,5600.22,74.034,-11126.3388671875,340,340
1705000,6072.05,83.9944,5637.9,77.5347,-11480.310546875,341,341
1710000,6181.28,84.9902,5687.22,79.2869,-11788.50390625,342,342
1715000,6105.34,84.4067,5379.85,82.2664,-11769.9384765625,343,343
1720000,6084.96,77.481,5727.64,69.6563,-11348.0302734375,344,344
1725000,5703.07,77.9871,4938.56,73.3301,-11369.591796875,345,345
1730000,5761.64,81.5973,5417.22,74.086,-11707.3564453125,346,346
1735000,6113.32,79.0344,5789.61,75.6032,-11671.50390625,347,347
1740000,5808.86,77.3564,5663.21,73.0328,-11375.6611328125,348,348
1745000,5564.48,77.1098,5444.2,74.5687,-11704.5771484375,349,349
1750000,5794.27,86.5049,4743.49,79.254,-12003.2021484375,350,350
1755000,6138.45,84.2399,5353.09,80.3575,-12104.234375,351,351
1760000,6203.71,83.8681,5237.22,81.0662,-12192.9755859375,352,352
1765000,5806.21,83.5907,4812.11,80.4544,-12105.4912109375,353,353
1770000,5978.56,83.9743,5468.99,80.0018,-12072.7822265625,354,354
1775000,5792.28,77.2606,5474.03,71.4203,-11464.6875,355,355
1780000,6123.78,75.0229,5345.16,67.6803,-11524.78125,356,356
1785000,6152.5,79.3056,5600.38,79.1843,-11952.869140625,357,357
1790000,6013.37,79.5881,5753.36,75.6817,-12194.0439453125,358,358
1795000,6069.69,85.3393,5027.69,83.4139,-12439.4013671875,359,359
1800000,6001.99,76.3464,5641.68,72.2942,-11829.9599609375,360,360
1805000,6010.14,84.0917,5600.2,80.3285,-12436.365234375,361,361
1810000,6226.37,77.1657,5659.59,73.8955,-11850.669921875,362,362
1815000,6199.27,79.201,5498.8,76.2664,-12036.720703125,363,363
1820000,6134.75,74.2017,5560.21,71.086,-11816.337890625,364,364
1825000,6115.65,78.2682,5842.3,74.0213,-12260.5498046875,365,365
1830000,6120.71,76.5069,5849.4,76.0819,-11970.359375,366,366
1835000,6224.85,84.393,5609.32,80.0601,-12516.3232421875,367,367
1840000,6235.8,84.0395,5783.57,80.1461,-12558.3251953125,368,368
1845000,6059.12,76.2082,5693.53,71.5505,-11905.6640625,369,369
1850000,6234.32,84.1063,5175.26,81.4922,-12663.5302734375,370,370
1855000,5941.25,84.8958,5748.43,81.7532,-12783.546875,371,371
1860000,5890.8,85.509,5760.27,84.33,-12698.568359375,372,372
1865000,6278.9,84.628,5623.01,80.327,-12693.3837890625,373,373
1870000,6193.43,84.1069,5847.89,83.973,-12786.4931640625,374,374
1875000,5887.98,85.4791,5613.56,82.5272,-12753.2802734375,375,375
1880000,6255.69,76.8537,5170.07,71.1702,-12327.080078125,376,376
1885000,6179.89,83.9037,5476.84,82.666,-12764.4365234375,377,377
1890000,6194.16,81.0634,5330.93,77.5714,-12533.8857421875,378,378
1895000,6215.06,84.8757,5798.13,79.9939,-12915.5419921875,379,379
1900000,5908.48,81.2186,5790.87,77.5254,-12690.24609375,380,380
1905000,5925.46,82.853,5333.6,77.2248,-12771.4443359375,381,381
1910000,5932.59,79.4464,5866.39,80.0483,-12716.341796875,382,382
1915000,6229.59,85.4809,5165.39,82.2416,-12929.28515625,383,383
1920000,6226.63,75.3248,5750.45,69.679,-12210.8310546875,384,384
1925000,6200.05,83.2383,5445.83,79.0931,-13050.375,385,385
1930000,6188.04,77.3244,5810.97,76.207,-12626.201171875,386,386
