Running Update Time,Real Sto Return,Reward Loss,Running Env Steps,Itration,Running Reverse KL,Real Det Return,Running Forward KL
33,2802.74,-1190.6663818359375,165000,33,12.0647,2789.09,24.2711
34,1111.49,-2168.16064453125,170000,34,15.9455,1005.62,24.262
35,2231.21,-1392.8994140625,175000,35,13.2596,3127.98,22.6389
36,1372.13,-2098.66015625,180000,36,26.2013,1061.28,23.5535
37,1037.11,-2339.732421875,185000,37,22.8175,965.49,24.1641
38,1150.51,-2267.774658203125,190000,38,20.2737,1428.95,23.3333
39,2499.21,-1528.15625,195000,39,14.7763,3141.18,23.2455
40,1800.49,-1954.4090576171875,200000,40,19.5834,1682.95,22.5023
41,1929.76,-1669.9622802734375,205000,41,16.9773,1059.18,22.0824
42,1810.0,-1753.541015625,210000,42,18.1006,3154.86,20.9448
43,2671.95,-1061.345458984375,215000,43,11.4596,3207.8,21.5405
44,1633.89,-2157.2578125,220000,44,19.5218,1178.02,22.6123
45,2247.2,-1784.62744140625,225000,45,11.8945,2914.07,22.2521
46,2647.48,-1149.5740966796875,230000,46,10.3684,3168.02,21.5815
47,1820.75,-1657.81494140625,235000,47,11.3405,1179.47,21.0042
48,2199.11,-1903.3289794921875,240000,48,17.2927,1825.17,21.7066
49,1130.87,-2502.9404296875,245000,49,19.6235,1191.23,22.6603
50,1902.75,-1623.4434814453125,250000,50,16.8121,3210.13,21.0852
51,2299.07,-1402.689697265625,255000,51,15.3111,3193.41,21.1964
52,2986.29,-1136.7452392578125,260000,52,13.9911,3204.61,22.9361
53,2639.28,-1181.8455810546875,265000,53,11.2238,3262.14,20.3907
54,2776.77,-945.446044921875,270000,54,11.6595,3196.79,21.0648
55,3114.92,-1003.9306030273438,275000,55,10.9383,3217.54,20.811
56,1616.28,-2272.07763671875,280000,56,19.4946,1443.3,22.2843
57,2893.12,-634.0861206054688,285000,57,11.0805,3242.3,20.9489
58,2771.62,-1287.5372314453125,290000,58,12.4798,3264.55,20.9242
59,2850.3,-1252.565673828125,295000,59,11.242,3055.23,21.4739
60,3025.81,-974.8278198242188,300000,60,12.8638,3195.61,21.5844
61,1677.03,-2137.888916015625,305000,61,12.5714,2249.91,21.1688
62,3058.14,-909.707275390625,310000,62,12.185,3217.26,22.8464
63,3161.84,-845.2811279296875,315000,63,11.1033,3238.73,21.4843
64,3008.12,-857.693603515625,320000,64,10.9849,3231.71,20.2477
65,2908.24,-1237.31396484375,325000,65,13.4292,3226.29,20.7621
66,3223.24,-1077.574462890625,330000,66,11.171,3232.84,21.2142
67,3098.72,-1037.757080078125,335000,67,11.9889,3190.29,21.2531
68,3159.87,-818.8963623046875,340000,68,11.8946,3254.81,20.4145
69,3228.41,-887.5372314453125,345000,69,11.9346,3248.3,22.0748
70,2495.55,-1392.3642578125,350000,70,15.1748,2798.72,19.3558
71,2911.42,-785.581298828125,355000,71,11.3937,3307.8,19.2337
72,3174.59,-1280.753662109375,360000,72,13.5888,1083.76,19.9609
73,3085.83,-917.5191040039062,365000,73,11.0207,3270.19,20.0035
74,2945.43,-869.2627563476562,370000,74,10.9136,3320.72,19.465
75,3287.2,-805.89501953125,375000,75,9.725,3314.51,19.3239
76,3272.28,-742.6588745117188,380000,76,10.2996,3310.83,19.7107
77,3256.55,-705.6376342773438,385000,77,9.4319,3309.89,18.2028
78,3188.39,-837.2609252929688,390000,78,10.5899,3294.27,19.8539
79,3332.1,-700.5782470703125,395000,79,10.3391,3336.25,18.5144
80,3291.72,-832.3086547851562,400000,80,10.6101,3329.53,19.9388
81,2357.84,-1951.3072509765625,405000,81,17.7236,3309.61,18.6593
82,3140.61,-1114.830810546875,410000,82,12.69,3393.55,17.7369
83,3242.38,-755.2125244140625,415000,83,10.3466,3339.1,18.7118
84,3344.87,-778.5964965820312,420000,84,10.5136,3352.69,19.0894
85,2807.39,-1004.4071044921875,425000,85,11.9341,3327.56,18.6852
86,3364.38,-645.810302734375,430000,86,10.3497,3364.53,18.1942
87,3346.56,-604.3895263671875,435000,87,10.2843,3357.25,17.4098
88,3346.33,-759.4175415039062,440000,88,10.608,3369.14,18.2762
89,3371.42,-910.0951538085938,445000,89,10.3018,3383.11,18.7336
90,3369.21,-701.8107299804688,450000,90,9.7133,3376.36,17.5659
91,3399.61,-650.6246948242188,455000,91,9.6181,3416.54,17.3272
92,3363.44,-668.8697509765625,460000,92,10.3392,3402.07,17.8792
93,3364.56,-747.7943725585938,465000,93,10.6252,3372.15,18.5245
94,3337.27,-986.7703247070312,470000,94,11.1602,3346.94,18.6298
95,3350.19,-718.8462524414062,475000,95,9.7776,3371.15,17.7697
96,3352.6,-712.6488037109375,480000,96,10.0273,3363.5,17.9442
97,3397.1,-623.5313720703125,485000,97,9.9438,3393.31,17.4411
98,3366.21,-553.0399780273438,490000,98,9.4714,3382.12,16.8577
99,3341.57,-883.6830444335938,495000,99,10.002,3348.06,18.4338
100,3395.33,-703.117919921875,500000,100,11.1082,3416.99,18.0974
101,3342.27,-635.0404052734375,505000,101,10.9033,3439.29,18.0148
102,3425.41,-581.4520874023438,510000,102,10.4761,3438.16,17.6309
103,3390.58,-651.8892822265625,515000,103,9.9207,3412.42,16.772
104,3096.55,-679.818603515625,520000,104,9.2883,3425.33,17.4171
105,3414.31,-637.787109375,525000,105,9.4131,3438.92,16.6611
106,3400.48,-876.5113525390625,530000,106,10.5527,3436.39,18.1221
107,3336.95,-601.1709594726562,535000,107,9.4513,3438.65,16.7171
108,3426.05,-597.5297241210938,540000,108,9.8183,3447.09,15.993
109,3362.55,-588.4619140625,545000,109,9.6263,3438.55,16.9783
110,3415.17,-654.8299560546875,550000,110,9.1381,3424.27,16.4725
111,3419.19,-720.2312622070312,555000,111,9.8815,3425.05,17.1106
112,3388.15,-682.4021606445312,560000,112,9.4716,3399.75,16.5739
113,3316.94,-806.8884887695312,565000,113,9.6593,3395.21,17.4208
114,3389.06,-749.756103515625,570000,114,9.8544,3402.92,17.5266
115,3385.27,-753.4357299804688,575000,115,9.9844,3401.59,17.0207
116,3175.91,-618.322509765625,580000,116,11.3699,3397.85,17.3362
117,3398.86,-759.2852783203125,585000,117,10.4107,3406.84,17.0912
118,3375.79,-754.3043212890625,590000,118,10.4474,3437.63,17.9586
119,3249.7,-676.9825439453125,595000,119,12.5943,3440.17,17.9653
120,3318.7,-557.1188354492188,600000,120,9.6199,3450.02,16.6787
121,3377.91,-804.27685546875,605000,121,10.3369,3402.16,17.8037
122,3406.45,-805.6627197265625,610000,122,10.0636,3387.75,17.6203
123,3402.73,-662.16650390625,615000,123,10.5021,3438.73,17.2944
124,3399.91,-701.5242919921875,620000,124,10.367,3429.25,16.9821
125,3397.75,-785.9702758789062,625000,125,9.3038,3384.02,16.574
126,3418.24,-575.3082885742188,630000,126,9.7803,3439.01,16.1735
127,3338.38,-803.0287475585938,635000,127,9.8459,3394.05,17.4161
128,3409.17,-668.7705078125,640000,128,9.8018,3396.97,16.5061
129,3380.67,-850.3886108398438,645000,129,9.7587,3393.97,16.8627
130,3350.63,-629.2837524414062,650000,130,9.8128,3455.99,16.5104
131,3386.97,-665.1797485351562,655000,131,9.9364,3415.85,16.3667
132,3356.93,-588.7340087890625,660000,132,9.3386,3426.28,16.5939
133,3351.95,-752.879638671875,665000,133,9.5142,3388.55,16.475
134,3415.35,-744.6983642578125,670000,134,9.8181,3414.79,16.5048
135,3393.65,-608.7290649414062,675000,135,9.8743,3415.4,16.5194
136,3410.99,-696.4638061523438,680000,136,9.5429,3427.48,16.265
137,3298.84,-632.2348022460938,685000,137,8.7791,3458.64,15.7943
138,3452.9,-547.0134887695312,690000,138,9.2079,3467.64,15.874
139,3383.82,-783.8949584960938,695000,139,8.9374,3443.0,15.9603
140,3410.37,-750.6477661132812,700000,140,10.2184,3424.42,17.1006
141,3415.77,-601.4652709960938,705000,141,9.2068,3438.0,15.8579
142,3417.18,-831.516357421875,710000,142,9.6626,3420.89,16.5528
143,3426.58,-661.4493408203125,715000,143,9.8632,3435.57,15.8333
144,3397.35,-788.048583984375,720000,144,10.2564,3417.46,16.7827
145,3329.43,-838.6889038085938,725000,145,8.7729,3395.73,16.6179
146,3063.9,-672.0913696289062,730000,146,9.4202,3458.98,15.8734
147,3416.93,-705.1242065429688,735000,147,9.193,3436.57,15.7567
148,3431.07,-676.0358276367188,740000,148,9.4963,3443.19,15.8869
149,3266.0,-1247.958740234375,745000,149,9.7317,3449.0,17.1753
150,3413.17,-736.0986938476562,750000,150,9.3865,3443.62,16.4494
151,2794.77,-755.8734741210938,755000,151,9.3657,3496.61,16.3331
152,3429.23,-780.9417724609375,760000,152,9.7371,3445.14,16.6115
153,3302.7,-864.4286499023438,765000,153,9.487,3459.76,16.4344
154,3146.98,-678.646240234375,770000,154,8.8217,3472.19,15.7341
155,3404.64,-1049.900634765625,775000,155,9.0805,3449.3,16.3045
156,3418.62,-668.5485229492188,780000,156,9.6749,3461.22,16.0905
157,3399.41,-821.105712890625,785000,157,8.9707,3401.5,15.9475
158,3336.96,-721.620849609375,790000,158,8.6294,3431.29,15.9277
159,3433.96,-854.9764404296875,795000,159,8.9509,3456.75,16.3616
160,3009.28,-955.5535278320312,800000,160,8.7681,3487.07,15.8676
161,3441.18,-915.0391845703125,805000,161,8.3743,3447.04,15.7631
162,2764.35,-1388.8927001953125,810000,162,8.6546,3502.03,17.0532
163,3237.39,-891.00927734375,815000,163,8.3946,3476.95,16.1732
164,3356.73,-911.2069702148438,820000,164,8.9798,3420.16,15.781
165,2959.44,-1037.097412109375,825000,165,9.2535,3496.83,16.8697
166,3398.26,-907.0717163085938,830000,166,9.2487,3426.41,16.9779
167,3416.83,-925.10107421875,835000,167,8.4968,3488.24,16.4041
168,3329.31,-835.9690551757812,840000,168,8.674,3455.49,16.2055
169,3449.02,-821.9161376953125,845000,169,9.2512,3467.1,16.1294
170,3433.46,-790.0172729492188,850000,170,9.0217,3450.25,15.8179
171,3283.18,-628.4779052734375,855000,171,9.2793,3469.72,15.9796
172,3420.75,-847.3987426757812,860000,172,8.8604,3460.01,15.9563
173,3441.1,-755.8915405273438,865000,173,8.7633,3448.14,15.396
174,3438.47,-837.8496704101562,870000,174,9.3204,3451.58,15.6317
175,3431.36,-906.9010009765625,875000,175,9.2248,3426.19,15.6556
176,3425.77,-707.5220947265625,880000,176,8.9605,3493.83,15.486
177,3372.09,-1007.967529296875,885000,177,8.6633,3474.11,16.5242
178,3350.98,-800.1218872070312,890000,178,9.344,3475.29,16.3945
179,3392.83,-925.3345336914062,895000,179,9.2417,3424.48,15.9654
180,3196.03,-878.8674926757812,900000,180,8.822,3473.3,16.6246
181,3456.17,-847.5296020507812,905000,181,9.3282,3469.55,15.5607
182,3421.26,-859.1953735351562,910000,182,9.7528,3451.37,15.7797
183,2776.8,-1307.372802734375,915000,183,18.5357,3486.79,17.3036
184,3409.52,-1074.232177734375,920000,184,9.8712,3442.95,16.7383
185,3416.5,-980.2870483398438,925000,185,8.7147,3438.53,16.1682
186,3091.24,-827.9112548828125,930000,186,8.8559,3463.35,16.1359
187,3442.12,-813.1897583007812,935000,187,9.6458,3468.55,15.4558
188,3335.89,-1112.6636962890625,940000,188,9.4762,3441.68,16.862
189,3453.53,-818.0105590820312,945000,189,10.044,3460.59,16.0269
190,3259.78,-944.1806030273438,950000,190,9.5549,3477.94,16.3658
191,3435.73,-994.5050659179688,955000,191,9.2749,3453.41,15.7635
192,3102.8,-981.9361572265625,960000,192,9.177,3462.57,16.6491
193,3370.44,-942.3434448242188,965000,193,9.0022,3441.39,16.0563
194,3456.76,-770.126708984375,970000,194,9.3971,3462.46,15.2078
195,3188.25,-1027.6512451171875,975000,195,8.4978,3453.28,16.305
196,3441.76,-1015.3482666015625,980000,196,9.4951,3469.71,15.7982
197,3433.21,-899.5265502929688,985000,197,9.1397,3448.6,15.733
198,3377.0,-1127.505859375,990000,198,9.504,3406.71,16.1209
199,3446.91,-925.2994995117188,995000,199,9.5215,3455.6,15.7558
