Running Update Time,Real Sto Return,Running Env Steps,Real Det Return,Itration,Running Reverse KL,Reward Loss,Running Forward KL
86,2115.22,430000,2777.59,86,9.3562,-507.8415832519531,37.0087
87,1993.01,435000,3483.1,87,9.279,-490.32440185546875,36.1376
88,1705.19,440000,2928.88,88,8.8422,-509.025634765625,36.2375
89,2784.68,445000,3559.92,89,10.6165,-411.7038269042969,34.3639
90,2213.04,450000,2570.94,90,14.5869,-779.870361328125,43.981
91,2443.17,455000,2636.87,91,9.9951,-588.8369750976562,37.8365
92,2652.8,460000,3214.63,92,12.1015,-477.826416015625,35.9431
93,2071.35,465000,2815.54,93,10.0829,-604.609130859375,37.9798
94,2183.36,470000,2819.58,94,8.5694,-575.9219970703125,35.3721
95,2367.89,475000,3416.4,95,8.6324,-616.0974731445312,37.0422
96,1499.23,480000,2948.03,96,10.5787,-713.498291015625,39.8151
97,1493.38,485000,2366.51,97,8.7737,-610.2451782226562,35.5851
98,2005.21,490000,2454.72,98,9.6288,-685.0889892578125,37.7904
99,2863.18,495000,3445.57,99,8.7714,-576.712646484375,35.2715
100,2238.46,500000,2927.38,100,7.2292,-489.326416015625,32.5853
101,2187.63,505000,3191.13,101,7.5648,-542.1056518554688,33.669
102,1823.21,510000,3155.88,102,6.0775,-578.548828125,32.9564
103,2721.59,515000,3539.77,103,7.8472,-581.1105346679688,33.6617
104,1848.49,520000,2761.04,104,8.3474,-532.8810424804688,34.545
105,1930.96,525000,3233.35,105,8.4424,-680.6768798828125,35.2442
106,2615.14,530000,3407.8,106,8.418,-658.2257080078125,34.1583
107,2600.3,535000,3491.81,107,7.8349,-568.5792846679688,32.1967
108,2702.34,540000,2916.64,108,9.0791,-706.396728515625,34.6114
109,2166.29,545000,3093.97,109,8.6947,-760.9400634765625,36.8187
110,2183.97,550000,3102.16,110,7.2736,-515.1237182617188,32.7292
111,1857.67,555000,2677.9,111,10.8717,-895.4249877929688,38.9489
112,1459.89,560000,2708.16,112,8.0633,-721.944091796875,36.8465
113,2064.84,565000,3244.62,113,7.778,-710.78564453125,35.5651
114,1854.48,570000,3290.94,114,8.0887,-722.1692504882812,35.5268
115,2775.69,575000,3720.37,115,8.135,-589.6851806640625,33.0486
116,2425.37,580000,3361.18,116,7.4348,-624.9124145507812,33.1461
117,2620.77,585000,3311.95,117,7.1681,-688.0057373046875,33.9306
118,2442.81,590000,3528.14,118,6.7336,-693.4873046875,34.0065
119,2408.53,595000,3116.35,119,7.3562,-781.7890625,35.4136
120,1841.81,600000,2246.42,120,8.0715,-894.2224731445312,37.7399
121,2559.01,605000,3586.95,121,6.5544,-707.0883178710938,34.9562
122,3056.47,610000,3672.95,122,6.3623,-728.3842163085938,32.8408
123,2472.83,615000,3731.2,123,7.9405,-787.3560791015625,34.1712
124,2579.91,620000,3913.49,124,6.3855,-774.2935791015625,33.4989
125,2076.65,625000,3168.31,125,10.7174,-1018.5923461914062,37.1425
126,2020.03,630000,3635.79,126,6.4719,-796.9949340820312,33.2527
127,2821.6,635000,3552.65,127,8.3761,-937.8367309570312,36.5687
128,2044.59,640000,3634.64,128,6.7374,-888.1734008789062,34.7581
129,2723.97,645000,3960.73,129,4.8179,-721.6293334960938,30.8074
130,2547.64,650000,3225.36,130,5.994,-597.665283203125,30.5078
131,1647.14,655000,3376.46,131,6.2467,-756.8172607421875,32.7929
132,2421.18,660000,3737.88,132,5.7681,-734.1094970703125,32.0593
133,3033.98,665000,3550.63,133,6.7838,-669.9529418945312,30.2044
134,1716.73,670000,2421.47,134,10.0588,-1155.589599609375,38.3304
135,2487.77,675000,3290.69,135,6.4411,-934.5601196289062,34.8461
136,2238.42,680000,2551.65,136,8.4009,-1079.9212646484375,36.798
137,2062.95,685000,3002.15,137,6.2434,-908.2581176757812,33.5139
138,2655.63,690000,2963.82,138,6.6084,-888.2380981445312,34.435
139,1589.93,695000,2169.43,139,7.2572,-1076.557373046875,35.0512
140,2523.65,700000,3570.73,140,5.1314,-797.2832641601562,31.4845
141,2640.6,705000,3615.51,141,5.9294,-821.4388427734375,32.0008
142,1508.51,710000,2989.35,142,5.5345,-906.9844360351562,33.0386
143,2280.94,715000,3756.06,143,6.4848,-1033.7962646484375,33.7233
144,2792.63,720000,3938.6,144,7.1597,-964.6453857421875,35.5217
145,2338.02,725000,3177.67,145,8.3509,-1200.827392578125,36.2918
146,2604.88,730000,3710.56,146,6.2393,-920.1536865234375,33.4745
147,2412.4,735000,3722.89,147,7.1918,-1024.677978515625,34.0808
148,2525.27,740000,3721.93,148,6.9054,-884.6690673828125,33.611
149,1622.92,745000,2840.14,149,6.8631,-971.999755859375,34.6286
150,2312.08,750000,3531.06,150,6.8879,-797.6449584960938,31.3383
151,2711.65,755000,4058.19,151,7.3338,-1030.9996337890625,33.9342
152,2650.33,760000,3346.42,152,6.4619,-917.8111572265625,32.4125
153,1627.54,765000,2821.84,153,7.3534,-1264.73681640625,35.8393
154,2524.82,770000,2652.44,154,6.871,-1093.206298828125,34.5563
155,2481.63,775000,3645.97,155,6.1533,-935.0153198242188,32.5647
156,2761.4,780000,3636.03,156,6.5165,-964.640869140625,33.1082
157,1983.34,785000,2778.49,157,13.2269,-1656.873046875,42.9102
158,2854.16,790000,3864.36,158,7.4662,-1266.9835205078125,34.5956
159,3003.55,795000,3511.75,159,6.983,-1213.78466796875,34.0431
160,2201.1,800000,3009.4,160,5.3742,-1054.2080078125,32.6147
161,2691.64,805000,3679.8,161,7.0968,-1117.4173583984375,34.3567
162,2074.23,810000,3214.26,162,7.1508,-1328.23779296875,36.2785
163,2592.01,815000,3190.13,163,9.29,-1446.0494384765625,37.2537
164,3005.08,820000,3903.14,164,5.7616,-1084.0906982421875,33.0086
165,2501.26,825000,2523.31,165,8.7377,-1514.789794921875,35.8805
166,2512.2,830000,3395.99,166,5.1043,-1143.440185546875,31.8263
167,2753.34,835000,3688.59,167,4.9417,-961.2714233398438,31.6562
168,2043.86,840000,3239.04,168,8.2531,-1463.043212890625,36.7524
169,2244.71,845000,3531.74,169,6.8512,-1255.8564453125,35.7115
170,3061.34,850000,4211.95,170,6.9217,-1092.0787353515625,32.2174
171,2832.1,855000,3346.78,171,5.8978,-1249.2371826171875,33.3478
172,2411.62,860000,4002.94,172,5.3369,-1185.0302734375,32.1076
173,2504.09,865000,3148.74,173,5.4274,-1242.63916015625,32.0981
174,2945.02,870000,3522.89,174,6.5363,-1056.874267578125,32.4545
175,2778.07,875000,3123.87,175,5.1464,-1110.24755859375,31.3388
176,3089.69,880000,3979.37,176,5.4655,-1219.312255859375,32.2733
177,2380.38,885000,2958.72,177,5.9148,-1396.48291015625,34.6557
178,2722.02,890000,3683.48,178,5.2217,-1004.4472045898438,29.4952
179,3046.74,895000,3632.39,179,5.1408,-1149.74755859375,29.7824
180,2853.15,900000,3624.63,180,7.8839,-1798.3509521484375,36.2708
181,2876.7,905000,3479.36,181,5.7269,-1424.291259765625,33.6376
182,2310.32,910000,3116.26,182,5.3378,-1431.736572265625,33.0128
183,2817.84,915000,3573.88,183,6.0985,-1534.3446044921875,34.7538
184,1829.63,920000,3216.69,184,5.2469,-1364.391357421875,31.719
185,2398.21,925000,3391.38,185,6.2149,-1480.9293212890625,34.54
186,2492.1,930000,2875.84,186,4.5617,-1368.81884765625,31.1083
187,2548.43,935000,3274.72,187,5.1065,-1242.0142822265625,30.2833
188,2854.07,940000,3274.56,188,5.1501,-1116.8143310546875,29.8606
189,2629.93,945000,3234.6,189,5.6673,-1452.640625,32.1287
190,2852.15,950000,3882.29,190,8.4151,-1931.764892578125,36.0999
191,2625.99,955000,3571.85,191,5.166,-1567.65771484375,31.91
192,2484.24,960000,2867.41,192,5.0534,-1581.5911865234375,32.7839
193,3082.53,965000,3722.37,193,6.4554,-1508.4163818359375,33.5974
194,2756.03,970000,3471.15,194,4.4531,-1343.511474609375,31.1641
195,2825.38,975000,3828.35,195,5.6432,-1624.4310302734375,33.4653
196,2951.8,980000,4193.04,196,5.3201,-1424.949951171875,33.114
197,2696.58,985000,3870.44,197,4.3622,-1606.4722900390625,32.3041
198,2921.9,990000,3719.73,198,5.8006,-1321.4385986328125,31.927
199,2298.71,995000,3859.98,199,6.648,-1873.0784912109375,33.9811
200,3311.68,1000000,4171.4,200,7.3489,-1683.96826171875,33.8486
201,3115.65,1005000,3811.77,201,7.0842,-1499.202880859375,32.6765
202,3321.58,1010000,4050.77,202,5.6343,-1597.1566162109375,32.6854
203,2643.68,1015000,3171.89,203,6.6002,-1985.4083251953125,35.0389
204,3286.21,1020000,3760.34,204,6.574,-1935.1392822265625,34.6069
205,2940.86,1025000,4093.95,205,6.0221,-1316.069091796875,30.4602
206,2980.58,1030000,3432.46,206,5.3643,-1280.7178955078125,30.0559
207,3071.57,1035000,3606.1,207,4.575,-1655.3553466796875,31.5978
208,3289.29,1040000,3661.8,208,5.6391,-1401.053466796875,30.9009
209,2960.13,1045000,3822.16,209,5.466,-1355.16455078125,30.2979
210,3067.71,1050000,3981.46,210,4.173,-1515.5372314453125,29.8318
211,2768.87,1055000,3909.68,211,4.4267,-1844.39404296875,32.5368
212,3006.89,1060000,3364.35,212,4.7132,-1306.9093017578125,29.4759
213,2720.6,1065000,3720.67,213,5.217,-1799.7152099609375,31.9708
214,3472.19,1070000,4129.8,214,5.1699,-1734.4022216796875,31.7988
215,3329.07,1075000,4240.92,215,5.6438,-1383.91064453125,29.6181
216,3305.96,1080000,4127.92,216,4.7874,-1588.223876953125,30.8683
217,2711.49,1085000,3910.54,217,5.9491,-2085.048828125,33.0026
218,2703.28,1090000,3824.07,218,5.1887,-1978.0247802734375,32.5219
219,3251.9,1095000,4012.82,219,5.3634,-1504.4453125,29.8556
220,2632.32,1100000,3749.76,220,4.9965,-1943.2294921875,31.3549
221,2547.0,1105000,3694.99,221,4.4195,-1766.349853515625,30.7695
222,2764.63,1110000,3879.48,222,5.0259,-1963.2833251953125,31.6109
223,3051.04,1115000,3396.55,223,4.8797,-1714.7393798828125,30.7695
224,3168.66,1120000,3439.6,224,4.6867,-1678.3289794921875,30.8022
225,2525.61,1125000,3534.82,225,3.8702,-1811.4798583984375,31.3531
226,2984.69,1130000,3484.87,226,10.232,-3012.58837890625,39.1077
227,2927.42,1135000,3658.33,227,4.7452,-2065.932861328125,32.3235
228,2372.14,1140000,3268.87,228,4.5485,-2191.52587890625,32.4135
229,2480.76,1145000,4048.25,229,6.0795,-2446.96533203125,34.4689
230,2729.99,1150000,3903.28,230,4.857,-2124.7666015625,33.1422
231,2657.15,1155000,3100.72,231,4.9213,-1757.203369140625,29.392
232,2725.8,1160000,4022.87,232,4.5569,-1965.515380859375,31.1713
233,2622.9,1165000,3114.66,233,4.245,-1805.6068115234375,30.4483
234,3045.62,1170000,3173.43,234,6.1361,-2443.0234375,34.1902
235,2757.21,1175000,3891.05,235,4.7525,-2167.99365234375,30.9133
236,2870.76,1180000,3597.44,236,5.8241,-2552.30126953125,33.5582
237,2610.16,1185000,3963.73,237,4.3865,-2171.574951171875,31.3894
238,3032.64,1190000,3779.52,238,4.3779,-2326.521728515625,31.4314
239,3166.28,1195000,3441.59,239,4.3854,-2284.9306640625,32.0579
240,3265.43,1200000,4110.05,240,4.2411,-2045.947998046875,30.3648
241,2583.56,1205000,2927.49,241,5.7112,-2707.586181640625,34.7843
242,2739.75,1210000,3883.54,242,4.8162,-2029.085205078125,31.341
243,2615.65,1215000,3981.16,243,5.2319,-2639.50146484375,33.6226
244,2779.63,1220000,3953.87,244,5.1516,-2379.643798828125,32.3461
245,3314.06,1225000,4145.43,245,6.2766,-2669.4814453125,33.0756
246,2715.89,1230000,3741.55,246,4.0881,-2523.147216796875,31.9165
247,2725.42,1235000,4314.32,247,4.3071,-2103.75732421875,30.282
248,2805.55,1240000,3575.91,248,4.1932,-2419.4228515625,32.1745
249,2513.83,1245000,3211.2,249,3.7834,-2390.18896484375,30.9874
250,2815.44,1250000,3885.5,250,4.4259,-1997.4703369140625,30.6947
251,2419.99,1255000,3241.79,251,5.2709,-2831.156005859375,34.4178
252,2540.47,1260000,4050.12,252,4.449,-2339.277099609375,31.4514
253,2998.8,1265000,4351.86,253,5.3747,-2450.513671875,32.668
254,2808.91,1270000,3894.53,254,3.9021,-2354.442138671875,31.2412
255,2725.06,1275000,3999.11,255,5.5683,-2286.558349609375,31.8325
256,2885.62,1280000,4160.18,256,5.1581,-2542.921630859375,32.1828
257,3124.94,1285000,4275.68,257,4.7084,-2337.479248046875,31.8293
258,3223.02,1290000,4042.45,258,4.5716,-2756.66845703125,32.671
259,2850.04,1295000,4032.19,259,5.8192,-2564.919677734375,32.3701
260,2627.93,1300000,3626.75,260,4.6801,-2763.98046875,33.2419
261,3167.67,1305000,4077.81,261,4.6225,-2745.036865234375,32.776
262,2926.22,1310000,3970.47,262,5.2135,-2869.257568359375,32.8645
263,2820.75,1315000,3897.71,263,4.5851,-2473.140380859375,31.2938
264,3171.09,1320000,3839.59,264,5.0198,-3008.442138671875,33.6498
265,2655.41,1325000,4388.99,265,3.9669,-2375.5537109375,30.1226
266,2787.36,1330000,3474.19,266,3.6433,-2255.8076171875,30.5289
267,2827.27,1335000,4033.29,267,4.5778,-3017.513671875,32.4214
268,3194.38,1340000,3960.32,268,3.4323,-2517.727294921875,29.6895
269,2862.09,1345000,3963.51,269,3.834,-2689.003173828125,31.785
270,2959.22,1350000,4121.85,270,4.4786,-3071.76171875,33.7142
271,2992.13,1355000,4034.83,271,3.3978,-2450.849609375,29.791
272,2401.72,1360000,3937.73,272,3.8008,-2824.365966796875,31.7334
273,2896.47,1365000,3602.43,273,3.4868,-2479.732421875,29.8975
274,2829.64,1370000,3915.33,274,3.1237,-2359.783447265625,29.2619
275,2424.07,1375000,4152.94,275,2.9015,-2369.89501953125,29.5333
276,2556.95,1380000,4339.8,276,3.7934,-2480.20068359375,28.709
277,2412.57,1385000,3630.19,277,2.859,-2623.539306640625,30.8002
278,2742.57,1390000,4154.23,278,5.1799,-3359.2158203125,33.6155
279,3007.93,1395000,3352.89,279,3.1878,-2589.57763671875,30.388
280,2523.17,1400000,3977.19,280,3.5113,-2754.7626953125,30.6377
281,3221.7,1405000,4020.52,281,3.2569,-2670.29248046875,29.2978
282,3026.37,1410000,3779.3,282,2.7977,-2601.330810546875,29.7399
283,2423.03,1415000,3782.5,283,4.6341,-3295.03076171875,32.4731
284,3088.9,1420000,4138.23,284,4.2744,-3195.07763671875,33.0935
285,2381.37,1425000,3756.84,285,4.9467,-3325.93505859375,33.3696
286,3172.55,1430000,3953.52,286,3.8254,-3247.276123046875,32.0944
287,3411.09,1435000,4036.06,287,4.3339,-3434.435791015625,32.4636
288,2759.33,1440000,3682.01,288,4.2171,-3260.595458984375,32.5227
289,3336.1,1445000,3965.63,289,3.4048,-2879.456787109375,29.4779
290,2704.23,1450000,3809.3,290,4.45,-3379.762939453125,32.9953
291,3107.92,1455000,3721.02,291,4.506,-2672.839599609375,29.7327
292,2937.73,1460000,3462.01,292,3.9686,-3343.229248046875,32.0901
293,3297.29,1465000,4380.82,293,4.0084,-2552.848876953125,30.1819
294,2965.44,1470000,3896.67,294,4.1422,-2565.4765625,30.9573
295,3207.19,1475000,4226.92,295,4.6377,-3041.180419921875,31.2426
296,2085.14,1480000,3493.63,296,3.5121,-3111.72265625,32.1755
297,2100.98,1485000,3662.53,297,3.7542,-3223.98583984375,31.8474
298,2924.26,1490000,3470.73,298,3.3827,-3117.48974609375,31.6383
299,2661.39,1495000,3950.11,299,3.9623,-3413.189697265625,32.3617
300,3030.51,1500000,4332.33,300,5.1599,-3546.577880859375,33.5951
301,2756.25,1505000,3894.43,301,5.0957,-3853.871826171875,34.6056
302,2898.04,1510000,4097.37,302,3.9961,-3137.923583984375,31.7487
303,3221.53,1515000,4135.78,303,3.4243,-3298.90625,31.59
304,2278.84,1520000,3840.13,304,4.4057,-3509.717041015625,32.3968
305,3364.82,1525000,4206.98,305,4.6629,-3513.06884765625,33.5301
306,2595.18,1530000,3379.26,306,5.1687,-3748.213134765625,33.7027
307,3109.43,1535000,3987.26,307,4.2634,-3656.040771484375,33.0543
308,2801.81,1540000,3610.98,308,3.847,-3454.49072265625,32.2444
309,2735.1,1545000,3928.18,309,4.8636,-3749.736328125,33.6784
310,2702.25,1550000,3369.24,310,5.5348,-4221.6953125,34.9094
311,2858.69,1555000,4058.93,311,4.8187,-3852.60986328125,33.9468
312,2929.14,1560000,3735.2,312,4.5608,-3470.1220703125,32.0157
313,2661.98,1565000,4144.88,313,4.7642,-2772.883056640625,30.4235
314,2916.52,1570000,4019.42,314,3.5022,-3005.35107421875,30.3433
315,2897.2,1575000,4225.47,315,5.4121,-3943.64892578125,34.2049
316,2431.86,1580000,4055.71,316,4.5184,-3606.46044921875,31.9605
317,2899.47,1585000,4122.21,317,5.2773,-3043.996826171875,30.8614
318,2797.93,1590000,4173.53,318,4.0325,-3569.152099609375,31.4516
319,2816.33,1595000,3591.97,319,6.5454,-4477.66650390625,35.8802
320,3345.71,1600000,4394.73,320,5.7511,-3931.4765625,32.995
321,2571.98,1605000,3416.66,321,4.4482,-3708.95068359375,31.9659
322,3639.88,1610000,4233.78,322,5.8818,-4378.9423828125,35.0243
323,3357.35,1615000,3920.8,323,5.7358,-3457.019287109375,32.8798
324,3529.36,1620000,4408.2,324,4.9002,-3340.042236328125,30.9291
325,2648.15,1625000,3858.03,325,4.645,-3823.331298828125,31.8216
326,3069.99,1630000,3965.04,326,5.5436,-3795.376708984375,32.42
327,2636.7,1635000,3403.09,327,6.4005,-4576.244140625,35.5137
328,2958.99,1640000,4008.36,328,4.5201,-3676.700439453125,31.5965
329,3105.91,1645000,4052.52,329,4.7554,-3656.919677734375,32.3251
330,2564.98,1650000,4197.38,330,4.9706,-3259.438720703125,31.3045
331,1981.93,1655000,3946.06,331,4.3202,-3501.857177734375,30.7428
332,2381.03,1660000,3538.25,332,4.6543,-3644.5234375,32.3357
333,2948.26,1665000,3667.57,333,6.2916,-3597.076904296875,32.7863
334,2676.71,1670000,4230.21,334,5.5198,-4172.06689453125,34.0876
335,3332.33,1675000,4188.39,335,5.6389,-4569.953125,34.1724
336,2824.16,1680000,4073.88,336,5.4046,-3496.17919921875,31.4398
337,2849.11,1685000,4131.46,337,3.8883,-3563.59765625,30.899
338,2726.38,1690000,3781.85,338,4.6209,-3409.948974609375,29.8715
339,2527.58,1695000,3840.81,339,5.416,-4918.7578125,34.5519
340,2330.0,1700000,3739.71,340,5.7383,-4377.48388671875,33.3635
341,2524.19,1705000,3930.38,341,5.0923,-4068.304443359375,32.5078
342,3317.91,1710000,4291.18,342,5.5791,-4603.65673828125,34.3373
343,2425.98,1715000,3800.11,343,5.286,-3949.015380859375,31.6586
344,3101.84,1720000,4247.52,344,4.96,-4012.110595703125,31.299
345,2300.19,1725000,4468.88,345,5.5232,-3671.154052734375,30.8693
346,2877.01,1730000,3648.49,346,4.7266,-3761.481201171875,31.5769
347,3033.82,1735000,4290.0,347,5.1521,-4202.76904296875,32.2529
348,3061.51,1740000,4105.9,348,4.5904,-4247.45849609375,31.5813
349,3133.6,1745000,3944.14,349,4.5353,-3824.715087890625,30.464
350,2719.39,1750000,3799.82,350,7.6473,-5588.96142578125,36.1247
351,2729.45,1755000,3882.58,351,4.0206,-3995.699951171875,31.4624
352,2721.52,1760000,4057.18,352,3.7512,-3846.774169921875,31.1534
353,3302.87,1765000,4442.61,353,5.1928,-4607.49365234375,33.1763
354,2819.34,1770000,3890.0,354,5.1325,-4070.141845703125,31.6554
355,2686.23,1775000,3893.0,355,5.246,-3834.178466796875,30.753
356,2478.89,1780000,3626.16,356,5.1113,-4540.80029296875,32.1053
357,2956.19,1785000,3963.46,357,4.2734,-4034.60546875,30.9065
358,3217.03,1790000,4344.28,358,5.4692,-4190.662109375,31.9817
359,2773.77,1795000,3821.08,359,4.0273,-3943.478759765625,31.486
360,2863.32,1800000,4290.99,360,4.2089,-3992.80224609375,30.8904
361,2712.13,1805000,4245.08,361,3.732,-3970.99169921875,30.7906
362,3053.82,1810000,3971.54,362,4.5301,-4756.1484375,32.1361
363,2933.44,1815000,3968.88,363,4.1251,-4278.75244140625,31.1307
364,2821.0,1820000,4101.02,364,4.1476,-4652.51708984375,31.6762
365,2627.51,1825000,4109.01,365,4.2665,-4408.58056640625,31.5589
366,3085.94,1830000,4384.1,366,4.4096,-3807.89892578125,30.359
367,3433.72,1835000,3880.82,367,4.002,-3852.852294921875,29.3105
368,3432.19,1840000,4090.66,368,3.5524,-3948.103759765625,29.7905
369,3162.65,1845000,4215.56,369,4.2243,-4171.1982421875,30.401
370,2992.74,1850000,4017.58,370,4.5747,-4864.421875,32.3159
371,2442.54,1855000,4155.14,371,7.0412,-5748.77392578125,35.3297
372,3015.99,1860000,4224.02,372,4.6051,-4106.75830078125,30.7538
373,2961.83,1865000,4341.83,373,5.3051,-4008.857666015625,30.8618
374,2925.03,1870000,3841.45,374,4.1221,-3729.9111328125,27.7121
375,3052.82,1875000,3938.93,375,4.5652,-3624.381103515625,27.7302
376,3092.97,1880000,3964.5,376,4.0682,-4175.861328125,30.0017
377,2485.19,1885000,4030.55,377,3.6485,-3858.95166015625,28.3033
378,2641.33,1890000,3767.65,378,4.1049,-4875.30859375,32.0257
379,2799.06,1895000,3926.83,379,3.4392,-4961.94873046875,30.43
380,3106.96,1900000,3902.44,380,2.8623,-3955.5986328125,28.5043
381,3229.08,1905000,4049.51,381,4.751,-5399.25439453125,32.8214
382,2932.86,1910000,3914.19,382,6.4055,-6150.5625,36.0415
383,1962.99,1915000,3564.08,383,5.0172,-5533.69873046875,32.8051
384,3103.45,1920000,4138.82,384,5.3855,-5730.43896484375,34.1536
