Itration,Running Update Time,Reward Loss,Running Env Steps,Running Forward KL,Real Sto Return,Real Det Return,Running Reverse KL
189,189,-156.9499053955078,945000,16.3792,2889.27,3419.35,9.2381
190,190,-276.8929748535156,950000,17.9312,2325.47,3359.88,10.5294
191,191,-102.2896728515625,955000,15.6522,3181.0,3425.66,9.3195
192,192,-118.37726593017578,960000,15.6696,3383.27,3472.95,10.2406
193,193,-122.33480834960938,965000,15.0077,3239.97,3424.37,9.4814
194,194,-121.24008178710938,970000,15.3142,3405.01,3424.22,9.5935
195,195,-125.181884765625,975000,15.6641,3206.36,3454.9,8.8605
196,196,-99.2110366821289,980000,14.5016,3299.7,3410.34,9.0623
197,197,-112.61334991455078,985000,14.5641,3283.1,3414.2,8.6354
198,198,-183.0733184814453,990000,16.1074,3012.88,3428.17,10.3924
199,199,-110.24454498291016,995000,14.5758,3210.44,3423.25,8.6676
